"date","month_year","calls_received","calls_handle","calls_handle_by_other","abandon_calls","abandonment_rate","average_handle_time","average_speed_of_answer","longest_hold_time","monthly_abandonment_rate","month","year","weekday","staffing"
"2013-10-31T23:59:00.000","Oct 2013","1345","1322","0","23","1.71","00:03:29","00:00:07","00:01:53","14.52","10","2013","Thursday","18.49"
"2013-12-31T23:59:00.000","Dec 2013","1043","1021","0","22","2.11","0:04:14","0:00:10","0:03:47","6.78","12","2013","Tuesday","17.43"
"2014-01-31T23:59:00.000","Jan 2014","1230","1138","1","91","7.4","0:03:56","0:01:00","0:13:02","12.53","1","2014","Friday","19"
"2013-11-27T23:59:00.000","Nov 2013","1058","1026","0","32","3.02","0:03:26","0:00:26","0:08:58","7.89","11","2013","Wednesday","14.50"
"2014-02-28T23:59:00.000","Feb 2014","1267","1212","0","55","4.34","0:03:56","0:00:33","0:09:22","11.95","2","2014","Friday","17.41"
"2014-03-31T23:59:00.000","Mar 2014","1986","1760","0","226","11.38","0:05:00","0:01:37","0:07:24","10.59","3","2014","Monday","19.81"
"2014-04-30T23:59:00.000","Apr 2014","1338","1252","0","86","6.43","0:04:29","0:00:58","0:11:42","12.88","4","2014","Wednesday","17.37"
"2014-05-30T23:59:00.000","May 2014","1492","1452","0","40","2.68","0:04:37","0:00:23","0:04:57","7.82","5","2014","Friday","17.4"
"2014-06-30T23:59:00.000","June 2014","2116","1942","1","173","8.18","0:04:45","0:00:59","0:16:34","10.84","6","2014","Monday","21.31"
"2014-07-31T23:59:00.000","July 2014","1462","1430","0","32","2.19","0:03:35","0:00:15","0:04:36","10.13","7","2014","Thursday","18.67"
"2014-08-29T23:59:00.000","August 2014","1424","1401","0","23","1.62","0:04:37","0:00:20","0:03:06","7.47","8","2014","Friday","19.31"
"2014-09-30T23:59:00.000","September 2014","1825","1729","0","96","5.26","0:03:12","0:00:36","0:06:21","14.27","9","2014","Tuesday","20.21"
"2014-10-31T23:59:00.000","October 2014","1439","1345","0","94","6.53","0:02:39","0:00:32","0:08:11","8.58","10","2014","Friday","15.53"
"2014-11-26T23:59:00.000","November 2014","1254","1234","0","20","1.59","0:02:38","0:00:04","0:05:38","8.19","11","2014","Wednesday","16.71"
"2014-12-31T23:59:00.000","December 2014","1212","1203","0","9","0.74","0:02:59","0:00:03","0:02:10","7.12","12","2014","Wednesday","17.37"
"2015-01-30T23:59:00.000","January 2015","1516","1484","0","32","2.11","0:03:33","0:00:09","0:03:00","8.11","1","2015","Friday","20.88"
"2015-02-27T23:59:00.000","February 2015","1538","1502","0","36","2.34","0:02:50","0:00:12","0:11:17","3.92","2","2015","Friday","21.5"
"2015-03-31T23:59:00.000","March 2015","1799","1747","0","52","2.89","0:03:08","0:00:14","0:08:19","4.14","3","2015","Tuesday","21.25"
"2015-04-30T23:59:00.000","April 2015","1640","1625","0","25","1.52","0:02:50","0:00:06","0:02:31","7.03","4","2015","Friday","20.82"
"2015-05-29T23:59:00.000","May 2015","1758","1641","0","117","6.66","0:03:38","0:00:38","0:07:29","11.29","5","2015","Friday","20.00"
"2015-06-30T23:59:00.000","June 2015","2707","2042","0","664","24.53","0:03:37","0:04:36","0:13:42","20.15","6","2015","Tuesday","19.88"
"2015-07-31T23:59:00.000","July 2015","1743","1540","0","202","11.59","0:03:14","0:01:34","0:11:20","20.63","7","2015","Friday","17.0"
"2015-08-31T23:59:00.000","August 2015","2262","1702","0","559","24.71","0:04:03","0:03:28","0:15:13","30.98","8","2015","Monday","17.13"
"2015-09-30T23:59:00.000","September 2015","1544","1445","0","99","6.41","0:03:14","0:00:38","0:11:48","17.81","9","2015","Wednesday","15.50"
