"fiscal_year","total_crimes_against_persons","total_crimes_against_property","total_crimes_against_society"
"2014-04-30T00:00:00.000","11408","33665","4187"
"2015-04-30T00:00:00.000","12137","32081","4671"
"2013-04-30T00:00:00.000","11880","35407","3443"
"2017-04-30T00:00:00.000","14431","32142","4869"
"2016-04-30T00:00:00.000","13137","30105","4628"
