"year","fiscal_year","trees_trimmed","trees_removed"
,"FY 2012-2013 Q1","982","633"
,"FY 2012-2013 Q2","476","627"
,"FY 2012-2013 Q3","553","307"
,"FY 2013-2014 Q1","849","1710"
,"FY 2013-2014 Q2","1750","1091"
,"FY 2013-2014 Q3","1298","462"
,"FY 2013-2014 Q4","1937","371"
,"FY 2014-2015 Q3","1187","266"
,"FY 2014-2015 Q1","1392","1054"
,"FY 2014-2015 Q2","1715","516"
,"FY 2014-2015 Q4","1472","421"
,"FY 2015-2016 Q2","1615","683"
,"FY 2015-2016 Q1","1727","739"
,"FY 2015-2016 Q3","1559","423"
,"FY 2012-2013 Q4","842","174"
,"FY 2015-2016 Q4","2321","926"
