Report_No,Zip Code,Reported_Date,Reported Time,From_Date,From Time,To_Date,To Time,Offense,IBRS,Description,Beat,Address,Rep_Dist,City,Area,DVFlag,Invl_No,Involvement,Race,Sex,Age,Location 1,Firearm Used Flag  ,Neighborhood Census,Council Districts,County Boundary,Zip Codes
140074272,99999,10/14/2014 12:00:00 AM,12:40,10/04/2014 12:00:00 AM,12:00,10/14/2014 12:00:00 AM,12:00,650,23G,Stealing Auto Parts/,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,U,1,SUS,U,U,,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
140037801,99999,06/02/2014 12:00:00 AM,12:03,05/28/2014 12:00:00 AM,0:01,05/28/2014 12:00:00 AM,23:59,1122,26B,Credit/Debit/ATM Car,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,U,1,VIC,B,F,59,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
140077857,99999,10/27/2014 12:00:00 AM,12:41,01/01/2008 12:00:00 AM,0:01,10/27/2014 12:00:00 AM,12:41,1198,26C,Impersonation,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,U,1,VIC,B,M,37,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
140010874,99999,02/17/2014 12:00:00 AM,10:11,12/12/2013 12:00:00 AM,12:00,12/13/2013 12:00:00 AM,6:00,640,23F,Stealing From Auto,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,U,1,VIC,W,F,69,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
140058984,99999,08/19/2014 12:00:00 AM,11:18,07/08/2014 12:00:00 AM,12:00,07/08/2014 12:00:00 AM,12:30,690,23H,Stealing All Other,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,N,1,VIC,B,F,54,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
140077761,99999,10/27/2014 12:00:00 AM,7:45,10/09/2014 12:00:00 AM,0:01,10/14/2014 12:00:00 AM,23:59,1188,26E,Wire Fraud,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,U,1,VIC,B,M,68,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
140023352,99999,04/08/2014 12:00:00 AM,14:29,01/01/2014 12:00:00 AM,12:00,04/08/2014 12:00:00 AM,14:00,1198,26C,Impersonation,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,U,1,SUS,U,U,,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
140077857,99999,10/27/2014 12:00:00 AM,12:41,01/01/2008 12:00:00 AM,0:01,10/27/2014 12:00:00 AM,12:41,1198,26C,Impersonation,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,U,1,SUS,U,U,,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
140058984,99999,08/19/2014 12:00:00 AM,11:18,07/08/2014 12:00:00 AM,12:00,07/08/2014 12:00:00 AM,12:30,690,23H,Stealing All Other,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,N,1,SUS,U,U,,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
140060991,99999,08/26/2014 12:00:00 AM,12:57,08/01/2014 12:00:00 AM,7:00,08/23/2014 12:00:00 AM,15:00,1198,26C,Impersonation,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,N,1,VIC,W,F,46,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
140021998,99999,04/03/2014 12:00:00 AM,12:36,02/01/2014 12:00:00 AM,7:00,03/01/2014 12:00:00 AM,13:00,650,23G,Stealing Auto Parts/,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,N,1,SUS,U,U,,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
140074272,99999,10/14/2014 12:00:00 AM,12:40,10/04/2014 12:00:00 AM,12:00,10/14/2014 12:00:00 AM,12:00,650,23G,Stealing Auto Parts/,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,U,1,VIC,W,M,28,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
140010874,99999,02/17/2014 12:00:00 AM,10:11,12/12/2013 12:00:00 AM,12:00,12/13/2013 12:00:00 AM,6:00,640,23F,Stealing From Auto,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,U,1,SUS,U,U,,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
140021998,99999,04/03/2014 12:00:00 AM,12:36,02/01/2014 12:00:00 AM,7:00,03/01/2014 12:00:00 AM,13:00,650,23G,Stealing Auto Parts/,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,N,1,VIC,W,F,52,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
140031384,99999,05/09/2014 12:00:00 AM,10:31,04/25/2014 12:00:00 AM,9:00,05/08/2014 12:00:00 AM,16:00,650,23G,Stealing Auto Parts/,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,N,1,SUS,U,U,,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
140077761,99999,10/27/2014 12:00:00 AM,7:45,10/09/2014 12:00:00 AM,0:01,10/14/2014 12:00:00 AM,23:59,1188,26E,Wire Fraud,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,U,1,SUS,U,U,,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
140031384,99999,05/09/2014 12:00:00 AM,10:31,04/25/2014 12:00:00 AM,9:00,05/08/2014 12:00:00 AM,16:00,650,23G,Stealing Auto Parts/,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,N,1,VIC,B,M,23,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
140023352,99999,04/08/2014 12:00:00 AM,14:29,01/01/2014 12:00:00 AM,12:00,04/08/2014 12:00:00 AM,14:00,1198,26C,Impersonation,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,U,1,VIC,B,M,22,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
140041807,99999,06/17/2014 12:00:00 AM,12:08,06/03/2014 12:00:00 AM,0:01,,,1188,26E,Wire Fraud,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,U,1,SUS,B,F,43,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
140060991,99999,08/26/2014 12:00:00 AM,12:57,08/01/2014 12:00:00 AM,7:00,08/23/2014 12:00:00 AM,15:00,1198,26C,Impersonation,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,N,1,SUS,U,U,,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
140051471,99999,07/23/2014 12:00:00 AM,10:24,07/22/2014 12:00:00 AM,20:00,07/23/2014 12:00:00 AM,10:00,1401,290,Property Damage,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,U,1,SUS,U,U,,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
140051471,99999,07/23/2014 12:00:00 AM,10:24,07/22/2014 12:00:00 AM,20:00,07/23/2014 12:00:00 AM,10:00,1401,290,Property Damage,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,U,1,VIC,W,M,30,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
140041807,99999,06/17/2014 12:00:00 AM,12:08,06/03/2014 12:00:00 AM,0:01,,,1188,26E,Wire Fraud,999,9900  S UNKNOWN ST,PKC000,KANSAS CITY,PD1,U,1,VIC,B,F,40,"9900 S UNKNOWN ST
KANSAS CITY 99999
(39.102950303, -94.583075872)",N,5,4,7,75
