"report_no","reported_date","reported_time","from_date","from_time","to_date","to_time","offense","ibrs","description","beat","address","city","zip_code","rep_dist","area","dvflag","invl_no","involvement","race","sex","age","firearm_used_flag","latitude","longitude","location_1"
"100034831","2016-10-18T00:00:00.000","20:35","2016-10-18T00:00:00.000","20:35",,,"1352","280","Stolen Property OFFE","212","CLEVELAND AV and E GREGORY BL","KANSAS CITY","64130","PJ5365","MPD","U","1","ARR","B","M","27","N","38.9983","-94.5429","E CLEVELAND BL KANSAS CITY
, AV 64130
(38.9983, -94.5429)"
"120027507","2016-10-25T00:00:00.000","15:10","2016-10-25T00:00:00.000","14:00",,,"1352","280","Stolen Property OFFE","222","E 52 ST and MICHIGAN AV","KANSAS CITY","64130","PJ4122","MPD","U","1","VIC",,,,"N","39.037","-94.5474","52 ST and MICHIGAN AV
KANSAS CITY,  64130
(39.037, -94.5474)"
"120084496","2016-05-28T00:00:00.000","23:29","2016-05-28T00:00:00.000","23:29",,,"1352","280","Stolen Property OFFE","342","JACKSON AV and E LINWOOD BL","KANSAS CITY","64128","PJ2602","EPD","N","1","VIC","B","M","35","N","39.0675","-94.5346","E JACKSON BL KANSAS CITY
, AV 64128
(39.0675, -94.5346)"
"130056370","2016-07-04T00:00:00.000","1:37","2016-07-03T00:00:00.000","23:10","2016-04-07T00:00:00.000","0:47","1849","35A","Possession/Sale/Dist",,"8500  BLUE PARKWAY","KANSAS CITY","64133",,,"U","2","ARR","B","M","50","N","39.0078","-94.4851","8500 BLUE PARKWAY
KANSAS CITY,  64133
(39.0078, -94.4851)"
"130056370","2016-07-04T00:00:00.000","1:37","2016-07-03T00:00:00.000","23:10","2016-04-07T00:00:00.000","0:47","1849","35A","Possession/Sale/Dist",,"8500  BLUE PARKWAY","KANSAS CITY","64133",,,"U","1","VIC",,,,"N","39.0078","-94.4851","8500 BLUE PARKWAY
KANSAS CITY,  64133
(39.0078, -94.4851)"
"130087589","2016-07-08T00:00:00.000","11:41",,,,,"101","09A","HOMICIDE/Non Neglige","344","E 33 TE and OAKLEY AV","KANSAS CITY","64129","PJ2769","EPD","U","1","SUS","U","U",,"N","39.0317","-94.4975","33 TE and OAKLEY AV
KANSAS CITY,  64129
(39.0317, -94.4975)"
"130087589","2016-07-08T00:00:00.000","11:41",,,,,"101","09A","HOMICIDE/Non Neglige","344","E 33 TE and OAKLEY AV","KANSAS CITY","64129","PJ2769","EPD","U","1","VIC","W","F","34","N","39.0317","-94.4975","33 TE and OAKLEY AV
KANSAS CITY,  64129
(39.0317, -94.4975)"
"130091019","2016-08-04T00:00:00.000","13:55","2016-08-04T00:00:00.000","13:50",,,"2601","90Z","Misc Violation","532","11100  BLUE RIDGE BL","KANSAS CITY","64134","PJ7111","SPD","U","1","VIC","W","M","57","N","38.9221","-94.5095","11100 BLUE RIDGE
BL KANSAS CITY,  64134
(38.9221, -94.5095)"
"130091019","2016-08-04T00:00:00.000","13:55","2016-08-04T00:00:00.000","13:50",,,"2601","90Z","Misc Violation","532","11100  BLUE RIDGE BL","KANSAS CITY","64134","PJ7111","SPD","U","1","SUS","B","M","52","N","38.9221","-94.5095","11100 BLUE RIDGE
BL KANSAS CITY,  64134
(38.9221, -94.5095)"
"140025172","2016-05-03T00:00:00.000","16:03","2016-05-03T00:00:00.000","16:03",,,"1849","35A","Possession/Sale/Dist","541","87 ST TO I 435 S RA and I 435 HW","KANSAS CITY","64138","PJ6347","SPD","U","1","VIC",,,,"N","38.9657","-94.5038","87 ST
HW KANSAS CITY,  64138
(38.9657, -94.5038)"
