"month","unique_households_1st_allocation","unique_households_2nd_allocation","dollars_of_assistance_1st_allocation","dollars_of_assistance_2nd_allocation","households_receiving_with","households_receiving_with_1","households_receiving_with_2","households_receiving_with_3","average_months_assistance","unique_households_3rd_allocation","dollars_of_assistance_3rd_allocation"
"2021-02-01T00:00:00.000","171",,"325859",,"145","23","3","0","2.48",,
"2021-03-01T00:00:00.000","129",,"320863",,"111","14","4","0","4.47",,
"2021-04-01T00:00:00.000","292",,"1176676",,"217","56","19","0","6.87",,
"2021-05-01T00:00:00.000","472",,"1834456",,"337","96","39","0","7.91",,
"2021-06-01T00:00:00.000","575",,"2314306",,"403","130","42","0","8.02",,
"2021-07-01T00:00:00.000","624",,"2183355",,"458","113","53","0","7.63",,
"2021-08-01T00:00:00.000","582",,"1992246",,"405","136","41","0","7.48",,
"2021-09-01T00:00:00.000","552","15","1953878","46996","416","111","40","0","7.09",,
"2021-10-01T00:00:00.000","332","204","1057892","615217","394","95","35","0","6.66",,
"2021-11-01T00:00:00.000","29","538","115222","1957163","419","106","40","1","6.73",,
"2021-12-01T00:00:00.000","40","474","112521","1515881","367","106","35","1","6.78",,
"2022-01-01T00:00:00.000","1","492","2250","1604477","429","80","38","0","6.80","56","211718"
"2022-02-01T00:00:00.000","1","150","693","369785","250","58","14","0","6.09","168","512147"
"2022-03-01T00:00:00.000",,"121",,"356349","227","57","28","0","6.67","192","741847"
"2022-04-01T00:00:00.000","10","67","20366","206931","404","97","41","0","6.11","465","1595067"
"2022-05-01T00:00:00.000","19","34","48748","101661","450","119","53","0","6.26","569","1911373"
"2022-06-01T00:00:00.000","16","22","35926","55299","584","165","66","0","6.11","778","2586394"
"2022-07-01T00:00:00.000","17","36","37410","77800","558","183","61","2","5.24","751","2456310"
"2022-08-01T00:00:00.000","35","24","84176","64218","803","220","90","18","4.95","1073","2650054"
