"project_no","title","west_to_east_coordinate","south_to_north_coordinate","number","direction","name","suffix","completion_year_estimate","status","cost_estimate","rent_low_cost","rent_high_cost","rent_midpoint","sale_low_price","sale_high_price","sale_midpoint","rent_sale_price_source_year","activity","housing_units","tenure","developer","also_in_1990_onward_database","location_1"
"376.00","Guinotte Manor Townhomes","2769580","1072648","1108","E.","4th","St","2000","Completed","47000000",,,,,,,,"New","219","Renter","Kansas City Housing Authority","Yes","1108 E. 4th St
,  "
"649.00","Plaza Colonnade","2764023","1045982","4801",,"Main","St","2012","Proposed","70000000",,,,,,,,"New","16",,"Copaken White & Blitt","Yes","4801 Main St
,  "
"1763.00","Carriage Lofts Conversion","2766232","1065266","1732",,"Oak","St","2010","Underway","3000000",,,,,,,,"Use Conversion","23",,,"Yes","1732 Oak St
,  "
"870.00","SoHo South/EBT","2765382","1066037",,,"Walnut","St","2000","Completed","16500000","525","1800","1163",,,,"2006","Use Conversion","102","Renter","Master Realty Properties","Yes","1601&1529 Walnut St
,  "
"1317.00","1518 Walnut Lofts","2765263","1066316","1518",,"Walnut","St","2004","Completed","2000000","675","1075","875",,,,"2006","Use Conversion","11","Renter","Tom Trabon","Too Small","1518 Walnut St
,  "
"1263.00","4646 Broadway Lofts","2762535","1047553","4646",,"Broadway",,"2006","Completed","16000000",,,,"575000","1600000","1087500","2005","New","18","Owner","George Birt","Yes","4646 Broadway
,  "
"286.01","Mel's Artspace Apartments","2764360","1071766","201",,"Wyandotte","St","1986","Completed","4350000","650","900","775",,,,"2006","Use Conversion","29","Renter",,"Yes - Grouped","201 Wyandotte St
,  "
"1155.00","4528 Belleview","2760700","1048071","4528",,"Belleview","St","2004","Completed","3000000",,,,,,,,"Use Conversion","9","Owner","Wilson Group","Yes","4528 Belleview St
,  "
"1538.00","Dutch Hill Apartments","2767818","1058765","2843",,"Campbell","St","2010","Underway","2500000","500","800","650",,,,"2006","Renovation","36","Renter","Dutch Hill Apartments LLC","Too Small","2843 Campbell St
,  "
"1289.00","Holmes St. Apts.","2767306","1071286","520",,"Holmes","St","2001","Completed","400000",,,,,,,,"New","4","Renter",,"Too Small","520 Holmes St
,  "
"286.06","River Market Apartments IV","2764742","1071123","412",,"Delaware","St","1990","Completed","3750000","425","1000","713",,,,"2006","Use Conversion","25","Renter","Master Realty / Recon","Yes - Grouped","412 Delaware St
,  "
"1294.00","Lofts at Fleming Place","2765467","1063686","2030",,"Grand","Av","2003","Completed","1050000",,,,"200000","350000","275000","2006","Use Conversion","6","Owner","Ed Roitz","Too Small","2030 Grand Av
,  "
"1841.00","Price Development Apartments","2758362","1052678","3895"," ","State Line","Rd","2013","Proposed","10000000","800","1300","1050",,,,"2011","New","70","Renter","Price Development Group","Yes","3895 State Line Rd
,  "
"286.12","Riverbend Lofts","2764933","1071952","200",,"Main","St","1998","Completed","4400000",,,,"120000","275000","197500","2006","Use Conversion","85","Owner","George Birt","Yes - Grouped","200 Main St
,  "
"594.12","Jewel Lofts","2763562","1069162","920",,"Broadway",,"2001","Completed","2485000",,,,,,,,"Use Conversion","15","Renter","Dale Schulte","Yes - Grouped","920 Broadway
,  "
"1343.00","Sulgrave / Regency Condos","2763403","1045872","121","W.","48th","St","2002","Completed","20000000",,,,"150000","1000000","575000","2001","Style Conversion","274","Owner","Mike Rainen","Yes","121 W. 48th St
,  "
"1453.00","Power and Light District II","2765371","1066920","1400",,"Walnut","St","2012","Proposed","269500000",,,,,,,,"New","980","Owner","Cordish Co.","Too Uncertain","1400 Walnut St
,  "
"1564.00","Columbus Park Developers Housing","2767745","1071948","420",,"Campbell","St","2013","Underway","40000000",,,,,,,,"New","370",,"Columbus Park Developers","Yes","420 Campbell St
,  "
"1671.00","Bunker Hill Multifamily","2761167","1048596","4435",,"Madison","Av","2012","Proposed","3504600",,,,,,,,"New","134","Renter",,"Yes","4435 Madison Av
,  "
"465.00","Bishop Spencer Place I","2761314","1049591","4301",,"Madison","Av","1995","Completed","14000000",,,,"70000","180000","125000","2002","New","134","Renter","Episcopal Diocese of West Missouri","Yes","4301 Madison Av
,  "
"286.31","4th & Wyandotte Townhomes","2764458","1071294","401",,"Wyandotte","St","2012","Underway","5400000",,,,"250000","350000","300000","2009","New","18","Owner","Tom Trabon and El Dorado Architects","Yes - Grouped","401 Wyandotte St
,  "
"396.13","Columbia Lofts","2764175","1063981","2006",,"Wyandotte","St","2012","Underway","7000000","500","700","600",,,,"2010","Use Conversion","35","Renter","Dale Schulte","Yes - Grouped","2006 Wyandotte St
,  "
"594.08","SoHo V Apartments","2763614","1069883","712",,"Broadway",,"1990","Completed","7650000","600","1100","850",,,,"2006","Use Conversion","51","Renter","Master Realty","Yes - Grouped","712 Broadway
,  "
