Report_No,Reported_Date,Reported Time,From_Date,From Time,To_Date,To Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Invl_No,Involvement,Race,Sex,Age,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
140024077,04/11/2014 12:00:00 AM,10:11,04/11/2014 12:00:00 AM,10:10,,,801,13B,Non Aggravated Assau,141,E 34 ST/TROOST AV,KANSAS CITY,,PJ2706,CPD,U,2,VIC,,,,"34 ST TROOST AV
(39.102950303, -94.583075872)",5,4,7,75
140084665,11/23/2014 12:00:00 AM,16:44,11/23/2014 12:00:00 AM,16:30,,,802,13B,Non Agg Assault Dome,342,10600  E 41 ST,KANSAS CITY,,PJ3463,EPD,Y,1,ARR,B,M,,"10600 E 41 ST
(39.048258298, -94.453218116)",156,3,7,37
140089493,12/14/2014 12:00:00 AM,4:43,12/14/2014 12:00:00 AM,4:20,,,403,13A,Agg Assault - Domest,144,4200  PASEO,KANSAS CITY,,PJ3410,CPD,Y,1,VIC,B,F,19,"4200 PASEO
(39.102950303, -94.583075872)",5,4,7,75
140002633,01/12/2014 12:00:00 AM,17:38,01/12/2014 12:00:00 AM,17:00,01/12/2014 12:00:00 AM,17:38,403,13A,Agg Assault - Domest,345,10900  E 49 ST,KANSAS CITY,64133,PJ4170,EPD,Y,1,VIC,W,M,44,"10900 E 49 ST
KANSAS CITY 64133
(39.032937559, -94.4511394)",165,3,7,37
140030533,05/06/2014 12:00:00 AM,10:24,05/06/2014 12:00:00 AM,10:24,,,802,13B,Non Agg Assault Dome,242,7400  PARK AV,KANSAS CITY,64132,PJ5627,MPD,Y,1,VIC,B,F,18,"7400 PARK AV
KANSAS CITY 64132
(38.992612305, -94.56068568)",154,2,7,151
140046465,07/04/2014 12:00:00 AM,7:40,07/04/2014 12:00:00 AM,6:15,,,802,13B,Non Agg Assault Dome,545,8700  E 109 TE,KANSAS CITY,,PJ7026,SPD,U,2,VIC,B,M,,"8700 E 109
(38.925627858, -94.489069061)",200,1,7,143
140026545,04/21/2014 12:00:00 AM,2:16,04/21/2014 12:00:00 AM,2:16,,,401,13A,Aggravated Assault (,134,900  W 44 ST,KANSAS CITY,,PJ3519,CPD,U,1,VIC,B,F,30,"900 W 44 ST
(39.048069101, -94.597273097)",148,4,7,50
140023896,04/10/2014 12:00:00 AM,15:12,03/26/2014 12:00:00 AM,7:38,,,401,13A,Aggravated Assault (,415,NW 64TH/I-29,KANSAS CITY,64152,PC0410,NPD,N,1,VIC,W,F,29,"29 KANSAS
CITY 64152
(39.219068707, -94.697028052)",,,3,77
140071815,11/04/2014 12:00:00 AM,11:00,,,,,401,13A,Aggravated Assault (,112,1100  LOCUST ST,KANSAS CITY,,PJ1029,CPD,U,1,SUS,U,U,,"1100 LOCUST ST
(39.100855311, -94.577375383)",5,4,7,75
140042504,06/19/2014 12:00:00 AM,18:58,06/19/2014 12:00:00 AM,18:58,,,801,13B,Non Aggravated Assau,232,E 75 ST/HOLMES RD,KANSAS CITY,,PJ5614,MPD,U,1,VIC,W,F,37,"75 ST HOLMES RD
(39.102950303, -94.583075872)",5,4,7,75
140023827,04/10/2014 12:00:00 AM,12:30,04/10/2014 12:00:00 AM,12:30,,,401,13A,Aggravated Assault (,533,HOLMES RD/I 435 HW,KANSAS CITY,,PJ6771,SPD,U,1,VIC,W,F,64,"435 HW
(39.102950303, -94.583075872)",5,4,7,75
140069781,09/27/2014 12:00:00 AM,22:16,09/27/2014 12:00:00 AM,22:16,,,802,13B,Non Agg Assault Dome,234,800  E 93 TE,KANSAS CITY,,PJ6368,MPD,U,2,VIC,,,,"800 E 93
(38.953900319, -94.49271972)",27,2,7,98
140078823,10/30/2014 12:00:00 AM,23:55,10/30/2014 12:00:00 AM,23:55,,,802,13B,Non Agg Assault Dome,415,1000  NW BARRY RD,KANSAS CITY,,PC0410,NPD,U,1,ARR,W,M,52,"1000 NW BARRY RD
(39.246408136, -94.567120022)",30,6,4,82
140039379,06/08/2014 12:00:00 AM,10:54,06/08/2014 12:00:00 AM,10:20,,,802,13B,Non Agg Assault Dome,121,500  BROOKLYN AV,KANSAS CITY,64124,PJ0554,CPD,U,1,SUS,B,M,24,"500 BROOKLYN AV
KANSAS CITY 64124
(39.108473089, -94.555585681)",135,3,7,70
140024522,04/12/2014 12:00:00 AM,22:39,04/12/2014 12:00:00 AM,22:35,,,802,13B,Non Agg Assault Dome,342,2500  DRURY AV,KANSAS CITY,64128,PJ2143,EPD,Y,1,SUS,B,M,31,"2500 DRURY AV
KANSAS CITY 64128
(39.079563342, -94.518968465)",222,3,7,95
140084515,11/23/2014 12:00:00 AM,1:47,11/23/2014 12:00:00 AM,1:47,,,802,13B,Non Agg Assault Dome,314,5200  E 6 ST,KANSAS CITY,64124,PJ0737,EPD,Y,1,VIC,W,F,22,"5200 E 6 ST
KANSAS CITY 64124
(39.104367509, -94.521019531)",215,3,7,70
