"calendar_year","fiscal_year_text_label","time_stamp","population_used_for_per_capita_calculations","price_index_for_inflation_calculation","commercial_properties_taxable_real_property_market_value_per_capita_real_dollars","residential_properties_taxable_real_property_market_value_per_capita_real_dollars","commercial_building_permit_valuation_real_dollars","residential_building_permit_valuation_real_dollars","structural_balance_revenue_general_special_revenue_and_capital_funds_real_dollars","structural_balance_expenditures_general_special_revenue_and_capital_funds_real_dollars","general_fund_unreserved_fund_balance","general_fund_unreserved_fund_balance_council_policy","special_revenue_and_capital_fund_unreserved_fund_balance","operating_surplus_deficit","liquidity_ratio","gross_operating_revenues","gross_operating_revenue_after_net_redirections","real_operating_revenue_per_capita_real_dollars","real_operating_revenue_after_net_redirections_per_capita_real_dollars","general_fund_revenue_nominal_dollars","special_revenue_and_capital_improvement_revenue","dedicated_revenue_as_a_percent_of_total_revenues","percent_of_total_revenue_with_a_renewal_requirement","earning_and_profits_tax_revenue_nominal_dollars","earning_and_profits_tax_revenue_redirections_nominal_dollars","earning_and_profits_tax_after_net_redirections_nominal_dollars","earning_and_profits_tax_revenue_per_capita_before_redirections_in_real_dollars","earning_and_profits_tax_revenue_per_capita_after_net_redirections_in_real_dollars","sales_and_use_tax_revenue_nominal_dollars","sales_and_use_tax_revenue_redirections_nominal_dollars","sales_and_use_tax_after_net_redirections_nominal_dollars","sales_and_use_tax_revenue_per_capita_before_redirections_in_real_dollars","sales_and_use_tax_revenue_per_capita_after_net_redirections_in_real_dollars","property_tax_revenue_nominal_dollars","property_tax_revenue_redirections_nominal_dollars","property_tax_after_net_redirections_nominal_dollars","property_tax_revenue_per_capita_after_redirections_in_real_dollars","property_tax_revenue_per_capita_before_redirections_in_real_dollars","utility_franchise_fee_revenue_nominal_dollars","utility_franchise_fee_revenue_redirections_nominal_dollars","utility_franchise_fee_after_net_redirections_nominal_dollars","utility_franchise_fee_revenue_per_capita_before_redirections_in_real_dollars","utility_franchise_fee_revenue_per_capita_after_net_redirections_in_real_dollars","tourism_leisure_tax_and_fee_revenue_nominal_dollars","tourism_leisure_tax_and_fee_revenue_redirections_nominal_dollars","tourism_leisure_tax_and_fee_after_net_redirections_nominal_dollars","tourism_leisure_tax_and_fee_revenue_per_capita_before_redirections_in_real_dollars","tourism_leisure_tax_and_fee_revenue_per_capita_after_net_redirections_in_real_dollars","business_license_tax_and_fee_revenue_nominal_dollars","business_license_tax_and_fee_revenue_per_capita_in_real_dollars","service_charges_revenue_nominal_dollars","service_charges_as_a_percent_of_total_revenue","intergovernmental_revenue_nominal_dollars","intergovernmental_revenue_as_a_percent_of_total_revenue","operating_expenditures","expenditures_per_capita_real_dollars","expenditures_on_public_safety_nominal_dollars","expenditures_on_public_infrastructure_nominal_dollars","expenditures_on_neighborhood_livability_nominal_dollars","expenditures_on_healthy_community_nominal_dollars","expenditures_on_governance_nominal_dollars","expenditures_on_economic_growth_nominal_dollars","expenditures_on_public_safety_per_capita_in_real_dollars","expenditures_on_public_infrastructure_per_capita_real_dollars","expenditures_on_neighborhood_livability_per_capita_real_dollars","expenditures_on_healthy_community_per_capita_real_dollars","expenditures_on_governance_per_capita_real_dollars","expenditures_on_economic_growth_per_capita_real_dollars","non_public_safety_expenditures_per_capita_in_real_dollars","salaries_and_benefits_expenditure_nominal_dollars","operating_expenditures_nominal_dollars","salaries_and_benefits_as_a_percent_of_operating_expenditurse","pension_expenditures","pension_benefits_as_a_percent_of_personnel_costs","health_and_life_insurance_benefits_expenditures_nominal_dollars","health_and_life_insurance_benefits_as_a_percent_of_personnel_costs","total_fringe_benefits_expenditures_nominal_dollars","total_fringe_benefits_as_a_percent_of_operating_expenditures","salares_no_benefits_expenditures_nominal_dollars","capital_expenditures_nominal_dollars","total_general_government_expenditures_nominal_dollars","capital_as_a_percent_of_general_government_expenditures","outstanding_direct_debt_as_a_percent_of_market_value_of_taxable_property","credit_industry_threshold","total_debt_nominal_dollars","estimated_actual_market_value_of_taxable_property_nominal_dollars","annual_debt_service_payments_as_a_percent_of_total_expenditures","employee_retirement_system_funding_ratio","civilian_police_retirement_system_funding_ratio","firefighters_retirement_system_funding_ratio","police_retirement_system_funding_ratio","annual_retirement_system_payment_unfunded_annual_required_contribution","annual_retirement_system_payment_contribution","city_s_pension_contributions_as_a_of_net_operating_expenditures","city_s_pension_contributions_as_a_of_net_operating_expenditures_actuarial_required_contribution","other_post_employement_benefits_opeb","other_post_employement_benefits_opeb_as_a_percent_of_net_operating_expenditures","compensated_absences_liability","number_of_non_uniform_employees_per_1000_population","number_of_non_uniform_employees","number_of_uniform_police","number_of_uniform_police_per_1000_population","fbi_survey_of_uniform_police_per_1000_population_high_range","fbi_survey_of_uniform_police_per_1000_population_low_range","number_of_firefighters","number_of_firefighters_per_1000_population","nfpa_survey_of_firefighters_per_1000_population_high_range","nfpa_survey_of_firefighters_per_1000_population_low_range"
"2003","FY2003","2003-04-30T00:00:00.000","447018","78.1474561656","7995.86","21460.01","284302448.44","263765987.01","772664000","762117000","10.15","16.67","182646000","10547000","3.6916","723117000","709175046","2069.99","2030.08","376757000","346360000","47.90","22.59","167002635.18","4691243","162311392.18","478.06","464.63","135961530.76","6680734","129280796.75","389.20","370.07","88397225.60","3035020.60","85362205","244.35","253.04","64570317.54","723856","63846461.54","184.83","182.76","46569570.83","1681975","44887595.83","133.30","128.49","21746461.65","62.25","38917","5.38","121181","16.76",,,,,,,,,,,,,,,,,,,,,,,,,,"83755000","789979000","10.60","2.41","1.00","516840000","21411468000","10.52","88.32","82.10","82.31","89.50","5199999.99","30400000.00","4.55","5.33",,,,"6.6082350151","2954","1326","2.9663235038","3.1","2.4","822","1.8388521268","2.4","1.7"
"2004","FY2004","2004-04-30T00:00:00.000","448842","79.4948260995","7864.95","25003.97","232996625.31","285575446.90","791344000","755532000","4.93","16.67","240418000","35812000","3.7204","728091000","714313191","2040.57","2001.96","357712000","370379000","50.87","24.07","160150381.73","5646670","154503711.73","448.84","433.01","146508398.79","9227955","137280443.79","410.61","384.74","90665170.00","3251243.00","87413927","244.98","254.10","65986397.78","840198","65146199.78","184.93","182.58","48836499.16","1740676","47095823.16","136.87","131.93","17750069.54","49.74","44712","6.14","104007","14.28",,,,,,,,,,,,,,,,,,,,,,,,,,"86257000","765974000","11.26","2.38","1.00","545127000","22867108000","8.72","84.72","78.00","82.98","84.70","13399999.99","34200000","5.17","7.20",,,,"6.2850624496","2821","1346","2.9988280954","3.1","2.4","857","1.9093578587","2.4","1.7"
"2005","FY2005","2005-04-30T00:00:00.000","450666","81.1565823513","9154.41","25941.85","330194756.01","318278470.91","821860000","809485000","4.67","16.67","259625000","12375000","5.3047","749262000","731806501","2048.59","2000.86","366386000","382876000","51.10","27.08","168378969.29","5410158","162968811.29","460.37","445.58","173565165.70","10861926","162703239.70","474.55","444.85","95831490.53","3579488.53","92252002","252.23","262.01","65220601.99","1004789","64215812.99","178.32","175.57","53319176.89","1808990","51510186.89","145.78","141.31","20564911.99","56.22","44056.53","5.88","89449","11.94","464324297","1269.52","249178862","48947105","63379456","16808058","52280731","33730085","681.29","133.82","173.28","45.95","142.94","92.22","588.23","310691872","464324297","66.91","33396044","10.75","31150283","10.03","64546327","20.78","246145545","207885000","924676000","22.48","4.79","1.00","1144014000","23885490000","9.25","82.57","75.00","84.62","81.60","14199999.99","37900000.00","5.46","7.51",,,,"6.7056312213","3022","1366","3.0310695726","3.1","2.4","879","1.9504466723","2.4","1.7"
"2006","FY2006","2006-04-30T00:00:00.000","452490","83.2225495832","9530.65","30985.66","628801954.76","346167961.64","886259000","901834000","9.21","16.67","163118000","-15575000","4.3937","803082000","783996037","2132.60","2081.91","418707000","384375000","47.86","27.84","180209494.69","5103892","175105602.69","478.55","464.99","179969282.53","11381864","168587418.53","477.91","447.68","115247210.76","4827803.76","110419407","293.22","306.04","66595770.81","992803","65602967.81","176.84","174.21","66174808.25","2112060","64062748.25","175.72","171.51","18444931.06","48.98","49464.87","6.16","83373","10.38","481872521","1279.62","267117984","51258529","57394798","16211068","57563202","32326940","709.33","136.11","152.41","43.04","152.86","85.84","570.28","323434890","481872521","67.12","36011211","11.13","30874088","9.55","66885299","20.68","256549591","288602000","1130613000","25.53","4.47","1.00","1187204000","26546653000","10.27","93.12","74.00","87.87","82.00","15899999.99","42200000","5.45","7.51",,,,"6.7647903821","3061","1386","3.0630511172","3.1","2.4","897","1.9823642511","2.4","1.7"
"2007","FY2007","2007-04-30T00:00:00.000","454314","85.3783414774","9911.52","32963.44","370093889.56","354520842.81","923235000","945070000","5.58","16.67","176850000","-21835000","4.2327","856562000","836971380","2208.28","2157.77","428109000","428453000","50.02","26.97","198023748.94","5351363","192672385.94","510.52","496.72","184423647.18","12780420","171643227.18","475.45","442.50","121126195.59","5412192.59","115714003","298.31","312.27","68866844.22","991340","67875504.22","177.54","174.98","66872120.12","2361503","64510617.12","172.40","167.18","20518676.75","52.89","48322.12","5.64","100628","11.75","521675990","1344.92","280913026","52887914","63536841","18119594","65289133","40929482","724.21","136.34","163.80","46.71","168.32","105.51","620.70","342979066","521675990","65.75","38007693","11.08","33439689","9.75","71447382","20.83","271531684","289661000","1238769000","23.38","5.24","1.00","1429814000","27290484000","11.20","97.12","81.00","92.07","86.40","8000000","44400000","5.42","6.39",,,,"7.0810056481","3217","1426","3.1387982761","3.1","2.4","933","2.0536457164","2.4","1.7"
"2008","FY2008","2008-04-30T00:00:00.000","456139","87.3450524576","11148.78","36723.75","396711277.45","231817159.59","1013964000","1003849000","8.58","16.67","199545000","10115000","3.7983","919293000","897808374.14","2307.37","2253.45","477721000","441572000","48.03","26.20","201252331.78","9514939","191737392.78","505.13","481.25","192696710.9","17693265","175003445.9","483.65","439.24","129838163.83","7252509.83","122585654","307.68","325.88","91224652.72","1480435","89744217.72","228.96","225.25","71808187.98","2808181","69000006.98","180.23","173.85","20973421.56","52.64","48358.15","5.26","103517","11.26","563753038","1414.99","306954322","57793129","66201491","21171255","71612467","40020374","770.43","145.05","166.16","53.13","179.74","100.44","644.55","376162869","563753038","66.72","41802061","11.11","39295151","10.45","81097212","21.56","295065657","334251000","1212575000","27.57","4.95","1.00","1476070000","29826561000","12.51","93.51","83.30","93.42","87.20","3400000.00","47800000","5.51","5.90","10994000","0.0392870034",,"7.385906489","3369","1446","3.1700863114","3.1","2.4","933","2.0454291345","2.4","1.7"
"2009","FY2009","2009-04-30T00:00:00.000","457963","90.3411540673","11375.84","38961.48","306924937.18","195073222.27","1048855000","1060677000","2.53","16.67","196671000","-11822000","1.4771","957650000","926153179.42","2314.67","2238.54","503130000","454520000","47.46","24.20","202249288.85","9963853","192285435.85","488.84","464.76","186005514.08","15890762","170114752.08","449.58","411.17","128367444.57","9503939.57","118863505","287.29","310.26","89863139.25","1899160","87963979.25","217.20","212.61","67574223.65","3403381","64170842.65","163.32","154.90","23048784.26","55.70","47371.46","4.95","138631","14.48","568672691","1374.50","321279150","56722164","65003652","20709447","68893347","36064931","776.54","137.09","157.11","50.05","166.51","87.17","597.96","387838564","568672691","68.20","43549302","11.23","44687737","11.52","88237039","22.75","299601525","212248000","1128481000","18.81","4.83","1.00","1463119000","30299672000","12.07","72.83","69.10","69.67","71.80","7700000.00","49800000","5.51","6.37","25550000","0.0576136015",,"6.9110386647","3165","1446","3.1574603188","3.1","2.4","934","2.0394660704","2.4","1.7"
"2010","FY2010","2010-04-30T00:00:00.000","459787","90.2553715148","10883.87","36701.32","234633697.06","130442238.00","970749000","986771000","5.95","16.67","133935000","-16022000","1.586","932915077.21","894435000","2248.08","2155.35","489327000","405108000","45.29","24.94","198492315.47","12448213","186044102.47","478.31","448.31","171750297.58","20670499","151079798.58","413.87","364.06","131002237.22","9210704.22","121791533","293.48","315.68","87886336.64","2165114","85721222.64","211.78","206.56","64055120.99","3196251","60858869.99","154.35","147.58","19890991.58","47.93","47081.22","5.05","132043","14.15","558153038","1345.00","311695041","58160833","71646917","21640326","62645796","32364125","751.10","140.15","172.65","52.14","150.96","77.98","593.89","375267072","558153038","67.23","42716927","11.38","39548730","10.54","82265657","21.92","293001415","192834000","1084799000","17.78","5.29","1.00","1533757000","29018324000","13.39","75.35","76.60","84.29","78.90","24864999.99","49700000","5.77","8.65","39706000","0.0772574017",,"6.3594664486","2924","1446","3.1449345023","3.1","2.4","935","2.0335503179","2.4","1.7"
"2011","FY2011","2011-04-30T00:00:00.000","462035","92.2400474274","11120.41","37802.95","282339985.50","101588138.94","962048000","996580000","8.29","16.67","114882000","-34532000","2.3074","950131077.21","911651000","2240.30","2149.57","496545000","415106000","45.53","24.60","195730388","19064101","176666287","459.26","414.53","174692717","14256751","160435966","409.90","376.45","130689280.55","9899269.55","120790011","283.42","306.65","94954460.60","3164227.89","91790232.71","222.80","215.37","65629156.35","3492268.91","62136887.44","153.99","145.60","19411680.56","45.54","61728.80","6.50","110460","11.63","584332612","1371.08","328656563","57403176","75910835","22211667","67297689","32852682","771.16","134.69","178.11","52.11","157.90","77.08","599.92","388785532","584332612","66.53","43929751","11.30","44816075","11.53","88745826","22.83","300039706","225682000","1090400000","20.70","5.28","1.00","1537341000","29093406000","12.95","79.80","74.80","81.85","76.10","32088999.99","48600000","5.49","9.11","43901000","0.0801029886",,"6.5233153333","3014","1446","3.1296330365","3.1","2.4","935","2.0236562165","2.4","1.7"
"2012","FY2012","2012-04-30T00:00:00.000","464472","95.8878269618","11062.56","38671.71","269489507.45","98689394.71","956803000","988546000","8.15","16.67","93495000","-31743000","2.46","949251702","908302000","2142.60","2050.17","472421000","435881000","47.99","49.23","207332280","21526568","185805712","465.52","417.19","189205445","16273854","172931591","424.82","388.28","133230826.63","9883609.63","123347217","276.95","299.14","93902508","2255136","91647372","210.84","205.77","68557808.62","3612831.71","64944976.90","153.93","146.17","20374156","45.74","62721.51","6.61","105080","11.07","592945544","1331.34","340515594","56745438","75379292","21845875","68166751","30292594","764.56","127.41","169.25","49.05","153.05","68.01","566.78","394400187","592945544","66.52","44692694","11.33","44563424","11.30","89256118","22.63","305144069","221417000","1124087000","19.70","5.65","1.00","1635561000","28923054000","13.50","79.11","75.60","78.54","75.50","28500000","48500000","5.60","8.90","48084000","0.0889802557",,"6.6914690229","3108","1430","3.0787647049","3.1","2.4","934","2.0108854786","2.4","1.7"
