Policy Area,Dataset,Variable,Name,Date,geoid,Tract,Neighborhood,Value,Denominator,Denominator Description,Row ID,Location 1,Latitude,Longitude,Neighborhoods_from_gw34_aa8i,Neighborhoods_from_5jp5_kw3x,New Neighborhoods_from_s3dq_ztay,layer_0_from_mgnu_zr5s,layer_0_from_yr99_sgmi,LA Neighborhoods_from_5ikr_59ci,City Boundaries_from_22pk_kkuz,Los Angeles Incorporated Cities,la_county_tracts_from_jczq_z5ui,DPW_CITY_BOUNDARIES_from_dmu2_xaer,Neighborhoods_from_9utn_waje,Census Tracts_from_jczq_z5ui,LACSchool Districts
Employment & Income,Median Household Income,Median Household Income,Census Tract 4805,01/01/2015,1400000US06037480500,480500,South Pasadena,101856.55,2073,Total Households,Median_Household_Income_2015_1400000US06037480500,"(34.1082459, -118.14493465)",,,209,209,209,213,213,216,34,34,1357,257,220,1357,40
Employment & Income,Median Household Income,Median Household Income,Census Tract 4807.04,01/01/2015,1400000US06037480704,480704,South Pasadena,84150.289,1901,Total Households,Median_Household_Income_2015_1400000US06037480704,"(34.1057442, -118.15371369)",,,209,209,209,213,213,216,34,34,638,257,220,638,40
Employment & Income,Median Household Income,Median Household Income,Census Tract 4641,01/01/2015,1400000US06037464100,464100,San Marino,153089.42,2460,Total Households,Median_Household_Income_2015_1400000US06037464100,"(34.12045323, -118.1208673)",,,19,19,31,30,30,196,9,9,2270,227,204,2270,45
Employment & Income,Median Household Income,Median Household Income,Census Tract 4806,01/01/2015,1400000US06037480600,480600,South Pasadena,71124.875,3386,Total Households,Median_Household_Income_2015_1400000US06037480600,"(34.11938249, -118.15646852)",,,209,209,209,213,213,216,34,34,1165,257,220,1165,40
Employment & Income,Median Household Income,Median Household Income,Census Tract 4642,01/01/2015,1400000US06037464200,464200,San Marino,118625.15,2085,Total Households,Median_Household_Income_2015_1400000US06037464200,"(34.12584244, -118.09948073)",,,19,19,31,30,30,196,9,9,1354,227,204,1354,45
Employment & Income,Median Household Income,Median Household Income,Census Tract 4807.02,01/01/2015,1400000US06037480702,480702,South Pasadena,98647.336,1704,Total Households,Median_Household_Income_2015_1400000US06037480702,"(34.10494221, -118.16992012)",,,209,209,209,213,213,216,34,34,1358,257,220,1358,40
Employment & Income,Median Household Income,Median Household Income,Census Tract 4807.03,01/01/2015,1400000US06037480703,480703,South Pasadena,97641.883,1212,Total Households,Median_Household_Income_2015_1400000US06037480703,"(34.10905576, -118.1603692)",,,209,209,209,213,213,216,34,34,436,257,220,436,40
