"fiscal_year","county","region","race_ethnicity","children_entering_fbss_family_preservation_services_during_fiscal_year","children_entering_fpr_by_stage"
"2021","Anderson","4-Tyler","African American","2","2"
"2021","Anderson","4-Tyler","Anglo","24","24"
"2021","Anderson","4-Tyler","Hispanic","4","4"
"2021","Anderson","4-Tyler","Other","8","8"
"2021","Andrews","9-Midland","Anglo","9","9"
"2021","Andrews","9-Midland","Hispanic","33","33"
"2021","Andrews","9-Midland","Other","1","1"
"2021","Angelina","5-Beaumont","African American","5","5"
"2021","Angelina","5-Beaumont","Anglo","65","65"
"2021","Angelina","5-Beaumont","Hispanic","30","30"
"2021","Angelina","5-Beaumont","Other","3","3"
"2021","Aransas","11-Edinburg","Anglo","25","25"
"2021","Aransas","11-Edinburg","Hispanic","13","13"
"2021","Aransas","11-Edinburg","Other","1","1"
"2021","Archer","2-Abilene","Anglo","9","9"
"2021","Armstrong","1-Lubbock","Anglo","4","4"
"2021","Atascosa","8-San Antonio","Anglo","35","36"
"2021","Atascosa","8-San Antonio","Hispanic","176","176"
"2021","Atascosa","8-San Antonio","Other","1","1"
"2021","Austin","6-Houston","African American","4","4"
"2021","Austin","6-Houston","Anglo","5","5"
"2021","Austin","6-Houston","Hispanic","3","3"
"2021","Austin","6-Houston","Other","4","4"
"2021","Bailey","1-Lubbock","Hispanic","18","18"
"2021","Bandera","8-San Antonio","Anglo","11","11"
"2021","Bandera","8-San Antonio","Hispanic","8","8"
"2021","Bandera","8-San Antonio","Other","3","3"
"2021","Bastrop","7-Austin","African American","7","7"
"2021","Bastrop","7-Austin","Anglo","17","17"
"2021","Bastrop","7-Austin","Hispanic","54","55"
"2021","Bastrop","7-Austin","Other","7","7"
"2021","Baylor","2-Abilene","Anglo","5","5"
"2021","Baylor","2-Abilene","Hispanic","2","2"
"2021","Baylor","2-Abilene","Other","1","1"
"2021","Bee","11-Edinburg","Anglo","8","8"
"2021","Bee","11-Edinburg","Hispanic","71","71"
"2021","Bee","11-Edinburg","Other","3","3"
"2021","Bell","7-Austin","African American","279","288"
"2021","Bell","7-Austin","Anglo","171","173"
"2021","Bell","7-Austin","Hispanic","186","186"
"2021","Bell","7-Austin","Native American","2","2"
"2021","Bell","7-Austin","Other","81","81"
"2021","Bexar","8-San Antonio","African American","421","427"
"2021","Bexar","8-San Antonio","Anglo","424","425"
"2021","Bexar","8-San Antonio","Asian","5","8"
"2021","Bexar","8-San Antonio","Hispanic","3482","3521"
"2021","Bexar","8-San Antonio","Native American","2","2"
"2021","Bexar","8-San Antonio","Other","213","213"
"2021","Blanco","7-Austin","Anglo","1","1"
"2021","Borden","9-Midland","Anglo","3","3"
"2021","Bosque","7-Austin","Anglo","7","7"
"2021","Bosque","7-Austin","Hispanic","7","7"
"2021","Bosque","7-Austin","Other","3","3"
"2021","Bowie","4-Tyler","African American","76","76"
"2021","Bowie","4-Tyler","Anglo","59","59"
"2021","Bowie","4-Tyler","Hispanic","3","3"
"2021","Bowie","4-Tyler","Other","28","28"
"2021","Brazoria","6-Houston","African American","46","46"
"2021","Brazoria","6-Houston","Anglo","136","136"
"2021","Brazoria","6-Houston","Asian","4","4"
"2021","Brazoria","6-Houston","Hispanic","162","168"
"2021","Brazoria","6-Houston","Other","37","37"
"2021","Brazos","7-Austin","African American","37","37"
"2021","Brazos","7-Austin","Anglo","9","9"
"2021","Brazos","7-Austin","Hispanic","24","24"
"2021","Brazos","7-Austin","Other","4","4"
"2021","Brewster","10-El Paso","Anglo","3","3"
"2021","Brewster","10-El Paso","Hispanic","21","21"
"2021","Brewster","10-El Paso","Other","1","1"
"2021","Brooks","11-Edinburg","Anglo","1","1"
"2021","Brooks","11-Edinburg","Hispanic","38","38"
"2021","Brown","2-Abilene","African American","1","1"
"2021","Brown","2-Abilene","Anglo","46","46"
"2021","Brown","2-Abilene","Hispanic","25","25"
"2021","Brown","2-Abilene","Other","6","6"
"2021","Burleson","7-Austin","African American","1","1"
"2021","Burleson","7-Austin","Anglo","3","3"
"2021","Burleson","7-Austin","Other","1","1"
"2021","Burnet","7-Austin","African American","6","6"
"2021","Burnet","7-Austin","Anglo","48","48"
"2021","Burnet","7-Austin","Hispanic","21","22"
"2021","Burnet","7-Austin","Other","2","2"
"2021","Caldwell","7-Austin","African American","1","1"
"2021","Caldwell","7-Austin","Anglo","14","14"
"2021","Caldwell","7-Austin","Hispanic","71","71"
"2021","Caldwell","7-Austin","Other","17","17"
"2021","Calhoun","8-San Antonio","African American","1","1"
"2021","Calhoun","8-San Antonio","Anglo","6","6"
"2021","Calhoun","8-San Antonio","Hispanic","13","13"
"2021","Calhoun","8-San Antonio","Other","8","8"
"2021","Callahan","2-Abilene","African American","1","2"
