"fiscal_year","county","region","sum_fgc"
"2021","Anderson","4-Tyler","23"
"2021","Andrews","9-Midland","17"
"2021","Angelina","5-Beaumont","81"
"2021","Aransas","11-Edinburg","25"
"2021","Archer","2-Abilene","1"
"2021","Atascosa","8-San Antonio","104"
"2021","Austin","6-Houston","27"
"2021","Bailey","1-Lubbock","3"
"2021","Bandera","8-San Antonio","38"
"2021","Bastrop","7-Austin","20"
"2021","Baylor","2-Abilene","1"
"2021","Bee","11-Edinburg","45"
"2021","Bell","7-Austin","209"
"2021","Bexar","8-San Antonio","1122"
"2021","Blanco","7-Austin","11"
"2021","Bosque","7-Austin","2"
"2021","Bowie","4-Tyler","67"
"2021","Brazoria","6-Houston","93"
"2021","Brazos","7-Austin","83"
"2021","Brewster","10-El Paso","2"
"2021","Brooks","11-Edinburg","13"
"2021","Brown","2-Abilene","23"
"2021","Burleson","7-Austin","14"
"2021","Burnet","7-Austin","47"
"2021","Caldwell","7-Austin","27"
"2021","Calhoun","8-San Antonio","10"
"2021","Cameron","11-Edinburg","158"
"2021","Camp","4-Tyler","8"
"2021","Carson","1-Lubbock","1"
"2021","Cass","4-Tyler","35"
"2021","Castro","1-Lubbock","2"
"2021","Chambers","6-Houston","12"
"2021","Cherokee","4-Tyler","40"
"2021","Childress","1-Lubbock","7"
"2021","Clay","2-Abilene","3"
"2021","Coke","9-Midland","3"
"2021","Coleman","2-Abilene","6"
"2021","Collin","3-Arlington","59"
"2021","Colorado","6-Houston","24"
"2021","Comal","8-San Antonio","124"
"2021","Comanche","2-Abilene","7"
"2021","Cooke","3-Arlington","20"
"2021","Coryell","7-Austin","60"
"2021","Crane","9-Midland","2"
"2021","Crockett","9-Midland","3"
"2021","Culberson","10-El Paso","4"
"2021","Dallam","1-Lubbock","5"
"2021","Dallas","3-Arlington","350"
"2021","Dawson","9-Midland","9"
"2021","Deaf Smith","1-Lubbock","6"
"2021","Delta","4-Tyler","1"
"2021","Denton","3-Arlington","81"
"2021","DeWitt","8-San Antonio","9"
"2021","Dimmit","8-San Antonio","9"
"2021","Donley","1-Lubbock","4"
"2021","Duval","11-Edinburg","19"
"2021","Eastland","2-Abilene","10"
"2021","Ector","9-Midland","135"
"2021","Ellis","3-Arlington","12"
"2021","El Paso","10-El Paso","456"
"2021","Erath","3-Arlington","14"
"2021","Falls","7-Austin","3"
"2021","Fannin","3-Arlington","9"
"2021","Fayette","7-Austin","13"
"2021","Fort Bend","6-Houston","87"
"2021","Franklin","4-Tyler","7"
"2021","Freestone","7-Austin","4"
"2021","Frio","8-San Antonio","27"
"2021","Gaines","9-Midland","7"
"2021","Galveston","6-Houston","172"
"2021","Garza","1-Lubbock","2"
"2021","Gillespie","8-San Antonio","26"
"2021","Goliad","8-San Antonio","17"
"2021","Gonzales","8-San Antonio","10"
"2021","Gray","1-Lubbock","21"
"2021","Grayson","3-Arlington","25"
"2021","Gregg","4-Tyler","89"
"2021","Grimes","7-Austin","17"
"2021","Guadalupe","8-San Antonio","38"
"2021","Hale","1-Lubbock","13"
"2021","Hall","1-Lubbock","3"
"2021","Hamilton","7-Austin","3"
"2021","Hansford","1-Lubbock","1"
"2021","Hardeman","2-Abilene","1"
"2021","Hardin","5-Beaumont","35"
"2021","Harris","6-Houston","853"
"2021","Harrison","4-Tyler","40"
"2021","Hartley","1-Lubbock","1"
"2021","Hays","7-Austin","38"
"2021","Henderson","4-Tyler","77"
"2021","Hidalgo","11-Edinburg","382"
"2021","Hill","7-Austin","17"
"2021","Hockley","1-Lubbock","3"
"2021","Hood","3-Arlington","21"
"2021","Hopkins","4-Tyler","29"
"2021","Houston","5-Beaumont","19"
"2021","Howard","9-Midland","45"
"2021","Hunt","3-Arlington","36"
"2021","Hutchinson","1-Lubbock","27"
"2021","Irion","9-Midland","2"
"2021","Jack","2-Abilene","1"
"2021","Jackson","8-San Antonio","10"
"2021","Jasper","5-Beaumont","23"
"2021","Jefferson","5-Beaumont","179"
"2021","Jim Hogg","11-Edinburg","12"
"2021","Jim Wells","11-Edinburg","50"
"2021","Johnson","3-Arlington","38"
"2021","Jones","2-Abilene","4"
"2021","Karnes","8-San Antonio","15"
"2021","Kaufman","3-Arlington","31"
"2021","Kendall","8-San Antonio","20"
"2021","Kerr","8-San Antonio","101"
"2021","Kimble","9-Midland","4"
"2021","Kinney","8-San Antonio","4"
"2021","Kleberg","11-Edinburg","38"
"2021","Knox","2-Abilene","1"
"2021","Lamar","4-Tyler","60"
"2021","Lamb","1-Lubbock","2"
"2021","Lampasas","7-Austin","23"
"2021","La Salle","8-San Antonio","10"
"2021","Lavaca","8-San Antonio","16"
"2021","Lee","7-Austin","12"
"2021","Leon","7-Austin","6"
"2021","Liberty","6-Houston","82"
"2021","Limestone","7-Austin","17"
"2021","Live Oak","11-Edinburg","11"
"2021","Llano","7-Austin","29"
"2021","Lubbock","1-Lubbock","77"
"2021","Lynn","1-Lubbock","1"
"2021","Madison","7-Austin","10"
"2021","Marion","4-Tyler","12"
"2021","Martin","9-Midland","4"
"2021","Mason","9-Midland","6"
"2021","Matagorda","6-Houston","32"
"2021","Maverick","8-San Antonio","26"
"2021","McCulloch","9-Midland","13"
"2021","McLennan","7-Austin","67"
"2021","Medina","8-San Antonio","74"
"2021","Menard","9-Midland","7"
"2021","Midland","9-Midland","81"
"2021","Milam","7-Austin","20"
"2021","Mills","7-Austin","5"
"2021","Montague","2-Abilene","7"
"2021","Montgomery","6-Houston","185"
"2021","Moore","1-Lubbock","10"
"2021","Morris","4-Tyler","19"
"2021","Motley","1-Lubbock","1"
"2021","Nacogdoches","5-Beaumont","60"
"2021","Navarro","3-Arlington","12"
"2021","Newton","5-Beaumont","12"
"2021","Nolan","2-Abilene","6"
"2021","Nueces","11-Edinburg","271"
"2021","Ochiltree","1-Lubbock","3"
"2021","Orange","5-Beaumont","44"
"2021","Palo Pinto","3-Arlington","12"
"2021","Panola","4-Tyler","18"
"2021","Parker","3-Arlington","20"
"2021","Parmer","1-Lubbock","2"
"2021","Pecos","9-Midland","20"
"2021","Polk","5-Beaumont","25"
"2021","Potter","1-Lubbock","72"
"2021","Presidio","10-El Paso","1"
"2021","Rains","4-Tyler","9"
"2021","Randall","1-Lubbock","41"
"2021","Reagan","9-Midland","1"
"2021","Real","8-San Antonio","8"
"2021","Red River","4-Tyler","13"
"2021","Reeves","9-Midland","12"
"2021","Refugio","11-Edinburg","8"
"2021","Robertson","7-Austin","14"
"2021","Rockwall","3-Arlington","35"
"2021","Runnels","2-Abilene","6"
"2021","Rusk","4-Tyler","34"
"2021","Sabine","5-Beaumont","9"
"2021","San Augustine","5-Beaumont","11"
"2021","San Jacinto","5-Beaumont","11"
"2021","San Patricio","11-Edinburg","40"
"2021","San Saba","7-Austin","10"
"2021","Schleicher","9-Midland","8"
"2021","Scurry","2-Abilene","3"
"2021","Shackelford","2-Abilene","1"
"2021","Shelby","5-Beaumont","19"
"2021","Sherman","1-Lubbock","2"
"2021","Smith","4-Tyler","141"
"2021","Somervell","3-Arlington","6"
"2021","Starr","11-Edinburg","46"
"2021","Stephens","2-Abilene","4"
"2021","Sutton","9-Midland","2"
"2021","Swisher","1-Lubbock","2"
"2021","Tarrant","3-Arlington","388"
"2021","Taylor","2-Abilene","50"
"2021","Throckmorton","2-Abilene","1"
"2021","Titus","4-Tyler","12"
"2021","Tom Green","9-Midland","243"
"2021","Travis","7-Austin","270"
"2021","Trinity","5-Beaumont","14"
"2021","Tyler","5-Beaumont","8"
"2021","Upshur","4-Tyler","28"
"2021","Upton","9-Midland","1"
"2021","Uvalde","8-San Antonio","35"
"2021","Val Verde","8-San Antonio","31"
"2021","Van Zandt","4-Tyler","65"
"2021","Victoria","8-San Antonio","42"
"2021","Walker","6-Houston","17"
"2021","Waller","6-Houston","18"
"2021","Ward","9-Midland","21"
"2021","Washington","7-Austin","14"
"2021","Webb","11-Edinburg","268"
"2021","Wharton","6-Houston","30"
"2021","Wheeler","1-Lubbock","1"
"2021","Wichita","2-Abilene","22"
"2021","Wilbarger","2-Abilene","4"
"2021","Willacy","11-Edinburg","23"
"2021","Williamson","7-Austin","71"
"2021","Wilson","8-San Antonio","42"
"2021","Winkler","9-Midland","7"
"2021","Wise","3-Arlington","23"
"2021","Wood","4-Tyler","35"
"2021","Yoakum","1-Lubbock","1"
"2021","Young","2-Abilene","8"
"2021","Zapata","11-Edinburg","24"
"2021","Zavala","8-San Antonio","22"
"2021","Unknown","Unknown","8"
"2020","Anderson","4-Tyler","44"
"2020","Andrews","9-Midland","23"
"2020","Angelina","5-Beaumont","84"
"2020","Aransas","11-Edinburg","18"
"2020","Archer","2-Abilene","3"
"2020","Atascosa","8-San Antonio","118"
"2020","Austin","6-Houston","3"
"2020","Bailey","1-Lubbock","3"
"2020","Bandera","8-San Antonio","18"
"2020","Bastrop","7-Austin","27"
"2020","Baylor","2-Abilene","5"
"2020","Bee","11-Edinburg","31"
"2020","Bell","7-Austin","207"
"2020","Bexar","8-San Antonio","1084"
"2020","Blanco","7-Austin","4"
"2020","Bosque","7-Austin","7"
"2020","Bowie","4-Tyler","92"
"2020","Brazoria","6-Houston","94"
"2020","Brazos","7-Austin","57"
"2020","Brewster","10-El Paso","3"
"2020","Brooks","11-Edinburg","16"
"2020","Brown","2-Abilene","56"
"2020","Burleson","7-Austin","15"
"2020","Burnet","7-Austin","64"
"2020","Caldwell","7-Austin","12"
"2020","Calhoun","8-San Antonio","11"
"2020","Callahan","2-Abilene","12"
"2020","Cameron","11-Edinburg","199"
"2020","Camp","4-Tyler","7"
"2020","Carson","1-Lubbock","3"
"2020","Cass","4-Tyler","28"
"2020","Chambers","6-Houston","12"
"2020","Cherokee","4-Tyler","52"
"2020","Childress","1-Lubbock","4"
