"fiscal_year","region","county","completed_investigations"
"2021","3-Arlington","Cooke","125"
"2021","3-Arlington","Dallas","5752"
"2021","3-Arlington","Denton","945"
"2021","3-Arlington","Ellis","329"
"2021","3-Arlington","Erath","90"
"2021","3-Arlington","Fannin","119"
"2021","3-Arlington","Grayson","512"
"2021","3-Arlington","Hood","184"
"2021","3-Arlington","Hunt","349"
"2021","3-Arlington","Johnson","402"
"2021","3-Arlington","Kaufman","269"
"2021","3-Arlington","Navarro","175"
"2021","3-Arlington","Palo Pinto","138"
"2021","3-Arlington","Parker","356"
"2021","3-Arlington","Rockwall","130"
"2021","3-Arlington","Somervell","22"
"2021","3-Arlington","Tarrant","4986"
"2021","3-Arlington","Wise","194"
"2021","4-Tyler","Anderson","215"
"2021","4-Tyler","Bowie","288"
"2021","4-Tyler","Camp","47"
"2021","4-Tyler","Cass","110"
"2021","4-Tyler","Cherokee","208"
"2021","4-Tyler","Delta","25"
"2021","4-Tyler","Franklin","24"
"2021","4-Tyler","Gregg","413"
"2021","4-Tyler","Harrison","220"
"2021","4-Tyler","Henderson","398"
"2021","4-Tyler","Hopkins","141"
"2021","4-Tyler","Lamar","259"
"2021","4-Tyler","Marion","75"
"2021","4-Tyler","Morris","67"
"2021","4-Tyler","Panola","66"
"2021","4-Tyler","Rains","51"
"2021","4-Tyler","Red River","50"
"2021","4-Tyler","Rusk","140"
"2021","4-Tyler","Smith","811"
"2021","4-Tyler","Titus","85"
"2021","4-Tyler","Upshur","145"
"2021","4-Tyler","Van Zandt","239"
"2021","4-Tyler","Wood","224"
"2021","5-Beaumont","Angelina","307"
"2021","5-Beaumont","Hardin","204"
"2021","5-Beaumont","Houston","94"
"2021","5-Beaumont","Jasper","152"
"2021","5-Beaumont","Jefferson","1066"
"2021","5-Beaumont","Nacogdoches","199"
"2021","5-Beaumont","Newton","56"
"2021","5-Beaumont","Orange","384"
"2021","5-Beaumont","Polk","253"
"2021","5-Beaumont","Sabine","53"
"2021","5-Beaumont","San Augustine","51"
"2021","5-Beaumont","San Jacinto","139"
"2021","5-Beaumont","Shelby","94"
"2021","5-Beaumont","Trinity","51"
"2021","5-Beaumont","Tyler","92"
"2021","6-Houston","Austin","90"
"2021","6-Houston","Brazoria","705"
"2021","6-Houston","Chambers","102"
"2021","6-Houston","Colorado","78"
"2021","6-Houston","Fort Bend","1145"
"2021","6-Houston","Galveston","1091"
"2021","6-Houston","Harris","11700"
"2021","6-Houston","Liberty","354"
"2021","6-Houston","Matagorda","116"
"2021","6-Houston","Montgomery","1323"
"2021","6-Houston","Walker","144"
"2021","6-Houston","Waller","94"
"2021","6-Houston","Wharton","111"
"2021","7-Austin","Bastrop","287"
"2021","7-Austin","Bell","1035"
"2021","7-Austin","Blanco","38"
"2021","7-Austin","Bosque","68"
"2021","7-Austin","Brazos","382"
"2021","7-Austin","Burleson","79"
"2021","7-Austin","Burnet","154"
"2021","7-Austin","Caldwell","166"
"2021","7-Austin","Coryell","230"
"2021","7-Austin","Falls","66"
"2021","7-Austin","Fayette","79"
"2021","7-Austin","Freestone","61"
"2021","7-Austin","Grimes","109"
"2021","7-Austin","Hamilton","35"
"2021","7-Austin","Hays","414"
"2021","7-Austin","Hill","142"
"2021","7-Austin","Lampasas","107"
"2021","7-Austin","Lee","51"
"2021","7-Austin","Leon","50"
"2021","7-Austin","Limestone","87"
"2021","7-Austin","Llano","112"
"2021","7-Austin","Madison","38"
"2021","7-Austin","McLennan","933"
"2021","7-Austin","Milam","118"
"2021","7-Austin","Mills","17"
"2021","7-Austin","Robertson","51"
"2021","7-Austin","San Saba","15"
"2021","7-Austin","Travis","2610"
"2021","7-Austin","Washington","104"
"2021","7-Austin","Williamson","830"
"2021","8-San Antonio","Atascosa","190"
"2021","8-San Antonio","Bandera","113"
"2021","8-San Antonio","Bexar","6834"
"2021","8-San Antonio","Calhoun","77"
"2021","8-San Antonio","Comal","377"
"2021","8-San Antonio","DeWitt","74"
"2021","8-San Antonio","Dimmit","35"
"2021","8-San Antonio","Edwards","1"
"2021","8-San Antonio","Frio","49"
"2021","8-San Antonio","Gillespie","93"
"2021","8-San Antonio","Goliad","32"
"2021","8-San Antonio","Gonzales","58"
"2021","8-San Antonio","Guadalupe","365"
"2021","8-San Antonio","Jackson","43"
"2021","8-San Antonio","Karnes","48"
"2021","8-San Antonio","Kendall","82"
"2021","8-San Antonio","Kerr","320"
"2021","8-San Antonio","Kinney","20"
"2021","8-San Antonio","La Salle","22"
"2021","8-San Antonio","Lavaca","57"
"2021","8-San Antonio","Maverick","96"
"2021","8-San Antonio","Medina","137"
"2021","8-San Antonio","Real","14"
"2021","8-San Antonio","Uvalde","75"
"2021","8-San Antonio","Val Verde","112"
"2021","8-San Antonio","Victoria","350"
"2021","8-San Antonio","Wilson","136"
"2021","8-San Antonio","Zavala","37"
"2021","9-Midland","Andrews","34"
"2021","9-Midland","Coke","29"
"2021","9-Midland","Concho","23"
"2021","9-Midland","Crane","10"
"2021","9-Midland","Crockett","19"
"2021","9-Midland","Dawson","68"
"2021","9-Midland","Ector","567"
"2021","9-Midland","Gaines","36"
"2021","9-Midland","Glasscock","4"
"2021","9-Midland","Howard","191"
"2021","9-Midland","Irion","4"
"2021","9-Midland","Kimble","23"
"2021","9-Midland","Martin","11"
"2021","9-Midland","Mason","23"
"2021","9-Midland","McCulloch","55"
"2021","9-Midland","Menard","11"
"2021","9-Midland","Midland","328"
"2021","9-Midland","Pecos","95"
"2021","9-Midland","Reagan","11"
"2021","9-Midland","Reeves","49"
"2021","9-Midland","Schleicher","14"
"2021","9-Midland","Sterling","5"
"2021","9-Midland","Sutton","11"
"2021","9-Midland","Terrell","6"
"2021","9-Midland","Tom Green","1039"
"2021","9-Midland","Upton","8"
"2021","9-Midland","Ward","35"
"2021","9-Midland","Winkler","20"
"2021","10-El Paso","Brewster","93"
"2021","10-El Paso","Culberson","6"
"2021","10-El Paso","El Paso","3388"
"2021","10-El Paso","Hudspeth","18"
"2021","10-El Paso","Jeff Davis","3"
"2021","10-El Paso","Presidio","31"
"2021","11-Edinburg","Aransas","145"
"2021","11-Edinburg","Bee","126"
"2021","11-Edinburg","Brooks","31"
"2021","11-Edinburg","Cameron","1402"
"2021","11-Edinburg","Duval","52"
"2021","11-Edinburg","Hidalgo","2305"
"2021","11-Edinburg","Jim Hogg","24"
"2021","11-Edinburg","Jim Wells","194"
"2021","11-Edinburg","Kenedy","1"
"2021","11-Edinburg","Kleberg","106"
"2021","11-Edinburg","Live Oak","31"
"2021","11-Edinburg","McMullen","1"
"2021","11-Edinburg","Nueces","1743"
"2021","11-Edinburg","Refugio","22"
"2021","11-Edinburg","San Patricio","306"
"2021","11-Edinburg","Starr","154"
"2021","11-Edinburg","Webb","566"
"2021","11-Edinburg","Willacy","93"
"2021","11-Edinburg","Zapata","37"
"2021","Out of State","Out of State","33"
"2020","1-Lubbock","Armstrong","1"
"2020","1-Lubbock","Bailey","26"
"2020","1-Lubbock","Briscoe","2"
"2020","1-Lubbock","Carson","18"
"2020","1-Lubbock","Castro","18"
"2020","1-Lubbock","Childress","27"
"2020","1-Lubbock","Cochran","36"
"2020","1-Lubbock","Collingsworth","19"
"2020","1-Lubbock","Crosby","58"
"2020","1-Lubbock","Dallam","13"
"2020","1-Lubbock","Deaf Smith","52"
"2020","1-Lubbock","Dickens","11"
"2020","1-Lubbock","Donley","25"
"2020","1-Lubbock","Floyd","43"
"2020","1-Lubbock","Garza","43"
"2020","1-Lubbock","Gray","127"
"2020","1-Lubbock","Hale","152"
"2020","1-Lubbock","Hall","15"
"2020","1-Lubbock","Hansford","18"
"2020","1-Lubbock","Hartley","7"
"2020","1-Lubbock","Hemphill","7"
"2020","1-Lubbock","Hockley","163"
"2020","1-Lubbock","Hutchinson","125"
"2020","1-Lubbock","Lamb","125"
"2020","1-Lubbock","Lipscomb","5"
"2020","1-Lubbock","Lubbock","1988"
"2020","1-Lubbock","Lynn","34"
"2020","1-Lubbock","Moore","49"
"2020","1-Lubbock","Motley","3"
"2020","1-Lubbock","Ochiltree","31"
"2020","1-Lubbock","Oldham","5"
"2020","1-Lubbock","Parmer","17"
"2020","1-Lubbock","Potter","793"
"2020","1-Lubbock","Randall","417"
"2020","1-Lubbock","Roberts","2"
"2020","1-Lubbock","Sherman","3"
"2020","1-Lubbock","Swisher","37"
"2020","1-Lubbock","Terry","149"
"2020","1-Lubbock","Wheeler","15"
"2020","1-Lubbock","Yoakum","17"
"2020","2-Abilene","Archer","76"
"2020","2-Abilene","Baylor","31"
"2020","2-Abilene","Brown","264"
"2020","2-Abilene","Callahan","113"
"2020","2-Abilene","Clay","76"
"2020","2-Abilene","Coleman","75"
"2020","2-Abilene","Comanche","78"
"2020","2-Abilene","Cottle","12"
"2020","2-Abilene","Eastland","166"
"2020","2-Abilene","Fisher","30"
"2020","2-Abilene","Foard","7"
"2020","2-Abilene","Hardeman","49"
"2020","2-Abilene","Haskell","50"
"2020","2-Abilene","Jack","31"
"2020","2-Abilene","Jones","108"
"2020","2-Abilene","Kent","4"
"2020","2-Abilene","Knox","28"
"2020","2-Abilene","Mitchell","42"
"2020","2-Abilene","Montague","153"
"2020","2-Abilene","Nolan","102"
"2020","2-Abilene","Runnels","81"
"2020","2-Abilene","Scurry","70"
"2020","2-Abilene","Shackelford","11"
"2020","2-Abilene","Stephens","40"
"2020","2-Abilene","Stonewall","14"
"2020","2-Abilene","Taylor","1307"
"2020","2-Abilene","Throckmorton","11"
"2020","2-Abilene","Wichita","1446"
"2020","2-Abilene","Wilbarger","173"
"2020","2-Abilene","Young","124"
"2020","3-Arlington","Collin","1070"
"2020","3-Arlington","Cooke","115"
"2020","3-Arlington","Dallas","5884"
"2020","3-Arlington","Denton","972"
"2020","3-Arlington","Ellis","346"
"2020","3-Arlington","Erath","83"
"2020","3-Arlington","Fannin","135"
"2020","3-Arlington","Grayson","511"
"2020","3-Arlington","Hood","189"
"2020","3-Arlington","Hunt","375"
"2020","3-Arlington","Johnson","510"
"2020","3-Arlington","Kaufman","268"
"2020","3-Arlington","Navarro","181"
"2020","3-Arlington","Palo Pinto","120"
"2020","3-Arlington","Parker","346"
"2020","3-Arlington","Rockwall","115"
"2020","3-Arlington","Somervell","19"
"2020","3-Arlington","Tarrant","5118"
"2020","3-Arlington","Wise","144"
"2020","4-Tyler","Anderson","180"
"2020","4-Tyler","Bowie","337"
"2020","4-Tyler","Camp","35"
"2020","4-Tyler","Cass","122"
"2020","4-Tyler","Cherokee","242"
"2020","4-Tyler","Delta","24"
"2020","4-Tyler","Franklin","26"
"2020","4-Tyler","Gregg","432"
"2020","4-Tyler","Harrison","217"
"2020","4-Tyler","Henderson","442"
"2020","4-Tyler","Hopkins","194"
"2020","4-Tyler","Lamar","246"
"2020","4-Tyler","Marion","62"
"2020","4-Tyler","Morris","100"
"2020","4-Tyler","Panola","72"
"2020","4-Tyler","Rains","45"
"2020","4-Tyler","Red River","67"
"2020","4-Tyler","Rusk","161"
"2020","4-Tyler","Smith","809"
"2020","4-Tyler","Titus","109"
"2020","4-Tyler","Upshur","149"
"2020","4-Tyler","Van Zandt","249"
"2020","4-Tyler","Wood","241"
"2020","5-Beaumont","Angelina","386"
"2020","5-Beaumont","Hardin","147"
"2020","5-Beaumont","Houston","95"
"2020","5-Beaumont","Jasper","161"
"2020","5-Beaumont","Jefferson","1073"
"2020","5-Beaumont","Nacogdoches","250"
"2020","5-Beaumont","Newton","59"
"2020","5-Beaumont","Orange","348"
"2020","5-Beaumont","Polk","312"
"2020","5-Beaumont","Sabine","50"
"2020","5-Beaumont","San Augustine","63"
"2020","5-Beaumont","San Jacinto","159"
"2020","5-Beaumont","Shelby","100"
"2020","5-Beaumont","Trinity","84"
"2020","5-Beaumont","Tyler","92"
"2020","6-Houston","Austin","76"
"2020","6-Houston","Brazoria","746"
"2020","6-Houston","Chambers","103"
"2020","6-Houston","Colorado","62"
"2020","6-Houston","Fort Bend","1257"
"2020","6-Houston","Galveston","1168"
"2020","6-Houston","Harris","12822"
"2020","6-Houston","Liberty","310"
"2020","6-Houston","Matagorda","126"
"2020","6-Houston","Montgomery","1336"
"2020","6-Houston","Walker","154"
"2020","6-Houston","Waller","116"
"2020","6-Houston","Wharton","143"
"2020","7-Austin","Bastrop","277"
"2020","7-Austin","Bell","1001"
"2020","7-Austin","Blanco","29"
"2020","7-Austin","Bosque","71"
"2020","7-Austin","Brazos","386"
"2020","7-Austin","Burleson","88"
"2020","7-Austin","Burnet","182"
"2020","7-Austin","Caldwell","169"
"2020","7-Austin","Coryell","233"
"2020","7-Austin","Falls","118"
"2020","7-Austin","Fayette","68"
"2020","7-Austin","Freestone","96"
"2020","7-Austin","Grimes","109"
"2020","7-Austin","Hamilton","34"
"2020","7-Austin","Hays","329"
"2020","7-Austin","Hill","148"
"2020","7-Austin","Lampasas","99"
"2020","7-Austin","Lee","54"
"2020","7-Austin","Leon","63"
"2020","7-Austin","Limestone","103"
"2020","7-Austin","Llano","116"
"2020","7-Austin","Madison","48"
"2020","7-Austin","McLennan","1040"
"2020","7-Austin","Milam","112"
"2020","7-Austin","Mills","21"
"2020","7-Austin","Robertson","75"
"2020","7-Austin","San Saba","31"
"2020","7-Austin","Travis","3054"
"2020","7-Austin","Washington","98"
"2020","7-Austin","Williamson","1038"
"2020","8-San Antonio","Atascosa","194"
"2020","8-San Antonio","Bandera","104"
"2020","8-San Antonio","Bexar","7175"
"2020","8-San Antonio","Calhoun","58"
"2020","8-San Antonio","Comal","431"
"2020","8-San Antonio","DeWitt","90"
"2020","8-San Antonio","Dimmit","34"
"2020","8-San Antonio","Edwards","10"
"2020","8-San Antonio","Frio","41"
"2020","8-San Antonio","Gillespie","86"
"2020","8-San Antonio","Goliad","27"
"2020","8-San Antonio","Gonzales","40"
"2020","8-San Antonio","Guadalupe","382"
"2020","8-San Antonio","Jackson","47"
"2020","8-San Antonio","Karnes","60"
"2020","8-San Antonio","Kendall","106"
"2020","8-San Antonio","Kerr","313"
"2020","8-San Antonio","Kinney","15"
"2020","8-San Antonio","La Salle","25"
"2020","8-San Antonio","Lavaca","55"
"2020","8-San Antonio","Maverick","118"
"2020","8-San Antonio","Medina","173"
"2020","8-San Antonio","Real","21"
"2020","8-San Antonio","Uvalde","116"
"2020","8-San Antonio","Val Verde","142"
"2020","8-San Antonio","Victoria","300"
"2020","8-San Antonio","Wilson","165"
"2020","8-San Antonio","Zavala","36"
"2020","9-Midland","Andrews","35"
"2020","9-Midland","Borden","1"
"2020","9-Midland","Coke","35"
"2020","9-Midland","Concho","15"
"2020","9-Midland","Crane","10"
"2020","9-Midland","Crockett","14"
"2020","9-Midland","Dawson","89"
"2020","9-Midland","Ector","473"
"2020","9-Midland","Gaines","38"
"2020","9-Midland","Glasscock","3"
"2020","9-Midland","Howard","204"
"2020","9-Midland","Irion","7"
"2020","9-Midland","Kimble","25"
"2020","9-Midland","Martin","12"
"2020","9-Midland","Mason","14"
"2020","9-Midland","McCulloch","96"
"2020","9-Midland","Menard","17"
"2020","9-Midland","Midland","299"
"2020","9-Midland","Pecos","62"
