"fiscal_year","county","region","confirmed_perpetrators","perpetrators"
"2021","Armstrong","1-Lubbock","Unconfirmed","18"
"2021","Armstrong","1-Lubbock","Confirmed","4"
"2021","Bailey","1-Lubbock","Unconfirmed","40"
"2021","Bailey","1-Lubbock","Confirmed","14"
"2021","Briscoe","1-Lubbock","Unconfirmed","8"
"2021","Briscoe","1-Lubbock","Confirmed","1"
"2021","Carson","1-Lubbock","Unconfirmed","31"
"2021","Carson","1-Lubbock","Confirmed","13"
"2021","Castro","1-Lubbock","Unconfirmed","38"
"2021","Castro","1-Lubbock","Confirmed","12"
"2021","Childress","1-Lubbock","Unconfirmed","54"
"2021","Childress","1-Lubbock","Confirmed","24"
"2021","Cochran","1-Lubbock","Unconfirmed","31"
"2021","Cochran","1-Lubbock","Confirmed","11"
"2021","Collingsworth","1-Lubbock","Unconfirmed","18"
"2021","Collingsworth","1-Lubbock","Confirmed","5"
"2021","Crosby","1-Lubbock","Unconfirmed","49"
"2021","Crosby","1-Lubbock","Confirmed","8"
"2021","Dallam","1-Lubbock","Unconfirmed","57"
"2021","Dallam","1-Lubbock","Confirmed","39"
"2021","Deaf Smith","1-Lubbock","Unconfirmed","128"
"2021","Deaf Smith","1-Lubbock","Confirmed","53"
"2021","Dickens","1-Lubbock","Unconfirmed","12"
"2021","Dickens","1-Lubbock","Confirmed","6"
"2021","Donley","1-Lubbock","Unconfirmed","15"
"2021","Donley","1-Lubbock","Confirmed","9"
"2021","Floyd","1-Lubbock","Unconfirmed","31"
"2021","Floyd","1-Lubbock","Confirmed","21"
"2021","Garza","1-Lubbock","Unconfirmed","37"
"2021","Garza","1-Lubbock","Confirmed","11"
"2021","Gray","1-Lubbock","Unconfirmed","220"
"2021","Gray","1-Lubbock","Confirmed","81"
"2021","Hale","1-Lubbock","Unconfirmed","222"
"2021","Hale","1-Lubbock","Confirmed","133"
"2021","Hall","1-Lubbock","Unconfirmed","40"
"2021","Hall","1-Lubbock","Confirmed","5"
"2021","Hansford","1-Lubbock","Unconfirmed","14"
"2021","Hansford","1-Lubbock","Confirmed","6"
"2021","Hartley","1-Lubbock","Unconfirmed","19"
"2021","Hartley","1-Lubbock","Confirmed","14"
"2021","Hemphill","1-Lubbock","Unconfirmed","9"
"2021","Hemphill","1-Lubbock","Confirmed","4"
"2021","Hockley","1-Lubbock","Unconfirmed","173"
"2021","Hockley","1-Lubbock","Confirmed","82"
"2021","Hutchinson","1-Lubbock","Unconfirmed","217"
"2021","Hutchinson","1-Lubbock","Confirmed","74"
"2021","Lamb","1-Lubbock","Unconfirmed","88"
"2021","Lamb","1-Lubbock","Confirmed","21"
"2021","Lipscomb","1-Lubbock","Unconfirmed","11"
"2021","Lipscomb","1-Lubbock","Confirmed","6"
"2021","Lubbock","1-Lubbock","Unconfirmed","2405"
"2021","Lubbock","1-Lubbock","Confirmed","775"
"2021","Lynn","1-Lubbock","Unconfirmed","47"
"2021","Lynn","1-Lubbock","Confirmed","13"
"2021","Moore","1-Lubbock","Unconfirmed","173"
"2021","Moore","1-Lubbock","Confirmed","41"
"2021","Motley","1-Lubbock","Unconfirmed","6"
"2021","Ochiltree","1-Lubbock","Unconfirmed","70"
"2021","Ochiltree","1-Lubbock","Confirmed","23"
"2021","Oldham","1-Lubbock","Unconfirmed","9"
"2021","Oldham","1-Lubbock","Confirmed","2"
"2021","Parmer","1-Lubbock","Unconfirmed","33"
"2021","Parmer","1-Lubbock","Confirmed","14"
"2021","Potter","1-Lubbock","Unconfirmed","1480"
"2021","Potter","1-Lubbock","Confirmed","419"
"2021","Randall","1-Lubbock","Unconfirmed","944"
"2021","Randall","1-Lubbock","Confirmed","246"
"2021","Roberts","1-Lubbock","Unconfirmed","4"
"2021","Roberts","1-Lubbock","Confirmed","1"
"2021","Sherman","1-Lubbock","Unconfirmed","16"
"2021","Sherman","1-Lubbock","Confirmed","5"
"2021","Swisher","1-Lubbock","Unconfirmed","103"
"2021","Swisher","1-Lubbock","Confirmed","28"
"2021","Terry","1-Lubbock","Unconfirmed","124"
"2021","Terry","1-Lubbock","Confirmed","23"
"2021","Wheeler","1-Lubbock","Unconfirmed","24"
"2021","Wheeler","1-Lubbock","Confirmed","6"
"2021","Yoakum","1-Lubbock","Unconfirmed","25"
"2021","Yoakum","1-Lubbock","Confirmed","8"
"2021","Archer","2-Abilene","Unconfirmed","49"
"2021","Archer","2-Abilene","Confirmed","14"
"2021","Baylor","2-Abilene","Unconfirmed","40"
"2021","Baylor","2-Abilene","Confirmed","25"
"2021","Brown","2-Abilene","Unconfirmed","314"
"2021","Brown","2-Abilene","Confirmed","178"
"2021","Callahan","2-Abilene","Unconfirmed","115"
"2021","Callahan","2-Abilene","Confirmed","35"
"2021","Clay","2-Abilene","Unconfirmed","67"
"2021","Clay","2-Abilene","Confirmed","26"
"2021","Coleman","2-Abilene","Unconfirmed","67"
"2021","Coleman","2-Abilene","Confirmed","35"
"2021","Comanche","2-Abilene","Unconfirmed","106"
"2021","Comanche","2-Abilene","Confirmed","41"
"2021","Cottle","2-Abilene","Unconfirmed","10"
"2021","Cottle","2-Abilene","Confirmed","4"
"2021","Eastland","2-Abilene","Unconfirmed","156"
"2021","Eastland","2-Abilene","Confirmed","84"
"2021","Fisher","2-Abilene","Unconfirmed","26"
"2021","Fisher","2-Abilene","Confirmed","21"
"2021","Foard","2-Abilene","Unconfirmed","5"
"2021","Foard","2-Abilene","Confirmed","4"
"2021","Hardeman","2-Abilene","Unconfirmed","37"
"2021","Hardeman","2-Abilene","Confirmed","9"
"2021","Haskell","2-Abilene","Unconfirmed","31"
"2021","Haskell","2-Abilene","Confirmed","22"
"2021","Jack","2-Abilene","Unconfirmed","68"
"2021","Jack","2-Abilene","Confirmed","28"
"2021","Jones","2-Abilene","Unconfirmed","130"
"2021","Jones","2-Abilene","Confirmed","47"
"2021","Kent","2-Abilene","Unconfirmed","2"
"2021","Knox","2-Abilene","Unconfirmed","27"
"2021","Knox","2-Abilene","Confirmed","7"
"2021","Mitchell","2-Abilene","Unconfirmed","70"
"2021","Mitchell","2-Abilene","Confirmed","33"
"2021","Montague","2-Abilene","Unconfirmed","154"
"2021","Montague","2-Abilene","Confirmed","82"
"2021","Nolan","2-Abilene","Unconfirmed","201"
"2021","Nolan","2-Abilene","Confirmed","75"
"2021","Runnels","2-Abilene","Unconfirmed","73"
"2021","Runnels","2-Abilene","Confirmed","33"
"2021","Scurry","2-Abilene","Unconfirmed","161"
"2021","Scurry","2-Abilene","Confirmed","61"
"2021","Shackelford","2-Abilene","Unconfirmed","21"
"2021","Shackelford","2-Abilene","Confirmed","15"
"2021","Stephens","2-Abilene","Unconfirmed","85"
"2021","Stephens","2-Abilene","Confirmed","33"
"2021","Stonewall","2-Abilene","Unconfirmed","6"
"2021","Stonewall","2-Abilene","Confirmed","2"
"2021","Taylor","2-Abilene","Unconfirmed","1470"
"2021","Taylor","2-Abilene","Confirmed","779"
"2021","Throckmorton","2-Abilene","Unconfirmed","7"
"2021","Throckmorton","2-Abilene","Confirmed","3"
"2021","Wichita","2-Abilene","Unconfirmed","1236"
"2021","Wichita","2-Abilene","Confirmed","486"
"2021","Wilbarger","2-Abilene","Unconfirmed","132"
"2021","Wilbarger","2-Abilene","Confirmed","36"
"2021","Young","2-Abilene","Unconfirmed","162"
"2021","Young","2-Abilene","Confirmed","55"
"2021","Collin","3-Arlington","Unconfirmed","3277"
"2021","Collin","3-Arlington","Confirmed","1020"
"2021","Cooke","3-Arlington","Unconfirmed","308"
"2021","Cooke","3-Arlington","Confirmed","121"
"2021","Dallas","3-Arlington","Unconfirmed","11505"
"2021","Dallas","3-Arlington","Confirmed","5125"
"2021","Denton","3-Arlington","Unconfirmed","3418"
"2021","Denton","3-Arlington","Confirmed","1200"
"2021","Ellis","3-Arlington","Unconfirmed","1000"
"2021","Ellis","3-Arlington","Confirmed","236"
"2021","Erath","3-Arlington","Unconfirmed","254"
"2021","Erath","3-Arlington","Confirmed","105"
"2021","Fannin","3-Arlington","Unconfirmed","281"
"2021","Fannin","3-Arlington","Confirmed","76"
"2021","Grayson","3-Arlington","Unconfirmed","1033"
"2021","Grayson","3-Arlington","Confirmed","317"
"2021","Hood","3-Arlington","Unconfirmed","455"
"2021","Hood","3-Arlington","Confirmed","207"
"2021","Hunt","3-Arlington","Unconfirmed","753"
"2021","Hunt","3-Arlington","Confirmed","277"
"2021","Johnson","3-Arlington","Unconfirmed","1198"
"2021","Johnson","3-Arlington","Confirmed","434"
"2021","Kaufman","3-Arlington","Unconfirmed","969"
"2021","Kaufman","3-Arlington","Confirmed","319"
"2021","Navarro","3-Arlington","Unconfirmed","386"
"2021","Navarro","3-Arlington","Confirmed","121"
"2021","Palo Pinto","3-Arlington","Unconfirmed","267"
"2021","Palo Pinto","3-Arlington","Confirmed","134"
"2021","Parker","3-Arlington","Unconfirmed","908"
"2021","Parker","3-Arlington","Confirmed","360"
"2021","Rockwall","3-Arlington","Unconfirmed","363"
"2021","Rockwall","3-Arlington","Confirmed","191"
"2021","Somervell","3-Arlington","Unconfirmed","84"
"2021","Somervell","3-Arlington","Confirmed","28"
"2021","Tarrant","3-Arlington","Unconfirmed","10466"
"2021","Tarrant","3-Arlington","Confirmed","5061"
"2021","Wise","3-Arlington","Unconfirmed","453"
"2021","Wise","3-Arlington","Confirmed","173"
"2021","Anderson","4-Tyler","Unconfirmed","354"
"2021","Anderson","4-Tyler","Confirmed","136"
"2021","Bowie","4-Tyler","Unconfirmed","593"
"2021","Bowie","4-Tyler","Confirmed","166"
"2021","Camp","4-Tyler","Unconfirmed","92"
"2021","Camp","4-Tyler","Confirmed","44"
"2021","Cass","4-Tyler","Unconfirmed","267"
"2021","Cass","4-Tyler","Confirmed","79"
"2021","Cherokee","4-Tyler","Unconfirmed","482"
"2021","Cherokee","4-Tyler","Confirmed","172"
"2021","Delta","4-Tyler","Unconfirmed","29"
"2021","Delta","4-Tyler","Confirmed","3"
"2021","Franklin","4-Tyler","Unconfirmed","80"
"2021","Franklin","4-Tyler","Confirmed","27"
"2021","Gregg","4-Tyler","Unconfirmed","895"
"2021","Gregg","4-Tyler","Confirmed","397"
"2021","Harrison","4-Tyler","Unconfirmed","402"
"2021","Harrison","4-Tyler","Confirmed","123"
"2021","Henderson","4-Tyler","Unconfirmed","780"
"2021","Henderson","4-Tyler","Confirmed","202"
"2021","Hopkins","4-Tyler","Unconfirmed","296"
"2021","Hopkins","4-Tyler","Confirmed","97"
"2021","Lamar","4-Tyler","Unconfirmed","359"
"2021","Lamar","4-Tyler","Confirmed","118"
"2021","Marion","4-Tyler","Unconfirmed","104"
"2021","Marion","4-Tyler","Confirmed","31"
"2021","Morris","4-Tyler","Unconfirmed","101"
"2021","Morris","4-Tyler","Confirmed","49"
"2021","Panola","4-Tyler","Unconfirmed","198"
"2021","Panola","4-Tyler","Confirmed","49"
"2021","Rains","4-Tyler","Unconfirmed","104"
"2021","Rains","4-Tyler","Confirmed","32"
"2021","Red River","4-Tyler","Unconfirmed","83"
"2021","Red River","4-Tyler","Confirmed","29"
"2021","Rusk","4-Tyler","Unconfirmed","344"
"2021","Rusk","4-Tyler","Confirmed","130"
"2021","Smith","4-Tyler","Unconfirmed","1307"
"2021","Smith","4-Tyler","Confirmed","605"
"2021","Titus","4-Tyler","Unconfirmed","239"
"2021","Titus","4-Tyler","Confirmed","55"
"2021","Upshur","4-Tyler","Unconfirmed","283"
"2021","Upshur","4-Tyler","Confirmed","104"
"2021","Van Zandt","4-Tyler","Unconfirmed","414"
"2021","Van Zandt","4-Tyler","Confirmed","132"
"2021","Wood","4-Tyler","Unconfirmed","294"
"2021","Wood","4-Tyler","Confirmed","94"
"2021","Angelina","5-Beaumont","Unconfirmed","675"
"2021","Angelina","5-Beaumont","Confirmed","208"
"2021","Hardin","5-Beaumont","Unconfirmed","377"
"2021","Hardin","5-Beaumont","Confirmed","99"
"2021","Houston","5-Beaumont","Unconfirmed","175"
"2021","Houston","5-Beaumont","Confirmed","49"
"2021","Jasper","5-Beaumont","Unconfirmed","256"
"2021","Jasper","5-Beaumont","Confirmed","48"
"2021","Jefferson","5-Beaumont","Unconfirmed","1574"
"2021","Jefferson","5-Beaumont","Confirmed","621"
"2021","Nacogdoches","5-Beaumont","Unconfirmed","390"
"2021","Nacogdoches","5-Beaumont","Confirmed","125"
"2021","Newton","5-Beaumont","Unconfirmed","85"
"2021","Newton","5-Beaumont","Confirmed","25"
"2021","Orange","5-Beaumont","Unconfirmed","726"
"2021","Orange","5-Beaumont","Confirmed","239"
"2021","Polk","5-Beaumont","Unconfirmed","441"
"2021","Polk","5-Beaumont","Confirmed","113"
"2021","Sabine","5-Beaumont","Unconfirmed","77"
"2021","Sabine","5-Beaumont","Confirmed","22"
"2021","San Augustine","5-Beaumont","Unconfirmed","49"
"2021","San Augustine","5-Beaumont","Confirmed","16"
