"fiscal_year","county","region","children_in_dfps_cvs_solely"
"2021","Bandera","8-San Antonio","1"
"2021","Bexar","8-San Antonio","9"
"2021","Bowie","4-Tyler","1"
"2021","Callahan","2-Abilene","1"
"2021","Cass","4-Tyler","1"
"2021","Cherokee","4-Tyler","1"
"2021","Coke","9-Midland","1"
"2021","Collin","3-Arlington","1"
"2021","Coryell","7-Austin","1"
"2021","Denton","3-Arlington","1"
"2021","Falls","7-Austin","1"
"2021","Freestone","7-Austin","1"
"2021","Galveston","6-Houston","2"
"2021","Gray","1-Lubbock","1"
"2021","Grayson","3-Arlington","1"
"2021","Grimes","7-Austin","3"
"2021","Guadalupe","8-San Antonio","1"
"2021","Hardin","5-Beaumont","1"
"2021","Harris","6-Houston","3"
"2021","Hopkins","4-Tyler","1"
"2021","Kendall","8-San Antonio","1"
"2021","McLennan","7-Austin","2"
"2021","Montague","2-Abilene","1"
"2021","Montgomery","6-Houston","1"
"2021","Nacogdoches","5-Beaumont","1"
"2021","Navarro","3-Arlington","1"
"2021","Nolan","2-Abilene","1"
"2021","Nueces","11-Edinburg","1"
"2021","Robertson","7-Austin","1"
"2021","Tarrant","3-Arlington","7"
"2021","Taylor","2-Abilene","1"
"2021","Wichita","2-Abilene","1"
"2021","Williamson","7-Austin","1"
"2021","Wise","3-Arlington","1"
"2020","Bastrop","7-Austin","1"
"2020","Bexar","8-San Antonio","10"
"2020","Burnet","7-Austin","1"
"2020","Cherokee","4-Tyler","1"
"2020","Collin","3-Arlington","1"
"2020","Coryell","7-Austin","3"
"2020","Crosby","1-Lubbock","1"
"2020","DeWitt","8-San Antonio","1"
"2020","Hardin","5-Beaumont","1"
"2020","Harris","6-Houston","6"
"2020","Hill","7-Austin","1"
"2020","Hopkins","4-Tyler","1"
"2020","Hunt","3-Arlington","2"
"2020","Jefferson","5-Beaumont","1"
"2020","Johnson","3-Arlington","1"
"2020","Llano","7-Austin","1"
"2020","Lubbock","1-Lubbock","1"
"2020","McLennan","7-Austin","3"
"2020","Montgomery","6-Houston","1"
"2020","Nacogdoches","5-Beaumont","1"
"2020","Navarro","3-Arlington","1"
"2020","Nolan","2-Abilene","2"
"2020","Nueces","11-Edinburg","1"
"2020","Robertson","7-Austin","1"
"2020","Tarrant","3-Arlington","9"
"2020","Taylor","2-Abilene","2"
"2020","Val Verde","8-San Antonio","1"
"2020","Van Zandt","4-Tyler","1"
"2020","Williamson","7-Austin","1"
"2020","Wise","3-Arlington","1"
"2020","Yoakum","1-Lubbock","1"
"2019","Bell","7-Austin","4"
"2019","Bexar","8-San Antonio","15"
"2019","Cherokee","4-Tyler","2"
"2019","Childress","1-Lubbock","1"
"2019","Coryell","7-Austin","1"
"2019","Dallas","3-Arlington","2"
"2019","El Paso","10-El Paso","2"
"2019","Erath","3-Arlington","1"
"2019","Fannin","3-Arlington","1"
"2019","Galveston","6-Houston","1"
"2019","Harris","6-Houston","1"
"2019","Harrison","4-Tyler","1"
"2019","Hays","7-Austin","1"
"2019","Hill","7-Austin","1"
"2019","Hopkins","4-Tyler","1"
"2019","Hunt","3-Arlington","1"
"2019","Johnson","3-Arlington","1"
"2019","Jones","2-Abilene","1"
"2019","Kendall","8-San Antonio","1"
"2019","Lee","7-Austin","1"
"2019","Liberty","6-Houston","1"
"2019","Matagorda","6-Houston","1"
"2019","McCulloch","9-Midland","1"
"2019","McLennan","7-Austin","7"
"2019","Midland","9-Midland","1"
"2019","Montgomery","6-Houston","1"
"2019","Nacogdoches","5-Beaumont","1"
"2019","Navarro","3-Arlington","1"
"2019","Nueces","11-Edinburg","1"
"2019","Potter","1-Lubbock","1"
"2019","Rockwall","3-Arlington","1"
"2019","Rusk","4-Tyler","1"
"2019","Sabine","5-Beaumont","1"
"2019","Smith","4-Tyler","1"
"2019","Tarrant","3-Arlington","5"
"2019","Taylor","2-Abilene","1"
"2019","Travis","7-Austin","1"
"2019","Val Verde","8-San Antonio","1"
"2019","Van Zandt","4-Tyler","2"
"2019","Victoria","8-San Antonio","2"
"2019","Wharton","6-Houston","1"
"2019","Williamson","7-Austin","1"
"2019","Wilson","8-San Antonio","1"
"2018","Atascosa","8-San Antonio","1"
"2018","Austin","6-Houston","1"
"2018","Bastrop","7-Austin","1"
"2018","Bell","7-Austin","2"
"2018","Bexar","8-San Antonio","18"
"2018","Brazoria","6-Houston","1"
"2018","Cass","4-Tyler","1"
"2018","Comal","8-San Antonio","3"
"2018","Coryell","7-Austin","1"
"2018","Denton","3-Arlington","5"
"2018","El Paso","10-El Paso","2"
"2018","Freestone","7-Austin","1"
"2018","Galveston","6-Houston","1"
"2018","Gregg","4-Tyler","1"
"2018","Grimes","7-Austin","1"
"2018","Harris","6-Houston","5"
"2018","Henderson","4-Tyler","1"
"2018","Hill","7-Austin","3"
"2018","Hood","3-Arlington","1"
"2018","Hutchinson","1-Lubbock","1"
"2018","Llano","7-Austin","2"
"2018","Lubbock","1-Lubbock","1"
"2018","McLennan","7-Austin","6"
"2018","Montague","2-Abilene","1"
"2018","Montgomery","6-Houston","1"
"2018","Navarro","3-Arlington","1"
"2018","Nueces","11-Edinburg","1"
"2018","Parker","3-Arlington","2"
"2018","San Patricio","11-Edinburg","1"
"2018","Swisher","1-Lubbock","1"
"2018","Tarrant","3-Arlington","4"
"2018","Travis","7-Austin","1"
"2018","Victoria","8-San Antonio","1"
"2018","Williamson","7-Austin","6"
"2018","Winkler","9-Midland","1"
"2017","Bandera","8-San Antonio","1"
"2017","Bell","7-Austin","1"
"2017","Bexar","8-San Antonio","12"
"2017","Brazos","7-Austin","1"
"2017","Burnet","7-Austin","1"
"2017","Carson","1-Lubbock","1"
"2017","Cherokee","4-Tyler","1"
"2017","Comal","8-San Antonio","2"
"2017","Coryell","7-Austin","1"
"2017","Dallas","3-Arlington","1"
"2017","Denton","3-Arlington","2"
"2017","Ector","9-Midland","1"
"2017","El Paso","10-El Paso","2"
"2017","Fannin","3-Arlington","2"
"2017","Galveston","6-Houston","1"
"2017","Gregg","4-Tyler","1"
"2017","Guadalupe","8-San Antonio","1"
"2017","Harris","6-Houston","2"
"2017","Hays","7-Austin","1"
"2017","Hill","7-Austin","1"
"2017","Hunt","3-Arlington","3"
"2017","Johnson","3-Arlington","2"
"2017","Kleberg","11-Edinburg","1"
"2017","Liberty","6-Houston","1"
"2017","Lynn","1-Lubbock","1"
"2017","McLennan","7-Austin","3"
"2017","Midland","9-Midland","1"
"2017","Montgomery","6-Houston","4"
"2017","Nolan","2-Abilene","1"
"2017","Nueces","11-Edinburg","1"
"2017","Orange","5-Beaumont","1"
"2017","Potter","1-Lubbock","2"
"2017","Sabine","5-Beaumont","1"
"2017","Smith","4-Tyler","1"
"2017","Tarrant","3-Arlington","8"
"2017","Taylor","2-Abilene","1"
"2017","Travis","7-Austin","4"
"2017","Williamson","7-Austin","2"
"2017","Wise","3-Arlington","1"
"2016","Angelina","5-Beaumont","1"
"2016","Bandera","8-San Antonio","2"
"2016","Bell","7-Austin","2"
"2016","Bexar","8-San Antonio","11"
"2016","Brazoria","6-Houston","1"
"2016","Brazos","7-Austin","1"
"2016","Caldwell","7-Austin","1"
"2016","Cherokee","4-Tyler","2"
"2016","Comal","8-San Antonio","2"
"2016","Dallas","3-Arlington","2"
"2016","Eastland","2-Abilene","2"
"2016","El Paso","10-El Paso","2"
"2016","Galveston","6-Houston","1"
"2016","Gillespie","8-San Antonio","1"
"2016","Grimes","7-Austin","1"
"2016","Guadalupe","8-San Antonio","1"
"2016","Harris","6-Houston","4"
"2016","Hays","7-Austin","1"
"2016","Hopkins","4-Tyler","1"
"2016","Hunt","3-Arlington","2"
"2016","Jasper","5-Beaumont","1"
"2016","Jones","2-Abilene","1"
"2016","Kleberg","11-Edinburg","1"
"2016","Lamar","4-Tyler","1"
"2016","Liberty","6-Houston","1"
