"fiscal_year","county","region","total_pca","federally_funded_title_iv_e","state_paid"
"2021","Anderson","4-Tyler","36","17","19"
"2021","Andrews","9-Midland","2","2","0"
"2021","Angelina","5-Beaumont","46","27","19"
"2021","Aransas","11-Edinburg","3","1","2"
"2021","Atascosa","8-San Antonio","21","19","2"
"2021","Austin","6-Houston","8","3","5"
"2021","Bailey","1-Lubbock","1","1","0"
"2021","Bandera","8-San Antonio","7","3","4"
"2021","Bastrop","7-Austin","13","6","7"
"2021","Bee","11-Edinburg","9","8","1"
"2021","Bell","7-Austin","232","73","159"
"2021","Bexar","8-San Antonio","633","378","255"
"2021","Blanco","7-Austin","8","3","5"
"2021","Bosque","7-Austin","3","1","2"
"2021","Bowie","4-Tyler","6","3","3"
"2021","Brazoria","6-Houston","43","29","14"
"2021","Brazos","7-Austin","19","8","11"
"2021","Brown","2-Abilene","36","26","10"
"2021","Burleson","7-Austin","15","4","11"
"2021","Burnet","7-Austin","30","7","23"
"2021","Caldwell","7-Austin","7","7","0"
"2021","Calhoun","8-San Antonio","9","3","6"
"2021","Callahan","2-Abilene","3","3","0"
"2021","Cameron","11-Edinburg","154","116","38"
"2021","Camp","4-Tyler","9","4","5"
"2021","Cass","4-Tyler","6","3","3"
"2021","Chambers","6-Houston","13","12","1"
"2021","Cherokee","4-Tyler","11","10","1"
"2021","Cochran","1-Lubbock","1","0","1"
"2021","Coleman","2-Abilene","10","5","5"
"2021","Collin","3-Arlington","117","72","45"
"2021","Colorado","6-Houston","1","1","0"
"2021","Comal","8-San Antonio","66","50","16"
"2021","Comanche","2-Abilene","7","5","2"
"2021","Cooke","3-Arlington","14","9","5"
"2021","Coryell","7-Austin","37","22","15"
"2021","Crockett","9-Midland","2","2","0"
"2021","Crosby","1-Lubbock","2","1","1"
"2021","Dallas","3-Arlington","1336","897","439"
"2021","DeWitt","8-San Antonio","3","3","0"
"2021","Denton","3-Arlington","61","35","26"
"2021","Dimmit","8-San Antonio","9","6","3"
"2021","Eastland","2-Abilene","9","8","1"
"2021","Ector","9-Midland","18","15","3"
"2021","Edwards","8-San Antonio","3","0","3"
"2021","El Paso","10-El Paso","57","45","12"
"2021","Erath","3-Arlington","2","1","1"
"2021","Falls","7-Austin","7","2","5"
"2021","Fannin","3-Arlington","16","15","1"
"2021","Fayette","7-Austin","9","0","9"
"2021","Floyd","1-Lubbock","1","1","0"
"2021","Foard","2-Abilene","3","0","3"
