"fiscal_year","county","region","final_inv_risk_assessment","completed_investigations"
"2021","Anderson","4-Tyler","High","6"
"2021","Anderson","4-Tyler","Moderate","4"
"2021","Andrews","9-Midland","Very High","1"
"2021","Andrews","9-Midland","High","11"
"2021","Andrews","9-Midland","Moderate","10"
"2021","Angelina","5-Beaumont","High","15"
"2021","Angelina","5-Beaumont","Moderate","15"
"2021","Aransas","11-Edinburg","High","5"
"2021","Aransas","11-Edinburg","Moderate","4"
"2021","Archer","2-Abilene","High","4"
"2021","Armstrong","1-Lubbock","High","1"
"2021","Armstrong","1-Lubbock","Moderate","1"
"2021","Atascosa","8-San Antonio","Very High","4"
"2021","Atascosa","8-San Antonio","High","37"
"2021","Atascosa","8-San Antonio","Moderate","15"
"2021","Austin","6-Houston","High","3"
"2021","Austin","6-Houston","Moderate","2"
"2021","Bailey","1-Lubbock","High","1"
"2021","Bailey","1-Lubbock","Moderate","2"
"2021","Bandera","8-San Antonio","High","8"
"2021","Bastrop","7-Austin","Very High","2"
"2021","Bastrop","7-Austin","High","25"
"2021","Bastrop","7-Austin","Moderate","9"
"2021","Baylor","2-Abilene","High","2"
"2021","Bee","11-Edinburg","Very High","2"
"2021","Bee","11-Edinburg","High","19"
"2021","Bee","11-Edinburg","Moderate","9"
"2021","Bee","11-Edinburg","Low","1"
"2021","Bell","7-Austin","Very High","4"
"2021","Bell","7-Austin","High","102"
"2021","Bell","7-Austin","Moderate","152"
"2021","Bell","7-Austin","Low","1"
"2021","Bexar","8-San Antonio","Very High","59"
"2021","Bexar","8-San Antonio","High","756"
"2021","Bexar","8-San Antonio","Moderate","667"
"2021","Bexar","8-San Antonio","Low","19"
"2021","Blanco","7-Austin","High","1"
"2021","Borden","9-Midland","High","1"
"2021","Bosque","7-Austin","High","5"
"2021","Bosque","7-Austin","Moderate","4"
"2021","Bowie","4-Tyler","Very High","1"
"2021","Bowie","4-Tyler","High","23"
"2021","Bowie","4-Tyler","Moderate","15"
"2021","Brazoria","6-Houston","Very High","1"
"2021","Brazoria","6-Houston","High","52"
"2021","Brazoria","6-Houston","Moderate","55"
"2021","Brazoria","6-Houston","Low","1"
"2021","Brazos","7-Austin","Very High","2"
"2021","Brazos","7-Austin","High","13"
"2021","Brazos","7-Austin","Moderate","4"
"2021","Brewster","10-El Paso","High","5"
"2021","Brewster","10-El Paso","Moderate","5"
"2021","Brooks","11-Edinburg","Very High","1"
"2021","Brooks","11-Edinburg","High","8"
"2021","Brooks","11-Edinburg","Moderate","5"
"2021","Brown","2-Abilene","High","13"
"2021","Brown","2-Abilene","Moderate","11"
"2021","Brown","2-Abilene","Low","1"
"2021","Burleson","7-Austin","High","1"
"2021","Burleson","7-Austin","Moderate","2"
"2021","Burnet","7-Austin","High","17"
"2021","Burnet","7-Austin","Moderate","5"
"2021","Caldwell","7-Austin","Very High","2"
"2021","Caldwell","7-Austin","High","16"
"2021","Caldwell","7-Austin","Moderate","8"
"2021","Calhoun","8-San Antonio","Very High","2"
"2021","Calhoun","8-San Antonio","High","5"
"2021","Calhoun","8-San Antonio","Moderate","5"
"2021","Callahan","2-Abilene","High","5"
"2021","Callahan","2-Abilene","Moderate","2"
"2021","Cameron","11-Edinburg","Very High","4"
"2021","Cameron","11-Edinburg","High","33"
"2021","Cameron","11-Edinburg","Moderate","13"
"2021","Camp","4-Tyler","High","5"
"2021","Camp","4-Tyler","Moderate","3"
"2021","Carson","1-Lubbock","High","1"
"2021","Carson","1-Lubbock","Moderate","3"
"2021","Carson","1-Lubbock","Low","1"
"2021","Cass","4-Tyler","High","13"
"2021","Cass","4-Tyler","Moderate","6"
"2021","Castro","1-Lubbock","High","3"
"2021","Castro","1-Lubbock","Moderate","2"
"2021","Chambers","6-Houston","High","4"
"2021","Chambers","6-Houston","Moderate","1"
"2021","Cherokee","4-Tyler","High","23"
"2021","Cherokee","4-Tyler","Moderate","18"
"2021","Cherokee","4-Tyler","Low","1"
"2021","Childress","1-Lubbock","High","13"
"2021","Childress","1-Lubbock","Moderate","6"
"2021","Clay","2-Abilene","High","5"
"2021","Clay","2-Abilene","Moderate","5"
"2021","Cochran","1-Lubbock","High","4"
"2021","Cochran","1-Lubbock","Moderate","1"
"2021","Cochran","1-Lubbock","Low","1"
"2021","Coke","9-Midland","High","1"
"2021","Coleman","2-Abilene","Very High","1"
"2021","Coleman","2-Abilene","High","6"
"2021","Coleman","2-Abilene","Moderate","3"
"2021","Collin","3-Arlington","Very High","5"
"2021","Collin","3-Arlington","High","59"
"2021","Collin","3-Arlington","Moderate","60"
"2021","Collingsworth","1-Lubbock","High","1"
"2021","Collingsworth","1-Lubbock","Moderate","2"
"2021","Colorado","6-Houston","High","2"
"2021","Colorado","6-Houston","Moderate","3"
"2021","Comal","8-San Antonio","Very High","2"
"2021","Comal","8-San Antonio","High","53"
"2021","Comal","8-San Antonio","Moderate","45"
"2021","Comanche","2-Abilene","Very High","1"
"2021","Comanche","2-Abilene","High","7"
"2021","Comanche","2-Abilene","Moderate","4"
"2021","Concho","9-Midland","High","2"
"2021","Concho","9-Midland","Moderate","1"
"2021","Cooke","3-Arlington","Very High","3"
"2021","Cooke","3-Arlington","High","7"
"2021","Cooke","3-Arlington","Moderate","4"
"2021","Coryell","7-Austin","High","25"
"2021","Coryell","7-Austin","Moderate","24"
"2021","Crane","9-Midland","Moderate","1"
"2021","Crockett","9-Midland","High","4"
"2021","Crockett","9-Midland","Moderate","1"
"2021","Crosby","1-Lubbock","Moderate","1"
"2021","Culberson","10-El Paso","High","2"
"2021","Culberson","10-El Paso","Moderate","3"
"2021","Dallam","1-Lubbock","Very High","1"
"2021","Dallam","1-Lubbock","High","1"
"2021","Dallam","1-Lubbock","Moderate","7"
"2021","Dallas","3-Arlington","Very High","23"
"2021","Dallas","3-Arlington","High","293"
"2021","Dallas","3-Arlington","Moderate","364"
"2021","Dallas","3-Arlington","Low","15"
"2021","Dawson","9-Midland","High","4"
"2021","Dawson","9-Midland","Moderate","1"
"2021","Dawson","9-Midland","Low","1"
"2021","DeWitt","8-San Antonio","Very High","2"
"2021","DeWitt","8-San Antonio","High","5"
"2021","DeWitt","8-San Antonio","Moderate","2"
"2021","Deaf Smith","1-Lubbock","High","7"
"2021","Deaf Smith","1-Lubbock","Moderate","13"
"2021","Delta","4-Tyler","Moderate","1"
"2021","Delta","4-Tyler","Low","1"
"2021","Denton","3-Arlington","Very High","6"
"2021","Denton","3-Arlington","High","89"
"2021","Denton","3-Arlington","Moderate","69"
"2021","Denton","3-Arlington","Low","2"
"2021","Dickens","1-Lubbock","High","1"
"2021","Dickens","1-Lubbock","Moderate","1"
"2021","Dickens","1-Lubbock","Low","1"
"2021","Dimmit","8-San Antonio","High","7"
"2021","Dimmit","8-San Antonio","Moderate","5"
"2021","Donley","1-Lubbock","High","4"
"2021","Duval","11-Edinburg","High","8"
"2021","Duval","11-Edinburg","Moderate","5"
"2021","Duval","11-Edinburg","Low","1"
"2021","Eastland","2-Abilene","Very High","1"
"2021","Eastland","2-Abilene","High","8"
"2021","Eastland","2-Abilene","Moderate","3"
"2021","Ector","9-Midland","Very High","4"
"2021","Ector","9-Midland","High","58"
"2021","Ector","9-Midland","Moderate","29"
"2021","Ector","9-Midland","Low","1"
"2021","Ector","9-Midland","No Assessment","1"
"2021","Edwards","8-San Antonio","Moderate","3"
"2021","El Paso","10-El Paso","Very High","43"
"2021","El Paso","10-El Paso","High","274"
"2021","El Paso","10-El Paso","Moderate","185"
"2021","El Paso","10-El Paso","Low","6"
"2021","Ellis","3-Arlington","Very High","4"
"2021","Ellis","3-Arlington","High","37"
"2021","Ellis","3-Arlington","Moderate","12"
"2021","Erath","3-Arlington","Very High","2"
"2021","Erath","3-Arlington","High","20"
"2021","Erath","3-Arlington","Moderate","9"
"2021","Falls","7-Austin","High","2"
"2021","Falls","7-Austin","Moderate","6"
"2021","Fannin","3-Arlington","High","10"
"2021","Fannin","3-Arlington","Moderate","4"
"2021","Fayette","7-Austin","High","1"
"2021","Fayette","7-Austin","Moderate","5"
"2021","Fisher","2-Abilene","High","2"
"2021","Fisher","2-Abilene","Moderate","1"
"2021","Floyd","1-Lubbock","High","4"
"2021","Floyd","1-Lubbock","Moderate","2"
"2021","Fort Bend","6-Houston","Very High","1"
"2021","Fort Bend","6-Houston","High","49"
"2021","Fort Bend","6-Houston","Moderate","65"
"2021","Fort Bend","6-Houston","Low","5"
"2021","Franklin","4-Tyler","High","2"
"2021","Franklin","4-Tyler","Moderate","2"
"2021","Freestone","7-Austin","High","2"
"2021","Freestone","7-Austin","Moderate","3"
"2021","Frio","8-San Antonio","High","12"
"2021","Frio","8-San Antonio","Moderate","5"
"2021","Gaines","9-Midland","High","4"
"2021","Gaines","9-Midland","Moderate","5"
"2021","Galveston","6-Houston","Very High","20"
"2021","Galveston","6-Houston","High","93"
"2021","Galveston","6-Houston","Moderate","96"
"2021","Galveston","6-Houston","Low","4"
"2021","Garza","1-Lubbock","High","1"
"2021","Garza","1-Lubbock","Moderate","1"
"2021","Gillespie","8-San Antonio","High","7"
"2021","Gillespie","8-San Antonio","Moderate","4"
"2021","Goliad","8-San Antonio","High","4"
"2021","Goliad","8-San Antonio","Moderate","1"
"2021","Gonzales","8-San Antonio","High","8"
"2021","Gonzales","8-San Antonio","Moderate","1"
"2021","Gray","1-Lubbock","Very High","2"
"2021","Gray","1-Lubbock","High","19"
"2021","Gray","1-Lubbock","Moderate","6"
"2021","Grayson","3-Arlington","Very High","2"
"2021","Grayson","3-Arlington","High","26"
"2021","Grayson","3-Arlington","Moderate","13"
"2021","Gregg","4-Tyler","Very High","4"
"2021","Gregg","4-Tyler","High","45"
"2021","Gregg","4-Tyler","Moderate","25"
"2021","Grimes","7-Austin","High","1"
"2021","Grimes","7-Austin","Moderate","1"
"2021","Guadalupe","8-San Antonio","Very High","3"
"2021","Guadalupe","8-San Antonio","High","33"
"2021","Guadalupe","8-San Antonio","Moderate","42"
"2021","Guadalupe","8-San Antonio","Low","2"
"2021","Hale","1-Lubbock","High","19"
"2021","Hale","1-Lubbock","Moderate","19"
"2021","Hale","1-Lubbock","Low","1"
"2021","Hall","1-Lubbock","High","6"
"2021","Hamilton","7-Austin","High","3"
"2021","Hamilton","7-Austin","Moderate","1"
"2021","Hansford","1-Lubbock","High","1"
"2021","Hardeman","2-Abilene","High","1"
"2021","Hardeman","2-Abilene","Moderate","1"
"2021","Hardin","5-Beaumont","High","9"
"2021","Hardin","5-Beaumont","Moderate","2"
"2021","Harris","6-Houston","Very High","27"
"2021","Harris","6-Houston","High","527"
"2021","Harris","6-Houston","Moderate","671"
"2021","Harris","6-Houston","Low","87"
"2021","Harris","6-Houston","No Assessment","2"
"2021","Harrison","4-Tyler","High","12"
"2021","Harrison","4-Tyler","Moderate","17"
"2021","Hartley","1-Lubbock","High","1"
"2021","Hartley","1-Lubbock","Moderate","3"
"2021","Haskell","2-Abilene","Moderate","1"
"2021","Hays","7-Austin","Very High","1"
"2021","Hays","7-Austin","High","39"
"2021","Hays","7-Austin","Moderate","17"
"2021","Hemphill","1-Lubbock","High","1"
"2021","Hemphill","1-Lubbock","Moderate","1"
"2021","Henderson","4-Tyler","High","32"
"2021","Henderson","4-Tyler","Moderate","21"
"2021","Hidalgo","11-Edinburg","Very High","8"
"2021","Hidalgo","11-Edinburg","High","133"
"2021","Hidalgo","11-Edinburg","Moderate","87"
"2021","Hidalgo","11-Edinburg","No Assessment","1"
"2021","Hill","7-Austin","High","3"
"2021","Hill","7-Austin","Moderate","10"
"2021","Hockley","1-Lubbock","High","10"
"2021","Hockley","1-Lubbock","Moderate","10"
"2021","Hood","3-Arlington","Very High","2"
"2021","Hood","3-Arlington","High","35"
"2021","Hood","3-Arlington","Moderate","11"
"2021","Hopkins","4-Tyler","High","10"
"2021","Hopkins","4-Tyler","Moderate","7"
"2021","Houston","5-Beaumont","High","2"
"2021","Houston","5-Beaumont","Moderate","2"
"2021","Howard","9-Midland","Very High","1"
"2021","Howard","9-Midland","High","12"
"2021","Howard","9-Midland","Moderate","3"
"2021","Hudspeth","10-El Paso","High","2"
"2021","Hudspeth","10-El Paso","Moderate","1"
"2021","Hunt","3-Arlington","High","24"
"2021","Hunt","3-Arlington","Moderate","20"
"2021","Hutchinson","1-Lubbock","Very High","2"
"2021","Hutchinson","1-Lubbock","High","21"
"2021","Hutchinson","1-Lubbock","Moderate","14"
"2021","Irion","9-Midland","Moderate","1"
"2021","Jack","2-Abilene","High","3"
"2021","Jack","2-Abilene","No Assessment","1"
"2021","Jackson","8-San Antonio","Very High","1"
"2021","Jackson","8-San Antonio","High","9"
"2021","Jackson","8-San Antonio","Moderate","8"
"2021","Jasper","5-Beaumont","High","9"
"2021","Jasper","5-Beaumont","Moderate","3"
"2021","Jefferson","5-Beaumont","Very High","1"
"2021","Jefferson","5-Beaumont","High","31"
"2021","Jefferson","5-Beaumont","Moderate","19"
"2021","Jim Hogg","11-Edinburg","High","4"
"2021","Jim Wells","11-Edinburg","Very High","1"
"2021","Jim Wells","11-Edinburg","High","25"
"2021","Jim Wells","11-Edinburg","Moderate","23"
"2021","Jim Wells","11-Edinburg","Low","2"
"2021","Johnson","3-Arlington","Very High","7"
"2021","Johnson","3-Arlington","High","58"
"2021","Johnson","3-Arlington","Moderate","31"
"2021","Johnson","3-Arlington","Low","1"
"2021","Jones","2-Abilene","Very High","1"
"2021","Jones","2-Abilene","High","7"
"2021","Jones","2-Abilene","Moderate","2"
"2021","Karnes","8-San Antonio","High","5"
"2021","Karnes","8-San Antonio","Moderate","6"
"2021","Kaufman","3-Arlington","Very High","4"
"2021","Kaufman","3-Arlington","High","46"
"2021","Kaufman","3-Arlington","Moderate","35"
"2021","Kaufman","3-Arlington","Low","1"
"2021","Kendall","8-San Antonio","High","3"
"2021","Kendall","8-San Antonio","Moderate","5"
"2021","Kerr","8-San Antonio","High","27"
"2021","Kerr","8-San Antonio","Moderate","16"
"2021","Kimble","9-Midland","High","1"
"2021","Kimble","9-Midland","Moderate","1"
"2021","Kinney","8-San Antonio","High","1"
"2021","Kinney","8-San Antonio","Moderate","1"
"2021","Kleberg","11-Edinburg","Very High","2"
"2021","Kleberg","11-Edinburg","High","16"
"2021","Kleberg","11-Edinburg","Moderate","6"
"2021","Kleberg","11-Edinburg","Low","1"
"2021","Knox","2-Abilene","Very High","1"
"2021","Knox","2-Abilene","High","1"
"2021","La Salle","8-San Antonio","High","4"
"2021","La Salle","8-San Antonio","Moderate","1"
"2021","Lamar","4-Tyler","Very High","3"
"2021","Lamar","4-Tyler","High","36"
"2021","Lamar","4-Tyler","Moderate","18"
"2021","Lamb","1-Lubbock","High","5"
"2021","Lamb","1-Lubbock","Moderate","8"
"2021","Lamb","1-Lubbock","Low","1"
"2021","Lampasas","7-Austin","High","5"
"2021","Lampasas","7-Austin","Moderate","11"
"2021","Lampasas","7-Austin","Low","1"
"2021","Lavaca","8-San Antonio","Very High","2"
"2021","Lavaca","8-San Antonio","High","4"
"2021","Lavaca","8-San Antonio","Moderate","4"
"2021","Lee","7-Austin","High","4"
"2021","Lee","7-Austin","Moderate","2"
"2021","Leon","7-Austin","Moderate","3"
"2021","Liberty","6-Houston","High","13"
"2021","Liberty","6-Houston","Moderate","10"
"2021","Limestone","7-Austin","High","4"
"2021","Limestone","7-Austin","Moderate","6"
"2021","Lipscomb","1-Lubbock","High","3"
"2021","Lipscomb","1-Lubbock","Moderate","1"
"2021","Live Oak","11-Edinburg","High","6"
"2021","Live Oak","11-Edinburg","Moderate","4"
"2021","Llano","7-Austin","High","8"
"2021","Llano","7-Austin","Moderate","10"
"2021","Lubbock","1-Lubbock","Very High","13"
"2021","Lubbock","1-Lubbock","High","147"
"2021","Lubbock","1-Lubbock","Moderate","130"
"2021","Lubbock","1-Lubbock","Low","2"
"2021","Lynn","1-Lubbock","High","2"
"2021","Lynn","1-Lubbock","Moderate","2"
"2021","Madison","7-Austin","High","1"
"2021","Madison","7-Austin","Moderate","1"
"2021","Marion","4-Tyler","High","2"
"2021","Marion","4-Tyler","Moderate","3"
"2021","Martin","9-Midland","High","1"
"2021","Matagorda","6-Houston","Very High","1"
"2021","Matagorda","6-Houston","High","7"
"2021","Matagorda","6-Houston","Moderate","6"
"2021","Matagorda","6-Houston","Low","1"
"2021","Maverick","8-San Antonio","Very High","2"
"2021","Maverick","8-San Antonio","High","17"
"2021","Maverick","8-San Antonio","Moderate","10"
"2021","McCulloch","9-Midland","High","7"
"2021","McCulloch","9-Midland","Moderate","4"
"2021","McLennan","7-Austin","Very High","5"
"2021","McLennan","7-Austin","High","79"
"2021","McLennan","7-Austin","Moderate","56"
"2021","McLennan","7-Austin","No Assessment","1"
"2021","McMullen","11-Edinburg","High","1"
"2021","Medina","8-San Antonio","Very High","4"
"2021","Medina","8-San Antonio","High","37"
"2021","Medina","8-San Antonio","Moderate","24"
"2021","Midland","9-Midland","Very High","3"
"2021","Midland","9-Midland","High","44"
"2021","Midland","9-Midland","Moderate","36"
"2021","Midland","9-Midland","Low","2"
"2021","Milam","7-Austin","High","6"
"2021","Milam","7-Austin","Moderate","2"
"2021","Mitchell","2-Abilene","High","11"
"2021","Montague","2-Abilene","Very High","2"
"2021","Montague","2-Abilene","High","19"
"2021","Montague","2-Abilene","Moderate","7"
"2021","Montgomery","6-Houston","Very High","1"
"2021","Montgomery","6-Houston","High","55"
"2021","Montgomery","6-Houston","Moderate","48"
"2021","Montgomery","6-Houston","Low","1"
"2021","Moore","1-Lubbock","High","12"
"2021","Moore","1-Lubbock","Moderate","8"
"2021","Morris","4-Tyler","High","8"
"2021","Morris","4-Tyler","Moderate","1"
"2021","Nacogdoches","5-Beaumont","Very High","2"
"2021","Nacogdoches","5-Beaumont","High","7"
"2021","Nacogdoches","5-Beaumont","Moderate","6"
"2021","Navarro","3-Arlington","Very High","2"
"2021","Navarro","3-Arlington","High","21"
"2021","Navarro","3-Arlington","Moderate","3"
"2021","Newton","5-Beaumont","High","4"
"2021","Newton","5-Beaumont","Moderate","1"
"2021","Newton","5-Beaumont","Low","1"
"2021","Nolan","2-Abilene","Very High","1"
"2021","Nolan","2-Abilene","High","15"
"2021","Nolan","2-Abilene","Moderate","6"
"2021","Nueces","11-Edinburg","Very High","30"
"2021","Nueces","11-Edinburg","High","157"
"2021","Nueces","11-Edinburg","Moderate","51"
"2021","Nueces","11-Edinburg","Low","1"
"2021","Nueces","11-Edinburg","No Assessment","1"
"2021","Ochiltree","1-Lubbock","High","4"
"2021","Ochiltree","1-Lubbock","Moderate","3"
"2021","Oldham","1-Lubbock","High","1"
"2021","Orange","5-Beaumont","Very High","3"
"2021","Orange","5-Beaumont","High","9"
"2021","Orange","5-Beaumont","Moderate","6"
"2021","Palo Pinto","3-Arlington","Very High","1"
"2021","Palo Pinto","3-Arlington","High","28"
"2021","Palo Pinto","3-Arlington","Moderate","13"
"2021","Panola","4-Tyler","High","2"
"2021","Panola","4-Tyler","Moderate","1"
"2021","Parker","3-Arlington","Very High","1"
"2021","Parker","3-Arlington","High","47"
"2021","Parker","3-Arlington","Moderate","27"
"2021","Parmer","1-Lubbock","Very High","1"
"2021","Parmer","1-Lubbock","High","3"
"2021","Parmer","1-Lubbock","Low","1"
"2021","Pecos","9-Midland","High","4"
"2021","Pecos","9-Midland","Moderate","2"
"2021","Polk","5-Beaumont","High","6"
"2021","Polk","5-Beaumont","Moderate","2"
"2021","Potter","1-Lubbock","Very High","1"
"2021","Potter","1-Lubbock","High","37"
"2021","Potter","1-Lubbock","Moderate","22"
"2021","Presidio","10-El Paso","High","3"
"2021","Rains","4-Tyler","High","6"
"2021","Randall","1-Lubbock","Very High","3"
"2021","Randall","1-Lubbock","High","20"
"2021","Randall","1-Lubbock","Moderate","16"
"2021","Reagan","9-Midland","High","1"
"2021","Reagan","9-Midland","Moderate","2"
"2021","Real","8-San Antonio","Very High","1"
"2021","Real","8-San Antonio","High","2"
"2021","Real","8-San Antonio","Moderate","3"
"2021","Red River","4-Tyler","Very High","1"
"2021","Red River","4-Tyler","High","7"
"2021","Red River","4-Tyler","Moderate","4"
"2021","Reeves","9-Midland","Very High","1"
"2021","Reeves","9-Midland","High","4"
"2021","Refugio","11-Edinburg","Very High","1"
"2021","Refugio","11-Edinburg","High","2"
"2021","Robertson","7-Austin","High","1"
"2021","Robertson","7-Austin","Moderate","4"
"2021","Rockwall","3-Arlington","Very High","1"
"2021","Rockwall","3-Arlington","High","12"
"2021","Rockwall","3-Arlington","Moderate","17"
"2021","Runnels","2-Abilene","Very High","1"
"2021","Runnels","2-Abilene","High","13"
"2021","Rusk","4-Tyler","High","12"
"2021","Rusk","4-Tyler","Moderate","2"
"2021","Sabine","5-Beaumont","High","2"
"2021","Sabine","5-Beaumont","Moderate","6"
"2021","San Augustine","5-Beaumont","High","2"
"2021","San Augustine","5-Beaumont","Moderate","1"
"2021","San Jacinto","5-Beaumont","High","5"
"2021","San Jacinto","5-Beaumont","Moderate","3"
"2021","San Patricio","11-Edinburg","Very High","2"
"2021","San Patricio","11-Edinburg","High","37"
"2021","San Patricio","11-Edinburg","Moderate","8"
"2021","San Saba","7-Austin","High","2"
"2021","Schleicher","9-Midland","High","1"
"2021","Scurry","2-Abilene","High","3"
"2021","Scurry","2-Abilene","Moderate","6"
"2021","Shackelford","2-Abilene","High","1"
"2021","Shelby","5-Beaumont","High","2"
"2021","Shelby","5-Beaumont","Moderate","1"
"2021","Sherman","1-Lubbock","High","2"
"2021","Smith","4-Tyler","Very High","5"
"2021","Smith","4-Tyler","High","68"
"2021","Smith","4-Tyler","Moderate","53"
"2021","Smith","4-Tyler","Low","1"
"2021","Somervell","3-Arlington","High","8"
"2021","Somervell","3-Arlington","Moderate","2"
"2021","Starr","11-Edinburg","High","11"
"2021","Starr","11-Edinburg","Moderate","9"
"2021","Stephens","2-Abilene","Very High","1"
"2021","Stephens","2-Abilene","High","6"
"2021","Stephens","2-Abilene","Moderate","1"
"2021","Sterling","9-Midland","Moderate","3"
"2021","Sutton","9-Midland","High","2"
"2021","Sutton","9-Midland","Moderate","1"
"2021","Swisher","1-Lubbock","High","8"
"2021","Swisher","1-Lubbock","Moderate","7"
"2021","Tarrant","3-Arlington","Very High","37"
"2021","Tarrant","3-Arlington","High","370"
"2021","Tarrant","3-Arlington","Moderate","295"
"2021","Tarrant","3-Arlington","Low","2"
"2021","Tarrant","3-Arlington","No Assessment","1"
"2021","Taylor","2-Abilene","Very High","21"
"2021","Taylor","2-Abilene","High","118"
"2021","Taylor","2-Abilene","Moderate","64"
"2021","Taylor","2-Abilene","Low","1"
"2021","Terry","1-Lubbock","High","9"
"2021","Terry","1-Lubbock","Moderate","1"
"2021","Titus","4-Tyler","High","5"
"2021","Titus","4-Tyler","Moderate","7"
"2021","Tom Green","9-Midland","Very High","2"
"2021","Tom Green","9-Midland","High","64"
"2021","Tom Green","9-Midland","Moderate","40"
"2021","Tom Green","9-Midland","Low","3"
"2021","Travis","7-Austin","Very High","24"
"2021","Travis","7-Austin","High","177"
"2021","Travis","7-Austin","Moderate","86"
"2021","Travis","7-Austin","Low","1"
"2021","Trinity","5-Beaumont","Very High","1"
"2021","Trinity","5-Beaumont","High","2"
"2021","Trinity","5-Beaumont","Moderate","1"
"2021","Tyler","5-Beaumont","High","1"
"2021","Tyler","5-Beaumont","Moderate","2"
"2021","Upshur","4-Tyler","High","10"
"2021","Upshur","4-Tyler","Moderate","7"
"2021","Upshur","4-Tyler","Low","2"
"2021","Upton","9-Midland","High","2"
"2021","Uvalde","8-San Antonio","High","24"
"2021","Uvalde","8-San Antonio","Moderate","18"
"2021","Val Verde","8-San Antonio","Very High","3"
"2021","Val Verde","8-San Antonio","High","18"
"2021","Val Verde","8-San Antonio","Moderate","19"
"2021","Van Zandt","4-Tyler","Very High","2"
"2021","Van Zandt","4-Tyler","High","11"
"2021","Van Zandt","4-Tyler","Moderate","6"
"2021","Victoria","8-San Antonio","Very High","3"
"2021","Victoria","8-San Antonio","High","32"
"2021","Victoria","8-San Antonio","Moderate","20"
"2021","Victoria","8-San Antonio","Low","1"
"2021","Walker","6-Houston","Very High","1"
"2021","Walker","6-Houston","High","4"
"2021","Walker","6-Houston","Moderate","7"
"2021","Walker","6-Houston","Low","1"
