"county","city","current_rate","net_payment_this_period","comparable_payment_prior_year","period_percent_change","payments_to_date","previous_payments_to_date","year_percent_change","report_month","report_year","report_period_type"
"Ellis","Alma","2","29276.56","24486.54","19.56","196793.21","162326.74","21.23","8","2022","MONTHLY"
"Ellis","Bardwell","1","1512.54","2210.41","-31.57","15956.91","25061.13","-36.32","8","2022","MONTHLY"
"Ellis","Ennis","1.75","1313696.39","792754.97","65.71","8757233.36","6446598.3","35.84","8","2022","MONTHLY"
"Ellis","Ferris","2","105889.24","89305.78","18.56","663400.04","551438.18","20.3","8","2022","MONTHLY"
"Ellis","Garrett","2","21231.57","20714.2","2.49","147787.65","144565.61","2.22","8","2022","MONTHLY"
"Ellis","Italy","2","77105.81","63064.29","22.26","490260.07","431669.63","13.57","8","2022","MONTHLY"
"Ellis","Maypearl","2","32752.92","26624.54","23.01","190916.98","172157.51","10.89","8","2022","MONTHLY"
"Ellis","Midlothian","2","1748352.94","1295751.35","34.92","12016537.98","8660649.19","38.74","8","2022","MONTHLY"
"Ellis","Milford","1","3867.95","3541.9","9.2","27004.12","26500.69","1.89","8","2022","MONTHLY"
"Ellis","Oak Leaf","1.75","11318.63","9878.5","14.57","73061.21","72874.08","0.25","8","2022","MONTHLY"
"Ellis","Ovilla","1.75","131781.93","64377.34","104.7","538150.77","448039.18","20.11","8","2022","MONTHLY"
"Ellis","Palmer","2","46336.31","39353.98","17.74","333128.13","287105.71","16.02","8","2022","MONTHLY"
"Ellis","Pecan Hill","1","1382.14","1826.04","-24.3","12620.1","10971.6","15.02","8","2022","MONTHLY"
"Ellis","Red Oak","2","679619.24","611991.47","11.05","4897108.63","4243370.55","15.4","8","2022","MONTHLY"
"Ellis","Waxahachie","2","2639573.89","2424173.51","8.88","18444215.04","15872146","16.2","8","2022","MONTHLY"
