"fiscal_year","county","region","average_monthly_fte_s_in_paid_foster_care","average_monthly_number_of","average_monthly_children_state_paid_foster_care","average_monthly_children_title_iv_e_foster_care"
"2021","Anderson","4-Tyler","78.87","84.00","45.92","38.08"
"2021","Andrews","9-Midland","10.83","12.00","11.42","0.58"
"2021","Angelina","5-Beaumont","69.57","78.58","37.08","41.50"
"2021","Aransas","11-Edinburg","27.07","30.50","16.58","14.25"
"2021","Archer","2-Abilene","5.27","5.42","0.00","5.42"
"2021","Atascosa","8-San Antonio","88.84","95.75","28.67","67.08"
"2021","Austin","6-Houston","10.98","12.50","3.67","9.00"
"2021","Bailey","1-Lubbock","19.91","21.75","9.25","12.58"
"2021","Bandera","8-San Antonio","22.27","25.50","18.67","6.83"
"2021","Bastrop","7-Austin","64.90","72.50","55.92","16.67"
"2021","Baylor","2-Abilene","5.37","6.25","2.08","4.17"
"2021","Bee","11-Edinburg","35.82","41.67","17.17","24.75"
"2021","Bell","7-Austin","468.65","534.08","373.08","161.00"
"2021","Bexar","8-San Antonio","1843.44","2038.67","984.42","1054.67"
"2021","Blanco","7-Austin","7.64","8.00","7.42","0.58"
"2021","Bosque","7-Austin","25.58","28.92","19.58","9.33"
"2021","Bowie","4-Tyler","51.46","58.42","27.25","31.42"
"2021","Brazoria","6-Houston","116.78","129.75","54.00","75.83"
"2021","Brazos","7-Austin","70.70","81.08","60.42","20.67"
"2021","Brewster","10-El Paso","0.29","0.50","0.50","0.00"
"2021","Briscoe","1-Lubbock","0.70","0.75","0.25","0.50"
"2021","Brooks","11-Edinburg","10.11","11.00","2.50","8.50"
"2021","Brown","2-Abilene","94.29","105.25","40.17","65.17"
"2021","Burleson","7-Austin","24.57","27.17","21.67","5.50"
"2021","Burnet","7-Austin","42.25","47.17","28.00","19.17"
"2021","Caldwell","7-Austin","31.61","36.92","28.50","8.42"
"2021","Calhoun","8-San Antonio","19.04","22.00","16.08","5.92"
"2021","Callahan","2-Abilene","11.72","13.25","8.50","4.75"
"2021","Cameron","11-Edinburg","252.49","287.17","112.00","175.42"
"2021","Camp","4-Tyler","9.36","11.08","6.58","4.67"
"2021","Carson","1-Lubbock","3.40","3.92","2.08","1.83"
"2021","Cass","4-Tyler","12.18","14.42","6.58","7.83"
"2021","Castro","1-Lubbock","8.40","8.92","2.67","6.25"
"2021","Chambers","6-Houston","8.36","9.50","3.25","6.25"
"2021","Cherokee","4-Tyler","64.88","73.75","29.83","44.00"
"2021","Childress","1-Lubbock","10.15","11.17","2.33","8.83"
"2021","Clay","2-Abilene","11.77","12.92","4.58","8.33"
"2021","Cochran","1-Lubbock","3.08","3.08","0.00","3.08"
"2021","Coke","9-Midland","4.95","5.17","2.42","2.75"
"2021","Coleman","2-Abilene","11.89","12.92","5.67","7.25"
"2021","Collin","3-Arlington","131.86","148.75","94.33","54.50"
"2021","Collingsworth","1-Lubbock","5.76","6.33","5.25","1.08"
"2021","Colorado","6-Houston","9.15","10.00","8.58","1.42"
