"fiscal_year","county","region","disposition","completed_investigations"
"2021","Armstrong","1-Lubbock","Invalid","1"
"2021","Bailey","1-Lubbock","Invalid","3"
"2021","Bailey","1-Lubbock","Other","2"
"2021","Bailey","1-Lubbock","Unable to Determine","2"
"2021","Bailey","1-Lubbock","Valid","18"
"2021","Briscoe","1-Lubbock","Invalid","6"
"2021","Briscoe","1-Lubbock","Valid","7"
"2021","Carson","1-Lubbock","Invalid","2"
"2021","Carson","1-Lubbock","Other","1"
"2021","Carson","1-Lubbock","Unable to Determine","1"
"2021","Carson","1-Lubbock","Valid","15"
"2021","Castro","1-Lubbock","Invalid","6"
"2021","Castro","1-Lubbock","Unable to Determine","4"
"2021","Castro","1-Lubbock","Valid","13"
"2021","Childress","1-Lubbock","Invalid","3"
"2021","Childress","1-Lubbock","Other","1"
"2021","Childress","1-Lubbock","Unable to Determine","4"
"2021","Childress","1-Lubbock","Valid","22"
"2021","Cochran","1-Lubbock","Invalid","5"
"2021","Cochran","1-Lubbock","Unable to Determine","1"
"2021","Cochran","1-Lubbock","Valid","27"
"2021","Collingsworth","1-Lubbock","Invalid","4"
"2021","Collingsworth","1-Lubbock","Valid","21"
"2021","Crosby","1-Lubbock","Invalid","10"
"2021","Crosby","1-Lubbock","Unable to Determine","1"
"2021","Crosby","1-Lubbock","Valid","80"
"2021","Dallam","1-Lubbock","Invalid","3"
"2021","Dallam","1-Lubbock","Unable to Determine","1"
"2021","Dallam","1-Lubbock","Valid","6"
"2021","Deaf Smith","1-Lubbock","Invalid","16"
"2021","Deaf Smith","1-Lubbock","Other","1"
"2021","Deaf Smith","1-Lubbock","Unable to Determine","5"
"2021","Deaf Smith","1-Lubbock","Valid","36"
"2021","Dickens","1-Lubbock","Invalid","8"
"2021","Dickens","1-Lubbock","Unable to Determine","1"
"2021","Dickens","1-Lubbock","Valid","9"
"2021","Donley","1-Lubbock","Invalid","5"
"2021","Donley","1-Lubbock","Valid","13"
"2021","Floyd","1-Lubbock","Invalid","3"
"2021","Floyd","1-Lubbock","Valid","22"
"2021","Garza","1-Lubbock","Invalid","6"
"2021","Garza","1-Lubbock","Other","2"
"2021","Garza","1-Lubbock","Unable to Determine","4"
"2021","Garza","1-Lubbock","Valid","21"
"2021","Gray","1-Lubbock","Invalid","15"
"2021","Gray","1-Lubbock","Other","2"
"2021","Gray","1-Lubbock","Unable to Determine","7"
"2021","Gray","1-Lubbock","Valid","89"
"2021","Hale","1-Lubbock","Invalid","27"
"2021","Hale","1-Lubbock","Unable to Determine","10"
"2021","Hale","1-Lubbock","Valid","87"
"2021","Hall","1-Lubbock","Invalid","4"
"2021","Hall","1-Lubbock","Valid","16"
"2021","Hansford","1-Lubbock","Invalid","2"
"2021","Hansford","1-Lubbock","Other","1"
"2021","Hansford","1-Lubbock","Unable to Determine","3"
"2021","Hansford","1-Lubbock","Valid","9"
"2021","Hartley","1-Lubbock","Invalid","1"
"2021","Hartley","1-Lubbock","Valid","4"
"2021","Hemphill","1-Lubbock","Unable to Determine","1"
"2021","Hemphill","1-Lubbock","Valid","2"
"2021","Hockley","1-Lubbock","Invalid","20"
"2021","Hockley","1-Lubbock","Other","2"
"2021","Hockley","1-Lubbock","Unable to Determine","15"
"2021","Hockley","1-Lubbock","Valid","108"
"2021","Hutchinson","1-Lubbock","Invalid","14"
"2021","Hutchinson","1-Lubbock","Other","1"
"2021","Hutchinson","1-Lubbock","Unable to Determine","2"
"2021","Hutchinson","1-Lubbock","Valid","81"
"2021","King","1-Lubbock","Valid","2"
"2021","Lamb","1-Lubbock","Invalid","10"
"2021","Lamb","1-Lubbock","Other","1"
"2021","Lamb","1-Lubbock","Unable to Determine","2"
"2021","Lamb","1-Lubbock","Valid","98"
"2021","Lipscomb","1-Lubbock","Invalid","1"
"2021","Lipscomb","1-Lubbock","Valid","4"
"2021","Lubbock","1-Lubbock","Invalid","407"
"2021","Lubbock","1-Lubbock","Other","26"
"2021","Lubbock","1-Lubbock","Unable to Determine","130"
"2021","Lubbock","1-Lubbock","Valid","1217"
"2021","Lynn","1-Lubbock","Invalid","14"
"2021","Lynn","1-Lubbock","Unable to Determine","2"
"2021","Lynn","1-Lubbock","Valid","34"
"2021","Moore","1-Lubbock","Invalid","11"
"2021","Moore","1-Lubbock","Unable to Determine","1"
"2021","Moore","1-Lubbock","Valid","31"
