"month","track","signal_type","monthly_net_handle"
"2017-01-01T00:00:00.000","CCGP","X","210444.80"
"2017-01-01T00:00:00.000","GCF","S","186052.80"
"2017-01-01T00:00:00.000","GCF","X","41508.90"
"2017-01-01T00:00:00.000","GULF","S","711538.40"
"2017-01-01T00:00:00.000","GULF","X","773932.30"
"2017-01-01T00:00:00.000","LSP","S","7561898.60"
"2017-01-01T00:00:00.000","LSP","X","602243.40"
"2017-01-01T00:00:00.000","RETA","S","2565181.60"
"2017-01-01T00:00:00.000","RETA","X","727920.10"
"2017-01-01T00:00:00.000","SHRP","L","775990.30"
"2017-01-01T00:00:00.000","SHRP","S","4677469.50"
"2017-01-01T00:00:00.000","SHRP","X","1407022.30"
"2017-01-01T00:00:00.000","VGP","L","314640.20"
"2017-01-01T00:00:00.000","VGP","S","515984.50"
"2017-01-01T00:00:00.000","VGP","X","391349.60"
"2017-02-01T00:00:00.000","CCGP","S","554937.70"
"2017-02-01T00:00:00.000","CCGP","X","243884.20"
"2017-02-01T00:00:00.000","GCF","S","176228.90"
"2017-02-01T00:00:00.000","GCF","X","37671.30"
"2017-02-01T00:00:00.000","GULF","S","804034.10"
"2017-02-01T00:00:00.000","GULF","X","737908.80"
"2017-02-01T00:00:00.000","LSP","S","7376907.70"
"2017-02-01T00:00:00.000","LSP","X","495600.10"
"2017-02-01T00:00:00.000","RETA","S","2555604.20"
"2017-02-01T00:00:00.000","RETA","X","642245.40"
"2017-02-01T00:00:00.000","SHRP","L","1425719.40"
"2017-02-01T00:00:00.000","SHRP","S","4367481.20"
"2017-02-01T00:00:00.000","SHRP","X","1422931.80"
"2017-02-01T00:00:00.000","VGP","L","102923.00"
"2017-02-01T00:00:00.000","VGP","S","486241.90"
"2017-02-01T00:00:00.000","VGP","X","344451.80"
"2017-03-01T00:00:00.000","CCGP","S","663755.70"
"2017-03-01T00:00:00.000","CCGP","X","223914.00"
"2017-03-01T00:00:00.000","GCF","S","273499.40"
"2017-03-01T00:00:00.000","GCF","X","46325.10"
"2017-03-01T00:00:00.000","GULF","S","922559.00"
"2017-03-01T00:00:00.000","GULF","X","809060.00"
"2017-03-01T00:00:00.000","LSP","S","8158171.90"
"2017-03-01T00:00:00.000","LSP","X","659095.90"
"2017-03-01T00:00:00.000","RETA","S","2828725.40"
"2017-03-01T00:00:00.000","RETA","X","617700.30"
"2017-03-01T00:00:00.000","SHRP","L","760396.10"
"2017-03-01T00:00:00.000","SHRP","S","4805082.60"
"2017-03-01T00:00:00.000","SHRP","X","1548673.30"
"2017-03-01T00:00:00.000","VGP","S","538991.80"
"2017-03-01T00:00:00.000","VGP","X","428717.50"
"2017-04-01T00:00:00.000","CCGP","S","625516.20"
"2017-04-01T00:00:00.000","CCGP","X","264438.60"
"2017-04-01T00:00:00.000","GCF","S","225448.70"
"2017-04-01T00:00:00.000","GCF","X","38672.30"
"2017-04-01T00:00:00.000","GULF","S","801406.40"
"2017-04-01T00:00:00.000","GULF","X","715904.00"
"2017-04-01T00:00:00.000","LSP","L","1671851.00"
"2017-04-01T00:00:00.000","LSP","S","8944524.80"
"2017-04-01T00:00:00.000","LSP","X","544181.10"
"2017-04-01T00:00:00.000","RETA","S","3172600.30"
"2017-04-01T00:00:00.000","RETA","X","544679.70"
"2017-04-01T00:00:00.000","SHRP","L","1109921.70"
"2017-04-01T00:00:00.000","SHRP","S","5074936.30"
"2017-04-01T00:00:00.000","SHRP","X","1388848.40"
"2017-04-01T00:00:00.000","VGP","S","488252.30"
"2017-04-01T00:00:00.000","VGP","X","465742.50"
"2017-05-01T00:00:00.000","CCGP","S","545405.80"
"2017-05-01T00:00:00.000","CCGP","X","458611.30"
"2017-05-01T00:00:00.000","GCF","S","403142.70"
"2017-05-01T00:00:00.000","GCF","X","32328.60"
"2017-05-01T00:00:00.000","GULF","S","858947.00"
"2017-05-01T00:00:00.000","GULF","X","1025765.50"
"2017-05-01T00:00:00.000","LSP","L","3454535.50"
"2017-05-01T00:00:00.000","LSP","S","11543555.30"
"2017-05-01T00:00:00.000","LSP","X","476613.60"
"2017-05-01T00:00:00.000","RETA","S","4069141.80"
"2017-05-01T00:00:00.000","RETA","X","558654.20"
"2017-05-01T00:00:00.000","SHRP","L","723420.00"
"2017-05-01T00:00:00.000","SHRP","S","6826457.50"
"2017-05-01T00:00:00.000","SHRP","X","1304650.70"
"2017-05-01T00:00:00.000","VGP","S","433194.90"
"2017-05-01T00:00:00.000","VGP","X","561982.40"
"2017-06-01T00:00:00.000","CCGP","S","543248.60"
"2017-06-01T00:00:00.000","CCGP","X","317577.20"
"2017-06-01T00:00:00.000","GCF","S","290696.00"
"2017-06-01T00:00:00.000","GCF","X","43806.20"
"2017-06-01T00:00:00.000","GULF","S","869443.50"
"2017-06-01T00:00:00.000","GULF","X","802564.60"
"2017-06-01T00:00:00.000","LSP","L","2522602.10"
"2017-06-01T00:00:00.000","LSP","S","9744161.40"
"2017-06-01T00:00:00.000","LSP","X","483007.50"
"2017-06-01T00:00:00.000","RETA","L","579240.70"
"2017-06-01T00:00:00.000","RETA","S","2966453.00"
"2017-06-01T00:00:00.000","RETA","X","534415.10"
"2017-06-01T00:00:00.000","SHRP","S","4999452.60"
"2017-06-01T00:00:00.000","SHRP","X","1341630.40"
"2017-06-01T00:00:00.000","VGP","S","515128.60"
"2017-06-01T00:00:00.000","VGP","X","470936.60"
"2017-07-01T00:00:00.000","CCGP","S","572636.80"
"2017-07-01T00:00:00.000","CCGP","X","283363.80"
"2017-07-01T00:00:00.000","GCF","L","578587.00"
"2017-07-01T00:00:00.000","GCF","S","301271.20"
"2017-07-01T00:00:00.000","GCF","X","44952.40"
"2017-07-01T00:00:00.000","GULF","S","859135.30"
"2017-07-01T00:00:00.000","GULF","X","675376.00"
"2017-07-01T00:00:00.000","LSP","L","3688718.10"
"2017-07-01T00:00:00.000","LSP","S","9518118.50"
"2017-07-01T00:00:00.000","LSP","X","514057.10"
"2017-07-01T00:00:00.000","RETA","L","778975.40"
"2017-07-01T00:00:00.000","RETA","S","2812928.20"
"2017-07-01T00:00:00.000","RETA","X","482014.20"
"2017-07-01T00:00:00.000","SHRP","S","5146599.10"
"2017-07-01T00:00:00.000","SHRP","X","1330673.50"
"2017-07-01T00:00:00.000","VGP","S","486959.60"
"2017-07-01T00:00:00.000","VGP","X","478761.50"
"2017-08-01T00:00:00.000","CCGP","S","401481.20"
"2017-08-01T00:00:00.000","CCGP","X","222854.30"
