"fiscal_year","county","region","current_priority","assigned","intakes"
"2021","Armstrong","1-Lubbock","1","Investigation","1"
"2021","Armstrong","1-Lubbock","2","Alternative Response","4"
"2021","Armstrong","1-Lubbock","2","Investigation","11"
"2021","Armstrong","1-Lubbock","N","Not Assigned","2"
"2021","Bailey","1-Lubbock","1","Investigation","18"
"2021","Bailey","1-Lubbock","2","Alternative Response","10"
"2021","Bailey","1-Lubbock","2","Investigation","28"
"2021","Bailey","1-Lubbock","N","Not Assigned","4"
"2021","Briscoe","1-Lubbock","1","Investigation","2"
"2021","Briscoe","1-Lubbock","2","Alternative Response","2"
"2021","Briscoe","1-Lubbock","2","Investigation","4"
"2021","Carson","1-Lubbock","1","Investigation","12"
"2021","Carson","1-Lubbock","2","Alternative Response","9"
"2021","Carson","1-Lubbock","2","Investigation","31"
"2021","Carson","1-Lubbock","N","Not Assigned","16"
"2021","Castro","1-Lubbock","1","Investigation","17"
"2021","Castro","1-Lubbock","2","Alternative Response","6"
"2021","Castro","1-Lubbock","2","Investigation","40"
"2021","Castro","1-Lubbock","N","Not Assigned","4"
"2021","Childress","1-Lubbock","1","Investigation","29"
"2021","Childress","1-Lubbock","2","Alternative Response","12"
"2021","Childress","1-Lubbock","2","Investigation","39"
"2021","Childress","1-Lubbock","N","Not Assigned","3"
"2021","Cochran","1-Lubbock","1","Investigation","11"
"2021","Cochran","1-Lubbock","2","Alternative Response","5"
"2021","Cochran","1-Lubbock","2","Investigation","25"
"2021","Cochran","1-Lubbock","N","Not Assigned","5"
"2021","Collingsworth","1-Lubbock","1","Investigation","4"
"2021","Collingsworth","1-Lubbock","2","Alternative Response","7"
"2021","Collingsworth","1-Lubbock","2","Investigation","24"
"2021","Collingsworth","1-Lubbock","N","Not Assigned","2"
"2021","Crosby","1-Lubbock","1","Investigation","22"
"2021","Crosby","1-Lubbock","2","Alternative Response","11"
"2021","Crosby","1-Lubbock","2","Investigation","39"
"2021","Crosby","1-Lubbock","N","Not Assigned","8"
"2021","Dallam","1-Lubbock","1","Investigation","34"
"2021","Dallam","1-Lubbock","2","Alternative Response","12"
"2021","Dallam","1-Lubbock","2","Investigation","51"
"2021","Dallam","1-Lubbock","N","Not Assigned","8"
"2021","Deaf Smith","1-Lubbock","1","Investigation","68"
"2021","Deaf Smith","1-Lubbock","2","Alternative Response","22"
"2021","Deaf Smith","1-Lubbock","2","Investigation","107"
"2021","Deaf Smith","1-Lubbock","N","Not Assigned","18"
"2021","Dickens","1-Lubbock","1","Investigation","1"
"2021","Dickens","1-Lubbock","2","Alternative Response","2"
"2021","Dickens","1-Lubbock","2","Investigation","8"
"2021","Dickens","1-Lubbock","N","Not Assigned","1"
"2021","Donley","1-Lubbock","1","Investigation","5"
"2021","Donley","1-Lubbock","2","Alternative Response","4"
"2021","Donley","1-Lubbock","2","Investigation","22"
"2021","Donley","1-Lubbock","N","Not Assigned","2"
"2021","Floyd","1-Lubbock","1","Investigation","15"
"2021","Floyd","1-Lubbock","2","Alternative Response","19"
"2021","Floyd","1-Lubbock","2","Investigation","27"
"2021","Floyd","1-Lubbock","N","Not Assigned","8"
"2021","Garza","1-Lubbock","1","Investigation","18"
"2021","Garza","1-Lubbock","2","Alternative Response","3"
"2021","Garza","1-Lubbock","2","Investigation","32"
"2021","Garza","1-Lubbock","N","Not Assigned","5"
"2021","Gray","1-Lubbock","1","Investigation","75"
"2021","Gray","1-Lubbock","2","Alternative Response","53"
"2021","Gray","1-Lubbock","2","Investigation","179"
"2021","Gray","1-Lubbock","N","Not Assigned","29"
"2021","Hale","1-Lubbock","1","Investigation","85"
"2021","Hale","1-Lubbock","2","Alternative Response","51"
"2021","Hale","1-Lubbock","2","Investigation","230"
"2021","Hale","1-Lubbock","N","Not Assigned","48"
"2021","Hall","1-Lubbock","1","Investigation","12"
"2021","Hall","1-Lubbock","2","Alternative Response","4"
"2021","Hall","1-Lubbock","2","Investigation","27"
