"fiscal_year","county","region","gender","race_ethnicity","age","sum_child_in_dfps"
"2021","Anderson","4-Tyler","Female","African American","0","1"
"2021","Anderson","4-Tyler","Female","African American","1","2"
"2021","Anderson","4-Tyler","Female","African American","10","2"
"2021","Anderson","4-Tyler","Female","African American","13","1"
"2021","Anderson","4-Tyler","Female","African American","14","1"
"2021","Anderson","4-Tyler","Female","African American","15","1"
"2021","Anderson","4-Tyler","Female","African American","17","2"
"2021","Anderson","4-Tyler","Female","African American","18","1"
"2021","Anderson","4-Tyler","Female","African American","3","3"
"2021","Anderson","4-Tyler","Female","African American","4","3"
"2021","Anderson","4-Tyler","Female","African American","5","4"
"2021","Anderson","4-Tyler","Female","African American","7","3"
"2021","Anderson","4-Tyler","Female","African American","8","1"
"2021","Anderson","4-Tyler","Female","African American","9","2"
"2021","Anderson","4-Tyler","Female","Anglo","0","3"
"2021","Anderson","4-Tyler","Female","Anglo","1","6"
"2021","Anderson","4-Tyler","Female","Anglo","10","2"
"2021","Anderson","4-Tyler","Female","Anglo","12","1"
"2021","Anderson","4-Tyler","Female","Anglo","13","1"
"2021","Anderson","4-Tyler","Female","Anglo","14","1"
"2021","Anderson","4-Tyler","Female","Anglo","15","1"
"2021","Anderson","4-Tyler","Female","Anglo","16","1"
"2021","Anderson","4-Tyler","Female","Anglo","17","1"
"2021","Anderson","4-Tyler","Female","Anglo","18","2"
"2021","Anderson","4-Tyler","Female","Anglo","2","1"
"2021","Anderson","4-Tyler","Female","Anglo","3","5"
"2021","Anderson","4-Tyler","Female","Anglo","4","3"
"2021","Anderson","4-Tyler","Female","Anglo","5","3"
"2021","Anderson","4-Tyler","Female","Anglo","6","2"
"2021","Anderson","4-Tyler","Female","Anglo","7","2"
"2021","Anderson","4-Tyler","Female","Anglo","8","2"
"2021","Anderson","4-Tyler","Female","Anglo","9","4"
"2021","Anderson","4-Tyler","Female","Hispanic","1","2"
"2021","Anderson","4-Tyler","Female","Hispanic","10","1"
"2021","Anderson","4-Tyler","Female","Hispanic","18","1"
"2021","Anderson","4-Tyler","Female","Hispanic","2","1"
"2021","Anderson","4-Tyler","Female","Hispanic","3","3"
"2021","Anderson","4-Tyler","Female","Hispanic","4","1"
"2021","Anderson","4-Tyler","Female","Hispanic","5","2"
"2021","Anderson","4-Tyler","Female","Hispanic","6","1"
"2021","Anderson","4-Tyler","Female","Hispanic","7","1"
"2021","Anderson","4-Tyler","Female","Other","1","1"
"2021","Anderson","4-Tyler","Female","Other","2","2"
"2021","Anderson","4-Tyler","Female","Other","5","1"
"2021","Anderson","4-Tyler","Female","Other","8","1"
"2021","Anderson","4-Tyler","Male","African American","1","8"
"2021","Anderson","4-Tyler","Male","African American","10","1"
"2021","Anderson","4-Tyler","Male","African American","11","1"
"2021","Anderson","4-Tyler","Male","African American","13","1"
"2021","Anderson","4-Tyler","Male","African American","2","6"
"2021","Anderson","4-Tyler","Male","African American","3","2"
"2021","Anderson","4-Tyler","Male","African American","4","2"
"2021","Anderson","4-Tyler","Male","African American","5","3"
"2021","Anderson","4-Tyler","Male","African American","6","2"
"2021","Anderson","4-Tyler","Male","African American","7","2"
"2021","Anderson","4-Tyler","Male","African American","9","2"
"2021","Anderson","4-Tyler","Male","Anglo","0","1"
"2021","Anderson","4-Tyler","Male","Anglo","1","2"
"2021","Anderson","4-Tyler","Male","Anglo","10","6"
"2021","Anderson","4-Tyler","Male","Anglo","11","1"
"2021","Anderson","4-Tyler","Male","Anglo","13","3"
"2021","Anderson","4-Tyler","Male","Anglo","14","4"
"2021","Anderson","4-Tyler","Male","Anglo","15","2"
"2021","Anderson","4-Tyler","Male","Anglo","16","2"
"2021","Anderson","4-Tyler","Male","Anglo","17","3"
"2021","Anderson","4-Tyler","Male","Anglo","2","2"
"2021","Anderson","4-Tyler","Male","Anglo","3","1"
"2021","Anderson","4-Tyler","Male","Anglo","4","2"
"2021","Anderson","4-Tyler","Male","Anglo","5","1"
"2021","Anderson","4-Tyler","Male","Anglo","6","6"
"2021","Anderson","4-Tyler","Male","Anglo","7","2"
"2021","Anderson","4-Tyler","Male","Anglo","8","2"
"2021","Anderson","4-Tyler","Male","Hispanic","0","1"
"2021","Anderson","4-Tyler","Male","Hispanic","1","1"
"2021","Anderson","4-Tyler","Male","Hispanic","11","1"
"2021","Anderson","4-Tyler","Male","Hispanic","12","1"
"2021","Anderson","4-Tyler","Male","Hispanic","15","2"
"2021","Anderson","4-Tyler","Male","Hispanic","16","1"
"2021","Anderson","4-Tyler","Male","Hispanic","2","4"
"2021","Anderson","4-Tyler","Male","Hispanic","3","2"
"2021","Anderson","4-Tyler","Male","Hispanic","4","1"
"2021","Anderson","4-Tyler","Male","Hispanic","5","3"
"2021","Anderson","4-Tyler","Male","Hispanic","6","2"
"2021","Anderson","4-Tyler","Male","Hispanic","7","1"
"2021","Anderson","4-Tyler","Male","Hispanic","8","1"
"2021","Anderson","4-Tyler","Male","Hispanic","9","1"
"2021","Anderson","4-Tyler","Male","Other","1","2"
"2021","Anderson","4-Tyler","Male","Other","16","1"
"2021","Anderson","4-Tyler","Male","Other","2","2"
"2021","Anderson","4-Tyler","Male","Other","4","1"
"2021","Anderson","4-Tyler","Male","Other","6","1"
"2021","Andrews","9-Midland","Female","Anglo","1","1"
