"fiscal_year","county","region","priority","intakes"
"2021","Armstrong","1-Lubbock","2","1"
"2021","Armstrong","1-Lubbock","3","1"
"2021","Bailey","1-Lubbock","1","8"
"2021","Bailey","1-Lubbock","2","19"
"2021","Bailey","1-Lubbock","3","3"
"2021","Briscoe","1-Lubbock","1","4"
"2021","Briscoe","1-Lubbock","2","10"
"2021","Carson","1-Lubbock","1","5"
"2021","Carson","1-Lubbock","2","14"
"2021","Carson","1-Lubbock","3","2"
"2021","Castro","1-Lubbock","1","7"
"2021","Castro","1-Lubbock","2","21"
"2021","Castro","1-Lubbock","3","1"
"2021","Childress","1-Lubbock","1","4"
"2021","Childress","1-Lubbock","2","31"
"2021","Childress","1-Lubbock","3","3"
"2021","Childress","1-Lubbock","4","2"
"2021","Cochran","1-Lubbock","1","8"
"2021","Cochran","1-Lubbock","2","26"
"2021","Cochran","1-Lubbock","3","8"
"2021","Cochran","1-Lubbock","4","1"
"2021","Collingsworth","1-Lubbock","1","10"
"2021","Collingsworth","1-Lubbock","2","26"
"2021","Collingsworth","1-Lubbock","3","1"
"2021","Collingsworth","1-Lubbock","4","1"
"2021","Crosby","1-Lubbock","1","9"
"2021","Crosby","1-Lubbock","2","75"
"2021","Crosby","1-Lubbock","3","20"
"2021","Crosby","1-Lubbock","4","1"
"2021","Dallam","1-Lubbock","1","4"
"2021","Dallam","1-Lubbock","2","7"
"2021","Deaf Smith","1-Lubbock","1","12"
"2021","Deaf Smith","1-Lubbock","2","57"
"2021","Deaf Smith","1-Lubbock","3","7"
"2021","Deaf Smith","1-Lubbock","4","4"
"2021","Dickens","1-Lubbock","1","6"
"2021","Dickens","1-Lubbock","2","15"
"2021","Dickens","1-Lubbock","3","3"
"2021","Donley","1-Lubbock","1","6"
"2021","Donley","1-Lubbock","2","18"
"2021","Floyd","1-Lubbock","1","5"
"2021","Floyd","1-Lubbock","2","28"
"2021","Floyd","1-Lubbock","3","2"
"2021","Garza","1-Lubbock","1","13"
"2021","Garza","1-Lubbock","2","16"
"2021","Garza","1-Lubbock","3","8"
"2021","Garza","1-Lubbock","4","4"
"2021","Gray","1-Lubbock","1","31"
"2021","Gray","1-Lubbock","2","102"
"2021","Gray","1-Lubbock","3","10"
"2021","Gray","1-Lubbock","4","5"
"2021","Hale","1-Lubbock","1","34"
"2021","Hale","1-Lubbock","2","124"
"2021","Hale","1-Lubbock","3","16"
"2021","Hale","1-Lubbock","4","3"
"2021","Hall","1-Lubbock","1","2"
"2021","Hall","1-Lubbock","2","8"
"2021","Hall","1-Lubbock","3","2"
"2021","Hall","1-Lubbock","4","1"
"2021","Hansford","1-Lubbock","1","3"
"2021","Hansford","1-Lubbock","2","9"
"2021","Hansford","1-Lubbock","3","1"
"2021","Hansford","1-Lubbock","4","2"
"2021","Hartley","1-Lubbock","1","2"
"2021","Hartley","1-Lubbock","2","3"
"2021","Hartley","1-Lubbock","3","3"
"2021","Hemphill","1-Lubbock","1","1"
"2021","Hemphill","1-Lubbock","2","2"
"2021","Hockley","1-Lubbock","1","35"
"2021","Hockley","1-Lubbock","2","151"
"2021","Hockley","1-Lubbock","3","26"
"2021","Hockley","1-Lubbock","4","4"
"2021","Hutchinson","1-Lubbock","1","29"
"2021","Hutchinson","1-Lubbock","2","86"
"2021","Hutchinson","1-Lubbock","3","17"
"2021","Hutchinson","1-Lubbock","4","2"
"2021","King","1-Lubbock","2","2"
"2021","Lamb","1-Lubbock","1","16"
"2021","Lamb","1-Lubbock","2","108"
"2021","Lamb","1-Lubbock","3","28"
"2021","Lamb","1-Lubbock","4","2"
"2021","Lipscomb","1-Lubbock","1","1"
"2021","Lipscomb","1-Lubbock","2","5"
"2021","Lubbock","1-Lubbock","1","498"
"2021","Lubbock","1-Lubbock","2","1530"
"2021","Lubbock","1-Lubbock","3","284"
"2021","Lubbock","1-Lubbock","4","84"
"2021","Lynn","1-Lubbock","1","8"
"2021","Lynn","1-Lubbock","2","43"
"2021","Lynn","1-Lubbock","3","8"
"2021","Lynn","1-Lubbock","4","3"
"2021","Moore","1-Lubbock","1","10"
"2021","Moore","1-Lubbock","2","40"
"2021","Moore","1-Lubbock","3","5"
"2021","Moore","1-Lubbock","4","2"
"2021","Motley","1-Lubbock","1","2"
"2021","Motley","1-Lubbock","2","1"
"2021","Motley","1-Lubbock","3","2"
"2021","Ochiltree","1-Lubbock","1","10"
"2021","Ochiltree","1-Lubbock","2","32"
"2021","Ochiltree","1-Lubbock","3","3"
"2021","Ochiltree","1-Lubbock","4","1"
"2021","Oldham","1-Lubbock","1","2"
"2021","Oldham","1-Lubbock","3","1"
"2021","Parmer","1-Lubbock","1","2"
"2021","Parmer","1-Lubbock","2","15"
"2021","Parmer","1-Lubbock","3","1"
"2021","Potter","1-Lubbock","1","252"
"2021","Potter","1-Lubbock","2","686"
"2021","Potter","1-Lubbock","3","83"
"2021","Potter","1-Lubbock","4","31"
"2021","Randall","1-Lubbock","1","100"
"2021","Randall","1-Lubbock","2","359"
"2021","Randall","1-Lubbock","3","62"
"2021","Randall","1-Lubbock","4","15"
