"fiscal_year","county","region","families_receiving_fbss_family_preservation_services_on_august_31"
"2021","Anderson","4-Tyler","3"
"2021","Andrews","9-Midland","5"
"2021","Angelina","5-Beaumont","14"
"2021","Aransas","11-Edinburg","4"
"2021","Archer","2-Abilene","1"
"2021","Armstrong","1-Lubbock","2"
"2021","Atascosa","8-San Antonio","19"
"2021","Austin","6-Houston","1"
"2021","Bailey","1-Lubbock","1"
"2021","Bandera","8-San Antonio","5"
"2021","Bastrop","7-Austin","10"
"2021","Bee","11-Edinburg","5"
"2021","Bell","7-Austin","52"
"2021","Bexar","8-San Antonio","603"
"2021","Blanco","7-Austin","1"
"2021","Bosque","7-Austin","1"
"2021","Bowie","4-Tyler","8"
"2021","Brazoria","6-Houston","58"
"2021","Brazos","7-Austin","7"
"2021","Brewster","10-El Paso","7"
"2021","Brooks","11-Edinburg","4"
"2021","Brown","2-Abilene","5"
"2021","Burleson","7-Austin","1"
"2021","Caldwell","7-Austin","8"
"2021","Calhoun","8-San Antonio","4"
"2021","Callahan","2-Abilene","1"
"2021","Cameron","11-Edinburg","13"
"2021","Camp","4-Tyler","1"
"2021","Carson","1-Lubbock","1"
"2021","Cass","4-Tyler","3"
"2021","Chambers","6-Houston","6"
"2021","Cherokee","4-Tyler","14"
"2021","Childress","1-Lubbock","12"
"2021","Clay","2-Abilene","4"
"2021","Cochran","1-Lubbock","5"
"2021","Coleman","2-Abilene","3"
"2021","Collin","3-Arlington","54"
"2021","Collingsworth","1-Lubbock","2"
"2021","Colorado","6-Houston","4"
"2021","Comal","8-San Antonio","32"
"2021","Comanche","2-Abilene","3"
"2021","Cooke","3-Arlington","6"
"2021","Coryell","7-Austin","9"
"2021","Crockett","9-Midland","1"
"2021","Crosby","1-Lubbock","2"
"2021","Dallam","1-Lubbock","3"
"2021","Dallas","3-Arlington","163"
"2021","Dawson","9-Midland","3"
"2021","Deaf Smith","1-Lubbock","12"
"2021","Denton","3-Arlington","71"
"2021","DeWitt","8-San Antonio","3"
"2021","Dimmit","8-San Antonio","4"
"2021","Donley","1-Lubbock","2"
"2021","Duval","11-Edinburg","2"
"2021","Eastland","2-Abilene","3"
"2021","Ector","9-Midland","29"
"2021","Edwards","8-San Antonio","1"
"2021","El Paso","10-El Paso","230"
"2021","Ellis","3-Arlington","19"
"2021","Erath","3-Arlington","14"
"2021","Falls","7-Austin","3"
"2021","Fannin","3-Arlington","3"
"2021","Fayette","7-Austin","4"
"2021","Floyd","1-Lubbock","2"
"2021","Fort Bend","6-Houston","52"
"2021","Freestone","7-Austin","2"
"2021","Frio","8-San Antonio","4"
"2021","Gaines","9-Midland","4"
"2021","Galveston","6-Houston","93"
"2021","Garza","1-Lubbock","1"
"2021","Gillespie","8-San Antonio","6"
"2021","Goliad","8-San Antonio","2"
"2021","Gonzales","8-San Antonio","2"
"2021","Gray","1-Lubbock","12"
"2021","Grayson","3-Arlington","22"
"2021","Gregg","4-Tyler","33"
"2021","Guadalupe","8-San Antonio","25"
"2021","Hale","1-Lubbock","20"
"2021","Hall","1-Lubbock","2"
"2021","Hansford","1-Lubbock","1"
"2021","Hardin","5-Beaumont","5"
"2021","Harris","6-Houston","567"
"2021","Harrison","4-Tyler","6"
"2021","Hartley","1-Lubbock","2"
"2021","Haskell","2-Abilene","1"
"2021","Hays","7-Austin","8"
"2021","Hemphill","1-Lubbock","1"
"2021","Henderson","4-Tyler","19"
"2021","Hidalgo","11-Edinburg","54"
"2021","Hill","7-Austin","3"
"2021","Hockley","1-Lubbock","15"
"2021","Hood","3-Arlington","14"
"2021","Hopkins","4-Tyler","4"
"2021","Houston","5-Beaumont","1"
"2021","Howard","9-Midland","7"
"2021","Hunt","3-Arlington","11"
"2021","Hutchinson","1-Lubbock","16"
"2021","Irion","9-Midland","1"
"2021","Jack","2-Abilene","2"
"2021","Jackson","8-San Antonio","3"
"2021","Jasper","5-Beaumont","9"
"2021","Jefferson","5-Beaumont","28"
"2021","Jim Hogg","11-Edinburg","1"
"2021","Jim Wells","11-Edinburg","12"
"2021","Johnson","3-Arlington","44"
"2021","Jones","2-Abilene","1"
"2021","Karnes","8-San Antonio","4"
"2021","Kaufman","3-Arlington","33"
"2021","Kendall","8-San Antonio","5"
"2021","Kerr","8-San Antonio","15"
"2021","Kimble","9-Midland","1"
"2021","Kleberg","11-Edinburg","12"
"2021","Lamar","4-Tyler","19"
"2021","Lamb","1-Lubbock","8"
"2021","Lampasas","7-Austin","4"
"2021","Lavaca","8-San Antonio","5"
"2021","Lee","7-Austin","2"
"2021","Leon","7-Austin","2"
"2021","Liberty","6-Houston","9"
"2021","Limestone","7-Austin","3"
"2021","Lipscomb","1-Lubbock","3"
"2021","Live Oak","11-Edinburg","3"
"2021","Llano","7-Austin","5"
"2021","Lubbock","1-Lubbock","123"
"2021","Marion","4-Tyler","2"
"2021","Matagorda","6-Houston","14"
"2021","Maverick","8-San Antonio","12"
"2021","McCulloch","9-Midland","3"
"2021","McLennan","7-Austin","46"
"2021","Medina","8-San Antonio","28"
"2021","Midland","9-Midland","34"
"2021","Milam","7-Austin","2"
"2021","Mitchell","2-Abilene","5"
"2021","Montague","2-Abilene","7"
"2021","Montgomery","6-Houston","36"
"2021","Moore","1-Lubbock","4"
"2021","Nacogdoches","5-Beaumont","9"
"2021","Navarro","3-Arlington","17"
"2021","Newton","5-Beaumont","7"
"2021","Nolan","2-Abilene","9"
"2021","Nueces","11-Edinburg","70"
"2021","Ochiltree","1-Lubbock","3"
"2021","Orange","5-Beaumont","11"
"2021","Out of State","Out of State","1"
"2021","Palo Pinto","3-Arlington","22"
"2021","Panola","4-Tyler","1"
"2021","Parker","3-Arlington","51"
"2021","Parmer","1-Lubbock","3"
"2021","Pecos","9-Midland","3"
"2021","Polk","5-Beaumont","4"
"2021","Potter","1-Lubbock","31"
"2021","Rains","4-Tyler","1"
"2021","Randall","1-Lubbock","23"
"2021","Real","8-San Antonio","3"
"2021","Red River","4-Tyler","2"
"2021","Reeves","9-Midland","1"
"2021","Roberts","1-Lubbock","1"
"2021","Robertson","7-Austin","1"
"2021","Rockwall","3-Arlington","9"
"2021","Runnels","2-Abilene","6"
"2021","Rusk","4-Tyler","5"
"2021","Sabine","5-Beaumont","3"
