"fiscal_year","county","region","case_actions","completed_investigations"
"2021","Anderson","4-Tyler","Not Opened for Services","311"
"2021","Anderson","4-Tyler","Opened for Services","33"
"2021","Andrews","9-Midland","Not Opened for Services","117"
"2021","Andrews","9-Midland","Opened for Services","27"
"2021","Angelina","5-Beaumont","Not Opened for Services","569"
"2021","Angelina","5-Beaumont","Opened for Services","65"
"2021","Aransas","11-Edinburg","Not Opened for Services","173"
"2021","Aransas","11-Edinburg","Opened for Services","24"
"2021","Archer","2-Abilene","Not Opened for Services","39"
"2021","Archer","2-Abilene","Opened for Services","5"
"2021","Armstrong","1-Lubbock","Not Opened for Services","12"
"2021","Armstrong","1-Lubbock","Opened for Services","2"
"2021","Atascosa","8-San Antonio","Not Opened for Services","341"
"2021","Atascosa","8-San Antonio","Opened for Services","93"
"2021","Austin","6-Houston","Not Opened for Services","131"
"2021","Austin","6-Houston","Opened for Services","12"
"2021","Bailey","1-Lubbock","Not Opened for Services","36"
"2021","Bailey","1-Lubbock","Opened for Services","4"
"2021","Bandera","8-San Antonio","Not Opened for Services","82"
"2021","Bandera","8-San Antonio","Opened for Services","15"
"2021","Bastrop","7-Austin","Not Opened for Services","484"
"2021","Bastrop","7-Austin","Opened for Services","67"
"2021","Baylor","2-Abilene","Not Opened for Services","36"
"2021","Baylor","2-Abilene","Opened for Services","7"
"2021","Bee","11-Edinburg","Not Opened for Services","198"
"2021","Bee","11-Edinburg","Opened for Services","49"
"2021","Bell","7-Austin","Not Opened for Services","2595"
"2021","Bell","7-Austin","Opened for Services","628"
"2021","Bexar","8-San Antonio","Not Opened for Services","9819"
"2021","Bexar","8-San Antonio","Opened for Services","2300"
"2021","Blanco","7-Austin","Not Opened for Services","23"
"2021","Blanco","7-Austin","Opened for Services","7"
"2021","Borden","9-Midland","Not Opened for Services","5"
"2021","Borden","9-Midland","Opened for Services","1"
"2021","Bosque","7-Austin","Not Opened for Services","113"
"2021","Bosque","7-Austin","Opened for Services","22"
"2021","Bowie","4-Tyler","Not Opened for Services","512"
"2021","Bowie","4-Tyler","Opened for Services","68"
"2021","Brazoria","6-Houston","Not Opened for Services","1190"
"2021","Brazoria","6-Houston","Opened for Services","146"
"2021","Brazos","7-Austin","Not Opened for Services","1045"
"2021","Brazos","7-Austin","Opened for Services","95"
"2021","Brewster","10-El Paso","Not Opened for Services","42"
"2021","Brewster","10-El Paso","Opened for Services","12"
"2021","Briscoe","1-Lubbock","Not Opened for Services","4"
"2021","Briscoe","1-Lubbock","Opened for Services","1"
"2021","Brooks","11-Edinburg","Not Opened for Services","44"
"2021","Brooks","11-Edinburg","Opened for Services","19"
"2021","Brown","2-Abilene","Not Opened for Services","256"
"2021","Brown","2-Abilene","Opened for Services","75"
"2021","Burleson","7-Austin","Not Opened for Services","102"
"2021","Burleson","7-Austin","Opened for Services","16"
"2021","Burnet","7-Austin","Not Opened for Services","269"
"2021","Burnet","7-Austin","Opened for Services","64"
"2021","Caldwell","7-Austin","Not Opened for Services","260"
"2021","Caldwell","7-Austin","Opened for Services","42"
"2021","Calhoun","8-San Antonio","Not Opened for Services","93"
"2021","Calhoun","8-San Antonio","Opened for Services","21"
"2021","Callahan","2-Abilene","Not Opened for Services","94"
"2021","Callahan","2-Abilene","Opened for Services","15"
"2021","Cameron","11-Edinburg","Not Opened for Services","2241"
"2021","Cameron","11-Edinburg","Opened for Services","119"
"2021","Camp","4-Tyler","Not Opened for Services","79"
"2021","Camp","4-Tyler","Opened for Services","18"
"2021","Carson","1-Lubbock","Not Opened for Services","30"
"2021","Carson","1-Lubbock","Opened for Services","7"
"2021","Cass","4-Tyler","Not Opened for Services","196"
"2021","Cass","4-Tyler","Opened for Services","37"
"2021","Castro","1-Lubbock","Not Opened for Services","30"
"2021","Castro","1-Lubbock","Opened for Services","7"
"2021","Chambers","6-Houston","Not Opened for Services","208"
"2021","Chambers","6-Houston","Opened for Services","14"
"2021","Cherokee","4-Tyler","Not Opened for Services","387"
"2021","Cherokee","4-Tyler","Opened for Services","64"
"2021","Childress","1-Lubbock","Not Opened for Services","32"
"2021","Childress","1-Lubbock","Opened for Services","23"
"2021","Clay","2-Abilene","Not Opened for Services","51"
"2021","Clay","2-Abilene","Opened for Services","16"
"2021","Cochran","1-Lubbock","Not Opened for Services","21"
"2021","Cochran","1-Lubbock","Opened for Services","9"
"2021","Coke","9-Midland","Not Opened for Services","12"
"2021","Coke","9-Midland","Opened for Services","2"
"2021","Coleman","2-Abilene","Not Opened for Services","44"
"2021","Coleman","2-Abilene","Opened for Services","24"
"2021","Collin","3-Arlington","Not Opened for Services","3177"
"2021","Collin","3-Arlington","Opened for Services","217"
"2021","Collingsworth","1-Lubbock","Not Opened for Services","14"
"2021","Collingsworth","1-Lubbock","Opened for Services","5"
"2021","Colorado","6-Houston","Not Opened for Services","75"
"2021","Colorado","6-Houston","Opened for Services","16"
"2021","Comal","8-San Antonio","Not Opened for Services","676"
"2021","Comal","8-San Antonio","Opened for Services","162"
"2021","Comanche","2-Abilene","Not Opened for Services","91"
"2021","Comanche","2-Abilene","Opened for Services","18"
"2021","Concho","9-Midland","Not Opened for Services","18"
"2021","Concho","9-Midland","Opened for Services","3"
"2021","Cooke","3-Arlington","Not Opened for Services","277"
"2021","Cooke","3-Arlington","Opened for Services","32"
"2021","Coryell","7-Austin","Not Opened for Services","671"
"2021","Coryell","7-Austin","Opened for Services","132"
"2021","Cottle","2-Abilene","Not Opened for Services","8"
"2021","Cottle","2-Abilene","Opened for Services","1"
"2021","Crane","9-Midland","Not Opened for Services","21"
"2021","Crane","9-Midland","Opened for Services","3"
