"fiscal_year","region","case_actions","completed_investigations"
"2021","1-Lubbock","Not Opened for Services","5529"
"2021","1-Lubbock","Opened for Services","1211"
"2021","2-Abilene","Not Opened for Services","4127"
"2021","2-Abilene","Opened for Services","1041"
"2021","3-Arlington","Not Opened for Services","35475"
"2021","3-Arlington","Opened for Services","4056"
"2021","4-Tyler","Not Opened for Services","6675"
"2021","4-Tyler","Opened for Services","1188"
"2021","5-Beaumont","Not Opened for Services","4560"
"2021","5-Beaumont","Opened for Services","567"
"2021","6-Houston","Not Opened for Services","31490"
"2021","6-Houston","Opened for Services","2845"
"2021","7-Austin","Not Opened for Services","16726"
"2021","7-Austin","Opened for Services","2642"
"2021","8-San Antonio","Not Opened for Services","14563"
"2021","8-San Antonio","Opened for Services","3351"
"2021","9-Midland","Not Opened for Services","3835"
"2021","9-Midland","Opened for Services","658"
"2021","10-El Paso","Not Opened for Services","3441"
"2021","10-El Paso","Opened for Services","638"
"2021","11-Edinburg","Not Opened for Services","11454"
"2021","11-Edinburg","Opened for Services","1421"
"2021","Out of State","Not Opened for Services","25"
"2021","Out of State","Opened for Services","1"
"2020","1-Lubbock","Not Opened for Services","5019"
"2020","1-Lubbock","Opened for Services","1426"
"2020","2-Abilene","Not Opened for Services","3682"
"2020","2-Abilene","Opened for Services","1343"
"2020","3-Arlington","Not Opened for Services","32362"
"2020","3-Arlington","Opened for Services","6660"
"2020","4-Tyler","Not Opened for Services","5443"
"2020","4-Tyler","Opened for Services","1686"
"2020","5-Beaumont","Not Opened for Services","3868"
"2020","5-Beaumont","Opened for Services","773"
"2020","6-Houston","Not Opened for Services","30905"
"2020","6-Houston","Opened for Services","4016"
"2020","7-Austin","Not Opened for Services","14877"
"2020","7-Austin","Opened for Services","3476"
"2020","8-San Antonio","Not Opened for Services","12851"
"2020","8-San Antonio","Opened for Services","4126"
"2020","9-Midland","Not Opened for Services","3351"
"2020","9-Midland","Opened for Services","894"
"2020","10-El Paso","Not Opened for Services","3299"
"2020","10-El Paso","Opened for Services","869"
"2020","11-Edinburg","Not Opened for Services","10796"
"2020","11-Edinburg","Opened for Services","2849"
"2020","Out of State","Not Opened for Services","21"
"2020","Out of State","Opened for Services","1"
"2019","1-Lubbock","Not Opened for Services","5073"
"2019","1-Lubbock","Opened for Services","1504"
"2019","2-Abilene","Not Opened for Services","4312"
"2019","2-Abilene","Opened for Services","1256"
"2019","3-Arlington","Not Opened for Services","33950"
"2019","3-Arlington","Opened for Services","6177"
"2019","4-Tyler","Not Opened for Services","5986"
"2019","4-Tyler","Opened for Services","1670"
"2019","5-Beaumont","Not Opened for Services","4269"
"2019","5-Beaumont","Opened for Services","729"
"2019","6-Houston","Not Opened for Services","31987"
"2019","6-Houston","Opened for Services","3914"
"2019","7-Austin","Not Opened for Services","16663"
"2019","7-Austin","Opened for Services","3080"
"2019","8-San Antonio","Not Opened for Services","14593"
"2019","8-San Antonio","Opened for Services","4067"
"2019","9-Midland","Not Opened for Services","3441"
"2019","9-Midland","Opened for Services","815"
"2019","10-El Paso","Not Opened for Services","3857"
"2019","10-El Paso","Opened for Services","829"
"2019","11-Edinburg","Not Opened for Services","11921"
"2019","11-Edinburg","Opened for Services","2917"
"2019","Out of State","Not Opened for Services","19"
"2018","1-Lubbock","Not Opened for Services","4905"
"2018","1-Lubbock","Opened for Services","1497"
"2018","2-Abilene","Not Opened for Services","4754"
"2018","2-Abilene","Opened for Services","1398"
"2018","3-Arlington","Not Opened for Services","35300"
"2018","3-Arlington","Opened for Services","7396"
"2018","4-Tyler","Not Opened for Services","6195"
"2018","4-Tyler","Opened for Services","1447"
"2018","5-Beaumont","Not Opened for Services","4238"
"2018","5-Beaumont","Opened for Services","734"
"2018","6-Houston","Not Opened for Services","33374"
"2018","6-Houston","Opened for Services","4652"
"2018","7-Austin","Not Opened for Services","16921"
"2018","7-Austin","Opened for Services","3203"
"2018","8-San Antonio","Not Opened for Services","17282"
"2018","8-San Antonio","Opened for Services","4369"
"2018","9-Midland","Not Opened for Services","3458"
"2018","9-Midland","Opened for Services","699"
"2018","10-El Paso","Not Opened for Services","4070"
"2018","10-El Paso","Opened for Services","529"
"2018","11-Edinburg","Not Opened for Services","11754"
"2018","11-Edinburg","Opened for Services","3034"
"2018","Out of State","Not Opened for Services","17"
"2018","Out of State","Opened for Services","2"
"2017","1-Lubbock","Not Opened for Services","4975"
"2017","1-Lubbock","Opened for Services","1527"
"2017","2-Abilene","Not Opened for Services","4341"
"2017","2-Abilene","Opened for Services","1458"
"2017","3-Arlington","Not Opened for Services","33749"
"2017","3-Arlington","Opened for Services","8363"
"2017","4-Tyler","Not Opened for Services","7067"
"2017","4-Tyler","Opened for Services","1441"
"2017","5-Beaumont","Not Opened for Services","4966"
"2017","5-Beaumont","Opened for Services","823"
"2017","6-Houston","Not Opened for Services","32391"
"2017","6-Houston","Opened for Services","5707"
"2017","7-Austin","Not Opened for Services","17017"
"2017","7-Austin","Opened for Services","3070"
"2017","8-San Antonio","Not Opened for Services","18297"
"2017","8-San Antonio","Opened for Services","4716"
"2017","9-Midland","Not Opened for Services","3271"
"2017","9-Midland","Opened for Services","830"
"2017","10-El Paso","Not Opened for Services","4376"
"2017","10-El Paso","Opened for Services","924"
"2017","11-Edinburg","Not Opened for Services","11080"
"2017","11-Edinburg","Opened for Services","4318"
"2017","Out of State","Not Opened for Services","30"
"2017","Out of State","Opened for Services","3"
"2016","1-Lubbock","Not Opened for Services","4851"
"2016","1-Lubbock","Opened for Services","1364"
"2016","2-Abilene","Not Opened for Services","4271"
"2016","2-Abilene","Opened for Services","1417"
"2016","3-Arlington","Not Opened for Services","31221"
"2016","3-Arlington","Opened for Services","6959"
"2016","4-Tyler","Not Opened for Services","7609"
"2016","4-Tyler","Opened for Services","1455"
"2016","5-Beaumont","Not Opened for Services","5642"
"2016","5-Beaumont","Opened for Services","828"
"2016","6-Houston","Not Opened for Services","30195"
"2016","6-Houston","Opened for Services","5094"
"2016","7-Austin","Not Opened for Services","17095"
"2016","7-Austin","Opened for Services","2962"
"2016","8-San Antonio","Not Opened for Services","16716"
"2016","8-San Antonio","Opened for Services","4070"
"2016","9-Midland","Not Opened for Services","3994"
"2016","9-Midland","Opened for Services","824"
"2016","10-El Paso","Not Opened for Services","3949"
"2016","10-El Paso","Opened for Services","1002"
"2016","11-Edinburg","Not Opened for Services","11672"
"2016","11-Edinburg","Opened for Services","3546"
"2016","Out of State","Not Opened for Services","17"
"2015","1-Lubbock","Not Opened for Services","5627"
"2015","1-Lubbock","Opened for Services","1110"
"2015","2-Abilene","Not Opened for Services","4576"
"2015","2-Abilene","Opened for Services","1128"
"2015","3-Arlington","Not Opened for Services","37396"
"2015","3-Arlington","Opened for Services","6438"
"2015","4-Tyler","Not Opened for Services","7832"
"2015","4-Tyler","Opened for Services","1367"
"2015","5-Beaumont","Not Opened for Services","5807"
"2015","5-Beaumont","Opened for Services","683"
"2015","6-Houston","Not Opened for Services","29780"
"2015","6-Houston","Opened for Services","4898"
"2015","7-Austin","Not Opened for Services","19569"
"2015","7-Austin","Opened for Services","2957"
"2015","8-San Antonio","Not Opened for Services","16680"
"2015","8-San Antonio","Opened for Services","3293"
"2015","9-Midland","Not Opened for Services","4165"
"2015","9-Midland","Opened for Services","741"
"2015","10-El Paso","Not Opened for Services","4112"
"2015","10-El Paso","Opened for Services","792"
"2015","11-Edinburg","Not Opened for Services","13880"
"2015","11-Edinburg","Opened for Services","3996"
"2015","Out of State","Not Opened for Services","40"
"2015","Out of State","Opened for Services","1"
"2014","1-Lubbock","Not Opened for Services","5518"
"2014","1-Lubbock","Opened for Services","1367"
"2014","2-Abilene","Not Opened for Services","4266"
"2014","2-Abilene","Opened for Services","1209"
"2014","3-Arlington","Not Opened for Services","35738"
"2014","3-Arlington","Opened for Services","6491"
"2014","4-Tyler","Not Opened for Services","7091"
