"fiscal_year","county","region","program","youth_served"
"2021","Anderson","4-Tyler","FAYS","29"
"2021","Andrews","9-Midland","FAYS","7"
"2021","Angelina","5-Beaumont","FAYS","44"
"2021","Angelina","5-Beaumont","SYSN","20"
"2021","Aransas","11-Edinburg","FAYS","0"
"2021","Archer","2-Abilene","FAYS","3"
"2021","Armstrong","1-Lubbock","FAYS","2"
"2021","Atascosa","8-San Antonio","FAYS","32"
"2021","Austin","6-Houston","FAYS","23"
"2021","Austin","6-Houston","SYSN","17"
"2021","Bailey","1-Lubbock","FAYS","10"
"2021","Bandera","8-San Antonio","FAYS","40"
"2021","Bandera","8-San Antonio","SYSN","12"
"2021","Bastrop","7-Austin","FAYS","21"
"2021","Bastrop","7-Austin","SYSN","0"
"2021","Baylor","2-Abilene","FAYS","2"
"2021","Bee","11-Edinburg","FAYS","5"
"2021","Bell","7-Austin","CYD","5"
"2021","Bell","7-Austin","FAYS","172"
"2021","Bell","7-Austin","SYSN","24"
"2021","Bexar","8-San Antonio","CYD","99"
"2021","Bexar","8-San Antonio","FAYS","157"
"2021","Bexar","8-San Antonio","SYSN","123"
"2021","Blanco","7-Austin","FAYS","12"
"2021","Borden","9-Midland","FAYS","1"
"2021","Bosque","7-Austin","FAYS","4"
"2021","Bowie","4-Tyler","FAYS","31"
"2021","Brazoria","6-Houston","CYD","1"
"2021","Brazoria","6-Houston","FAYS","111"
"2021","Brazoria","6-Houston","SYSN","4"
"2021","Brazos","7-Austin","CYD","0"
"2021","Brazos","7-Austin","FAYS","62"
"2021","Brazos","7-Austin","SYSN","22"
"2021","Brewster","10-El Paso","FAYS","3"
"2021","Briscoe","1-Lubbock","FAYS","0"
"2021","Brown","2-Abilene","FAYS","4"
"2021","Brown","2-Abilene","SYSN","6"
"2021","Burleson","7-Austin","FAYS","16"
"2021","Burnet","7-Austin","FAYS","22"
"2021","Burnet","7-Austin","SYSN","1"
"2021","Caldwell","7-Austin","CYD","0"
"2021","Caldwell","7-Austin","FAYS","39"
"2021","Calhoun","8-San Antonio","FAYS","5"
"2021","Callahan","2-Abilene","FAYS","4"
"2021","Callahan","2-Abilene","SYSN","0"
"2021","Cameron","11-Edinburg","CYD","125"
"2021","Cameron","11-Edinburg","FAYS","104"
"2021","Cameron","11-Edinburg","SYSN","70"
"2021","Camp","4-Tyler","FAYS","3"
"2021","Carson","1-Lubbock","FAYS","0"
"2021","Cass","4-Tyler","FAYS","12"
"2021","Castro","1-Lubbock","FAYS","5"
"2021","Chambers","6-Houston","CYD","1"
"2021","Chambers","6-Houston","FAYS","16"
"2021","Cherokee","4-Tyler","FAYS","52"
"2021","Clay","2-Abilene","FAYS","1"
"2021","Cochran","1-Lubbock","FAYS","1"
"2021","Coke","9-Midland","FAYS","2"
"2021","Coleman","2-Abilene","FAYS","9"
"2021","Collin","3-Arlington","FAYS","109"
"2021","Collin","3-Arlington","SYSN","103"
"2021","Collingsworth","1-Lubbock","FAYS","0"
"2021","Colorado","6-Houston","FAYS","34"
"2021","Colorado","6-Houston","SYSN","7"
"2021","Comal","8-San Antonio","FAYS","135"
"2021","Comal","8-San Antonio","SYSN","3"
"2021","Comanche","2-Abilene","FAYS","2"
"2021","Concho","9-Midland","FAYS","3"
"2021","Cooke","3-Arlington","FAYS","2"
"2021","Cooke","3-Arlington","SYSN","12"
"2021","Coryell","7-Austin","CYD","1"
"2021","Coryell","7-Austin","FAYS","35"
"2021","Coryell","7-Austin","SYSN","29"
"2021","Cottle","2-Abilene","FAYS","1"
"2021","Crane","9-Midland","FAYS","1"
"2021","Crockett","9-Midland","FAYS","2"
"2021","Crosby","1-Lubbock","FAYS","7"
"2021","Culberson","10-El Paso","FAYS","1"
"2021","Dallam","1-Lubbock","FAYS","9"
"2021","Dallas","3-Arlington","CYD","156"
"2021","Dallas","3-Arlington","FAYS","130"
"2021","Dallas","3-Arlington","SYSN","175"
"2021","Dawson","9-Midland","FAYS","2"
"2021","Deaf Smith","1-Lubbock","FAYS","28"
"2021","Deaf Smith","1-Lubbock","SYSN","24"
"2021","Delta","4-Tyler","FAYS","1"
"2021","Delta","4-Tyler","SYSN","1"
"2021","Denton","3-Arlington","FAYS","80"
"2021","Denton","3-Arlington","SYSN","38"
"2021","DeWitt","8-San Antonio","FAYS","8"
"2021","Dickens","1-Lubbock","FAYS","4"
"2021","Dimmit","8-San Antonio","FAYS","1"
"2021","Donley","1-Lubbock","FAYS","2"
"2021","Duval","11-Edinburg","FAYS","5"
"2021","Eastland","2-Abilene","FAYS","1"
"2021","Ector","9-Midland","FAYS","40"
"2021","Ector","9-Midland","SYSN","21"
"2021","Edwards","8-San Antonio","FAYS","2"
"2021","Ellis","3-Arlington","FAYS","15"
"2021","Ellis","3-Arlington","SYSN","10"
"2021","El Paso","10-El Paso","CYD","429"
"2021","El Paso","10-El Paso","FAYS","164"
"2021","El Paso","10-El Paso","SYSN","29"
"2021","Erath","3-Arlington","FAYS","20"
"2021","Erath","3-Arlington","SYSN","3"
"2021","Falls","7-Austin","CYD","0"
"2021","Falls","7-Austin","FAYS","3"
"2021","Fannin","3-Arlington","FAYS","2"
"2021","Fayette","7-Austin","FAYS","27"
"2021","Fayette","7-Austin","SYSN","5"
"2021","Fisher","2-Abilene","FAYS","3"
"2021","Floyd","1-Lubbock","FAYS","4"
"2021","Fort Bend","6-Houston","CYD","5"
"2021","Fort Bend","6-Houston","FAYS","52"
"2021","Fort Bend","6-Houston","SYSN","28"
"2021","Franklin","4-Tyler","FAYS","1"
"2021","Freestone","7-Austin","FAYS","8"
"2021","Frio","8-San Antonio","FAYS","1"
"2021","Gaines","9-Midland","FAYS","5"
"2021","Galveston","6-Houston","CYD","423"
"2021","Galveston","6-Houston","FAYS","163"
"2021","Galveston","6-Houston","SYSN","4"
"2021","Garza","1-Lubbock","FAYS","3"
"2021","Gillespie","8-San Antonio","FAYS","19"
"2021","Glasscock","9-Midland","FAYS","0"
"2021","Goliad","8-San Antonio","FAYS","1"
"2021","Gonzales","8-San Antonio","FAYS","1"
"2021","Gray","1-Lubbock","FAYS","1"
"2021","Grayson","3-Arlington","FAYS","4"
"2021","Grayson","3-Arlington","SYSN","20"
"2021","Gregg","4-Tyler","FAYS","34"
"2021","Gregg","4-Tyler","SYSN","10"
"2021","Grimes","7-Austin","FAYS","6"
"2021","Guadalupe","8-San Antonio","FAYS","88"
"2021","Guadalupe","8-San Antonio","SYSN","2"
"2021","Hale","1-Lubbock","FAYS","15"
"2021","Hall","1-Lubbock","FAYS","1"
"2021","Hamilton","7-Austin","FAYS","1"
"2021","Hansford","1-Lubbock","SYSN","0"
"2021","Hardeman","2-Abilene","FAYS","3"
"2021","Hardin","5-Beaumont","CYD","0"
"2021","Hardin","5-Beaumont","FAYS","16"
"2021","Hardin","5-Beaumont","SYSN","5"
"2021","Harris","6-Houston","CYD","786"
"2021","Harris","6-Houston","FAYS","278"
"2021","Harris","6-Houston","SYSN","196"
"2021","Harrison","4-Tyler","FAYS","34"
"2021","Harrison","4-Tyler","SYSN","8"
"2021","Hartley","1-Lubbock","FAYS","4"
"2021","Hays","7-Austin","CYD","3"
"2021","Hays","7-Austin","FAYS","62"
"2021","Hays","7-Austin","SYSN","15"
"2021","Hemphill","1-Lubbock","FAYS","0"
"2021","Henderson","4-Tyler","FAYS","9"
"2021","Hidalgo","11-Edinburg","CYD","793"
