"fiscal_year","region","program","race_ethnicity","gender","age","youth_served"
"2021","1-Lubbock","CYD","African Amercan","Female","0","1"
"2021","1-Lubbock","CYD","African Amercan","Female","2","1"
"2021","1-Lubbock","CYD","African Amercan","Female","6","8"
"2021","1-Lubbock","CYD","African Amercan","Female","7","14"
"2021","1-Lubbock","CYD","African Amercan","Female","8","19"
"2021","1-Lubbock","CYD","African Amercan","Female","9","16"
"2021","1-Lubbock","CYD","African Amercan","Female","10","55"
"2021","1-Lubbock","CYD","African Amercan","Female","11","54"
"2021","1-Lubbock","CYD","African Amercan","Female","12","48"
"2021","1-Lubbock","CYD","African Amercan","Female","13","44"
"2021","1-Lubbock","CYD","African Amercan","Female","14","33"
"2021","1-Lubbock","CYD","African Amercan","Female","15","19"
"2021","1-Lubbock","CYD","African Amercan","Female","16","13"
"2021","1-Lubbock","CYD","African Amercan","Female","17","7"
"2021","1-Lubbock","CYD","African Amercan","Female","38","1"
"2021","1-Lubbock","CYD","African Amercan","Male","0","1"
"2021","1-Lubbock","CYD","African Amercan","Male","5","1"
"2021","1-Lubbock","CYD","African Amercan","Male","6","7"
"2021","1-Lubbock","CYD","African Amercan","Male","7","7"
"2021","1-Lubbock","CYD","African Amercan","Male","8","20"
"2021","1-Lubbock","CYD","African Amercan","Male","9","36"
"2021","1-Lubbock","CYD","African Amercan","Male","10","52"
"2021","1-Lubbock","CYD","African Amercan","Male","11","49"
"2021","1-Lubbock","CYD","African Amercan","Male","12","46"
"2021","1-Lubbock","CYD","African Amercan","Male","13","46"
"2021","1-Lubbock","CYD","African Amercan","Male","14","30"
"2021","1-Lubbock","CYD","African Amercan","Male","15","15"
"2021","1-Lubbock","CYD","African Amercan","Male","16","8"
"2021","1-Lubbock","CYD","African Amercan","Male","17","8"
"2021","1-Lubbock","CYD","Anglo","Female","5","1"
"2021","1-Lubbock","CYD","Anglo","Female","6","4"
"2021","1-Lubbock","CYD","Anglo","Female","7","3"
"2021","1-Lubbock","CYD","Anglo","Female","8","2"
"2021","1-Lubbock","CYD","Anglo","Female","9","6"
"2021","1-Lubbock","CYD","Anglo","Female","10","15"
"2021","1-Lubbock","CYD","Anglo","Female","11","16"
"2021","1-Lubbock","CYD","Anglo","Female","12","13"
"2021","1-Lubbock","CYD","Anglo","Female","13","9"
"2021","1-Lubbock","CYD","Anglo","Female","14","16"
"2021","1-Lubbock","CYD","Anglo","Female","15","9"
"2021","1-Lubbock","CYD","Anglo","Female","16","8"
"2021","1-Lubbock","CYD","Anglo","Female","17","10"
"2021","1-Lubbock","CYD","Anglo","Male","5","1"
"2021","1-Lubbock","CYD","Anglo","Male","6","5"
"2021","1-Lubbock","CYD","Anglo","Male","7","2"
"2021","1-Lubbock","CYD","Anglo","Male","8","1"
"2021","1-Lubbock","CYD","Anglo","Male","9","7"
"2021","1-Lubbock","CYD","Anglo","Male","10","16"
"2021","1-Lubbock","CYD","Anglo","Male","11","15"
"2021","1-Lubbock","CYD","Anglo","Male","12","15"
"2021","1-Lubbock","CYD","Anglo","Male","13","10"
"2021","1-Lubbock","CYD","Anglo","Male","14","9"
"2021","1-Lubbock","CYD","Anglo","Male","15","10"
"2021","1-Lubbock","CYD","Anglo","Male","16","6"
"2021","1-Lubbock","CYD","Anglo","Male","17","2"
"2021","1-Lubbock","CYD","Asian","Female","6","2"
"2021","1-Lubbock","CYD","Asian","Female","7","2"
"2021","1-Lubbock","CYD","Asian","Female","9","3"
"2021","1-Lubbock","CYD","Asian","Female","10","7"
"2021","1-Lubbock","CYD","Asian","Female","11","15"
"2021","1-Lubbock","CYD","Asian","Female","12","11"
"2021","1-Lubbock","CYD","Asian","Female","13","13"
"2021","1-Lubbock","CYD","Asian","Female","14","4"
"2021","1-Lubbock","CYD","Asian","Female","15","1"
"2021","1-Lubbock","CYD","Asian","Female","16","5"
"2021","1-Lubbock","CYD","Asian","Male","4","1"
"2021","1-Lubbock","CYD","Asian","Male","7","2"
"2021","1-Lubbock","CYD","Asian","Male","9","1"
"2021","1-Lubbock","CYD","Asian","Male","10","4"
"2021","1-Lubbock","CYD","Asian","Male","11","10"
"2021","1-Lubbock","CYD","Asian","Male","12","3"
"2021","1-Lubbock","CYD","Asian","Male","13","2"
"2021","1-Lubbock","CYD","Asian","Male","14","1"
"2021","1-Lubbock","CYD","Asian","Male","16","4"
"2021","1-Lubbock","CYD","Hispanic","Female","0","1"
"2021","1-Lubbock","CYD","Hispanic","Female","5","3"
"2021","1-Lubbock","CYD","Hispanic","Female","6","16"
"2021","1-Lubbock","CYD","Hispanic","Female","7","19"
"2021","1-Lubbock","CYD","Hispanic","Female","8","26"
"2021","1-Lubbock","CYD","Hispanic","Female","9","37"
"2021","1-Lubbock","CYD","Hispanic","Female","10","133"
"2021","1-Lubbock","CYD","Hispanic","Female","11","187"
"2021","1-Lubbock","CYD","Hispanic","Female","12","160"
"2021","1-Lubbock","CYD","Hispanic","Female","13","162"
"2021","1-Lubbock","CYD","Hispanic","Female","14","88"
"2021","1-Lubbock","CYD","Hispanic","Female","15","41"
"2021","1-Lubbock","CYD","Hispanic","Female","16","33"
"2021","1-Lubbock","CYD","Hispanic","Female","17","29"
"2021","1-Lubbock","CYD","Hispanic","Male","0","2"
"2021","1-Lubbock","CYD","Hispanic","Male","5","1"
"2021","1-Lubbock","CYD","Hispanic","Male","6","12"
"2021","1-Lubbock","CYD","Hispanic","Male","7","19"
"2021","1-Lubbock","CYD","Hispanic","Male","8","17"
"2021","1-Lubbock","CYD","Hispanic","Male","9","52"
"2021","1-Lubbock","CYD","Hispanic","Male","10","94"
"2021","1-Lubbock","CYD","Hispanic","Male","11","146"
"2021","1-Lubbock","CYD","Hispanic","Male","12","121"
"2021","1-Lubbock","CYD","Hispanic","Male","13","96"
"2021","1-Lubbock","CYD","Hispanic","Male","14","65"
"2021","1-Lubbock","CYD","Hispanic","Male","15","42"
"2021","1-Lubbock","CYD","Hispanic","Male","16","32"
"2021","1-Lubbock","CYD","Hispanic","Male","17","15"
