"fiscal_year","county","region","program","youth_served"
"2021","Anderson","4-Tyler","FAYS","72"
"2021","Andrews","9-Midland","FAYS","30"
"2021","Angelina","5-Beaumont","FAYS","163"
"2021","Angelina","5-Beaumont","SYSN","25"
"2021","Aransas","11-Edinburg","FAYS","2"
"2021","Archer","2-Abilene","FAYS","10"
"2021","Armstrong","1-Lubbock","FAYS","4"
"2021","Atascosa","8-San Antonio","FAYS","99"
"2021","Austin","6-Houston","FAYS","54"
"2021","Austin","6-Houston","SYSN","20"
"2021","Bailey","1-Lubbock","FAYS","34"
"2021","Bandera","8-San Antonio","FAYS","137"
"2021","Bandera","8-San Antonio","SYSN","18"
"2021","Bastrop","7-Austin","FAYS","48"
"2021","Bastrop","7-Austin","SYSN","1"
"2021","Baylor","2-Abilene","FAYS","10"
"2021","Bee","11-Edinburg","FAYS","12"
"2021","Bell","7-Austin","CYD","15"
"2021","Bell","7-Austin","FAYS","661"
"2021","Bell","7-Austin","SYSN","47"
"2021","Bexar","8-San Antonio","CYD","298"
"2021","Bexar","8-San Antonio","FAYS","448"
"2021","Bexar","8-San Antonio","SYSN","227"
"2021","Blanco","7-Austin","FAYS","26"
"2021","Borden","9-Midland","FAYS","2"
"2021","Bosque","7-Austin","FAYS","14"
"2021","Bowie","4-Tyler","FAYS","99"
"2021","Brazoria","6-Houston","CYD","3"
"2021","Brazoria","6-Houston","FAYS","382"
"2021","Brazoria","6-Houston","SYSN","10"
"2021","Brazos","7-Austin","CYD","1"
"2021","Brazos","7-Austin","FAYS","195"
"2021","Brazos","7-Austin","SYSN","42"
"2021","Brewster","10-El Paso","FAYS","12"
"2021","Briscoe","1-Lubbock","FAYS","1"
"2021","Brown","2-Abilene","FAYS","10"
"2021","Brown","2-Abilene","SYSN","10"
"2021","Burleson","7-Austin","FAYS","55"
"2021","Burnet","7-Austin","FAYS","73"
"2021","Burnet","7-Austin","SYSN","10"
"2021","Caldwell","7-Austin","CYD","2"
"2021","Caldwell","7-Austin","FAYS","110"
"2021","Calhoun","8-San Antonio","FAYS","13"
"2021","Callahan","2-Abilene","FAYS","11"
"2021","Callahan","2-Abilene","SYSN","1"
"2021","Cameron","11-Edinburg","CYD","308"
"2021","Cameron","11-Edinburg","FAYS","343"
"2021","Cameron","11-Edinburg","SYSN","81"
