"fiscal_year","county","region","race_ethnicity","children_receving_fbss_family_preservation_services_on_august_31","children_in_fpr_stages_open_on_august_31"
"2021","Anderson","4-Tyler","Anglo","5","5"
"2021","Anderson","4-Tyler","Other","4","4"
"2021","Andrews","9-Midland","Anglo","3","3"
"2021","Andrews","9-Midland","Hispanic","11","11"
"2021","Angelina","5-Beaumont","African American","1","1"
"2021","Angelina","5-Beaumont","Anglo","23","23"
"2021","Angelina","5-Beaumont","Hispanic","11","11"
"2021","Angelina","5-Beaumont","Other","1","1"
"2021","Aransas","11-Edinburg","Anglo","2","2"
"2021","Aransas","11-Edinburg","Hispanic","6","6"
"2021","Archer","2-Abilene","Anglo","1","1"
"2021","Armstrong","1-Lubbock","Anglo","4","4"
"2021","Atascosa","8-San Antonio","Anglo","9","9"
"2021","Atascosa","8-San Antonio","Hispanic","55","55"
"2021","Austin","6-Houston","Other","1","1"
"2021","Bailey","1-Lubbock","Hispanic","3","3"
"2021","Bandera","8-San Antonio","Anglo","10","10"
"2021","Bandera","8-San Antonio","Hispanic","1","1"
"2021","Bandera","8-San Antonio","Other","3","3"
"2021","Bastrop","7-Austin","African American","2","2"
"2021","Bastrop","7-Austin","Anglo","4","4"
"2021","Bastrop","7-Austin","Hispanic","10","10"
"2021","Bastrop","7-Austin","Other","4","4"
"2021","Bee","11-Edinburg","Hispanic","13","13"
"2021","Bell","7-Austin","African American","51","52"
"2021","Bell","7-Austin","Anglo","19","19"
"2021","Bell","7-Austin","Hispanic","16","16"
"2021","Bell","7-Austin","Other","23","23"
"2021","Bexar","8-San Antonio","African American","151","151"
"2021","Bexar","8-San Antonio","Anglo","123","123"
"2021","Bexar","8-San Antonio","Asian","2","2"
"2021","Bexar","8-San Antonio","Hispanic","1222","1222"
"2021","Bexar","8-San Antonio","Native American","1","1"
"2021","Bexar","8-San Antonio","Other","111","111"
"2021","Blanco","7-Austin","Anglo","1","1"
"2021","Bosque","7-Austin","Anglo","3","3"
"2021","Bowie","4-Tyler","African American","11","11"
"2021","Bowie","4-Tyler","Anglo","12","12"
"2021","Bowie","4-Tyler","Hispanic","2","2"
"2021","Bowie","4-Tyler","Other","1","1"
"2021","Brazoria","6-Houston","African American","13","13"
"2021","Brazoria","6-Houston","Anglo","59","59"
"2021","Brazoria","6-Houston","Hispanic","77","77"
"2021","Brazoria","6-Houston","Other","18","18"
"2021","Brazos","7-Austin","African American","8","8"
"2021","Brazos","7-Austin","Anglo","1","1"
"2021","Brazos","7-Austin","Hispanic","6","6"
"2021","Brazos","7-Austin","Other","2","2"
"2021","Brewster","10-El Paso","Anglo","1","1"
"2021","Brewster","10-El Paso","Hispanic","9","9"
"2021","Brooks","11-Edinburg","Hispanic","15","15"
"2021","Brown","2-Abilene","African American","1","1"
"2021","Brown","2-Abilene","Anglo","8","8"
"2021","Burleson","7-Austin","African American","1","1"
"2021","Caldwell","7-Austin","Hispanic","18","18"
"2021","Calhoun","8-San Antonio","African American","4","4"
"2021","Calhoun","8-San Antonio","Anglo","1","1"
"2021","Calhoun","8-San Antonio","Hispanic","8","8"
"2021","Calhoun","8-San Antonio","Other","1","1"
"2021","Callahan","2-Abilene","Hispanic","1","1"
"2021","Cameron","11-Edinburg","Anglo","1","1"
"2021","Cameron","11-Edinburg","Hispanic","37","37"
"2021","Cameron","11-Edinburg","Other","1","1"
"2021","Camp","4-Tyler","African American","4","4"
"2021","Carson","1-Lubbock","Anglo","2","2"
"2021","Cass","4-Tyler","African American","2","2"
