"fiscal_year","county","region","placement_intended_to_be_permanent","children_wating_for_adoption_on_31_august","average_months_since_termination_of_parental_rights"
"2021","Anderson","4-Tyler","Placement Not Intended to be Permanent","15","25.5569892473118"
"2021","Anderson","4-Tyler","Placement Intended to be Permanent","36","13.3503584229391"
"2021","Andrews","9-Midland","Placement Not Intended to be Permanent","7","56.2350230414747"
"2021","Andrews","9-Midland","Placement Intended to be Permanent","3","2.60215053763441"
"2021","Angelina","5-Beaumont","Placement Not Intended to be Permanent","9","28.0250896057348"
"2021","Angelina","5-Beaumont","Placement Intended to be Permanent","14","12.9654377880184"
"2021","Aransas","11-Edinburg","Placement Not Intended to be Permanent","8","35.7540322580645"
"2021","Aransas","11-Edinburg","Placement Intended to be Permanent","4","9.88709677419355"
"2021","Archer","2-Abilene","Placement Intended to be Permanent","2","12.3225806451613"
"2021","Atascosa","8-San Antonio","Placement Not Intended to be Permanent","21","26.8832565284178"
"2021","Atascosa","8-San Antonio","Placement Intended to be Permanent","26","7.18362282878412"
"2021","Bailey","1-Lubbock","Placement Not Intended to be Permanent","4","27.6209677419355"
"2021","Bailey","1-Lubbock","Placement Intended to be Permanent","5","10.9354838709677"
"2021","Bandera","8-San Antonio","Placement Not Intended to be Permanent","7","20.5069124423963"
"2021","Bandera","8-San Antonio","Placement Intended to be Permanent","5","4.03225806451613"
"2021","Bastrop","7-Austin","Placement Not Intended to be Permanent","6","38.5483870967742"
"2021","Bastrop","7-Austin","Placement Intended to be Permanent","21","9.92165898617512"
"2021","Bee","11-Edinburg","Placement Not Intended to be Permanent","13","18.8064516129032"
"2021","Bee","11-Edinburg","Placement Intended to be Permanent","4","4.94354838709677"
"2021","Bell","7-Austin","Placement Not Intended to be Permanent","67","19.5127587867116"
"2021","Bell","7-Austin","Placement Intended to be Permanent","142","10.740345297592"
"2021","Bexar","8-San Antonio","Placement Not Intended to be Permanent","425","24.8135104364326"
"2021","Bexar","8-San Antonio","Placement Intended to be Permanent","337","8.79812386331004"
"2021","Blanco","7-Austin","Placement Not Intended to be Permanent","1","73.9677419354839"
"2021","Blanco","7-Austin","Placement Intended to be Permanent","1","15.0967741935484"
"2021","Bosque","7-Austin","Placement Not Intended to be Permanent","5","43.7935483870968"
"2021","Bosque","7-Austin","Placement Intended to be Permanent","11","12.0791788856305"
"2021","Bowie","4-Tyler","Placement Not Intended to be Permanent","13","28.863523573201"
"2021","Bowie","4-Tyler","Placement Intended to be Permanent","20","15.0983870967742"
"2021","Brazoria","6-Houston","Placement Not Intended to be Permanent","17","23.7931688804554"
"2021","Brazoria","6-Houston","Placement Intended to be Permanent","21","15.5145929339478"
"2021","Brazos","7-Austin","Placement Not Intended to be Permanent","6","23.5591397849462"
"2021","Brazos","7-Austin","Placement Intended to be Permanent","18","15.4372759856631"
"2021","Briscoe","1-Lubbock","Placement Intended to be Permanent","3","7.64516129032258"
"2021","Brooks","11-Edinburg","Placement Intended to be Permanent","2","3.29032258064516"
"2021","Brown","2-Abilene","Placement Not Intended to be Permanent","10","41.3483870967742"
"2021","Brown","2-Abilene","Placement Intended to be Permanent","17","13.4459203036053"
"2021","Burleson","7-Austin","Placement Not Intended to be Permanent","2","90.2741935483871"
"2021","Burleson","7-Austin","Placement Intended to be Permanent","3","2.59139784946237"
"2021","Burnet","7-Austin","Placement Not Intended to be Permanent","4","26.2338709677419"
"2021","Burnet","7-Austin","Placement Intended to be Permanent","15","5.23440860215054"
"2021","Caldwell","7-Austin","Placement Not Intended to be Permanent","4","9.00806451612903"
"2021","Caldwell","7-Austin","Placement Intended to be Permanent","21","6.1121351766513"
"2021","Calhoun","8-San Antonio","Placement Not Intended to be Permanent","11","13.3431085043988"
"2021","Calhoun","8-San Antonio","Placement Intended to be Permanent","8","11.3306451612903"
"2021","Callahan","2-Abilene","Placement Not Intended to be Permanent","1","103"
"2021","Callahan","2-Abilene","Placement Intended to be Permanent","1","1.29032258064516"
"2021","Cameron","11-Edinburg","Placement Not Intended to be Permanent","55","19.3431085043988"
"2021","Cameron","11-Edinburg","Placement Intended to be Permanent","28","9.0668202764977"
"2021","Camp","4-Tyler","Placement Intended to be Permanent","1","2.25806451612903"
"2021","Carson","1-Lubbock","Placement Not Intended to be Permanent","2","1.51612903225806"
"2021","Cass","4-Tyler","Placement Not Intended to be Permanent","1","5.51612903225806"
"2021","Cass","4-Tyler","Placement Intended to be Permanent","2","4.12903225806452"
"2021","Castro","1-Lubbock","Placement Intended to be Permanent","5","8"
