"incident_date","incident_number","location_district","offense_code","offense_description","weapon_type","incident_location","city","state","zip","latitude","longitude","location_1","incident_status"
"2017-08-03T00:00:00.000","2017-125215","51","23D","THEFT FROM BUILDING",,"100 W 8TH ST","LITTLE ROCK","AR","72201","34.760997","-92.267547","(34.760997, -92.267547)","OP"
"2018-04-26T20:30:00.000","2018-049436","41","23H","ALL OTHER LARCENY",,,,,,,,,"EX"
"2019-03-18T13:10:00.000","2019-033259","81","11A","RAPE",,,,,,,,,"AD"
"2020-01-09T11:00:00.000","2020-008671","64","11A","RAPE",,,,,,,,,"EX"
"2020-07-04T03:28:00.000","2020-074024","50","11A","RAPE",,,,,,,,,"EX"
"2020-10-29T12:09:00.000","2020-126649","54","11A","RAPE","PERSONAL WEAPONS (HANDS, FISTS, ETC)",,,,,,,,"EX"
"2021-01-02T01:30:00.000","2021-000370","92","220","BURGLARY/B&E",,,,,,,,,"AD"
"2021-02-14T19:35:00.000","2021-014470","91","11A","RAPE",,,,,,,,,"EX"
"2021-12-05T18:20:00.000","2021-148758",,"11A","RAPE","UNKNOWN",,,,,,,,"AD"
"2021-11-11T21:42:00.000","2021-300161","50","23H","ALL OTHER LARCENY",,"513 N POLK ST","LITTLE ROCK","AR","72205",,,,"OP"
"2022-06-25T11:46:00.000","2022-074369","40","220","BURGLARY/B&E",,"311 E 9TH ST","LITTLE ROCK","AR","72201",,,,"AD"
"2022-07-26T02:42:00.000","2022-088020","61","11A","RAPE","OTHER",,,,,,,,"AD"
"2022-08-12T16:50:00.000","2022-302229","40","220","BURGLARY/B&E",,"609 EAST 16TH STREET","LITTLE ROCK","AR","72202",,,,"AD"
"2018-11-03T11:41:00.000","2019-137571","81","13A","AGGRAVATED ASSAULT","PERSONAL WEAPONS (HANDS, FISTS, ETC)","8118 STANTON RD","LITTLE ROCK","AR","72209","34.674873","-92.33317","(34.674873, -92.33317)","AD"
"2021-01-13T17:12:00.000","2021-003044","92","23H","ALL OTHER LARCENY",,"1  NANDINA","LITTLE ROCK","AR","72210","34.652951","-92.431532","(34.652951, -92.431532)","AD"
"2019-07-08T17:28:00.000","2019-084972","91","23F","THEFT FROM MOTOR VEHICLE",,"8801 BASELINE RD","LITTLE ROCK","AR","72209","34.667162","-92.37698","(34.667162, -92.37698)","AR"
"2021-08-30T18:42:00.000","2021-105710","83","120","ROBBERY","FIREARM","5404 HOLLY SPRINGS BLVD","LITTLE ROCK","AR","72206","34.628488","-92.341607","(34.628488, -92.341607)","AC"
"2021-10-11T17:08:00.000","2021-125237","71","23D","THEFT FROM BUILDING",,"17601 CHENAL PKY","LITTLE ROCK","AR","72223","34.476564","-92.245631","(34.476564, -92.245631)","AD"
"2021-03-17T18:12:00.000","2021-027276","82","23G","THEFT OF MOTOR VEHICLE PARTS",,"5010  OPAL ST","LITTLE ROCK","AR","72209","34.673893","-92.334594","(34.673893, -92.334594)","AD"
"2018-03-31T12:33:00.000","2018-037803","90","220","BURGLARY/B&E",,"1 LAMONT DR","LITTLE ROCK","AR","72209","34.694218","-92.34919","(34.694218, -92.34919)","AR"
"2017-12-25T22:30:00.000","2017-161742","90","23D","THEFT FROM BUILDING",,"7700 N CHICOT RD","LITTLE ROCK","AR","72209","34.680481","-92.36261","(34.680481, -92.36261)","OP"
"2021-11-07T13:09:00.000","2021-137088","80","120","ROBBERY","PERSONAL WEAPONS (HANDS, FISTS, ETC)","5200 W 65TH ST","LITTLE ROCK","AR","72209","34.690914","-92.334693","(34.690914, -92.334693)","AD"
"2017-08-15T01:44:00.000","2017-099991","81","13A","AGGRAVATED ASSAULT","FIREARM","6902 W WAKEFIELD DR","LITTLE ROCK","AR","72209","34.687059","-92.32941","(34.687059, -92.32941)","AD"
"2017-04-04T17:00:00.000","2017-037498","81","240","MOTOR VEHICLE THEFT",,"6500 YOUNG RD","LITTLE ROCK","AR","72209","34.680169","-92.348969","(34.680169, -92.348969)","AD"
"2020-09-04T16:17:00.000","2020-102513","92","220","BURGLARY/B&E",,"106  CENTER STONE DR","LITTLE ROCK","AR","72002","34.638474","-92.418827","(34.638474, -92.418827)","AD"
"2022-05-20T19:10:00.000","2022-058502","91","23F","THEFT FROM MOTOR VEHICLE",,"5 RICHSMITH CV","LITTLE ROCK","AR","72209","34.466439","-92.238108","(34.466439, -92.238108)","AC"
"2019-12-13T13:19:00.000","2019-154381","81","23G","THEFT OF MOTOR VEHICLE PARTS",,"6400 BASELINE RD","LITTLE ROCK","AR","72209","34.669321","-92.349387","(34.669321, -92.349387)","AD"
"2017-11-04T03:00:00.000","2017-139798","81","23D","THEFT FROM BUILDING",,"7724 GEYER SPRINGS RD","LITTLE ROCK","AR","72209","34.679623","-92.343788","(34.679623, -92.343788)","OP"
"2021-05-31T12:50:00.000","2021-061141","82","220","BURGLARY/B&E",,"7201  INTERSTATE 30","LITTLE ROCK","AR","72209","34.678748","-92.315484","(34.678748, -92.315484)","AD"
"2022-03-13T17:48:00.000","2022-029075","92","23C","SHOPLIFTING",,"11201 BASS PRO PKY","LITTLE ROCK","AR","72210","34.661995","-92.407734","(34.661995, -92.407734)","AD"
"2021-05-18T07:00:00.000","2021-054608","83","220","BURGLARY/B&E",,"5209  SOUTHBORO DR","LITTLE ROCK","AR","72209","34.663075","-92.337643","(34.663075, -92.337643)","AD"
"2017-10-17T09:15:00.000","2017-130405","82","13A","AGGRAVATED ASSAULT","MOTOR VEHICLE","4003 WEST DR","LITTLE ROCK","AR","72209","34.665672","-92.323065","(34.665672, -92.323065)","EX"
"2018-11-20T11:34:00.000","2018-161001","82","220","BURGLARY/B&E",,"59 SAXONY CIR","LITTLE ROCK","AR","72209","34.662625","-92.349354","(34.662625, -92.349354)","UP"
"2021-12-06T08:31:00.000","2021-148967","80","23F","THEFT FROM MOTOR VEHICLE",,"2620 W 65TH ST","LITTLE ROCK","AR","72209","34.689593","-92.307046","(34.689593, -92.307046)","AD"
"2018-08-01T23:00:00.000","2018-096307","80","23F","THEFT FROM MOTOR VEHICLE",,"6425 S UNIVERSITY AVE","LITTLE ROCK","AR","72209","34.691605","-92.346786","(34.691605, -92.346786)","OP"
"2020-07-12T22:51:00.000","2020-078132","81","13A","AGGRAVATED ASSAULT","FIREARM","8011  GEYER SPRINGS RD","LITTLE ROCK","AR","72209","34.676919","-92.343354","(34.676919, -92.343354)","EX"
"2018-01-01T22:44:00.000","2018-000460","81","120","ROBBERY","SHOTGUN","4918 BASELINE RD","LITTLE ROCK","AR","72209","34.668637","-92.333254","(34.668637, -92.333254)","AR"
"2021-05-01T23:48:00.000","2021-046992","92","13A","AGGRAVATED ASSAULT","PERSONAL WEAPONS (HANDS, FISTS, ETC)","11411 BASELINE RD","LITTLE ROCK","AR","72209","34.670207","-92.405058","(34.670207, -92.405058)","AD"
"2019-09-18T12:50:00.000","2019-117628","81","13A","AGGRAVATED ASSAULT","MOTOR VEHICLE","8501 DREHER LN","LITTLE ROCK","AR","72209","34.671686","-92.334494","(34.671686, -92.334494)","AD"
"2019-01-10T15:00:00.000","2019-004419","80","13A","AGGRAVATED ASSAULT","MOTOR VEHICLE","5721 LARCH PL","LITTLE ROCK","AR","72209","34.697015","-92.33913","(34.697015, -92.33913)","EX"
"2018-01-14T14:00:00.000","2018-110080","81","23G","THEFT OF MOTOR VEHICLE PARTS",,"7204 SHETLAND DR","LITTLE ROCK","AR","72209","34.684264","-92.357437","(34.684264, -92.357437)","VD"
"2020-10-20T03:33:00.000","2020-122710","93","13A","AGGRAVATED ASSAULT","HANDGUN","37 NANDINA CIR","LITTLE ROCK","AR","72210","34.653122","-92.432193","(34.653122, -92.432193)","AR"
"2018-07-16T14:30:00.000","2018-088287","91","23C","SHOPLIFTING",,"11 MABELVALE PLAZA LN","LITTLE ROCK","AR","72209","34.666646","-92.383429","(34.666646, -92.383429)","AR"
"2022-01-24T08:22:00.000","2022-009164","83","23H","ALL OTHER LARCENY","UNKNOWN","6510  MABELVALE CTF","LITTLE ROCK","AR","72209","34.655668","-92.351538","(34.655668, -92.351538)","AD"
"2018-10-07T03:00:00.000","2018-128318","81","23F","THEFT FROM MOTOR VEHICLE",,"5614 CARLYLE DR","LITTLE ROCK","AR","72209","34.673102","-92.340065","(34.673102, -92.340065)","AD"
"2019-03-24T12:20:00.000","2019-035776","91","23C","SHOPLIFTING",,"8801 BASELINE RD","LITTLE ROCK","AR","72209","34.667162","-92.37698","(34.667162, -92.37698)","AR"
"2017-04-12T21:59:00.000","2017-040968","91","23H","ALL OTHER LARCENY",,"9801 COMSTOCK RD","LITTLE ROCK","AR","72209","34.662083","-92.367756","(34.662083, -92.367756)","AD"
"2018-12-06T19:27:00.000","2018-155028","80","13A","AGGRAVATED ASSAULT","PERSONAL WEAPONS (HANDS, FISTS, ETC)","6425 S UNIVERSITY AVE","LITTLE ROCK","AR","72209","34.691605","-92.346786","(34.691605, -92.346786)","AR"
"2017-03-21T12:50:00.000","2017-031228","91","13A","AGGRAVATED ASSAULT","FIREARM","11500 CHICOT RD","LITTLE ROCK","AR","72103","34.645877","-92.363563","(34.645877, -92.363563)","AJ"
"2017-11-03T07:00:00.000","2017-138602","93","240","MOTOR VEHICLE THEFT",,"12400 INTERSTATE 30","LITTLE ROCK","AR","72210","34.648177","-92.419876","(34.648177, -92.419876)","VD"
"2022-04-02T10:07:00.000","2022-037235","82","23C","SHOPLIFTING",,"7700 SCOTT HAMILTON DR","LITTLE ROCK","AR","72209","34.677981","-92.319942","(34.677981, -92.319942)","AD"
"2020-04-09T14:30:00.000","2020-039356","80","220","BURGLARY/B&E",,"4607 HOFFMAN RD","LITTLE ROCK","AR","72209","34.69706","-92.327473","(34.69706, -92.327473)","AD"
"2018-11-02T22:00:00.000","2018-140175","82","13A","AGGRAVATED ASSAULT","PERSONAL WEAPONS (HANDS, FISTS, ETC)","7405 VALLEY DR","LITTLE ROCK","AR","72209","34.662237","-92.361169","(34.662237, -92.361169)","AR"
"2022-09-11T11:56:00.000","2022-108473","83","13A","AGGRAVATED ASSAULT","FIREARM","36  SAXONY CIR","LITTLE ROCK","AR","72209","34.662678","-92.348996","(34.662678, -92.348996)","AR"
"2017-03-06T20:00:00.000","2017-025886","91","23F","THEFT FROM MOTOR VEHICLE",,"7309 DEER MEADOW DR","LITTLE ROCK","AR","72209","34.642071","-92.359549","(34.642071, -92.359549)","AD"
"2022-01-22T01:13:00.000","2022-008318","91","220","BURGLARY/B&E",,"9005 MERRIVALE DR","LITTLE ROCK","AR","72209","34.66872","-92.372687","(34.66872, -92.372687)","AD"
"2020-01-19T12:05:00.000","2020-007608","82","23H","ALL OTHER LARCENY",,"5300 RINKE RD","LITTLE ROCK","AR","72209","34.655371","-92.338375","(34.655371, -92.338375)","AD"
"2018-09-27T04:30:00.000","2018-125021","93","220","BURGLARY/B&E",,"2405 SILVER MAPLE DR","LITTLE ROCK","AR","72210","34.665593","-92.441259","(34.665593, -92.441259)","UP"
"2019-07-16T01:32:00.000","2019-088381","81","13A","AGGRAVATED ASSAULT","PERSONAL WEAPONS (HANDS, FISTS, ETC)","7515 GEYER SPRINGS RD","LITTLE ROCK","AR","72209","34.681323","-92.342216","(34.681323, -92.342216)","AR"
"2018-10-13T17:00:00.000","2018-131490","81","23G","THEFT OF MOTOR VEHICLE PARTS",,"8115 FRENCHMANS LN","LITTLE ROCK","AR","72209","34.676355","-92.346223","(34.676355, -92.346223)","OP"
"2017-10-07T19:40:00.000","2017-125815","81","13A","AGGRAVATED ASSAULT","HANDGUN","6500 LANCASTER RD","LITTLE ROCK","AR","72209","34.690022","-92.334114","(34.690022, -92.334114)","AC"
"2021-03-04T17:56:00.000","2021-021575","82","23D","THEFT FROM BUILDING",,"4716 BASELINE RD","LITTLE ROCK","AR","72209","34.668795","-92.3306","(34.668795, -92.3306)","AD"
"2022-08-25T19:10:00.000","2022-101163","91","23H","ALL OTHER LARCENY",,"8801  BASELINE RD","LITTLE ROCK","AR","72209","34.667168","-92.376986","(34.667168, -92.376986)","OP"
"2020-08-12T10:15:00.000","2020-091885","64","23F","THEFT FROM MOTOR VEHICLE",,"11700 COLONEL GLENN RD","LITTLE ROCK","AR","72103","34.654765","-92.368849","(34.654765, -92.368849)","AD"
"2022-06-02T12:37:00.000","2022-064095","80","23H","ALL OTHER LARCENY",,"4607  HOFFMAN RD","LITTLE ROCK","AR","72209","34.69706","-92.327473","(34.69706, -92.327473)","AD"
"2021-01-19T20:54:00.000","2021-005081","92","23C","SHOPLIFTING",,"8822  STAGECOACH RD","LITTLE ROCK","AR","72210","34.671967","-92.418433","(34.671967, -92.418433)","AD"
"2017-05-25T03:57:00.000","2017-061436","93","23F","THEFT FROM MOTOR VEHICLE",,"2 MERION LN","LITTLE ROCK","AR","72210","34.678081","-92.422499","(34.678081, -92.422499)","OP"
"2020-03-03T08:42:00.000","2020-024959","82","23H","ALL OTHER LARCENY",,"7525 REDWOOD DR","LITTLE ROCK","AR","72209","34.663743","-92.362518","(34.663743, -92.362518)","AD"
"2021-07-26T10:36:00.000","2021-088622","82","23F","THEFT FROM MOTOR VEHICLE",,"8409  DOWAN DR","LITTLE ROCK","AR","72209","34.672334","-92.326725","(34.672334, -92.326725)","AD"
"2017-05-23T12:45:00.000","2017-064025","93","23H","ALL OTHER LARCENY",,"6 BASS PRO DR","LITTLE ROCK","AR","72210","34.657546","-92.410408","(34.657546, -92.410408)","AD"
"2018-01-31T08:42:00.000","2018-012698","91","120","ROBBERY","KNIFE/CUTTING INSTRUMENT","10206 MABELVALE PLAZA DR","LITTLE ROCK","AR","72209","34.669429","-92.380828","(34.669429, -92.380828)","AR"
"2019-05-02T09:00:00.000","2019-052978","93","240","MOTOR VEHICLE THEFT",,"1 BASS PRO DR","LITTLE ROCK","AR","72210","34.658738","-92.409314","(34.658738, -92.409314)","RC"
"2020-04-12T11:00:00.000","2020-040019","81","23D","THEFT FROM BUILDING",,"8219 INTERSTATE 30","LITTLE ROCK","AR","72209","34.677925","-92.339315","(34.677925, -92.339315)","AD"
"2021-08-30T15:30:00.000","2021-105587","63","23D","THEFT FROM BUILDING",,"9601 BAPTIST HEALTH DR","LITTLE ROCK","AR","72205","34.474444","-92.238136","(34.474444, -92.238136)","AD"
"2021-06-08T18:11:00.000","2021-065260","80","13A","AGGRAVATED ASSAULT","KNIFE/CUTTING INSTRUMENT","6412  HAZEL ST","LITTLE ROCK","AR","72209","34.691712","-92.341892","(34.691712, -92.341892)","AR"
"2021-11-03T17:07:00.000","2021-135487","91","240","MOTOR VEHICLE THEFT",,"11500 CHICOT RD","LITTLE ROCK","AR","72103","34.647084","-92.367675","(34.647084, -92.367675)","AD"
"2019-07-22T16:55:00.000","2019-091335","91","23C","SHOPLIFTING",,"8801 BASELINE RD","LITTLE ROCK","AR","72209","34.667162","-92.37698","(34.667162, -92.37698)","OP"
"2022-07-20T16:56:00.000","2022-085707","82","220","BURGLARY/B&E",,"7201 INTERSTATE 30","LITTLE ROCK","AR","72209","34.679226","-92.315767","(34.679226, -92.315767)","AD"
"2021-08-28T03:46:00.000","2021-104432","91","13A","AGGRAVATED ASSAULT","FIREARM","8102  OXFORD VALLEY DR","LITTLE ROCK","AR","72103","34.646556","-92.368925","(34.646556, -92.368925)","AC"
"2018-05-02T08:43:00.000","2018-051883","81","23F","THEFT FROM MOTOR VEHICLE",,"5001 W 65TH ST","LITTLE ROCK","AR","72209","34.6903","-92.331863","(34.6903, -92.331863)","OP"
"2022-02-15T19:01:00.000","2022-018513","81","13A","AGGRAVATED ASSAULT","RIFLE","5001 W 65TH ST","LITTLE ROCK","AR","72209","34.68883","-92.332645","(34.68883, -92.332645)","AD"
"2020-10-08T13:01:00.000","2020-117557","93","23D","THEFT FROM BUILDING",,"1 BASS PRO DR","LITTLE ROCK","AR","72210","34.658738","-92.409314","(34.658738, -92.409314)","AD"
"2019-01-11T19:37:00.000","2019-004941","83","23F","THEFT FROM MOTOR VEHICLE",,"10509 DIAMOND DR","LITTLE ROCK","AR","72209","34.654352","-92.352173","(34.654352, -92.352173)","AR"
"2018-10-22T06:41:00.000","2018-134585","90","23F","THEFT FROM MOTOR VEHICLE",,"5604 GREENWOOD ACRES BLVD","LITTLE ROCK","AR","72204","34.695747","-92.38582","(34.695747, -92.38582)","EX"
"2022-06-05T18:51:00.000","2022-065565","80","23C","SHOPLIFTING",,"5200 W 65TH ST","LITTLE ROCK","AR","72209","34.690914","-92.334693","(34.690914, -92.334693)","AD"
"2021-11-05T10:50:00.000","2021-136212","91","23H","ALL OTHER LARCENY",,"8801 BASELINE RD","LITTLE ROCK","AR","72209","34.667168","-92.376986","(34.667168, -92.376986)","OP"
"2022-08-19T23:40:00.000","2022-098719","82","13A","AGGRAVATED ASSAULT","KNIFE/CUTTING INSTRUMENT","8701 INTERSTATE 30","LITTLE ROCK","AR","72209","34.677147","-92.347756","(34.677147, -92.347756)","AD"
"2017-04-06T13:30:00.000","2017-039849","91","240","MOTOR VEHICLE THEFT",,"9111 WOODFORD DR","LITTLE ROCK","AR","72209","34.66789","-92.371869","(34.66789, -92.371869)","RC"
"2022-01-23T21:44:00.000","2022-009052","92","13A","AGGRAVATED ASSAULT","PERSONAL WEAPONS (HANDS, FISTS, ETC)","115 BIG ROCK AVE","LITTLE ROCK","AR","72207","34.636049","-92.417832","(34.636049, -92.417832)","AR"
"2018-11-29T16:00:00.000","2018-152067","82","23H","ALL OTHER LARCENY",,"4123 WEST DR","LITTLE ROCK","AR","72209","34.665661","-92.324508","(34.665661, -92.324508)","OP"
"2018-12-12T06:00:00.000","2018-157690","81","220","BURGLARY/B&E",,"7618 WOODSON RD","LITTLE ROCK","AR","72209","34.679755","-92.339191","(34.679755, -92.339191)","OP"
"2018-08-31T12:00:00.000","2018-112589","81","23H","ALL OTHER LARCENY",,"6714 LANCASTER RD","LITTLE ROCK","AR","72209","34.687617","-92.334229","(34.687617, -92.334229)","OP"
"2017-08-30T05:00:00.000","2017-107464","81","240","MOTOR VEHICLE THEFT",,"7501 INTERSTATE 30","LITTLE ROCK","AR","72209","34.67996","-92.317062","(34.67996, -92.317062)","RC"
"2021-04-04T10:19:00.000","2021-034963","82","13A","AGGRAVATED ASSAULT","PERSONAL WEAPONS (HANDS, FISTS, ETC)","7501  INTERSTATE 30","LITTLE ROCK","AR","72209","34.67772","-92.32143","(34.67772, -92.32143)","AD"
