"facility","website","location_1"
"Fire Station 1","https://www.littlerock.gov/city-administration/city-departments/fire-department/","624 S Chester St
Little Rock, Arkansas 72201
(34.74390727400004, -92.28220279599998)"
"Fire Station 10","https://www.littlerock.gov/city-administration/city-departments/fire-department/","5220 Kavanaugh Blvd
Little Rock, Arkansas 
(34.77007789800007, -92.33199980699999)"
"Fire Station 11","https://www.littlerock.gov/city-administration/city-departments/fire-department/","5300 S University Ave
Little Rock, Arkansas 
(34.701550662000045, -92.34526783599995)"
"Fire Station 12","https://www.littlerock.gov/city-administration/city-departments/fire-department/","7003 Cantrell Rd
Little Rock, Arkansas 72207
(34.76958702600007, -92.35324788399998)"
"Fire Station 13","https://www.littlerock.gov/city-administration/city-departments/fire-department/","1105 E Roosevelt Rd
Little Rock, Arkansas 
(34.72342795600008, -92.25998626699999)"
"Fire Station 14","https://www.littlerock.gov/city-administration/city-departments/fire-department/","8121 Colonel Glenn Rd
Little Rock, Arkansas 
(34.71213540700006, -92.36601631899998)"
"Fire Station 15","https://www.littlerock.gov/city-administration/city-departments/fire-department/","8915 Kanis Rd
Little Rock, Arkansas 
(34.74049421500007, -92.37430698699995)"
"Fire Station 16","https://www.littlerock.gov/city-administration/city-departments/fire-department/","11000 Southridge Dr
Little Rock, Arkansas 72212
(34.79492339900003, -92.40042691099995)"
"Fire Station 17","https://www.littlerock.gov/city-administration/city-departments/fire-department/","3515 W 69th St
Little Rock, Arkansas 
(34.68587372400003, -92.31573121299994)"
"Fire Station 18","https://www.littlerock.gov/city-administration/city-departments/fire-department/","11500 Mabelvale West
Little Rock, Arkansas 
(34.65571853700004, -92.40498994699999)"
"Fire Station 19","https://www.littlerock.gov/city-administration/city-departments/fire-department/","10621 Chicot Rd
Little Rock, Arkansas 
(34.653458913000065, -92.36320705599996)"
"Fire Station 2","https://www.littlerock.gov/city-administration/city-departments/fire-department/","524 E 9th St
Little Rock, Arkansas 
(34.73958852100003, -92.26580006499995)"
"Fire Station 20","https://www.littlerock.gov/city-administration/city-departments/fire-department/","300 Oak Meadow Dr
Little Rock, Arkansas 
(34.751984769000046, -92.42967067099994)"
"Fire Station 21","https://www.littlerock.gov/city-administration/city-departments/fire-department/","17000 Chenal Valley Drive
Little Rock, Arkansas 
(34.77674500100005, -92.45993880999998)"
"Fire Station 22","https://www.littlerock.gov/city-administration/city-departments/fire-department/","900 Temple St
Little Rock, Arkansas 
(34.73420876000006, -92.21655259399995)"
"Fire Station 23","https://www.littlerock.gov/city-administration/city-departments/fire-department/","4500 Rahling Rd
Little Rock, Arkansas 
(34.79183989300003, -92.44081208399996)"
"Fire Station 24","https://www.littlerock.gov/city-administration/city-departments/fire-department/","8801 Stagecoach Rd
Little Rock, Arkansas 72210
(34.67239, -92.416724)"
"Fire Station 3","https://www.littlerock.gov/city-administration/city-departments/fire-department/","4321 W 22nd St
Little Rock, Arkansas 
(34.73156287900008, -92.32262138599998)"
"Fire Station 4","https://www.littlerock.gov/city-administration/city-departments/fire-department/","7500 Lindsey Rd
Little Rock, Arkansas 
(34.71298809600006, -92.19146636499994)"
"Fire Station 6","https://www.littlerock.gov/city-administration/city-departments/fire-department/","2218 W Roosevelt Rd
Little Rock, Arkansas 
(34.725191203000065, -92.29887761499998)"
"Fire Station 7","https://www.littlerock.gov/city-administration/city-departments/fire-department/","4101 W Markham St
Little Rock, Arkansas 
(34.75144319700007, -92.31881194199997)"
"Fire Station 9","https://www.littlerock.gov/city-administration/city-departments/fire-department/","1324 N Shackleford Rd
Little Rock, Arkansas 
(34.76603223700005, -92.39592379299995)"
