"monthname","month","year","scheduled_month","maintenance_tickets","internal_no_outage","public_no_outage","internal_outage","public_outage","unplanned_internal_outage","unplanned_public_outage","avg_employees_affected","avg_planned_minutes","avg_actual_minutes","duration_difference","underestimated"
"January","1","2019","2019-01-01T00:00:00.000","12","4","1","4","1","1","1","1420","109","75","34","0"
"February","2","2019","2019-02-01T00:00:00.000","12","7","2","1","0","0","2","1701","215","132","83","0"
"March","3","2019","2019-03-01T00:00:00.000","5","3","2","0","0","0","0","1701","60","27","33","0"
"April","4","2019","2019-04-01T00:00:00.000","9","4","2","2","0","0","1","1519","70","62","8","0"
"May","5","2019","2019-05-01T00:00:00.000","7","4","0","3","0","0","0","1944","32","27","5","0"
"June","6","2019","2019-06-01T00:00:00.000","9","4","2","1","0","2","0","1276","143","516","-372","1"
"July","7","2019","2019-07-01T00:00:00.000","20","4","0","15","0","0","1","1956","125","74","51","0"
"August","8","2019","2019-08-01T00:00:00.000","23","1","0","17","0","4","1","1731","120","178","-58","1"
"September","9","2019","2019-09-01T00:00:00.000","14","6","0","5","1","0","2","1505","147","181","-34","1"
"October","10","2019","2019-10-01T00:00:00.000","10","3","2","3","2","0","0","1370","795","645","150","0"
"November","11","2019","2019-11-01T00:00:00.000","18","5","3","3","0","3","4","1353","132","152","-20","1"
"December","12","2019","2019-12-01T00:00:00.000","11","1","3","1","2","0","4","1410","161","96","65","0"
"January","1","2020","2020-01-01T00:00:00.000","24","9","2","8","1","2","2","1030","394","450","-56","1"
"February","2","2020","2020-02-01T00:00:00.000","7","3","0","1","1","1","1","615","120","42","78","0"
"March","3","2020","2020-03-01T00:00:00.000","19","2","1","4","5","0","7","1273","101","74","27","0"
"April","4","2020","2020-04-01T00:00:00.000","7","1","0","2","2","1","1","1790","171","141","30","0"
"May","5","2020","2020-05-01T00:00:00.000","8","3","1","0","1","3","0","965","150","116","35","0"
"June","6","2020","2020-06-01T00:00:00.000","10","4","1","2","1","2","0","1112","110","59","50","0"
"July","7","2020","2020-07-01T00:00:00.000","14","1","1","3","1","6","2","928","231","578","-346","1"
"August","8","2020","2020-08-01T00:00:00.000","14","2","1","2","0","5","4","1009","128","364","-236","1"
"September","9","2020","2020-09-01T00:00:00.000","9","1","0","4","1","2","1","1523","83","95","-12","1"
"October","10","2020","2020-10-01T00:00:00.000","8","3","0","2","1","1","1","1081","111","86","24","0"
"November","11","2020","2020-11-01T00:00:00.000","7","2","1","3","0","1","0","1230","194","226","-32","1"
"December","12","2020","2020-12-01T00:00:00.000","18","3","3","8","1","3","0","1465","78","96","-18","1"
"January","1","2021","2021-01-01T00:00:00.000","14","1","1","8","2","0","2","903","131","96","35","0"
"February","2","2021","2021-02-01T00:00:00.000","7","4","0","2","1","0","0","558","656","326","330","0"
"March","3","2021","2021-03-01T00:00:00.000","13","2","2","6","1","1","1","999","216","222","-5","1"
"April","4","2021","2021-04-01T00:00:00.000","23","2","1","8","7","3","2","1193","118","97","22","0"
"May","5","2021","2021-05-01T00:00:00.000","9","1","1","2","0","4","1","1890","220","151","69","0"
"June","6","2021","2021-06-01T00:00:00.000","11","1","3","5","1","0","1","1111","105","81","24","0"
"July","7","2021","2021-07-01T00:00:00.000","11","1","2","5","2","0","1","1000","80","552","-472","1"
"August","8","2021","2021-08-01T00:00:00.000","7","1","2","3","0","1","0","1003","73","104","-32","1"
"September","9","2021","2021-09-01T00:00:00.000","11","0","1","9","0","1","0","1355","78","107","-29","1"
"October","10","2021","2021-10-01T00:00:00.000","7","2","1","3","1","0","0","1465","111","113","-2","1"
"November","11","2021","2021-11-01T00:00:00.000","7","2","2","2","0","0","1","1469","73","78","-5","1"
"December","12","2021","2021-12-01T00:00:00.000","13","3","1","6","1","0","2","1032","187","134","53","0"
"January","1","2022","2022-01-01T00:00:00.000","13","3","4","4","0","2","0","832","138","482","-344","1"
"February","2","2022","2022-02-01T00:00:00.000","13","3","2","2","1","3","2","1559","192","315","-123","1"
"March","3","2022","2022-03-01T00:00:00.000","7","4","2","0","0","0","1","1241","176","143","32","0"
"April","4","2022","2022-04-01T00:00:00.000","10","1","2","3","1","2","1","1270","162","1488","-1326","1"
"May","5","2022","2022-05-01T00:00:00.000","18","5","1","5","3","2","2","1200","203","163","40","0"
"June","6","2022","2022-06-01T00:00:00.000","15","1","4","6","0","2","2","982","180","215","-35","1"
"July","7","2022","2022-07-01T00:00:00.000","11","2","4","1","3","0","1","1413","196","217","-21","1"
