"monthname","month","year","scheduled_month","maintenance_tickets","unplanned_internal_outage","unplanned_public_outage","avg_employees_affected","avg_planned_minutes","avg_actual_minutes","duration_difference","underestimated"
"January","1","2019","2019-01-01T00:00:00.000","2","1","1","852","315","338","-23","1"
"February","2","2019","2019-02-01T00:00:00.000","2","0","2","1701","840","525","315","0"
"April","4","2019","2019-04-01T00:00:00.000","1","0","1","1701","60","20","40","0"
"June","6","2019","2019-06-01T00:00:00.000","2","2","0","331","360","2220","-1860","1"
"July","7","2019","2019-07-01T00:00:00.000","1","0","1","1701","120","120","0","0"
"August","8","2019","2019-08-01T00:00:00.000","5","4","1","2381","240","516","-276","1"
"September","9","2019","2019-09-01T00:00:00.000","2","0","2","1701","210","76","135","0"
"November","11","2019","2019-11-01T00:00:00.000","7","3","4","1492","120","120","0","0"
"December","12","2019","2019-12-01T00:00:00.000","4","0","4","903","75","19","56","0"
"January","1","2020","2020-01-01T00:00:00.000","4","2","2","1302","108","219","-111","1"
"February","2","2020","2020-02-01T00:00:00.000","2","1","1","53","300","45","255","0"
"March","3","2020","2020-03-01T00:00:00.000","7","0","7","1701","90","43","47","0"
"April","4","2020","2020-04-01T00:00:00.000","2","1","1","2551","210","120","90","0"
"May","5","2020","2020-05-01T00:00:00.000","3","3","0","809","260","118","142","0"
"June","6","2020","2020-06-01T00:00:00.000","2","2","0","105","83","65","18","0"
"July","7","2020","2020-07-01T00:00:00.000","8","6","2","884","293","947","-654","1"
"August","8","2020","2020-08-01T00:00:00.000","9","5","4","625","163","553","-389","1"
"September","9","2020","2020-09-01T00:00:00.000","3","2","1","1169","190","215","-25","1"
"October","10","2020","2020-10-01T00:00:00.000","2","1","1","903","150","75","75","0"
"November","11","2020","2020-11-01T00:00:00.000","1","1","0","70","480","480","0","0"
"December","12","2020","2020-12-01T00:00:00.000","3","3","0","614","60","78","-18","1"
"January","1","2021","2021-01-01T00:00:00.000","2","0","2","1701","150","143","8","0"
"March","3","2021","2021-03-01T00:00:00.000","2","1","1","857","315","510","-195","1"
"April","4","2021","2021-04-01T00:00:00.000","5","3","2","1485","141","183","-42","1"
"May","5","2021","2021-05-01T00:00:00.000","5","4","1","2041","270","180","90","0"
"June","6","2021","2021-06-01T00:00:00.000","1","0","1","4","60","180","-120","1"
"July","7","2021","2021-07-01T00:00:00.000","1","0","1","1701","10","2","8","0"
"August","8","2021","2021-08-01T00:00:00.000","1","1","0","1701","60","200","-140","1"
"September","9","2021","2021-09-01T00:00:00.000","1","1","0","623","120","360","-240","1"
"November","11","2021","2021-11-01T00:00:00.000","1","0","1","1701","60","45","15","0"
"December","12","2021","2021-12-01T00:00:00.000","2","0","2","1701","375","375","0","0"
"January","1","2022","2022-01-01T00:00:00.000","2","2","0","135","195","720","-525","1"
"February","2","2022","2022-02-01T00:00:00.000","5","3","2","950","234","594","-360","1"
"March","3","2022","2022-03-01T00:00:00.000","1","0","1","1701","60","90","-30","1"
"April","4","2022","2022-04-01T00:00:00.000","3","2","1","1341","150","1750","-1600","1"
"May","5","2022","2022-05-01T00:00:00.000","4","2","2","1302","300","330","-30","1"
"June","6","2022","2022-06-01T00:00:00.000","4","2","2","1302","90","166","-76","1"
"July","7","2022","2022-07-01T00:00:00.000","1","0","1","1701","360","105","255","0"
