"year","monthname","month","maint_month","pct_uptime"
"2019","January","1","2019-01-01T00:00:00.000","99.9"
"2019","February","2","2019-02-01T00:00:00.000","99.7"
"2019","March","3","2019-03-01T00:00:00.000","100.0"
"2019","April","4","2019-04-01T00:00:00.000","99.8"
"2019","May","5","2019-05-01T00:00:00.000","99.9"
"2019","June","6","2019-06-01T00:00:00.000","99.7"
"2019","July","7","2019-07-01T00:00:00.000","99.9"
"2019","August","8","2019-08-01T00:00:00.000","99.4"
"2019","September","9","2019-09-01T00:00:00.000","99.9"
"2019","October","10","2019-10-01T00:00:00.000","99.9"
"2019","November","11","2019-11-01T00:00:00.000","99.1"
"2019","December","12","2019-12-01T00:00:00.000","100.0"
"2020","January","1","2020-01-01T00:00:00.000","98.1"
"2020","February","2","2020-02-01T00:00:00.000","99.9"
"2020","March","3","2020-03-01T00:00:00.000","99.9"
"2020","April","4","2020-04-01T00:00:00.000","99.7"
"2020","May","5","2020-05-01T00:00:00.000","99.6"
"2020","June","6","2020-06-01T00:00:00.000","99.7"
"2020","July","7","2020-07-01T00:00:00.000","96.4"
"2020","August","8","2020-08-01T00:00:00.000","99.9"
"2020","September","9","2020-09-01T00:00:00.000","99.8"
"2020","October","10","2020-10-01T00:00:00.000","99.9"
"2020","November","11","2020-11-01T00:00:00.000","99.6"
"2020","December","12","2020-12-01T00:00:00.000","99.9"
"2021","January","1","2021-01-01T00:00:00.000","99.9"
"2021","February","2","2021-02-01T00:00:00.000","100.0"
"2021","March","3","2021-03-01T00:00:00.000","98.8"
"2021","April","4","2021-04-01T00:00:00.000","99.7"
"2021","May","5","2021-05-01T00:00:00.000","99.6"
"2021","June","6","2021-06-01T00:00:00.000","99.9"
"2021","July","7","2021-07-01T00:00:00.000","99.7"
"2021","August","8","2021-08-01T00:00:00.000","99.7"
"2021","September","9","2021-09-01T00:00:00.000","99.8"
"2021","October","10","2021-10-01T00:00:00.000","99.8"
"2021","November","11","2021-11-01T00:00:00.000","99.7"
"2021","December","12","2021-12-01T00:00:00.000","99.9"
"2022","January","1","2022-01-01T00:00:00.000","97.8"
"2022","February","2","2022-02-01T00:00:00.000","99.1"
"2022","March","3","2022-03-01T00:00:00.000","100.0"
"2022","April","4","2022-04-01T00:00:00.000","94.0"
"2022","May","5","2022-05-01T00:00:00.000","99.4"
"2022","June","6","2022-06-01T00:00:00.000","99.7"
"2022","July","7","2022-07-01T00:00:00.000","99.5"
"2022","August","8","2022-08-01T00:00:00.000","99.3"
"2022","September","9","2022-09-01T00:00:00.000","100.0"
"2022","October","10","2022-10-01T00:00:00.000","100.0"
"2022","November","11","2022-11-01T00:00:00.000","100.0"
"2022","December","12","2022-12-01T00:00:00.000","100.0"
"2023","January","1","2023-01-01T00:00:00.000","100.0"
"2023","February","2","2023-02-01T00:00:00.000","100.0"
"2023","March","3","2023-03-01T00:00:00.000","100.0"
"2023","April","4","2023-04-01T00:00:00.000","100.0"
"2023","May","5","2023-05-01T00:00:00.000","100.0"
"2023","June","6","2023-06-01T00:00:00.000","100.0"
"2023","July","7","2023-07-01T00:00:00.000","100.0"
"2023","August","8","2023-08-01T00:00:00.000","100.0"
"2023","September","9","2023-09-01T00:00:00.000","100.0"
"2023","October","10","2023-10-01T00:00:00.000","100.0"
"2023","November","11","2023-11-01T00:00:00.000","100.0"
"2023","December","12","2023-12-01T00:00:00.000","100.0"
"2024","January","1","2024-01-01T00:00:00.000","100.0"
