"county","fipscode","year","age","malepopulation","femalepopulation","totalpopulation","datatype"
"La Plata","67","2019","14","367","339","707","Estimate"
"La Plata","67","2019","59","407","436","843","Estimate"
"La Plata","67","2019","17","342","340","682","Estimate"
"La Plata","67","2019","55","351","393","744","Estimate"
"La Plata","67","2019","27","324","292","616","Estimate"
"La Plata","67","2019","23","366","389","755","Estimate"
"La Plata","67","2019","78","140","131","271","Estimate"
"La Plata","67","2019","38","347","317","664","Estimate"
"La Plata","67","2019","41","377","328","705","Estimate"
"La Plata","67","2019","9","335","305","641","Estimate"
"La Plata","67","2019","94","13","26","39","Estimate"
"La Plata","67","2019","10","328","319","647","Estimate"
"La Plata","67","2019","56","367","393","760","Estimate"
"La Plata","67","2019","50","359","340","699","Estimate"
"La Plata","67","2019","89","38","52","90","Estimate"
"La Plata","67","2019","28","296","265","561","Estimate"
"La Plata","67","2019","75","204","211","415","Estimate"
"La Plata","67","2019","34","324","278","602","Estimate"
"La Plata","67","2019","76","192","200","391","Estimate"
"La Plata","67","2019","82","106","96","203","Estimate"
"La Plata","67","2019","7","286","274","560","Estimate"
"La Plata","67","2019","83","89","102","190","Estimate"
"La Plata","67","2019","18","416","410","826","Estimate"
"La Plata","67","2019","64","409","473","883","Estimate"
"La Plata","67","2019","45","381","351","732","Estimate"
"La Plata","67","2019","4","275","263","538","Estimate"
"La Plata","67","2019","35","321","264","585","Estimate"
"La Plata","67","2019","87","42","50","92","Estimate"
"La Plata","67","2019","51","351","354","706","Estimate"
"La Plata","67","2019","24","382","378","760","Estimate"
"La Plata","67","2019","84","77","87","163","Estimate"
"La Plata","67","2019","62","405","429","834","Estimate"
"La Plata","67","2019","97","6","14","20","Estimate"
"La Plata","67","2019","36","332","295","627","Estimate"
"La Plata","67","2019","11","365","347","712","Estimate"
"La Plata","67","2019","26","346","312","658","Estimate"
"La Plata","67","2019","63","423","421","845","Estimate"
"La Plata","67","2019","93","15","28","42","Estimate"
"La Plata","67","2019","20","515","480","996","Estimate"
"La Plata","67","2019","74","215","208","424","Estimate"
"La Plata","67","2019","81","105","114","219","Estimate"
"La Plata","67","2019","58","400","408","808","Estimate"
"La Plata","67","2019","77","158","161","319","Estimate"
"La Plata","67","2019","95","8","19","28","Estimate"
"La Plata","67","2019","33","339","302","641","Estimate"
"La Plata","67","2019","69","339","347","686","Estimate"
"La Plata","67","2019","90","29","47","76","Estimate"
"La Plata","67","2019","98","4","10","14","Estimate"
"La Plata","67","2019","99","3","5","8","Estimate"
"La Plata","67","2019","100","3","11","14","Estimate"
"La Plata","67","2019","2","241","230","471","Estimate"
"La Plata","67","2019","57","396","400","795","Estimate"
"La Plata","67","2019","48","407","372","778","Estimate"
"La Plata","67","2019","96","6","18","24","Estimate"
"La Plata","67","2019","68","374","375","749","Estimate"
"La Plata","67","2019","21","506","491","997","Estimate"
"La Plata","67","2019","44","406","365","771","Estimate"
"La Plata","67","2019","13","370","331","701","Estimate"
"La Plata","67","2019","71","314","306","620","Estimate"
"La Plata","67","2019","25","365","347","712","Estimate"
"La Plata","67","2019","70","346","338","684","Estimate"
"La Plata","67","2019","65","413","486","898","Estimate"
"La Plata","67","2019","85","65","71","136","Estimate"
"La Plata","67","2019","66","397","423","820","Estimate"
"La Plata","67","2019","3","270","258","528","Estimate"
"La Plata","67","2019","88","41","50","91","Estimate"
"La Plata","67","2019","40","323","323","646","Estimate"
"La Plata","67","2019","86","49","59","108","Estimate"
"La Plata","67","2019","43","379","364","743","Estimate"
"La Plata","67","2019","12","367","347","714","Estimate"
"La Plata","67","2019","16","366","337","703","Estimate"
"La Plata","67","2019","73","239","218","456","Estimate"
"La Plata","67","2019","0","209","200","409","Estimate"
"La Plata","67","2019","49","377","376","753","Estimate"
"La Plata","67","2019","46","378","331","709","Estimate"
"La Plata","67","2019","53","340","344","684","Estimate"
"La Plata","67","2019","47","371","350","721","Estimate"
"La Plata","67","2019","39","342","321","662","Estimate"
"La Plata","67","2019","32","317","275","593","Estimate"
"La Plata","67","2019","72","314","281","596","Estimate"
"La Plata","67","2019","37","358","309","667","Estimate"
"La Plata","67","2019","91","26","42","67","Estimate"
"La Plata","67","2019","30","280","263","543","Estimate"
"La Plata","67","2019","61","389","439","828","Estimate"
"La Plata","67","2019","60","406","441","847","Estimate"
"La Plata","67","2019","31","319","273","592","Estimate"
"La Plata","67","2019","29","275","247","523","Estimate"
"La Plata","67","2019","80","106","107","213","Estimate"
"La Plata","67","2019","92","20","29","48","Estimate"
"La Plata","67","2019","42","339","326","665","Estimate"
"La Plata","67","2019","5","262","251","513","Estimate"
"La Plata","67","2019","79","127","117","244","Estimate"
"La Plata","67","2019","54","355","372","727","Estimate"
"La Plata","67","2019","8","306","293","599","Estimate"
"La Plata","67","2019","22","446","458","904","Estimate"
"La Plata","67","2019","52","321","359","680","Estimate"
"La Plata","67","2019","15","376","355","731","Estimate"
"La Plata","67","2019","1","225","215","441","Estimate"
"La Plata","67","2019","19","572","498","1070","Estimate"
"La Plata","67","2019","67","402","405","807","Estimate"
"La Plata","67","2019","6","250","240","489","Estimate"
