"month","year","fips","county","agriculture","mining","utilities","construction","manufacturing","wholesale","mvparts","furniture","electappl","bldgnursery","foodbeverage","healthcare","gasstations","clothing","sportshobbies","genmerchandise","miscstores","nonstore","transwrhse","information","financialinsurance","realestate","professionaltechnical","adsuppwstmngmremserv","education","health","artsentertainment","lodging","foodservices","otherservices","government","retailtrades","allindustries"
"7","2015","35","Douglas","567000","2951000","34571000","9605000","49503000","22691000","71560000","22067000","13240000","33639000","73206000","16582000","16524000","48302000","16500000","88016000","16704000","4760000","547000","39845000","147653000","12061000","18915000","2751000","863000","7607000","10536000","9521000","53687000","17918000","28000","421100000","862920000"
"10","2015","35","Douglas","535000","2398000","27862000","7996000","34943000","20717000","70844000","21150000","12372000","29874000","69381000","16290000","13117000","44069000","14603000","91902000","17293000","6026000","883000","25894000","135386000","13958000","18966000","3506000","822000","9655000","5931000","7287000","51866000","16269000","10000","406921000","791805000"
"7","2014","35","Douglas","475000","1950000","35397000","7361000","21518000","23029000","53433000","20865000","14692000","31809000","76250000","16671000","16678000","45781000","16088000","85337000","14199000","2879000",,"25823000","16534000","10265000","42774000","2865000","1118000","9216000","9126000","9119000","49365000","17010000",,"394682000","678233000"
"8","2014","35","Douglas","435000","1940000","33755000","6889000","22479000","19830000","60954000","28494000","11349000","26681000","77866000","16148000","16725000","45632000","19219000","117266000","14775000","2516000",,"24607000","19520000","10317000","39255000","2776000","1089000","9059000","8758000","8762000","50526000","16992000",,"437625000","715031000"
"9","2014","35","Douglas","550000","2798000","33020000","10791000","28150000","27448000","55363000","26786000","15626000","25804000","76288000","20083000","15741000","41513000","18827000","83280000","18942000","3981000",,"27099000","16178000","16874000","52920000","4926000","2920000","25127000","9685000","8002000","47659000","26870000",,"402234000","744031000"
"4","2015","35","Douglas","588000","1989000","29764000","7407000","22617000","22649000","55868000","19588000","11017000","33141000","69051000","15342000","11278000","38290000","15192000","82778000","15041000","4457000","665000","23611000","28030000","10741000","34782000","2726000","1008000","11170000","6045000","6568000","48526000","16947000","4000","371043000","646880000"
"6","2014","35","Douglas","860000","2944000","28591000","11186000","29128000","32372000","52077000","23842000","17073000","32125000","77034000","22930000","16438000","39519000","19236000","86604000","20499000","4441000",,"25589000","17763000","11274000","52800000","5210000","2472000","22948000","10604000","8505000","50404000","25686000",,"411818000","751368000"
"1","2015","35","Douglas","102000","1062000","45245000","4890000","21601000","19409000","54822000","18801000","12175000","20153000","101829000","15427000","10280000","30045000","13436000","78052000","15025000","5830000","1734000","26052000","17919000","10373000","36336000","2318000","980000","10720000","6675000","5720000","46673000","15661000","15000","375875000","649360000"
"1","2016","35","Douglas",,"1528000","38949000","5698000","27936000","17930000","57472000","18722000","11928000","22029000","70953000","16212000","10837000","29258000","13906000","79442000","15408000","5974000","1036000","25475000",,"12094000","20662000","1979000","434000","6909000","5345000","5464000","48384000","16502000","59000","352141000","674612000"
"8","2015","35","Douglas","561000","2363000","38482000","8628000","32267000","20383000","73949000","24445000","18536000","29085000","73985000","16879000","16557000","45897000","19381000","120517000","16950000","4597000","798000","26111000","203141000","13879000","18643000","2837000","947000","7565000","9565000","9357000","53637000","16855000","84000","460778000","926881000"
"9","2015","35","Douglas","656000","3104000","31808000","12242000","40772000","35418000","68788000","25295000","13248000","30374000","73700000","21248000","14408000","39892000","20317000","84598000","57936000","5875000","873000","30204000","147377000","14153000","39877000","5163000","2955000","22414000","10549000","9794000","51663000","28508000","32000","455679000","943241000"
