"hwy","dir","bmp","emp","length","region","year","funcl","county","ptyp","trafz","envz","depth","numlanes","pgrp","nhs","iri","rut","fatg","tran","long","crbk","dl","dlidx","curve","mtcy","mtcd","cond"
"001A","1","0","2","2","4","1962","6","Larimer","1","2","3","3","2","1231","0","80","94","90","36","97","0","0","TRAN","D","1986","1","LOW"
"001A","1","2","4","2","4","1963","7","Larimer","1","2","3","3","2","1231","0","81","97","89","37","94","0","0","TRAN","D","1986","1","LOW"
"001A","1","4","8","4","4","1964","7","Larimer","1","2","3","3","2","1231","0","83","98","86","16","92","0","0","TRAN","D","1986","1","LOW"
"001A","1","8","9","1","4","1965","7","Larimer","1","2","3","3","2","1231","0","82","100","85","32","94","0","0","TRAN","D","1986","1","LOW"
"001A","1","9","10","1","4","1968","7","Larimer","1","2","3","3","2","1231","0","67","99","47","47","91","0","0","FATG","D","-1","-1","LOW"
"002A","1","0","2.33","2.33","1","2006","2","Denver","1","2","3","3","3","1231","1","66","94","100","97","95","0","3","IRI","D","1975","1.5","LOW"
"002A","2","0","2.33","2.33","1","2006","2","Denver","1","2","3","3","3","1231","1","60","94","100","96","98","0","2","IRI","D","1975","1.5","LOW"
"002A","1","2.33","4.2","1.87","1","2008","2","Denver","1","2","3","3","3","1231","1","74","93","100","99","98","0","4","IRI","D","1981","1.25","MODERATE"
"002A","2","2.33","4.2","1.87","1","2008","2","Denver","1","2","3","3","3","1231","1","73","93","100","98","100","0","4","IRI","D","1981","1.25","MODERATE"
"002A","1","4.2","5.9","1.7","1","2010","2","Denver","1","2","3","3","3","1231","1","72","97","100","99","95","0","4","IRI","D","1983","1.25","MODERATE"
"002A","2","4.2","5.9","1.7","1","2010","2","Denver","1","2","3","3","3","1231","1","78","95","100","100","97","0","5","IRI","D","1983","1.25","MODERATE"
"002A","1","5.9","7.5","1.6","1","2011","2","Denver","1","2","3","3","3","1231","1","70","96","99","93","96","0","3","IRI","D","1979","1.5","LOW"
"002A","2","5.9","7.5","1.6","1","2011","2","Denver","1","2","3","3","3","1231","1","73","99","100","95","94","0","4","IRI","D","1979","1.5","MODERATE"
"002A","1","7.5","8.596","1.096","1","2006","2","Denver","1","2","3","2.5","3","1231","1","71","91","98","87","93","0","3","IRI","D","1992","1.25","LOW"
"002A","2","7.5","8.596","1.096","1","2006","2","Denver","1","2","3","2.5","3","1231","1","68","91","99","85","89","0","3","IRI","D","1992","1.25","LOW"
"002A","1","8.596","9.8","1.204","1","2006","2","Denver","1","3","3","2.5","3","1331","1","68","99","97","86","88","0","4","IRI","D","1990","1.5","MODERATE"
"002A","2","8.596","9.8","1.204","1","2006","2","Denver","1","3","3","2.5","3","1331","1","65","98","98","76","90","0","3","TRAN","SS","1990","1.5","LOW"
"002B","1","10.9","13.4","2.5","1","2010","2","Adams","1","2","3","2","1","1231","1","71","100","99","89","97","0","3","IRI","D","-1","-1","LOW"
"002B","2","10.9","13.4","2.5","1","2010","2","Adams","1","2","3","2","1","1231","1","76","100","100","90","96","0","4","IRI","D","-1","-1","MODERATE"
"002C","1","13.4","14.15","0.75","1","2007","2","Adams","1","3","3","11.5","2","1333","1","75","99","99","95","97","0","7","IRI","D","-1","-1","MODERATE"
"002C","1","14.15","15.31","1.16","1","1982","2","Adams","1","3","3","1.5","2","1331","1","69","93","87","70","90","0","4","TRAN","D","-1","-1","MODERATE"
"002C","1","15.31","17.51","2.2","1","1983","2","Adams","1","3","3","2","2","1331","1","71","89","79","61","92","0","2","TRAN","D","2009","1","LOW"
