"incidentyear","county","agency","nciccode","agegroup","gender","racecode","location","locationgroup","numberofcases"
"2015","Adams","Commerce City PD","MJPossession",,,,"Other/Unknown","Other","10"
"2012","Jefferson","Lakewood PD","MJUnknown",,,,"Other/Unknown","Other","4"
"2016","Weld","Windsor PD","MJUnknown",,,,"Other/Unknown","Other","1"
"2012","Douglas","Lone Tree PD","MJPossession",,,,"Other/Unknown","Other","4"
"2012","Adams","Adams County SO","MJPossession",,,,"Shopping Mall","Retail site/bank/restaurant/bar","2"
"2012","Adams","Adams County SO","MJProduction",,,,"Residence/Home","Residence/Home","17"
"2012","Adams","Adams County SO","MJUnknown",,,,"Residence/Home","Residence/Home","7"
"2012","Adams","Brighton PD","MJPossession",,,,"Convenience Store","Retail site/bank/restaurant/bar","1"
"2012","Adams","Brighton PD","MJPossession",,,,"Government/Public Building","Public building","1"
"2012","Adams","Brighton PD","MJPossession",,,,"Highway/Road/Alley/Street/Sidewalk","Highway/Road/Alley/Street/Sidewalk","71"
"2012","Adams","Brighton PD","MJSales",,,,"Highway/Road/Alley/Street/Sidewalk","Highway/Road/Alley/Street/Sidewalk","1"
"2012","Adams","Brighton PD","MJSales",,,,"Residence/Home","Residence/Home","1"
"2012","Adams","Brighton PD","MJUnknown",,,,"Other/Unknown","Other","1"
"2012","Adams","Brighton PD","MJUnknown",,,,"Parking/Drop Lot/Garage","Parking/Drop Lot/Garage","2"
"2012","Adams","Brighton PD","MJUnknown",,,,"Residence/Home","Residence/Home","1"
"2012","Adams","Brighton PD","MJUnknown",,,,"School/College(Historical Only)","School/College(Historical Only)","1"
"2012","Adams","Commerce City PD","MJPossession",,,,"Park/Playground","Public space","4"
"2012","Adams","Commerce City PD","MJPossession",,,,"School/College(Historical Only)","School/College(Historical Only)","25"
"2012","Adams","Commerce City PD","MJUnknown",,,,"Arena/Stadium/Fairgrounds/Coliseum","Public space","1"
"2012","Adams","Commerce City PD","MJUnknown",,,,"Highway/Road/Alley/Street/Sidewalk","Highway/Road/Alley/Street/Sidewalk","5"
"2012","Adams","Federal Heights PD","MJPossession",,,,"Field/Woods","Public space","3"
"2012","Adams","Federal Heights PD","MJPossession",,,,"Government/Public Building","Public building","2"
"2012","Adams","Federal Heights PD","MJUnknown",,,,"Parking/Drop Lot/Garage","Parking/Drop Lot/Garage","1"
"2012","Adams","Federal Heights PD","MJUnknown",,,,"Residence/Home","Residence/Home","2"
"2012","Adams","Northglenn PD","MJPossession",,,,"Highway/Road/Alley/Street/Sidewalk","Highway/Road/Alley/Street/Sidewalk","109"
"2012","Adams","Northglenn PD","MJPossession",,,,"Other/Unknown","Other","3"
"2012","Adams","Northglenn PD","MJPossession",,,,"Residence/Home","Residence/Home","17"
"2012","Adams","Thornton PD","MJPossession",,,,"Department/Discount Store","Retail site/bank/restaurant/bar","1"
"2012","Adams","Thornton PD","MJPossession",,,,"Drug Store/Doctors Office/Hospital","Drug Store/Doctors Office/Hospital","1"
"2012","Adams","Thornton PD","MJPossession",,,,"Other/Unknown","Other","84"
"2012","Adams","Thornton PD","MJPossession",,,,"Residence/Home","Residence/Home","28"
"2012","Adams","Thornton PD","MJSales",,,,"Other/Unknown","Other","3"
"2012","Adams","Thornton PD","MJSales",,,,"Residence/Home","Residence/Home","5"
"2012","Adams","Westminster PD","MJPossession",,,,"Bank/Savings and Loan","Bank/Savings and Loan","1"
"2012","Adams","Westminster PD","MJPossession",,,,"Bar/Nightclub","Bar/Nightclub","4"
"2012","Adams","Westminster PD","MJPossession",,,,"Parking/Drop Lot/Garage","Parking/Drop Lot/Garage","25"
"2012","Adams","Westminster PD","MJPossession",,,,"Shopping Mall","Retail site/bank/restaurant/bar","1"
"2012","Adams","Westminster PD","MJProduction",,,,"Highway/Road/Alley/Street/Sidewalk","Highway/Road/Alley/Street/Sidewalk","1"
"2012","Adams","Westminster PD","MJProduction",,,,"Residence/Home","Residence/Home","3"
"2012","Adams","Westminster PD","MJUnknown",,,,"Highway/Road/Alley/Street/Sidewalk","Highway/Road/Alley/Street/Sidewalk","6"
"2012","Arapahoe","Araphaoe County SO","MJPossession",,,,"Parking/Drop Lot/Garage","Parking/Drop Lot/Garage","7"
"2012","Arapahoe","Aurora PD","MJPossession",,,,"Bar/Nightclub","Bar/Nightclub","5"
"2012","Arapahoe","Aurora PD","MJPossession",,,,"Grocery/Supermarket","Retail site/bank/restaurant/bar","3"
"2012","Arapahoe","Aurora PD","MJPossession",,,,"Park/Playground","Public space","10"
"2012","Arapahoe","Aurora PD","MJPossession",,,,"Service/Gas Station","Retail site/bank/restaurant/bar","3"
"2012","Arapahoe","Aurora PD","MJPossession",,,,"Shopping Mall","Retail site/bank/restaurant/bar","5"
"2012","Arapahoe","Aurora PD","MJProduction",,,,"Highway/Road/Alley/Street/Sidewalk","Highway/Road/Alley/Street/Sidewalk","1"
"2012","Arapahoe","Aurora PD","MJProduction",,,,"Residence/Home","Residence/Home","63"
"2012","Arapahoe","Aurora PD","MJSales",,,,"Field/Woods","Public space","1"
"2012","Arapahoe","Aurora PD","MJSales",,,,"School – Elementary/Secondary","School – Elementary/Secondary","5"
"2012","Arapahoe","Aurora PD","MJUnknown",,,,"School – Elementary/Secondary","School – Elementary/Secondary","1"
"2012","Arapahoe","Centennial PD","MJPossession",,,,"Other/Unknown","Other","2"
"2012","Arapahoe","Centennial PD","MJPossession",,,,"Parking/Drop Lot/Garage","Parking/Drop Lot/Garage","12"
"2012","Arapahoe","Centennial PD","MJPossession",,,,"Rental Storage Facility","Rental Storage Facility","1"
"2012","Arapahoe","Centennial PD","MJPossession",,,,"Residence/Home","Residence/Home","14"
"2012","Arapahoe","Englewood PD","MJPossession",,,,"Park/Playground","Public space","11"
"2012","Arapahoe","Englewood PD","MJPossession",,,,"Field/Woods","Public space","1"
"2012","Arapahoe","Englewood PD","MJPossession",,,,"Other/Unknown","Other","6"
"2012","Arapahoe","Englewood PD","MJPossession",,,,"School – Elementary/Secondary","School – Elementary/Secondary","21"
"2012","Arapahoe","Englewood PD","MJUnknown",,,,"Highway/Road/Alley/Street/Sidewalk","Highway/Road/Alley/Street/Sidewalk","1"
"2012","Arapahoe","Glendale PD","MJPossession",,,,"Highway/Road/Alley/Street/Sidewalk","Highway/Road/Alley/Street/Sidewalk","3"
"2012","Arapahoe","Glendale PD","MJPossession",,,,"Hotel/Motel/Etc.","Hotel/Motel/Etc.","1"
"2012","Arapahoe","Glendale PD","MJPossession",,,,"Specialty Store","Specialty Store","1"
"2012","Arapahoe","Greenwood Village PD","MJUnknown",,,,"Hotel/Motel/Etc.","Hotel/Motel/Etc.","1"
"2012","Arapahoe","Greenwood Village PD","MJUnknown",,,,"School – Elementary/Secondary","School – Elementary/Secondary","1"
"2012","Arapahoe","Littleton PD","MJPossession",,,,"Air/Bus/Train Terminal","Public space","4"
"2012","Arapahoe","Littleton PD","MJPossession",,,,"Grocery/Supermarket","Retail site/bank/restaurant/bar","2"
"2012","Arapahoe","Littleton PD","MJPossession",,,,"Rental Storage Facility","Rental Storage Facility","1"
"2012","Arapahoe","Littleton PD","MJPossession",,,,"School – College/University","School – College/University","4"
"2012","Boulder","Boulder PD","MJPossession",,,,"Convenience Store","Retail site/bank/restaurant/bar","1"
"2012","Boulder","Boulder PD","MJPossession",,,,"Department/Discount Store","Retail site/bank/restaurant/bar","1"
"2012","Boulder","Boulder PD","MJPossession",,,,"Drug Store/Doctors Office/Hospital","Drug Store/Doctors Office/Hospital","1"
"2012","Boulder","Boulder PD","MJPossession",,,,"Field/Woods","Public space","4"
