Receipt,Permit,Current Status,County,Designated Basin,Denver Basin Aquifer,Township,Range,Section,Q40,Q160,CoordsEW,CoordsEW Dir,CoordsNS,CoordsNS Dir,UTM x,UTM y,Permit Category,Well Constructed,Pump Installed,Well Plugged,Associated Aquifers,Associated Uses,Elevation,Well Depth,Top Perforated Casing,Bottom Perforated Casing,Yield,Static Water Level,Static Water Level Date,WDID,Associated Case Numbers,Modified,More Information,Location,IDKey,Counties
9013289 ,84935-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,12,NE,SW,1625,W,2280,S,484719.0,4425403.3,Residential,11/23/1977,,,LARAMIE FOX HILLS,Household use only,,345,165,405,,,,,,12/02/1977 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/9013289,"(39.978657, -105.178973)",9013289  72571,85
9025552 ,5705-,Well Constructed,JEFFERSON,,Yes,3.0 S,70.0 W,12,SE,NW,2260,W,1970,N,484953.3,4406349.0,Residential,05/18/1960,,,LARAMIE FOX HILLS,Domestic,,1265,,,,340.00,2013/04/17,,,,https://dwr.state.co.us/Tools/WellPermits/9025552,"(39.806986, -105.175794)",9025552  75413,1008
9026201,10003-F,Well Constructed,JEFFERSON,,Yes,2.0 S,70.0 W,22,NE,SE,,,,,482425.3,4412383.8,General Purpose,08/21/1965,,,LARAMIE FOX HILLS,Industrial,,1090,,,,,,,,,https://dwr.state.co.us/Tools/WellPermits/9026201,"(39.861312, -105.205485)",9026201 173575,1008
9030214,50453-,Well Constructed,JEFFERSON,,Yes,2.0 S,70.0 W,36,SW,SE,,,,,485266.9,4408760.3,Residential,01/10/1972,,,LARAMIE FOX HILLS,Domestic,,1048,,,,251.00,2007/07/18,,,,https://dwr.state.co.us/Tools/WellPermits/9030214,"(39.828718, -105.17218)",9030214 271127,1008
9030483 ,53595-,Well Constructed,JEFFERSON,,Yes,3.0 S,70.0 W,10,SE,SW,2958,E,121,S,481728.8,4405396.3,Residential,05/03/1972,,,LARAMIE-FOX HILLS,Domestic,,1183,49,931,,50.00,1972/05/03,,,05/10/1972 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/9030483,"(39.798336, -105.213431)",9030483  122259,1008
0268037 ,86301--A,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,12,NW,NE,2500,E,100,N,485067.0,4426280.0,Residential,09/12/1986,,,LARAMIE FOX HILLS,Domestic,,440,220,420,,192.00,1986/09/12,,,05/12/2005 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0268037,"(39.986565, -105.174918)",0268037  320992,85
0011292,145909-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,12,SE,NW,2840,E,2350,N,484963.8,4425594.2,Residential,12/18/1986,,,LARAMIE FOX HILLS,Household use only,,475,375,475,,315.00,1986/12/18,,,04/21/1987 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0011292,"(39.980382, -105.176108)",0011292 147522,85
0448206B,218897--A,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,12,SW,NE,2000,E,1500,N,485219.7,4425853.4,Residential,07/23/1999,08/06/1999,,LARAMIE FOX HILLS,"Domestic, Stock",,540,340,540,13.00,251.00,1999/07/23,,,09/13/1999 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0448206B,"(39.982721, -105.173116)",0448206B 281298,85
0291758 ,152558-,Well Constructed,BOULDER,,Yes,1.0 S,70.0 W,1,NE,SW,1600,W,1600,S,484716.7,4426798.0,Residential,11/27/1987,10/02/1989,,LARAMIE FOX HILLS,Domestic,,360,130,340,13.00,29.00,1987/11/27,,,10/27/1989 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0291758,"(39.991226, -105.17903)",0291758  148990,85
0363488A,175737-,Permit Canceled,BOULDER,,Yes,1.0 N,70.0 W,24,SW,SE,2040,E,800,S,484953.3,4431246.3,Residential,05/25/1995,08/22/1995,,LARAMIE-FOX HILLS,Household use only,,240,20,220,5.50,10.00,1995/05/25,,,09/25/1995 12:00:00 AM,https://dwr.state.co.us/Tools/WellPermits/0363488A,"(40.031305, -105.176368)",0363488A 43802,85
