"entityid","fein","name","stateabbreviation","authorizedsoliciting","registranttypeabbr","registranttype"
"20133020010","311023437","PARENTS OF MURDERED CHILDREN, INC","CA",,"CO","Charitable Organization"
"20153011215","221957406","STOCKTON UNIVERSITY FOUNDATION","NC",,"CO","Charitable Organization"
"20063004149","742918904","ADOPTAPLATOON SOLDIER SUPPORT EFFORT","MD",,"CO","Charitable Organization"
"20093004542","060646959","WESLEYAN UNIVERSITY","MS",,"CO","Charitable Organization"
"20193018444","834651143","LEANIN1220 INC DBA RESILIENCE1220","CO",,"CO","Charitable Organization"
"20023005172","362884730","THE NATIONAL WHEELCHAIR BASKETBALL ASSOCIATION","FL",,"CO","Charitable Organization"
"20143020355","042104021","BOSTON FOUNDATION, INC.","KS",,"CO","Charitable Organization"
"20143020355","042104021","BOSTON FOUNDATION, INC.","HI",,"CO","Charitable Organization"
"20093002377","521254078","SARNOFF CARDIOVASCULAR RESEARCH FOUNDATION, INC.","HI",,"CO","Charitable Organization"
"20143020355","042104021","BOSTON FOUNDATION, INC.","WI",,"CO","Charitable Organization"
"20093004542","060646959","WESLEYAN UNIVERSITY","ND",,"CO","Charitable Organization"
"20153020671","710606585","ARKANSAS CHILDREN'S HOSPITAL AUXILIARY","CO",,"CO","Charitable Organization"
"20033005085","592891462","THE FOUNDATION FOR THE MALCOLM BALDRIGE NATIONAL QUALITY AWARD, INC.","NM",,"CO","Charitable Organization"
"20203014535","560818833","JAARS, INC","DC",,"CO","Charitable Organization"
"20193002822","952630437","LUTHERAN BIBLE TRANSLATORS, INC.","OR",,"CO","Charitable Organization"
"20133026326","591970458","KAIROS PRISON MINISTRY INTERNATIONAL INC.","KS",,"CO","Charitable Organization"
"20053008339","943139952","OUTRIGHT ACTION INTERNATIONAL","CT",,"CO","Charitable Organization"
"20133018500","593819154","AIA FOUNDATION","TN",,"CO","Charitable Organization"
"20033005085","592891462","THE FOUNDATION FOR THE MALCOLM BALDRIGE NATIONAL QUALITY AWARD, INC.","AL",,"CO","Charitable Organization"
"20033009810","900080500","ENVIRONMENTAL DEFENSE ACTION FUND","SC",,"CO","Charitable Organization"
"20183037384","510110625","LONGWOOD GARDENS, INC.","AL",,"CO","Charitable Organization"
"20203014535","560818833","JAARS, INC","KS",,"CO","Charitable Organization"
"20063005141","720973161","NEW ORLEANS AREA HABITAT FOR HUMANITY","FL",,"CO","Charitable Organization"
"20153011215","221957406","STOCKTON UNIVERSITY FOUNDATION","NM",,"CO","Charitable Organization"
"20103002633","760700153","APFED","NV",,"CO","Charitable Organization"
"20063000414","521072749","NATIONAL COMMITTEE FOR RESPONSIVE PHILANTHROPY","AL",,"CO","Charitable Organization"
"20143017478","231352685","TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA","CO",,"CO","Charitable Organization"
"20093004542","060646959","WESLEYAN UNIVERSITY","GA",,"CO","Charitable Organization"
"20063000414","521072749","NATIONAL COMMITTEE FOR RESPONSIVE PHILANTHROPY","PA",,"CO","Charitable Organization"
"20173020941","521811500","SMART RECOVERY USA, INC","NH",,"CO","Charitable Organization"
"20113031248","820413981","BLUERIBBON COALITION, INC.","OH",,"CO","Charitable Organization"
"20063005141","720973161","NEW ORLEANS AREA HABITAT FOR HUMANITY","PA",,"CO","Charitable Organization"
"20153011215","221957406","STOCKTON UNIVERSITY FOUNDATION","MO",,"CO","Charitable Organization"
"20023005172","362884730","THE NATIONAL WHEELCHAIR BASKETBALL ASSOCIATION","ME",,"CO","Charitable Organization"
"20033002002","943363675","TOMPKINS CONSERVATION","OK",,"CO","Charitable Organization"
"20183023379","462407872","PAX CHRISTI FUND FOR PEACE","MH",,"CO","Charitable Organization"
"20053007453","203395272","REPUBLIC SERVICES EMPLOYEE RELIEF FUND","CA",,"CO","Charitable Organization"
"20153031333","562125831","ORGANIZATION FOR TROPICAL STUDIES, INC.","IL",,"CO","Charitable Organization"
"20123026119","041564655","THE MASSACHUSETTS GENERAL HOSPITAL","NH",,"CO","Charitable Organization"
"20173035467","811272489","WOUNDED PAW PROJECT","ME",,"CO","Charitable Organization"
"20183018764","455261907","HEAD STRONG PROJECT INC","DE",,"CO","Charitable Organization"
"20173014556","814374103","CIVIC ACTION","NM",,"CO","Charitable Organization"
"20203014535","560818833","JAARS, INC","CA",,"CO","Charitable Organization"
"20183027854","133366846","GOD'S LOVE WE DELIVER, INC.","NH",,"CO","Charitable Organization"
"20093004206","237283854","ROAD RUNNERS CLUB OF AMERICA","AZ",,"CO","Charitable Organization"
"20093007883","592672303","LOVE A CHILD, INC.","WV",,"CO","Charitable Organization"
"20093004206","237283854","ROAD RUNNERS CLUB OF AMERICA","TN",,"CO","Charitable Organization"
"20093004542","060646959","WESLEYAN UNIVERSITY","RI",,"CO","Charitable Organization"
