"the_geom","objectid","zone_","link","city_name","minx","miny","maxx","maxy","centerx","centery","area","refcd","globalid","shape__are","shape__len"
"MULTIPOLYGON (((-104.520353779585 39.9850511689962, -104.52148945801 39.9850740813778, -104.522357265294 39.9850920204397, -104.522946506117 39.985104217325, -104.524163643609 39.9851289216998, -104.524160546438 39.9852016415161, -104.524157432705 39.985232955789, -104.524207488916 39.9889529899504, -104.522483701088 39.988936447130705, -104.522487751283 39.9893484752339, -104.522466241664 39.9924166364754, -104.521321870857 39.9923900023883, -104.52042009449 39.9923701734789, -104.520400584148 39.9918525598306, -104.520398121964 39.9917736177003, -104.520379558588 39.9912521228661, -104.520374377772 39.9911125371234, -104.52036987103101 39.9909885125518, -104.52035376374502 39.9905464171724, -104.520325804467 39.9896133070571, -104.520346597947 39.9885120056515, -104.520353779585 39.9850511689962)))","1","A-2","http://www.adcogov.org/sites/default/files/Chapter%2003%20-%20Zone%20District%20Regulations_0.pdf","Unincorporated","3273438","1785172","3274533","1787848","3273986","1786514",,,"3922edce-2c46-41c5-a8f9-4ab2bec65ada","2252458.55517578","7452.60802575977"
"MULTIPOLYGON (((-104.414708655648 39.9838109152612, -104.414683749888 39.9809339971973, -104.415964655339 39.9809441616649, -104.416028555409 39.9815406749137, -104.416129552242 39.9819311846422, -104.416445530196 39.9824956964387, -104.416921965189 39.9831838381075, -104.416909201544 39.9840649136707, -104.415678241448 39.9840520159303, -104.415681861573 39.9838187115533, -104.414708655648 39.9838109152612)))","2","A-2","http://www.adcogov.org/sites/default/files/Chapter%2003%20-%20Zone%20District%20Regulations_0.pdf","Unincorporated","3303525","1784008","3304162","1785141","3303843","1784574",,,"ec5646e9-a1ab-4610-bc65-98d2a02995e4","540043.531738281","3301.89372828133"
"MULTIPOLYGON (((-103.982948396179 39.7402438383962, -104.002094291398 39.7401838034993, -104.002101837679 39.7401837798042, -104.002095092212 39.7402914586192, -104.001975096123 39.740289930958, -103.982941990596 39.7403755449277, -103.982948396179 39.7402438383962)))","3","A-3","http://www.adcogov.org/sites/default/files/Chapter%2003%20-%20Zone%20District%20Regulations_0.pdf","Unincorporated","3421225","1697962","3426611","1698121","3423918","1698039",,,"9aa2974e-6402-4fbe-a45f-b6ecdab52699","232771.5703125","10860.0246201091"
"MULTIPOLYGON (((-103.79864234867702 39.9321560958934, -103.81683683690402 39.9314343877177, -103.816965001972 39.9314311825506, -103.816964998717 39.9314370095137, -103.816962841533 39.9351759925721, -103.816837194697 39.935197765756506, -103.807555593169 39.9360417114154, -103.798665405081 39.93628999791581, -103.79864234867702 39.9321560958934)))","5","A-3","http://www.adcogov.org/sites/default/files/Chapter%2003%20-%20Zone%20District%20Regulations_0.pdf","Unincorporated","3472001","1768532","3477123","1770395","3474562","1769481",,,"265fd711-d73c-4f7c-87cb-e918033604b9","7650301.22509766","13167.52473459"
"MULTIPOLYGON (((-103.770503571884 40.0012723985713, -103.761331575548 40.0012782128032, -103.752536036455 40.0012898003249, -103.742879837565 40.0012778656425, -103.743009322906 39.995029548487, -103.743122830697 39.9877596649162, -103.761757888893 39.9727752599553, -103.770787369706 39.97271750426491, -103.770790217233 39.9746935927022, -103.770768319193 39.9800853518721, -103.770805040795 39.9873627061892, -103.770665228961 39.9947060879816, -103.770503571884 40.0012723985713)))","6","A-3","http://www.adcogov.org/sites/default/files/Chapter%2003%20-%20Zone%20District%20Regulations_0.pdf","Unincorporated","3484534","1783811","3492299","1794364","3488417","1789756",,,"34055e2f-28b0-475c-936a-b540a68f6331","66253669.4208984","33153.94408186"
"MULTIPOLYGON (((-104.584159535638 39.9859132299875, -104.582030261328 39.9858912078931, -104.582020406971 39.9858263929044, -104.581971048317 39.9855089512135, -104.581850006264 39.9846041887572, -104.58177077558 39.9840481489826, -104.581519979285 39.9822916259778, -104.58168861791 39.9822892773778, -104.581692001646 39.980606102226, -104.581692485958 39.9802297988885, -104.581685401157 39.9802258549041, -104.581464148097 39.9800914543523, -104.58143048716 39.9800733493768, -104.579671688773 39.9791190008751, -104.579665402375 39.9782867290291, -104.579652905179 39.9763906813386, -104.579643671453 39.9749919790015, -104.579643758803 39.9749853456795, -104.57856990841601 39.9749753692636, -104.57503441572 39.9749420074859, -104.57491400969201 39.9749408354492, -104.574952381101 39.9726482850386, -104.57495255786601 39.9725675344693, -104.574952737658 39.9724865551619, -104.574952914422 39.9724058045869, -104.57495397399 39.9723257472028, -104.574888384171 39.9714182032744, -104.574885352545 39.9713776891423, -104.574887500835 39.971282770904, -104.574899083064 39.9712837766905, -104.575332212237 39.9713114180251, -104.576012705068 39.9713172028815, -104.578553627233 39.9713388902674, -104.58429992873201 39.9713867985535, -104.584315556937 39.9731668925345, -104.584318741188 39.97342312705, -104.584323467051 39.9741517602204, -104.584349842862 39.9783343558941, -104.584418230013 39.9859154646599, -104.584159535638 39.9859132299875)))","7","R-E","http://www.adcogov.org/sites/default/files/Chapter%2003%20-%20Zone%20District%20Regulations_0.pdf","Unincorporated","3256578","1779996","3259303","1785299","3257940","1781182",,,"30762bcb-363f-490b-a28c-e72254af9f58","7402673.56787109","15578.8383876094"
"MULTIPOLYGON (((-104.395703142449 39.7539250171448, -104.395703752323 39.7535475285728, -104.395704551317 39.75276280533691, -104.395708680584 39.751653696581, -104.39666191407 39.7516523418158, -104.398148967771 39.751631498481, -104.39920171808501 39.7516347153833, -104.400836340147 39.7516161334364, -104.401473310499 39.7516152172617, -104.401967331166 39.7516198275323, -104.402411760656 39.7516303792018, -104.40293221637 39.7516693208301, -104.403355661292 39.7517139909683, -104.403975242502 39.7517826784307, -104.404546754788 39.7518548045315, -104.404920182099 39.7519138744182, -104.405381073903 39.7520092182138, -104.405835404393 39.7521262336922, -104.40668084255901 39.7523663067561, -104.407594900034 39.7526541401575, -104.410174856346 39.7536021179334, -104.407872544094 39.7582923508093, -104.406706123321 39.7594133145801, -104.406623854286 39.7594994881461, -104.405636694137 39.7595216572367, -104.405650138514 39.7594389625655, -104.405669242757 39.7593544902443, -104.406981201652 39.7563144771989, -104.40767677936701 39.7543618581279, -104.407842585092 39.7539929955609, -104.402603867406 39.75390033816111, -104.402606921327 39.7538756579435, -104.40260375521102 39.7538506909439, -104.40259612934 39.7538265974963, -104.40258315105 39.7538035980605, -104.402564806024 39.7537826076378, -104.402542868859 39.7537638715581, -104.402516432566 39.7537485252825, -104.402488167986 39.7537363649304, -104.402450962424 39.7537273241703, -104.402422561796 39.7537238563336, -104.402383420519 39.7537248640053, -104.402367377577 39.7537272310107, -104.402337037635 39.753734040356505, -104.402320051887 39.7537398303255, -104.402308411399 39.753744983794, -104.402285994435 39.7537569002757, -104.402274314548 39.7537645699997, -104.402260802766 39.7537756543993, -104.402250026285 39.7537824174104, -104.40223837504 39.7537882571243, -104.402224981434 39.7537917927429, -104.402213383907 39.7537942011922, -104.402198262264 39.7537945177101, -104.400950654628 39.7537968295227, -104.399317097073 39.7538010100614, -104.399027193731 39.7538021877848, -104.398969388723 39.7538025621578, -104.398838660639 39.7538033981542, -104.398707047058 39.7538039969351, -104.398474966674 39.7538036553007, -104.398277323451 39.7538187353495, -104.398222970535 39.7538257764171, -104.39814505041 39.7538424345471, -104.398069472388 39.7538609448293, -104.398003324 39.7538829751223, -104.397959485461 39.7538999522454, -104.397907494098 39.7539264619498, -104.395703142449 39.7539250171448)))","8","A-2","http://www.adcogov.org/sites/default/files/Chapter%2003%20-%20Zone%20District%20Regulations_0.pdf","Unincorporated","3306419","1700521","3310495","1703387","3308457","1700944",,,"7b92eb84-0c4d-4059-80ae-f4e681ada214","3779735.11230469","13275.264736523"
"MULTIPOLYGON (((-104.407156910869 39.7800143501041, -104.409523697932 39.7800337784225, -104.411764184937 39.7800522206185, -104.414282808178 39.7800704399652, -104.414416560433 39.7800689279126, -104.414449995121 39.7818157542496, -104.407120700231 39.7818232199495, -104.407121891554 39.7817468179332, -104.407156910869 39.7800143501041)))","9","A-2","http://www.adcogov.org/sites/default/files/Chapter%2003%20-%20Zone%20District%20Regulations_0.pdf","Unincorporated","3305094","1710841","3307154","1711505","3306124","1711168",,,"c1ed4f17-d41b-4f7a-b102-44e61e9f382e","1326285.76367188","5395.8470956591"
"MULTIPOLYGON (((-104.475153357693 39.8697729232095, -104.470372981131 39.8697182302231, -104.470362454897 39.8686172877844, -104.475161495012 39.8686087743242, -104.475153357693 39.8697729232095)))","10","A-2","http://www.adcogov.org/sites/default/files/Chapter%2003%20-%20Zone%20District%20Regulations_0.pdf","Unincorporated","3287673","1742894","3289022","1743318","3288348","1743110",,,"d64e78d3-74ed-4f37-a772-69d42c29c393","554696.229492188","3514.29399646383"
"MULTIPOLYGON (((-104.403439792171 39.7679975369116, -104.403434746975 39.7672397606265, -104.408509848519 39.7672230975891, -104.408508126794 39.7683047668498, -104.403439792171 39.7679975369116)))","11","A-2","http://www.adcogov.org/sites/default/files/Chapter%2003%20-%20Zone%20District%20Regulations_0.pdf","Unincorporated","3306823","1706182","3308254","1706576","3307539","1706361",,,"0b645e50-d922-43eb-9191-17d538be835f","477632.875","3525.89759766162"
