"year","institutionname","institutionlevelid","institutionlevel","institutiontype","taxtype","cobased","division","agedesc","agemin","agemax","gender","ethnicity","studentlevel","degreelevel","residencyid","residency","cip2","cip","programname","recordcount"
"2001","Aims Community College","2","College","Public","Not-for-Profit","Yes","DHE","Under 17",,"17","Female","White, non-Hispanic","Undergraduate","Certificate","1","In-State","51","51.1614",,
"2011",,,,,,,,,,,"Female","Unknown","Undergraduate","Bachelor","1","In-State","31","31.0301","Parks, Recreation and Leisure Facilities Management, General",
"2001","Aims Community College","2","College","Public","Not-for-Profit","Yes","DHE","17-20","17","20","Female","Hispanic","Undergraduate","Certificate","1","In-State","20","20.0201",,
"2001","Aims Community College","2","College","Public","Not-for-Profit","Yes","DHE","17-20","17","20","Female","Hispanic","Undergraduate","Certificate","1","In-State","51","51.1614",,
"2011",,,,,,,,,,,"Female","Unknown","Undergraduate","Bachelor","1","In-State","31","31.0301","Parks, Recreation and Leisure Facilities Management, General",
"2001","Aims Community College","2","College","Public","Not-for-Profit","Yes","DHE","17-20","17","20","Female","Unknown Ethnicity","Undergraduate","Certificate","1","In-State","51","51.1614",,
"2011",,,,,,,,,,,"Female","Native American or Alaskan Native","Undergraduate","Bachelor","1","In-State","26","26.0101","Biology/Biological Sciences, General",
"2011",,,,,,,,,,,"Female","Native American or Alaskan Native","Undergraduate","Bachelor","1","In-State","26","26.0101","Biology/Biological Sciences, General",
"2011",,,,,,,,,,,"Female","Native American or Alaskan Native","Undergraduate","Bachelor","1","In-State","26","26.0101","Biology/Biological Sciences, General",
"2011",,,,,,,,,,,"Female","Hispanic","Graduate","Masters","1","In-State","13","13.0401","Educational Leadership and Administration, General",
"2001","Aims Community College","2","College","Public","Not-for-Profit","Yes","DHE","17-20","17","20","Female","White, non-Hispanic","Undergraduate","Associate","1","In-State","48","48.0201",,
"2011",,,,,,,,,,,"Female","Hispanic","Graduate","Masters","1","In-State","13","13.0401","Educational Leadership and Administration, General",
"2001","Aims Community College","2","College","Public","Not-for-Profit","Yes","DHE","17-20","17","20","Female","White, non-Hispanic","Undergraduate","Certificate","1","In-State","20","20.0201",,
"2011",,,,,,,,,,,"Female","Hispanic","Graduate","Masters","1","In-State","13","13.0401","Educational Leadership and Administration, General",
"2001","Aims Community College","2","College","Public","Not-for-Profit","Yes","DHE","17-20","17","20","Female","White, non-Hispanic","Undergraduate","Certificate","1","In-State","51","51.1614",,"11"
"2011",,,,,,,,,,,"Male","White, non-Hispanic","Undergraduate","Bachelor","2","Out-of-State","4","4.0601",,
"2011",,,,,,,,,,,"Male","Hispanic","Undergraduate","Bachelor","1","In-State","44","44.0701","Social Work",
"2011",,,,,,,,,,,"Female","White, non-Hispanic","Graduate","Masters","1","In-State","9","9.01",,
"2016","University of Colorado Colorado Springs","4","University","Public","Not-for-Profit","Yes","DHE","21-24","21","24","Male","White, non-Hispanic","Undergraduate","Bachelor","2","Out-of-State","14","14.1001","Electrical and Electronics Engineering",
"2011",,,,,,,,,,,"Female","White, non-Hispanic","Graduate","Masters","1","In-State","9","9.01",,
"2011",,,,,,,,,,,"Female","White, non-Hispanic","Graduate","Masters","1","In-State","9","9.01",,
"2011",,,,,,,,,,,"Female","Black or African American","Graduate","Masters","1","In-State","42","42.2803","Counseling Psychology",
"2011",,,,,,,,,,,"Female","White, non-Hispanic","Graduate","Doctoral","1","In-State","13","13.0499","Educational Administration and Supervision, Other",
"2011",,,,,,,,,,,"Female","White, non-Hispanic","Graduate","Doctoral","1","In-State","13","13.0499","Educational Administration and Supervision, Other",
"2001","Aims Community College","2","College","Public","Not-for-Profit","Yes","DHE","17-20","17","20","Male","White, non-Hispanic","Undergraduate","Associate","1","In-State","48","48.0201",,
"2011",,,,,,,,,,,"Female","Hispanic","Undergraduate","Bachelor","1","In-State","26","26.0102","Biomedical Sciences, General",
"2011",,,,,,,,,,,"Female","Non-Resident Alien","Undergraduate","Bachelor","1","In-State","16","16.0101","Foreign Languages and Literatures, General",
"2011",,,,,,,,,,,"Female","Non-Resident Alien","Undergraduate","Bachelor","1","In-State","16","16.0101","Foreign Languages and Literatures, General",
"2011",,,,,,,,,,,"Male","White, non-Hispanic","Graduate","Masters","1","In-State","26","26.0301","Botany/Plant Biology",
"2011",,,,,,,,,,,"Female","Black or African American","Undergraduate","Bachelor","1","In-State","19","19.0701","Human Development and Family Studies, General",
"2011",,,,,,,,,,,"Female","Black or African American","Undergraduate","Bachelor","1","In-State","19","19.0701","Human Development and Family Studies, General",
"2011",,,,,,,,,,,"Male","Unknown","Undergraduate","Bachelor","2","Out-of-State","3","3.0103",,
"2011",,,,,,,,,,,"Male","Unknown","Undergraduate","Bachelor","2","Out-of-State","3","3.0103",,
"2011",,,,,,,,,,,"Male","Unknown","Undergraduate","Bachelor","1","In-State","50","50.0703","Art History, Criticism and Conservation",
"2011",,,,,,,,,,,"Male","Hispanic","Undergraduate","Bachelor","2","Out-of-State","45","45.1101","Sociology",
"2011",,,,,,,,,,,"Male","Hispanic","Undergraduate","Bachelor","2","Out-of-State","45","45.1101","Sociology",
"2011",,,,,,,,,,,"Male","Hispanic","Undergraduate","Bachelor","2","Out-of-State","45","45.1101","Sociology",
"2011",,,,,,,,,,,"Male","White, non-Hispanic","Undergraduate","Bachelor","2","Out-of-State","52","52.0301","Accounting",
"2011",,,,,,,,,,,"Female","White, non-Hispanic","Graduate","Masters","2","Out-of-State","13","13.0901","Social and Philosophical Foundations of Education",
"2011",,,,,,,,,,,"Female","White, non-Hispanic","Graduate","Masters","2","Out-of-State","13","13.0901","Social and Philosophical Foundations of Education",
"2011",,,,,,,,,,,"Female","White, non-Hispanic","Graduate","Doctoral","1","In-State","16","16.12","Classics and Classical Languages, Literatures, and Linguistics, General",
"2011",,,,,,,,,,,"Female","White, non-Hispanic","Undergraduate","Bachelor","1","In-State","5","5.0199",,
"2011",,,,,,,,,,,"Female","Native American or Alaskan Native","Undergraduate","Associate","1","In-State","24","24.0101","Liberal Arts and Sciences/Liberal Studies",
"2011",,,,,,,,,,,"Female","Native American or Alaskan Native","Undergraduate","Associate","1","In-State","24","24.0101","Liberal Arts and Sciences/Liberal Studies",
"2011",,,,,,,,,,,"Female","Unknown","Graduate","Masters","1","In-State","19","19.0501","Foods, Nutrition, and Wellness Studies, General",
"2001","Aims Community College","2","College","Public","Not-for-Profit","Yes","DHE","17-20","17","20","Male","White, non-Hispanic","Undergraduate","Certificate","1","In-State","51","51.1614",,
"2011",,,,,,,,,,,"Female","Unknown","Undergraduate","Bachelor","1","In-State","26","26.0901","Physiology, General",
"2011",,,,,,,,,,,"Female","Unknown","Undergraduate","Bachelor","1","In-State","26","26.0901","Physiology, General",
"2011",,,,,,,,,,,"Female","Native American or Alaskan Native","Undergraduate","Bachelor","2","Out-of-State","45","45.1101","Sociology",
"2011",,,,,,,,,,,"Female","Native American or Alaskan Native","Undergraduate","Bachelor","2","Out-of-State","45","45.1101","Sociology",
"2011",,,,,,,,,,,"Female","Native American or Alaskan Native","Undergraduate","Bachelor","2","Out-of-State","45","45.1101","Sociology",
"2011",,,,,,,,,,,"Male","White, non-Hispanic","Undergraduate","Certificate","1","In-State","52","52.0204","Office Management and Supervision",
"2011",,,,,,,,,,,"Male","Hawaiian or Pacific Islander","Undergraduate","Bachelor","2","Out-of-State","24","24.0101","Liberal Arts and Sciences/Liberal Studies",
