"licenseename","doingbusinessas","licensetype","licensenum","expiration","address","city","state","zip"
,"LEE SPIRITS COMPANY INC","Sales Room Spirits","03-04252","2021-03-04T00:00:00.000","303 WEST HIGHWAY 105","Monument","CO","80132"
"THREE BARREL BREWING CO LLC","THREE BARREL BREWING COMPANY LLC","Sales Room Malt","03-02745","2021-04-13T00:00:00.000","475 GRAND AVENUE","Del Norte","CO","81132"
"DEVIANT SPIRITS","DEVIANT SPIRITS LLC","Sales Room Spirits","03-03448","2021-08-05T00:00:00.000","2480 49TH ST UNIT E","Boulder","CO","80301"
"NABC, INC.","NABC, INC.","Sales Room Malt","03-06759","2021-09-05T00:00:00.000","18245 EAST 40TH AVENUE","Aurora","CO","80011"
"ARCHETYPE DISTILLING","ARCHETYPE DISTILLING","Sales Room Spirits","03-08689","2021-10-29T00:00:00.000","119 SOUTH BROADWAY","Denver","CO","80209"
"STRANGE CRAFT BEER COMPANY","STRANGE CRAFT BEER COMPANY","Sales Room Malt","42-72527-0002","2020-10-14T00:00:00.000","1330 ZUNI STREET  UNIT M","Denver","CO","80204"
"MESA VERDE KOA","GUY DREW VINEYARDS/CROOKED CREEK","Sales Room Wine","07-61090-0007","2021-08-14T00:00:00.000","27432 E HWY 160","Cortez","CO","81321"
"BREWABILITY LAB","BREWABILITY LAB","Sales Room Malt","03-06506","2021-08-10T00:00:00.000","3445 SOUTH BROADWAY","Englewood","CO","80113"
"BREWERY HILL LLC","BROKEN COMPASS BREWING COMPANY","Sales Room Malt","03-02673","2021-03-27T00:00:00.000","68 CONTINENTAL COURT UNIT B-12","Breckenridge","CO","80424"
"CROW HOP BREWING CO","CROW HOP BREWING COMPANY LTD.","Sales Room Malt","03-01527","2021-07-02T00:00:00.000","214 EAST 4TH STREET","Loveland","CO","80537"
"LOST FRIEND BREWING COMPANY","LOST FRIEND BREWING COMPANY","Sales Room Malt","03-08609","2021-05-13T00:00:00.000","2548 MONTEBELLO SQUARE DRIVE","Colorado Springs","CO","80918"
"TIMNATH BEERWERKS","TIMNATH BEERWERKS","Sales Room Malt","03-13542","2021-08-16T00:00:00.000","4138 MAIN STREET, UNIT C & D","Timnath","CO","80547"
"BARQUENTINE BREWING COMPANY","BARQUENTINE BREWING COMPANY","Sales Room Malt","03-13317","2021-05-12T00:00:00.000","5505 WEST 20TH AVENUE SUITE 178","Edgewater","CO","80214"
"FEISTY SPIRITS LLC","FEISTY SPIRITS","Sales Room Spirits","14-73011-0002","2021-04-30T00:00:00.000","1708 EAST LINCOLN AVENUE  UNIT 1","Fort Collins","CO","80524"
"WALDSCHANKE CIDERS","WALDSCHANKE CIDERS","Sales Room Wine","03-09340","2021-08-07T00:00:00.000","4100 JASON STREET","Denver","CO","80211"
"KETTLE AND SPOKE BREWERY","KETTLE AND SPOKE BREWERY","Sales Room Malt","03-06145","2021-05-18T00:00:00.000","2500 47TH STREET UNIT 12","Boulder","CO","80301"
"THIRSTY MONK","THIRSTY MONK","Sales Room Malt","03-03200","2021-07-30T00:00:00.000","1604 EAST 17TH AVE","Denver","CO","80218"
"ALTERNATION BREWING COMPANY","ALTERNATION BREWING COMPANY","Sales Room Malt","03-07586","2021-04-04T00:00:00.000","1539 SOUTH BROADWAY","Denver","CO","80210"
"ANGRY JAMES BREWING COMPANY","ANGRY JAMES BREWERY","Sales Room Malt","03-07935","2021-06-27T00:00:00.000","421 ADAMS AVENUE","Silverthorne","CO","80498"
"4 NOSE BREWING COMPANY","4 NOSES BREWING COMPANY","Sales Room Malt","03-02015","2021-10-23T00:00:00.000","8855 WEST 116TH CIRCLE STE 4","Broomfield","CO","80021"
"COLORADO CIDER COMPANY","COLORADO CIDER COMPANY","Sales Room Wine","06-39228-0000","2020-12-14T00:00:00.000","2650 WEST 2ND AVE #10","Denver","CO","80219"
"THE FAMILY JONES LLC","THE FAMILY JONES LLC","Sales Room Spirits","03-07493","2021-02-09T00:00:00.000","1527 TAURUS COURT","Loveland","CO","80537"
"GUANELLA PASS BREWERY","GUANELLA PASS BREWERY","Sales Room Malt","03-13110","2021-04-01T00:00:00.000","18 EAST PARK AVENUE","Empire","CO","80438"
"PURGATORY CELLARS LLP","PURGATORY CELLARS LLP","Sales Room Wine","03-04137","2021-02-01T00:00:00.000","611 NORTH WILCOX STREET","Castle Rock","CO","80104"
"MAISON LA BELLE VIE","MAISON LA BELLE VIE INC","Sales Room Wine","03-02903","2021-04-02T00:00:00.000","3575 G ROAD","Palisade","CO","81526"
"STEIN BREWING COMPANY","STEIN BREWING COMPANY","Sales Room Malt","03-00743","2021-02-01T00:00:00.000","2516 49TH ST, UNIT 5","Boulder","CO","80301"
"GUNBARREL BREWING COMPANY","GUNBARREL BREWING COMPANY","Sales Room Malt","03-07014","2020-10-11T00:00:00.000","7088 WINCHESTER CIRCLE UNIT #200","Boulder","CO","80301"
"BENT BARLEY BREWING COMPANY","BENT BARLEY BREWING COMPANY","Sales Room Malt","03-10167","2021-10-24T00:00:00.000","15428 EAST CRESTLINE PLACE","Centennial","CO","80015"
"NEW BELGIUM BREWING","NEW BELGIUM BREWING","Sales Room Malt","03-09961","2020-12-02T00:00:00.000","3330 BRIGHTON BOULEVARD, SUITE 101","Denver","CO","80216"
"WELCOME HOME BREWERY","WELCOME HOME BREWERY","Sales Room Malt","03-09488","2021-07-25T00:00:00.000","19523 HESS ROAD SUITE 103","Parker","CO","80134"
"RAICES BREWING COMPANY","RAICES BREWING COMPANY","Sales Room Malt","03-11145","2021-03-21T00:00:00.000","769 SOUTH HUDSON STREET","Denver","CO","80204"
"VAIL BREWING COMPANY","VAIL BREWING COMPANY","Sales Room Malt","03-06412","2021-04-25T00:00:00.000","141 EAST MEADOW DRIVE SUITE 209","Vail","CO","81657"
"PURGATORY CELLARS WINERY","PURGATORY CELLARS LLP","Sales Room Wine","03-04137","2021-02-01T00:00:00.000","18921 PLAZA DR UNIT 100","Parker","CO","801349679"
"COPPER KETTLE BREWING COMPANY","COPPER KETTLE BREWING CO LLC","Sales Room Malt","15-79065-0001","2021-02-24T00:00:00.000","1338 S VALENTIA ST #100","Denver","CO","80247"
"STEIN BREWING COMPANY","STEIN BREWING COMPANY","Sales Room Malt","03-10503","2020-09-24T00:00:00.000","18 EAST PARK AVENUE","Empire","CO","80438"
"MUMMY HILL WINERY","MUMMY HILL WINERY","Sales Room Wine","03-03353","2021-09-15T00:00:00.000","51368 HIGHWAY 385","Holyoke","CO","80734"
"HOLIDAILY BREWING COMPANY","HOLIDAILY BREWING COMPANY","Sales Room Malt","03-09388","2021-03-27T00:00:00.000","820 BRICKYARD CIRCLE","Golden","CO","80403"
"SOMETHING BREWERY","SOMETHING BREWERY","Sales Room Malt","03-05110","2021-09-28T00:00:00.000","117 NORTH MAIN STREET UNIT A","Brighton","CO","80601"
"MESA PARK VINEYARDS","MESA PARK VINEYARDS","Sales Room Wine","03-08826","2021-01-23T00:00:00.000","3321 C ROAD","Palisade","CO","81526"
"BROKEN PLOW BREWERY","BROKEN PLOW BREWERY","Sales Room Malt","03-01718","2021-09-02T00:00:00.000","4731 WEST 10TH STREET UNIT G","Greeley","CO","80634"
"THE WINES OF COLORADO","WINERY AT PIKES PEAK THE","Sales Room Wine","03-01093","2021-04-05T00:00:00.000","8045 WEST HIGHWAY 24","Cascade","CO","80809"
"ELEVATION 5003 DISTILLING","ELEVATION 5003 DISTILLERY, LLC","Sales Room Spirits","03-04618","2021-06-18T00:00:00.000","2601 SOUTH LEMAY AVENUE, SUITE #8","Fort Collins","CO","80525"
"DENVER BEER CO","DENVER BEER CO","Sales Room Malt","42-92470-0001","2021-05-26T00:00:00.000","1695 PLATTE STREET","Denver","CO","80202"
"GOLDEN MOON SPEAKEASY","GOLDEN MOON DISTILLERY","Sales Room Spirits","03-00265","2020-10-17T00:00:00.000","1111 MINER'S AVENUE","Golden","CO","80401"
"SETTEMBRE CELLARS","SETTEMBRE CELLARS","Sales Room Wine","42-79766-0001","2021-02-28T00:00:00.000","1501 LEE HILL DRIVE #16","Boulder","CO","80304"
"SOUTH PARK BREWING","SOUTH PARK BREWING LLC","Sales Room Malt","03-03093","2021-06-24T00:00:00.000","297 1/2 U.S. HIGHWAY 285","Fairplay","CO","80440"
"GROSSEN BART BREWING COMPANY","GROSSEN BART BREWERY","Sales Room Malt","03-12745","2021-02-10T00:00:00.000","33 SOUTH PRATT PARKWAY #300","Longmont","CO","80501"
"HIGH COUNTY BEVERAGE CORP","HIGH COUNTRY BEVERAGE CORP","Sales Room Malt","23-68718-0001","2021-05-27T00:00:00.000","4200 RONALD REAGAN BLVD","Loveland","CO","80534"
"ABSOLUTE THRESHOLD BREWERY","INTERSECT BREWING","Sales Room Malt","03-06098","2021-04-03T00:00:00.000","2160 WEST DRAKE ROAD SUITE A-1","Fort Collins","CO","80526"
"GUY DREW VINEYARDS","GUY DREW VINEYARDS/CROOKED CREEK","Sales Room Wine","07-61090-0007","2021-08-14T00:00:00.000","27244 ROAD T","Dolores","CO","81323"
"LEE SPIRITS COMPANY INC. LEE SPIRITS COMPANY INC.","LEE SPIRITS COMPANY INC","Sales Room Spirits","03-04252","2021-03-04T00:00:00.000","110 EAST BOULDER STREET","Colorado Springs","CO","80903"
"BRASS BREWING COMPANY","BRASS BREWING COMPANY","Sales Room Malt","03-09123","2021-02-06T00:00:00.000","318 EAST COLORADO AVENUE SUITE C","Colorado Springs","CO","80903"
"WHISTLING HARE DISTILLERY","WHISTLING HARE DISTILLERY","Sales Room Spirits","03-04297","2021-03-04T00:00:00.000","7655 WST 108TH AVENUE, UNIT 400","Westminster","CO","80021"
"BIG B'S HARD CIDER @ TRADER MAG'S","BIG B'S HARD CIDER","Sales Room Wine","28-62394-0001","2021-04-29T00:00:00.000","211 GRAND AVENUE SUITE 101","Paonia","CO","81428"
"HONEYVILLE STORE","COLORADO WINE ROOM","Sales Room Wine","41-97969-0001","2021-02-08T00:00:00.000","33633 HIGHWAY 550","Boulder","CO","80301"
"SHEAF & KETTLE BREWING COMPANY, LLC","SHEAF & KETTLE BREWING COMPANY, LLC","Sales Room Malt","03-12111","2020-10-23T00:00:00.000","208 OAK AVENUE","Eaton","CO","80615"
"TELLURIDE DISTILLING COMPANY","TELLURIDE DISTILLING COMPANY","Sales Room Spirits","03-03224","2021-07-14T00:00:00.000","567 MOUNTAIN VILLAGE BLVD SUITE 106B","Telluride","CO","81435"
"BAERE BREWING CO","BAERE BREWING COMPANY","Sales Room Malt","03-02846","2021-06-13T00:00:00.000","320 N BROADWAY UNIT E","Denver","CO","80203"
"RED FOX CELLARS","RED FOX CELLARS","Sales Room Wine","03-01277","2021-05-07T00:00:00.000","2424 HIGHWAY 6&50","Palisade","CO","81526"
"GRAVITY BREWING","GRAVITY BREWING","Sales Room Malt","14-73003-0001","2021-07-10T00:00:00.000","1150 PINE STREET UNIT B","Louisville","CO","800271463"
"5680 LLC","5680 LLC","Sales Room Wine","42-61599-0001","2021-07-08T00:00:00.000","14652 PEONY LANE","Paonia","CO","814284112"
"SNOWY PEAKS WINERY AT ESTES PARK KOA","SNOWY PEAKS WINERY","Sales Room Wine","26-56522-0001","2021-04-24T00:00:00.000","2501 BIG THOMPSON AVENUE","Estes Park","CO","80517"
"WILEY ROOTS BREWING COMPANY","WILEY  ROOTS BREWING COMPANY","Sales Room Malt","03-01238","2021-04-25T00:00:00.000","958 3RD STREET UNIT D","Greeley","CO","80631"
"DENVER BEER CO","DENVER BEER CO PRODUCTION LLC","Sales Room Malt","03-02850","2021-06-13T00:00:00.000","4455 JASON STREET","Denver","CO","80211"
"GAR'S & GRAPES","GAR'S & GRAPES","Sales Room Wine","14-43495-0000","2021-05-14T00:00:00.000","12431 MEAD WAY","Littleton","CO","80125"
"FORMER FUTURE BREWING COMPANY","BLACK PROJECT SPONTANEOUS AND WILD ALES","Sales Room Malt","03-02214","2020-11-13T00:00:00.000","1290 SOUTH BROADWAY","Denver","CO","80210"
"TALON WINERY LLC   DBA - COLORADO WINE ROOM  MEADERY OF THE ROCKIES","COLORADO WINE ROOM","Sales Room Wine","41-97969-0001","2021-02-08T00:00:00.000","800 SOUTH CAMINO DEL RIO SPACE D6","Durango","CO","81301"
"4 NOSES BREWING COMPANY, LLC","WILD PROVISIONS BEER PROJECT","Sales Room Malt","03-12414","2021-03-29T00:00:00.000","2209 CENTRAL AVENUE","Boulder","CO","80301"
"ESOTERRA INC","ESO TERRA INC.","Sales Room Wine","03-13201","2021-05-20T00:00:00.000","18390 HIGHWAY 145","Dolores","CO","81323"
"SPRING 44","SPRING 44 DISTILLING INC","Sales Room Spirits","14-72963-0000","2021-05-09T00:00:00.000","505 WEST 66TH STREET","Loveland","CO","80538"
"MYSTIC MOUNTAIN DISTLLERY LLC","MYSTIC MOUNTAIN DISTILLERY LLC","Sales Room Spirits","28-53034-0000","2021-09-09T00:00:00.000","11505 SPRINGS VALLEY ROAD","Larkspur","CO","80118"
"LIQUID MECHANICS BREWING CO","LIQUID MECHANICS BREWING COMPANY","Sales Room Malt","03-02892","2021-05-06T00:00:00.000","297 NORTH HIGHWAY 287 STE 100","Lafayette","CO","80026"
"SAVANNAH BEE COMPANY","SAVANNAH BEE COMPANY","Sales Room Wine","03-09925","2021-08-02T00:00:00.000","1222 PEARL STREET, SUITE B","Boulder","CO","80302"
"DECLARATION BREWING COMPANY INC","DECLARATION BREWING COMPANY","Sales Room Malt","03-02164","2020-11-14T00:00:00.000","2659 SOUTH LAFAYETTE STREET","Denver","CO","80210"
"APPLE VALLEY CIDER COMPANY","APPLE VALLEY CIDER COMPANY","Sales Room Wine","03-08805","2020-12-25T00:00:00.000","103 BROADWAY UNIT #13","Penrose","CO","81240"
"PROST BREWING COMPANY","PROST BREWING COMPANY","Sales Room Malt","03-06194","2021-03-10T00:00:00.000","321 OLD FIREHOUSE ALLEY","Fort Collins","CO","80524"
"CLAREMONT INN & WINERY","CLAREMONT INN & WINERY","Sales Room Wine","03-05284","2021-01-04T00:00:00.000","2308 UNIT C1, 17TH STREET","GREELEY","CO","80624"
"JOYRIDE BREWING COMPANY","JOYRIDE BREWING COMPANY","Sales Room Malt","03-03227","2021-07-14T00:00:00.000","5217 W 25TH AVENUE","Edgewater","CO","80214"
"DEERHAMMER DISTILLING COMPANY","DEERHAMMER DISTILLING COMPANY LLC","Sales Room Spirits","25-60500-0001","2021-10-22T00:00:00.000","321 EAST MAIN STREET","Buena Vista","CO","812111126"
"PTARMIGAN VINEYARDS","STONEY MESA WINERY LTD / PTARMIGAN VINEYARD","Sales Room Wine","23-30749-0001","2021-07-11T00:00:00.000","221 31 3/10 ROAD","Grand Junction","CO","81503"
"WALTER MARIANNE","AUGUSTINA'S WINERY","Sales Room Wine","09-84455-0000","2021-04-17T00:00:00.000","20 EAST LAKEVIEW DRIVE #103","Nederland","CO","80466"
"ODYSSEY BEERWERKS","ODYSSEY BEERWERKS, LLC","Sales Room Malt","03-00947","2021-04-03T00:00:00.000","5535 WEST 56TH AVE STE 107","Arvada","CO","80002"
"SNOWY PEAKS WINERY","SNOWY PEAKS WINERY","Sales Room Wine","26-56522-0001","2021-04-24T00:00:00.000","292 MORAINE AVE","Estes Park","CO","80517"
"EVENING GRACE ESTATE LLC","EVENING GRACE ESTATE LLC","Sales Room Wine","03-09177","2021-02-18T00:00:00.000","35837 HANSON MESA ROAD","Hotchkiss","CO","81419"
"MASH LAB BREWING","MASH LAB BREWING","Sales Room Malt","03-06851","2021-09-08T00:00:00.000","4395 HIGHLAND MEADOWS PARKWAY","Windsor","CO","80550"
"ROCKY MOUNTAIN BREWERY","ROCKY MOUNTAIN BREWERY","Sales Room Malt","42-55148-0001","2021-04-03T00:00:00.000","625 PAONIA STREET","Colorado Springs","CO","809153727"
"PILOTHOUSE BREWING COMPANY","PILOTHOUSE BREWING COMPANY","Sales Room Malt","03-08964","2021-02-08T00:00:00.000","4233 SOUTH BUCKLEY ROAD","Aurora","CO","80013"
"STONEYARD DISTILLERY","STONEYARD DISTILLERY","Sales Room Spirits","03-00908","2021-05-07T00:00:00.000","4600 HIGHWAY 6","Gypsum","CO","81637"
"LONGTUCKY SPIRITS","LONGTUCKY SPIRITS","Sales Room Spirits","03-06546","2021-07-05T00:00:00.000","350 TERRY STREET SUITE 120","Longmont","CO","80501"
"CROOKED STAVE ARTISAN DISTRIBUTING","CROOKED STAVE ARTISAN DISTRIBUTION","Sales Room Malt","03-01429","2021-06-17T00:00:00.000","3350 BRIGHTON BLVD UNIT 130","Denver","CO","80216"
"RESTAURANT DEPOT","RESTAURANT DEPOT","Sales Room Malt","03-00424","2021-09-25T00:00:00.000","1740 W 13TH AVE","Denver","CO","80204"
"LOCAVORE BEER WORKS","LOCAVORE BEER WORKS","Sales Room Malt","03-02839","2021-06-20T00:00:00.000","5950 SOUTH PLATTE CANYON ROAD UNIT D13","Littleton","CO","80123"
"KJ WOOD DISTILLERS, LLC","KJ WOOD DISTILLERS LLC","Sales Room Spirits","03-01023","2021-03-19T00:00:00.000","929 MAIN STREET","Ouray","CO","81427"
"WALTER BREWING COMPANY","WALTER BREWING COMPANY","Sales Room Malt","03-09662","2021-03-15T00:00:00.000","126 SOUTH ONEIDA STREET","Pueblo","CO","81003"
"HIGH HOPS BREWERY","HIGH HOPS BREWERY","Sales Room Malt","14-73014-0001","2021-08-05T00:00:00.000","6461 HIGHWAY 392","Windsor","CO","80550"
"GUANELLA PASS BREWING COMPANY LLC","GUANELLA PASS BREWING","Sales Room Malt","03-06979","2020-10-06T00:00:00.000","501 ROSE STREET","Georgetown","CO","80444"
"CODA BREWING COMPANY LLC","CODA BREWING COMPANY","Sales Room Malt","03-09441","2021-08-07T00:00:00.000","15965 SOUTH GOLDEN ROAD SUITE C2","Golden","CO","80401"
"BLACK FOREST MEADERY","BLACK FOREST MEADERY","Sales Room Wine","03-03235","2021-07-15T00:00:00.000","6420-A BURROWS ROAD","Colorado Springs","CO","80908"
"DRY LAND DISTILLERS","DRY LAND DISTILLERS","Sales Room Spirits","03-09602","2021-05-30T00:00:00.000","471 MAIN STREET UNIT B","Longmont","CO","80501"
"COPPER CLUB BREWING CO","COPPER CLUB BREWING COMPANY","Sales Room Malt","03-00170","2021-12-13T00:00:00.000","233 EAST ASPEN #A","Fruita","CO","81521"
"BBC WINES","BBC WINES","Sales Room Wine","03-01723","2021-09-15T00:00:00.000","603 EAST COLLINS STREET","Eaton","CO","80615"
"BRUSH HOLLOW","BRUSH HOLLOW","Sales Room Wine","03-12765","2021-01-21T00:00:00.000","465  D  STREET","Penrose","CO","81240"
"COLORADO WINE ROOM","COLORADO WINE ROOM","Sales Room Wine","41-97969-0001","2021-02-08T00:00:00.000","3701 G ROAD","Palisade","CO","81526"
"WHIKYBEN, LLC","RAMBLEBINE BREWING COMPANY","Sales Room Malt","03-12926","2021-06-04T00:00:00.000","457 COLORADO AVENUE","Grand Junction","CO","81501"
"BEYOND THE MOUNTAIN BREWING CO","BEYOND THE MOUNTAIN BREWING COMPANY","Sales Room Malt","03-08576","2020-10-25T00:00:00.000","6035 LONGBOW DRIVE UNITS 109 & 110","Boulder","CO","80304"
"DUECES WILD BREWERY INC","DUECES WILD BREWERY","Sales Room Malt","03-08334","2021-01-22T00:00:00.000","660 PETERSON ROAD","Colorado Springs","CO","80915"
"NANO 108 BREWING CO","NANO 108 BREWING COMPANY","Sales Room Malt","03-01553","2021-06-03T00:00:00.000","2402 WAYNOKA ROAD","Colorado Springs","CO","80915"
"FACTOTUM BREWHOUSE","FACTOTUM BREWHOUSE","Sales Room Malt","03-01745","2021-07-10T00:00:00.000","3845 LIPAN STREET","Denver","CO","80211"
"ASPEN PEAK CELLARS INC","ASPEN PEAK CELLARS","Sales Room Wine","15-70398-0002","2021-02-25T00:00:00.000","105 WEST MAIN STREET","Florence","CO","81226"
