"year","month","state","utilitynumber","utilityname","datastatus","type","residentialcapacityphotovoltaic","commercialcapacityphotovoltaic","industrialcapacityphotovoltaic","transportationcapacityphotovoltaic","totalcapacityphotovoltaic","residentialcustomerphotovoltaic","commercialcustomerphotovoltaic","industrialcustomerphotovoltaic","transportationcustomerphotovoltaic","totalcustomerphotovoltaic","residentialstoragecapacityphotovoltaic","commercialstoragecapacityphotovoltaic","industrialstoragecapacityphotovoltaic","transportationstoragecapacityphotovoltaic","totalstoragecapacityphotovoltaic","residentialstoragecustomerphotovoltaic","commercialstoragecustomerphotovoltaic","industrialstoragecustomerphotovoltaic","transportationstoragecustomerphotovoltaic","totalstoragecustomerphotovoltaic","residentialvirtualcapacityphotovoltaic","commercialvirtualcapacityphotovoltaic","industrialvirtualcapacityphotovoltaic","transportationvirtualcapacityphotovoltaic","totalvirtualcapacityphotovoltaic","residentialvirtualcustomerphotovoltaic","commercialvirtualcustomerphotovoltaic","industrialvirtualcustomerphotovoltaic","transportationvirtualcustomerphotovoltaic","totalvirtualcustomerphotovoltaic","residentialsoldbackphotovoltaic","commercialsoldbackphotovoltaic","industrialsoldbackphotovoltaic","transportationsoldbackphotovoltaic","totalsoldbackphotovoltaic","residentialcapacitywind","commercialcapacitywind","industrialcapacitywind","transportationcapacitywind","totalcapacitywind","residentialcustomerwind","commercialcustomerwind","industrialcustomerwind","transportationcustomerwind","totalcustomerwind","residentialsoldbackwind","commercialsoldbackwind","industrialsoldbackwind","transportationsoldbackwind","totalsoldbackwind","residentialcapacityother","commercialcapacityother","industrialcapacityother","transportationcapacityother","totalcapacityother","residentialcustomerother","commercialcustomerother","industrialcustomerother","transportationcustomerother","totalcustomerother","residentialsoldbackother","commercialsoldbackother","industrialsoldbackother","transportationsoldbackother","totalsoldbackother","residentialcapacityall","commercialcapacityall","industrialcapacityall","transportationcapacityall","totalcapacityall","residentialcustomerall","commercialcustomerall","industrialcustomerall","transportationcustomerall","totalcustomerall","residentialsoldbackall","commercialsoldbackall","industrialsoldbackall","transportationsoldbackall","totalsoldbackall"
"2011","3","NY","3249","Central Hudson Gas & Elec Corp","Final",,"4","2","0","0","6","623","107","0","0","730",,,,,,,,,,,,,,,,,,,,,,,,,"0","0.047","0","0","0","0.047","6","0","0","0","6",,,,,"0","0.002","0","0","0","0.002","1","0","0","0","1",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
"2011","5","CO","9336","Intermountain Rural Elec Assn","Final",,"0.458","0","0","0","0.46","99","0","0","0","99",,,,,,,,,,,,,,,,,,,,,,,,,"0","0.044","0","0","0","0.044","14","0","0","0","14",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
"2011","5","CO","6604","City of Fort Collins - (CO)","Final",,"0.222","0.455","0.18","0","0.86","71","23","1","0","95",,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0.002","0","0","0","0.002","1","0","0","0","1","0","0","0","0","0","0","0","3.445","0","3.445","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2011","5","CO","3989","City of Colorado Springs - (CO)","Final",,"0.481","0.44","0","0","0.92","135","22","0","0","157",,,,,,,,,,,,,,,,,,,,,,,,,"0","0.002","0.006","0","0","0.008","1","1","0","0","2",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
"2011","5","CA","19281","Turlock Irrigation District","Final",,"0.803","0.002","1.708","0","2.51","117","1","17","0","135",,,,,,,,,,,,,,,,,,,,,"136.35","0.29","357.009","0","493.649",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
"2011","5","CA","17612","Bear Valley Electric Service","Final",,"0.155","0","0","0","0.16","43","0","0","0","43",,,,,,,,,,,,,,,,,,,,,"31","0","0","0","31","0.067","0","0","0","0.067","6","0","0","0","6","13.2","0","0","0","13.2",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
"2011","5","CA","17609","Southern California Edison Co","Final",,"124.14","8.305","178.023","0","310.47","26335","63","1660","0","28058",,,,,,,,,,,,,,,,,,,,,,,,,"0","2.673","1.145","2.357","0","6.175","343","7","18","0","368",,,,,"0",,,,,"0",,,,,"0",,,,,"0","0.111","0.39","8.499","0","9","19","2","18","0","39",,,,,"0"
"2011","5","CA","16609","San Diego Gas & Electric Co","Final",,"55.3","30.1","9.3","0","94.7","11683","386","19","0","12088",,,,,,,,,,,,,,,,,,,,,"1098.4","364.8","20.3","0","1483.5","0.1","0","0","0","0.1","25","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.1","0","0","2.1","0","2","0","0","2","0","0","0","0","0"
"2011","5","CO","15257","Poudre Valley R  E  A, Inc","Final",,"0.39","0.04","0","0","0.43","78","2","0","0","80",,,,,,,,,,,,,,,,,,,,,"29.107","0.746","0","0","29.853",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
"2011","5","CA","16534","Sacramento Municipal Util Dist","Final",,"7.227","5.303",,,"12.53","2471","106",,,"2577",,,,,,,,,,,,,,,,,,,,,,,,,"0","0.002","0.005",,,"0.007","1","1",,,"2",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0",,,,,"0"
