"year","election_type","county","active_voters","inactive_voters","total_voters","ballots_cast","total_voters_turnout"
"2011","O","ADAMS","134813","99437","234250","59750","25.51"
"2011","O","ALAMOSA","5710","3570","9280","3538","38.13"
"2011","O","ARAPAHOE","235035","115865","350900","102029","29.08"
"2011","O","ARCHULETA","6109","3428","9537","3929","41.20"
"2011","O","BACA","2146","711","2857","1440","50.40"
"2011","O","BENT","1857","868","2725","1166","42.79"
"2011","O","BOULDER","147242","81387","228629","82501","36.09"
"2011","O","BROOMFIELD","27300","11499","38799","12508","32.24"
"2011","O","CHAFFEE","9393","3368","12761","6286","49.26"
"2011","O","CHEYENNE","1093","357","1450","792","54.62"
"2011","O","CLEAR CREEK","5203","2375","7578","2655","35.04"
"2011","O","CONEJOS","3593","1683","5276","2520","47.76"
"2011","O","COSTILLA","1732","821","2553","1143","44.77"
"2011","O","CROWLEY","1470","680","2150","1002","46.60"
"2011","O","CUSTER","2573","837","3410","1674","49.09"
"2011","O","DELTA","14719","5334","20053","8233","41.06"
"2011","O","DENVER","238890","198383","437273","109747","25.10"
"2011","O","DOLORES","1166","429","1595","583","36.55"
"2011","O","DOUGLAS","142151","55112","197263","68682","34.82"
"2011","O","EAGLE","18709","12072","30781","10850","35.25"
"2011","O","EL PASO","238401","143683","382084","116935","30.60"
"2011","O","ELBERT","12715","5020","17735","6911","38.97"
"2011","O","FREMONT","18836","11931","30767","10581","34.39"
"2011","O","GARFIELD","21081","11716","32797","11950","36.44"
"2011","O","GILPIN","3056","2079","5135","1462","28.47"
"2011","O","GRAND","7765","4079","11844","4158","35.11"
"2011","O","GUNNISON","7197","5359","12556","4066","32.38"
"2011","O","HINSDALE","657","69","726","420","57.85"
"2011","O","HUERFANO","3286","1445","4731","2288","48.36"
"2011","O","JACKSON","834","400","1234","518","41.98"
"2011","O","JEFFERSON","262261","123735","385996","134242","34.78"
"2011","O","KIOWA","845","207","1052","608","57.79"
"2011","O","KIT CARSON","3543","1428","4971","2417","48.62"
"2011","O","LA PLATA","23518","14655","38173","11248","29.47"
"2011","O","LAKE","2539","2058","4597","1412","30.72"
"2011","O","LARIMER","156312","64114","220426","80505","36.52"
"2011","O","LAS ANIMAS","6271","3387","9658","3873","40.10"
"2011","O","LINCOLN","2125","987","3112","1358","43.64"
"2011","O","LOGAN","8662","3200","11862","4998","42.13"
"2011","O","MESA","64533","35705","100238","38514","38.42"
"2011","O","MINERAL","632","176","808","404","50.00"
"2011","O","MOFFAT","5385","3602","8987","2784","30.98"
"2011","O","MONTEZUMA","11608","6717","18325","6229","33.99"
"2011","O","MONTROSE","18152","7634","25786","9089","35.25"
"2011","O","MORGAN","9502","5065","14567","5589","38.37"
"2011","O","OTERO","7377","4591","11968","4315","36.05"
"2011","O","OURAY","2932","1185","4117","1836","44.60"
"2011","O","PARK","8425","3942","12367","4402","35.59"
"2011","O","PHILLIPS","2142","918","3060","1348","44.05"
"2011","O","PITKIN","8187","5770","13957","4192","30.04"
"2011","O","PROWERS","4364","2521","6885","2512","36.49"
"2011","O","PUEBLO","63410","43608","107018","38625","36.09"
"2011","O","RIO BLANCO","2966","1455","4421","1821","41.19"
"2011","O","RIO GRANDE","4873","2662","7535","2609","34.63"
"2011","O","ROUTT","11735","5942","17677","7873","44.54"
"2011","O","SAGUACHE","2792","1334","4126","1491","36.14"
"2011","O","SAN JUAN","517","106","623","254","40.77"
"2011","O","SAN MIGUEL","3547","2661","6208","1606","25.87"
"2011","O","SEDGWICK","1298","557","1855","860","46.36"
"2011","O","SUMMIT","12911","10996","23907","5066","21.19"
"2011","O","TELLER","11641","7061","18702","6152","32.89"
"2011","O","WASHINGTON","2505","713","3218","1535","47.70"
"2011","O","WELD","94821","54310","149131","42937","28.79"
"2011","O","YUMA","4470","1687","6157","2699","43.84"
