"receipt","county"
"25749","ADAMS"
"9943","ALAMOSA"
"16563","ARAPAHOE"
"3821","ARCHULETA"
"5277","BACA"
"2302","BENT"
"20183","BOULDER"
"991","BROOMFIELD"
"10911","CHAFFEE"
"1981","CHEYENNE"
"5912","CLEAR CREEK"
"5747","CONEJOS"
"4164","COSTILLA"
"1103","CROWLEY"
"7372","CUSTER"
"4034","DELTA"
"12266","DENVER"
"590","DOLORES"
"23166","DOUGLAS"
"4637","EAGLE"
"18536","ELBERT"
"47516","EL PASO"
"10663","FREMONT"
"12171","GARFIELD"
"4841","GILPIN"
"11778","GRAND"
"9113","GUNNISON"
"1284","HINSDALE"
"4172","HUERFANO"
"1602","JACKSON"
"44071","JEFFERSON"
"1354","KIOWA"
"6837","KIT CARSON"
"2820","LAKE"
"18870","LA PLATA"
"20807","LARIMER"
"8009","LAS ANIMAS"
"4116","LINCOLN"
"9343","LOGAN"
"6293","MESA"
"1545","MINERAL"
"4303","MOFFAT"
"2083","MONTEZUMA"
"3841","MONTROSE"
"9753","MORGAN"
"3454","OTERO"
"1258","OURAY"
"24480","PARK"
"2830","PHILLIPS"
"4702","PITKIN"
"3869","PROWERS"
"12412","PUEBLO"
"3119","RIO BLANCO"
"10040","RIO GRANDE"
"7238","ROUTT"
"8653","SAGUACHE"
"248","SAN JUAN"
"3431","SAN MIGUEL"
"2260","SEDGWICK"
"8803","SUMMIT"
"11627","TELLER"
"1876","UNKNOWN"
"5848","WASHINGTON"
"37540","WELD"
"12461","YUMA"
"473",
