"county","precinct","active_voters","ballots_cast","turnout"
"Adams","2233301070","917","860","93.78"
"Adams","2233301071","1319","1217","92.27"
"Adams","2233301072","698","674","96.56"
"Adams","2233301073","599","568","94.82"
"Adams","2233301074","1253","1097","87.55"
"Adams","2233301075","485","463","95.46"
"Adams","2233301076","686","598","87.17"
"Adams","2233301077","1439","1381","95.97"
"Adams","2233301078","300","281","93.67"
"Adams","2233301079","826","794","96.13"
"Adams","2233401034","1718","1654","96.27"
"Adams","2233401035","1451","1391","95.86"
"Adams","2233401036","965","928","96.17"
"Adams","2233401037","1058","1019","96.31"
"Adams","2233401038","1346","1299","96.51"
"Adams","2233401039","861","806","93.61"
"Adams","2233401050","1062","1013","95.39"
"Adams","2233401051","713","648","90.88"
"Adams","2233501029","840","769","91.55"
"Adams","2233501030","1030","995","96.60"
"Adams","2233501031","959","900","93.85"
"Adams","2233501032","961","906","94.28"
"Adams","2233501033","815","808","99.14"
"Adams","2243101119","942","885","93.95"
"Adams","2243101120","1076","1022","94.98"
"Adams","2243101121","588","514","87.41"
"Adams","2243101122","832","804","96.63"
"Adams","2243101123","961","904","94.07"
"Adams","2243101124","835","772","92.46"
"Adams","2243101131","1068","1006","94.19"
"Adams","2243101132","1118","1044","93.38"
"Adams","2243101133","876","819","93.49"
"Adams","2243101134","1076","1011","93.96"
"Adams","2243101135","1088","926","85.11"
"Adams","2243101136","666","590","88.59"
"Adams","2243101137","675","597","88.44"
"Adams","2243101138","1107","1014","91.60"
"Adams","2243101139","984","848","86.18"
"Adams","2243101140","1446","1351","93.43"
"Adams","2243101145","820","747","91.10"
"Adams","2243101146","1002","965","96.31"
"Adams","2243101147","1026","969","94.44"
"Adams","2243101148","883","834","94.45"
"Adams","2243101149","972","933","95.99"
"Adams","2243101150","745","708","95.03"
"Adams","2243101151","940","896","95.32"
"Adams","2243101152","1082","1019","94.18"
"Adams","2243101153","919","891","96.95"
"Adams","2243101154","1205","1177","97.68"
"Adams","2243101155","1197","1170","97.74"
"Adams","2243101156","853","827","96.95"
"Adams","2243101157","966","908","94.00"
"Adams","2243101158","1009","983","97.42"
"Adams","2243101159","956","929","97.18"
"Adams","2243101160","821","788","95.98"
"Adams","2243101161","1020","1004","98.43"
"Adams","2243101162","555","511","92.07"
"Adams","2243101163","874","836","95.65"
"Adams","2243201080","660","481","72.88"
"Adams","2243201081","736","665","90.35"
"Adams","2243201082","1206","1114","92.37"
"Adams","2243201083","542","480","88.56"
"Adams","2243201084","1305","1158","88.74"
"Adams","2243201085","851","782","91.89"
"Adams","2243201086","964","866","89.83"
"Adams","2243201087","936","822","87.82"
"Adams","2243201088","807","728","90.21"
"Adams","2243201089","743","701","94.35"
"Adams","2243201090","719","678","94.30"
"Adams","2243201091","996","937","94.08"
"Adams","2243201092","1014","936","92.31"
"Adams","2243201093","939","895","95.31"
"Adams","2243401040","1011","984","97.33"
"Adams","2243401041","682","619","90.76"
"Adams","2243401042","883","817","92.53"
"Adams","2243401043","666","587","88.14"
"Adams","2243401044","812","758","93.35"
"Adams","2243401045","478","431","90.17"
"Adams","2243401046","864","796","92.13"
"Adams","2243401047","888","819","92.23"
"Adams","2243401048","1178","1087","92.28"
"Adams","2243401049","839","740","88.20"
"Adams","2243401052","904","760","84.07"
"Adams","2243401053","405","372","91.85"
"Adams","2243401054","921","832","90.34"
"Adams","2243401055","467","406","86.94"
"Adams","2243401056","759","654","86.17"
"Adams","2243401057","661","625","94.55"
"Adams","2243401058","393","346","88.04"
"Adams","2243401059","646","563","87.15"
"Adams","2243401060","706","622","88.10"
"Adams","2243401061","612","556","90.85"
"Adams","2243401062","747","656","87.82"
"Adams","2243401063","1091","964","88.36"
"Adams","2243401064","952","843","88.55"
"Adams","2243401065","620","562","90.65"
"Adams","2253101125","621","580","93.40"
"Adams","2253101127","1442","1346","93.34"
"Adams","2253101128","1755","1658","94.47"
"Adams","2253101129","1414","1343","94.98"
"Adams","2253101130","1988","1854","93.26"
"Adams","2253101141","996","950","95.38"
"Adams","2253101142","588","525","89.29"
"Adams","2253101143","1477","1389","94.04"
"Adams","2253101144","557","497","89.23"
"Adams","2253101164","788","729","92.51"
"Adams","2253201094","808","740","91.58"
"Adams","2253201095","579","529","91.36"
"Adams","2253201096","741","701","94.60"
"Adams","2253201097","673","640","95.10"
"Adams","2313401066","691","613","88.71"
"Adams","2313401067","463","418","90.28"
"Adams","2313401068","918","811","88.34"
"Adams","2313501011","989","849","85.84"
"Adams","2313501012","1054","929","88.14"
"Adams","2313501013","374","336","89.84"
"Adams","2313501014","702","629","89.60"
"Adams","2313501015","822","730","88.81"
"Adams","2313501016","1258","1123","89.27"
"Adams","2313501017","610","539","88.36"
"Adams","2313501018","955","855","89.53"
"Adams","2313501019","949","885","93.26"
"Adams","2313501020","839","778","92.73"
"Adams","2313501021","781","698","89.37"
"Adams","2313501023","963","780","81.00"
"Adams","2313501024","1055","999","94.69"
"Adams","2313501025","672","615","91.52"
"Adams","2313501026","453","405","89.40"
"Adams","2313501027","1227","1113","90.71"
"Adams","2313501028","581","527","90.71"
"Adams","2999901999","113","72","63.72"
"Adams","7243201112","36","25","69.44"
"Adams","7243401069","725","645","88.97"
"Adams","7253001169","430","396","92.09"
"Adams","7253001170","766","704","91.91"
"Adams","7253001171","781","707","90.52"
"Adams","7253001172","812","744","91.63"
"Adams","7253001173","1048","937","89.41"
"Adams","7253001174","1187","1074","90.48"
"Adams","7253001175","593","522","88.03"
"Adams","7253001176","590","541","91.69"
"Adams","7253001177","704","681","96.73"
"Adams","7253001178","620","566","91.29"
"Adams","7253001179","556","539","96.94"
"Adams","7253001180","913","804","88.06"
"Adams","7253001181","634","609","96.06"
"Adams","7253001182","947","861","90.92"
"Adams","7253001183","1336","1260","94.31"
"Adams","7253001184","199","186","93.47"
"Adams","7253001185","162","139","85.80"
"Adams","7253001186","1253","1195","95.37"
"Adams","7253001187","364","327","89.84"
"Adams","7253001188","1109","1060","95.58"
"Adams","7253001189","476","447","93.91"
"Adams","7253001190","1707","1033","60.52"
"Adams","7253001191","1425","1100","77.19"
"Adams","7253001192","1113","782","70.26"
"Adams","7253001193","154","109","70.78"
"Adams","7253001194","1019","884","86.75"
"Adams","7253001195","887","760","85.68"
"Adams","7253001196","776","515","66.37"
"Adams","7253001197","842","713","84.68"
"Adams","7253001198","817","661","80.91"
"Adams","7253001199","871","799","91.73"
"Adams","7253001200","821","735","89.52"
"Adams","7253001201","695","616","88.63"
"Adams","7253001202","400","370","92.50"
"Adams","7253001203","75","58","77.33"
"Adams","7253001204","125","121","96.80"
"Adams","7253001205","133","122","91.73"
"Adams","7253001206","129","119","92.25"
"Adams","7253001207","113","102","90.27"
"Adams","7253001208","568","532","93.66"
"Adams","7253001209","505","479","94.85"
"Adams","7253101126","366","340","92.90"
"Adams","7253101165","125","119","95.20"
"Adams","7253101166","1101","1062","96.46"
"Adams","7253101167","648","617","95.22"
"Adams","7253101168","686","667","97.23"
"Adams","7253201098","1229","1144","93.08"
"Adams","7253201099","1252","1181","94.33"
"Adams","7253201100","890","825","92.70"
"Adams","7253201101","859","808","94.06"
"Adams","7253201102","1527","1440","94.30"
"Adams","7253201103","968","917","94.73"
"Adams","7253201104","1865","1752","93.94"
"Adams","7253201105","1481","1313","88.66"
"Adams","7253201106","442","407","92.08"
"Adams","7253201107","360","314","87.22"
"Adams","7253201108","303","248","81.85"
"Adams","7253201109","652","532","81.60"
"Adams","7253201110","1060","912","86.04"
"Adams","7253201111","561","489","87.17"
"Adams","7253201113","821","707","86.11"
