deviceNetType,deviceNetworkType,deviceSignalStrength,deviceNetOp,deviceSimOp,addressZip,latitude,longitude,location,Counties
CDMA1xEVDORevA,,-25,Verizon Wireless,Verizon Wireless,81050,37.979999999999997,-103.53,"(37.98, -103.53)",1060
CDMA1xEVDORevA,,-26,Verizon Wireless,Verizon Wireless,81003,38.28,-104.65,"(38.28, -104.65)",34
CDMA1xEVDORevA,,-27,Verizon Wireless,Verizon Wireless,80603,39.9,-104.81,"(39.9, -104.81)",82
CDMA1xEVDORevA,,-27,Verizon Wireless,Verizon Wireless,80603,39.909999999999997,-104.81,"(39.91, -104.81)",82
CDMA1xEVDORevA,,-27,Verizon Wireless,Verizon Wireless,80482,39.93,-105.79,"(39.93, -105.79)",1450
CDMA1xEVDORevA,,-28,Verizon Wireless,Verizon Wireless,81058,38.1,-103.87,"(38.1, -103.87)",1060
CDMA1xEVDORevA,,-29,Verizon Wireless,Verizon Wireless,81144,37.57,-106.12,"(37.57, -106.12)",35
CDMA1xEVDORevA,,-29,Verizon Wireless,Verizon Wireless,80814,38.950000000000003,-105.22,"(38.95, -105.22)",1071
CDMA1xEVDORevA,,-29,Verizon Wireless,Verizon Wireless,81416,38.74,-108.07,"(38.74, -108.07)",1443
CDMA1xEVDORevA,,-29,Verizon Wireless,Verizon Wireless,81416,38.74,-108.07,"(38.74, -108.07)",1443
,,-29,AT&T Wireless,AT&T Wireless,80216,39.79,-104.98,"(39.79, -104.98)",1444
CDMA1xEVDORevA,,-30,Verizon Wireless,Verizon Wireless,80478,39.979999999999997,-105.82,"(39.98, -105.82)",1450
CDMA1xEVDORevA,,-30,Verizon Wireless,Verizon Wireless,81044,38.11,-102.93,"(38.11, -102.93)",84
CDMA1xEVDORevA,,-30,Verizon Wireless,Verizon Wireless,81044,38.11,-102.93,"(38.11, -102.93)",84
CDMA1xEVDORevA,,-30,Verizon Wireless,Verizon Wireless,80829,38.86,-104.9,"(38.86, -104.9)",1447
CDMA1xRTT,,-30,Verizon Wireless,Verizon Wireless,80112,39.57,-104.84,"(39.57, -104.84)",1395
CDMA1xRTT,,-31,Verizon Wireless,Verizon Wireless,80221,39.82,-104.98,"(39.82, -104.98)",82
CDMA1xEVDORevA,,-31,Verizon Wireless,Verizon Wireless,80478,39.979999999999997,-105.82,"(39.98, -105.82)",1450
CDMA1xEVDORevA,,-31,Verizon Wireless,Verizon Wireless,80829,38.86,-104.89,"(38.86, -104.89)",1447
CDMA1xEVDORevA,,-31,Verizon Wireless,Verizon Wireless,80863,38.97,-105.04,"(38.97, -105.04)",1071
CDMA1xEVDORevA,,-31,Verizon Wireless,Verizon Wireless,80863,38.979999999999997,-105.06,"(38.98, -105.06)",1071
CDMA1xEVDORevA,,-31,Verizon Wireless,Verizon Wireless,80814,38.950000000000003,-105.13,"(38.95, -105.13)",1071
CDMA1xEVDORevA,,-31,Verizon Wireless,Verizon Wireless,80814,38.97,-105.2,"(38.97, -105.2)",1071
CDMA1xEVDORevA,,-31,Verizon Wireless,Verizon Wireless,80640,39.869999999999997,-104.89,"(39.87, -104.89)",82
CDMA1xEVDORevA,,-31,Verizon Wireless,Verizon Wireless,80863,38.979999999999997,-105.04,"(38.98, -105.04)",1071
CDMA1xRTT,,-31,Verizon Wireless,Verizon Wireless,80109,39.409999999999997,-104.86,"(39.41, -104.86)",3133
CDMA1xEVDORevA,,-31,Verizon Wireless,Verizon Wireless,80022,39.840000000000003,-104.92,"(39.84, -104.92)",82
CDMA1xRTT,,-32,Verizon Wireless,Verizon Wireless,80229,39.81,-104.98,"(39.81, -104.98)",82
LTE,CDMA,-32,Verizon Wireless,Verizon Wireless,80121,39.619999999999997,-104.96,"(39.62, -104.96)",1395
LTE,CDMA,-32,Verizon Wireless,Verizon Wireless,80113,39.65,-104.96,"(39.65, -104.96)",1395
CDMA1xEVDORevA,,-32,Verizon Wireless,Verizon Wireless,80640,39.840000000000003,-104.92,"(39.84, -104.92)",82
CDMA1xEVDORevA,,-32,Verizon Wireless,Verizon Wireless,81149,37.979999999999997,-106.14,"(37.98, -106.14)",1067
CDMA1xEVDORevA,,-32,Verizon Wireless,Verizon Wireless,80498,39.86,-106.25,"(39.86, -106.25)",1070
CDMA1xEVDORevA,,-32,Verizon Wireless,Verizon Wireless,80814,38.96,-105.2,"(38.96, -105.2)",1071
CDMA1xEVDORevA,,-32,Verizon Wireless,Verizon Wireless,81149,37.979999999999997,-106.14,"(37.98, -106.14)",1067
LTE,CDMA,-32,Verizon Wireless,Verizon Wireless,80111,39.619999999999997,-104.9,"(39.62, -104.9)",1395
CDMA1xEVDORevA,,-33,Verizon Wireless,Verizon Wireless,80446,40.06,-105.92,"(40.06, -105.92)",1450
CDMA1xEVDORevA,,-33,Verizon Wireless,Verizon Wireless,80816,38.93,-105.19,"(38.93, -105.19)",1071
CDMA1xEVDORevA,,-33,Verizon Wireless,Verizon Wireless,81050,37.979999999999997,-103.53,"(37.98, -103.53)",1060
CDMA1xEVDORevA,,-33,Verizon Wireless,Verizon Wireless,81054,38.1,-103.12,"(38.1, -103.12)",84
CDMA1xRTT,,-33,Verizon Wireless,Verizon Wireless,80904,38.840000000000003,-104.86,"(38.84, -104.86)",1447
CDMA1xEVDORevA,,-34,Verizon Wireless,Verizon Wireless,81637,39.61,-106.95,"(39.61, -106.95)",1446
CDMA1xRTT,,-34,Verizon Wireless,Verizon Wireless,80640,39.880000000000003,-104.88,"(39.88, -104.88)",82
LTE,CDMA,-34,Verizon Wireless,Verizon Wireless,80528,40.520000000000003,-105.02,"(40.52, -105.02)",1012
CDMA1xRTT,,-34,Verizon Wireless,Verizon Wireless,80814,38.96,-105.18,"(38.96, -105.18)",1071
CDMA1xEVDORevA,,-34,Verizon Wireless,Verizon Wireless,81144,37.57,-106.09,"(37.57, -106.09)",35
CDMA1xEVDORevA,,-34,Verizon Wireless,Verizon Wireless,80814,38.950000000000003,-105.22,"(38.95, -105.22)",1071
CDMA1xEVDORevA,,-34,Verizon Wireless,Verizon Wireless,80814,38.97,-105.2,"(38.97, -105.2)",1071
CDMA1xEVDORevA,,-35,Verizon Wireless,Verizon Wireless,80863,38.979999999999997,-105.06,"(38.98, -105.06)",1071
CDMA1xEVDORevA,,-35,Verizon Wireless,Verizon Wireless,80814,38.96,-105.2,"(38.96, -105.2)",1071
