DIV,WD,County,Station Name,Data Source,DWR Abbrev,USGS Station ID,Station Status,Station Type,Date Time,Variable,Stage,Amount,Flag,More Information,Location,Counties
1,2,UNKNOWN,DENVER WATER REUSE DELIVERY TO CHEROKEE POWER PLANT,Co. Division of Water Resources,DWRDECCO,,Active,Diversion,09/08/2022 10:30:00 PM,DISCHRG,,9.36,,https://dwr.state.co.us/Tools/Stations/DWRDECCO,"(39.812023, -104.96003)",82
1,2,WELD,LUPTON BOTTOM DITCH WEST AUG RET,"Cooperative Program of CDWR, NCWCD & LSPWCD",LPBWESCO,,Active,Diversion,09/08/2022 09:45:00 PM,DISCHRG,0.27,0.8,,https://dwr.state.co.us/Tools/Stations/LPBWESCO,"(40.094766, -104.839666)",1072
1,2,WELD,FARMERS INDEPENDENT DITCH TAIL,Cooperative SDR Program of CDWR & NCWCD,FIDTAICO,,Active,Diversion,09/08/2022 09:45:00 PM,DISCHRG,1.22,21.78,,https://dwr.state.co.us/Tools/Stations/FIDTAICO,"(40.34383, -104.720027)",1072
1,2,WELD,SAND HILL LAKE (INLET),"Cooperative Program of CDWR, NCWCD & LSPWCD",SHLINLCO,,Active,Stream,09/08/2022 09:45:00 PM,DISCHRG,0.79,21.91,,https://dwr.state.co.us/Tools/Stations/SHLINLCO,"(40.123229, -104.854774)",1072
1,2,WELD,SEEP DITCH INFLOW INTO WESTERN CANAL,Co. Division of Water Resources,WESSEPCO,,Active,Diversion,09/08/2022 10:00:00 PM,DISCHRG,,2,,https://dwr.state.co.us/Tools/Stations/WESSEPCO,"(40.246725, -104.84287)",1072
1,2,ADAMS,METRO SEWER EFFLUENT AT DENVER,Co. Division of Water Resources,METSEWCO,,Active,Diversion,09/08/2022 10:00:00 PM,DISCHRG1,,232,,https://dwr.state.co.us/Tools/Stations/METSEWCO,"(39.812489, -104.954165)",82
1,2,ADAMS,BRIGHTON'S FULTON DITCH 124TH AVE AUG RTN,Co. Division of Water Resources,124RTNCO,,Active,Diversion,09/08/2022 10:45:00 PM,DISCHRG,,0,,https://dwr.state.co.us/Tools/Stations/124RTNCO,"(39.921387, -104.857635)",82
1,2,ADAMS,124TH AVE RESERVOIR RESLEASE,Co. Division of Water Resources,124OUTCO,,Active,Stream,09/08/2022 10:45:00 PM,DISCHRG,,0,,https://dwr.state.co.us/Tools/Stations/124OUTCO,"(39.918029, -104.859479)",82
1,2,ADAMS,GERMAN DITCH,Cooperative SDR Program of CDWR & NCWCD,GRMDITCO,,Active,Diversion,09/08/2022 09:00:00 PM,DISCHRG,0.12,0.56,,https://dwr.state.co.us/Tools/Stations/GRMDITCO,"(39.947547, -104.977136)",82
1,2,WELD,PLATTEVILLE DITCH CENTRAL AUG RT,Co. Division of Water Resources,PLARTNCO,,Active,Diversion,09/08/2022 10:00:00 PM,DISCHRG,,2.01,,https://dwr.state.co.us/Tools/Stations/PLARTNCO,"(40.116404, -104.813657)",1072
1,2,WELD,THOMPSON DITCH,Cooperative SDR Program of CDWR & NCWCD,TOMDITCO,,Active,Diversion,09/08/2022 09:00:00 PM,DISCHRG,-0.09,0,,https://dwr.state.co.us/Tools/Stations/TOMDITCO,"(40.002742, -104.932294)",1072
1,2,ADAMS,ERGERS POND OUTLET,Co. Division of Water Resources,ERGOUTCO,,Active,Stream,09/08/2022 10:45:00 PM,DISCHRG,,0.21,,https://dwr.state.co.us/Tools/Stations/ERGOUTCO,"(39.981966, -104.834566)",82
1,2,WELD,HODGSON DITCH,Cooperative SDR Program of CDWR & NCWCD,HODDITCO,,Active,Diversion,09/08/2022 09:45:00 PM,DISCHRG,0.54,3.83,,https://dwr.state.co.us/Tools/Stations/HODDITCO,"(40.208282, -104.849845)",1072
1,2,ADAMS,METRO SEWER EFFLUENT AT DENVER,Co. Division of Water Resources,METSEWCO,,Active,Diversion,09/08/2022 10:00:00 PM,DISCHRG2,,0,,https://dwr.state.co.us/Tools/Stations/METSEWCO,"(39.812489, -104.954165)",82
