"month","year","city","num_retailers","num_returns","gross_sales","retail_sales","state_net_taxable_sales","state_sales_tax"
"8","2020","Aurora",,"13788","1449490000.0","1049147000.0","550174000.0",
"7","2020","Las Animas",,"597","3774000.0","3349000.0","1417000.0",
"7","2020","Boulder",,"6853","482465000.0","371924000.0","209404000.0",
"9","2020","Crawford",,"398","510000.0","446000.0","263000.0",
"8","2020","Foxfield",,"549","2189000.0","2064000.0","1161000.0",
"8","2020","Winter Park",,"938","13942000.0","12816000.0","9263000.0",
"8","2020","Gunnison",,"1999","38320000.0","33134000.0","19883000.0",
"9","2020","Hot Sulphur Springs",,"456","973000.0","907000.0","445000.0",
"9","2020","Fort Morgan",,"2241","52068000.0","41669000.0","22172000.0",
"7","2020","Kittredge",,"314","944000.0","819000.0","557000.0",
"9","2020","Glenwood Springs",,"3124","153345000.0","137523000.0","60719000.0",
"7","2020","Fort Garland",,"275","1000000.0","845000.0","490000.0",
"7","2020","Palisade",,"1002","8898000.0","8260000.0","3439000.0",
"9","2020","Las Animas",,"544","2557000.0","2284000.0","1290000.0",
"7","2020","La Junta",,"1440","30899000.0","28456000.0","11092000.0",
"7","2020","Craig",,"1761","35858000.0","30994000.0","17442000.0",
"8","2020","Lafayette",,"3654","209745000.0","196627000.0","40765000.0",
"7","2020","Avon",,"2027","47884000.0","43906000.0","31735000.0",
"7","2020","Parker",,"5529","249368000.0","204135000.0","125176000.0",
"8","2020","Burlington",,"1081","20162000.0","17528000.0","7118000.0",
"9","2020","Mancos",,"883","4395000.0","4010000.0","1801000.0",
"9","2020","Salida",,"2324","42819000.0","37850000.0","21483000.0",
"9","2020","La Veta",,"492","3360000.0","3120000.0","2365000.0",
"8","2020","Pueblo",,"5306","427946000.0","362179000.0","171686000.0",
"7","2020","Keystone",,"373","5882000.0","5559000.0","4438000.0",
"7","2020","Twin Lakes",,"137","502000.0","317000.0","309000.0",
"8","2020","Snowmass Village",,"1384","18118000.0","17293000.0","11352000.0",
"7","2020","Delta",,"1836","37931000.0","32034000.0","17696000.0",
"7","2020","Carbondale",,"2027","26839000.0","23168000.0","14075000.0",
"9","2020","Boulder",,"8731","767143000.0","581396000.0","221203000.0",
"9","2020","Mead",,"1649","15559000.0","13171000.0","7956000.0",
"7","2020","Paonia",,"744","2984000.0","2629000.0","1733000.0",
"7","2020","Flagler",,"399","2641000.0","2294000.0","1075000.0",
"7","2020","Manitou Springs",,"1489","16690000.0","15831000.0","9904000.0",
"7","2020","Dillon",,"1325","22147000.0","18990000.0","11346000.0",
"9","2020","Crested Butte",,"1446","22550000.0","20603000.0","14585000.0",
"9","2020","Evergreen",,"1505","31249000.0","26686000.0","12971000.0",
"7","2020","Red Cliff",,"188","188000.0","181000.0","133000.0",
"9","2020","Seibert",,"187","2608000.0","2467000.0","1247000.0",
"9","2020","Johnstown",,"3537","94661000.0","51738000.0","33398000.0",
"9","2020","Castle Rock",,"5721","241594000.0","218226000.0","135430000.0",
