"county","year","totalpopulation"
"Arapahoe","2020","8167"
"Arapahoe","2020","5432"
"Arapahoe","2020","9434"
"Arapahoe","2020","8947"
"Arapahoe","2020","5178"
"Arapahoe","2020","8329"
"Arapahoe","2020","8274"
"Arapahoe","2020","7684"
"Arapahoe","2020","6998"
"Arapahoe","2020","8295"
"Arapahoe","2020","8365"
"Arapahoe","2020","8606"
"Arapahoe","2020","1150"
"Arapahoe","2020","7505"
"Arapahoe","2020","412"
"Arapahoe","2020","2553"
"Arapahoe","2020","2811"
"Arapahoe","2020","8807"
"Arapahoe","2020","1636"
"Arapahoe","2020","1935"
"Arapahoe","2020","8237"
"Arapahoe","2020","6396"
"Arapahoe","2020","8375"
"Arapahoe","2020","8217"
"Arapahoe","2020","8537"
"Arapahoe","2020","7549"
"Arapahoe","2020","8345"
"Arapahoe","2020","2224"
"Arapahoe","2020","8771"
"Arapahoe","2020","7777"
"Arapahoe","2020","10444"
"Arapahoe","2020","334"
"Arapahoe","2020","1002"
"Arapahoe","2020","7709"
"Arapahoe","2020","7617"
"Arapahoe","2020","8088"
"Arapahoe","2020","572"
"Arapahoe","2020","115"
"Arapahoe","2020","200"
"Arapahoe","2020","154"
"Arapahoe","2020","3831"
"Arapahoe","2020","8786"
"Arapahoe","2020","10826"
"Arapahoe","2020","898"
"Arapahoe","2020","2364"
"Arapahoe","2020","492"
"Arapahoe","2020","8566"
"Arapahoe","2020","10718"
"Arapahoe","2020","10352"
"Arapahoe","2020","7897"
"Arapahoe","2020","7274"
"Arapahoe","2020","7959"
"Arapahoe","2020","8097"
"Arapahoe","2020","8733"
"Arapahoe","2020","9295"
"Arapahoe","2020","3145"
"Archuleta","2020","138"
"Archuleta","2020","13"
"Archuleta","2020","53"
"Archuleta","2020","236"
"Archuleta","2020","106"
"Archuleta","2020","10"
"Archuleta","2020","7"
"Archuleta","2020","5"
"Archuleta","2020","2"
"Archuleta","2020","3"
"Archuleta","2020","163"
"Archuleta","2020","117"
"Archuleta","2020","235"
"Archuleta","2020","256"
"Archuleta","2020","130"
"Archuleta","2020","114"
"Archuleta","2020","99"
"Archuleta","2020","123"
"Archuleta","2020","171"
"Archuleta","2020","170"
"Archuleta","2020","126"
"Archuleta","2020","160"
"Archuleta","2020","154"
"Archuleta","2020","147"
"Archuleta","2020","248"
"Archuleta","2020","41"
"Archuleta","2020","140"
"Archuleta","2020","93"
"Archuleta","2020","83"
"Archuleta","2020","142"
"Archuleta","2020","146"
