"devicenettype","devicenetworktype","deviceroaming","devicesignalstrength","latencyaverage","latencystatus","downloadspeed","downloadstatus","islatency","uploadspeed","uploadstatus","devicenetop","devicesimop","addresszip","latitude","longitude","location"
"0","GSM","false","-61","125.8","success","3562.78","success","false","729.95","success","Verizon Wireless","Verizon Wireless","80215","39.72","-105.1","(39.72, -105.1)"
"0","GSM","false","-59","119","success","2963.48","success","false","742.8","success","Verizon Wireless","Verizon Wireless","80215","39.72","-105.1","(39.72, -105.1)"
"0","GSM","false","-57","118.8","success","3670.41","success","false","746.34","success","Verizon Wireless","Verizon Wireless","80215","39.72","-105.1","(39.72, -105.1)"
"0","GSM","false","-57","119.8","success","3549.7","success","false","742.99","success","Verizon Wireless","Verizon Wireless","80215","39.72","-105.1","(39.72, -105.1)"
"1xEVDO REVA","CDMA","false","-57","280.39999999999998","success","10172.9","success","false","847.81","success","Sprint","Sprint","80906","38.79","-104.8","(38.79, -104.8)"
"1xEVDO REVA","CDMA","false","-55","167.8","success","10023.469999999999","success","false","847.01","success","Sprint","Sprint","80906","38.79","-104.79","(38.79, -104.79)"
"1xEVDO REVA","CDMA","false","-81","141.80000000000001","success","9659.7900000000009","success","false","932.51","success","Sprint","Sprint","80907","38.89","-104.84","(38.89, -104.84)"
"1xEVDO REVA","CDMA","false","-79","158.80000000000001","success","10873.19","success","false","914.23","success","Sprint","Sprint","80907","38.89","-104.84","(38.89, -104.84)"
"1xEVDO REVA","CDMA","false","-55","143.80000000000001","success","8870.14","success","false","955.72","success","Sprint","Sprint","80919","38.94","-104.87","(38.94, -104.87)"
"1xEVDO REVA","CDMA","false","-55","151.4","success","8319.61","success","false","874.68","success","Sprint","Sprint","80919","38.94","-104.87","(38.94, -104.87)"
"1xEVDO REVA","CDMA","false","-55","233","success","3030.83","success","false","584.97","success","Sprint","Sprint","80920","38.94","-104.8","(38.94, -104.8)"
"1xEVDO REVA","CDMA","false","-55","236.4","success","4331.4799999999996","success","false","657.3","success","Sprint","Sprint","80920","38.94","-104.8","(38.94, -104.8)"
"1xEVDO REVA","GSM","false","-77","454","success","375.3","success","false","132.43","success","Verizon Wireless","Verizon Wireless","80020","39.92","-105.11","(39.92, -105.11)"
"1xEVDO REVA","GSM","false","-57","448","success","823.31","success","false","240.31","success","Verizon Wireless","Verizon Wireless","80112","39.590000000000003","-104.88","(39.59, -104.88)"
"1xEVDO REVA","GSM","false","-87","238.8","success","616.61","success","false","375.67","success","Verizon Wireless","Verizon Wireless","80132","39.06","-104.85","(39.06, -104.85)"
"1xEVDO REVA","GSM","false","-61","320.8","success","244.82","success","false","400.44","success","Verizon Wireless","Verizon Wireless","80223","39.72","-105.01","(39.72, -105.01)"
"1xEVDO REVA","GSM","false","-73","332.2","success","869.12","success","false","401.49","success","Verizon Wireless","Verizon Wireless","80303","40","-105.25","(40.0, -105.25)"
"1xEVDO REVA","GSM","false","-75","275.60000000000002","success","434.74","success","false","311.25","success","Verizon Wireless","Verizon Wireless","80420","39.229999999999997","-106.1","(39.23, -106.1)"
"1xEVDO REVA","GSM","false","-93","427.4","success","259.58999999999997","success","false","257.02","success","Verizon Wireless","Verizon Wireless","80446","39.89","-105.77","(39.89, -105.77)"
"1xEVDO REVA","GSM","false","-97","423","success","673.59","success","false","188.11","success","Verizon Wireless","Verizon Wireless","80447","40.01","-105.93","(40.01, -105.93)"
"1xEVDO REVA","GSM","false","-79","398.6","success","1203.46","success","false","300.08","success","Verizon Wireless","Verizon Wireless","80482","39.880000000000003","-105.75","(39.88, -105.75)"
"1xEVDO REVA","GSM","false","-65","156.4","success","11354.14","success","false","877.69","success","Verizon Wireless","Verizon Wireless","80809","38.86","-104.92","(38.86, -104.92)"
"1xEVDO REVA","GSM","false","-113","912.8","success","165.57","success","false","12.14","success","Verizon Wireless","Verizon Wireless","80814","38.99","-105.14","(38.99, -105.14)"
"1xEVDO REVA","GSM","false","-95","631.4","success","204.99","success","false","145.63","success","Verizon Wireless","Verizon Wireless","80814","38.99","-105.14","(38.99, -105.14)"
"1xEVDO REVA","GSM","false","-77","293","success","816.19","success","false","372.83","success","Verizon Wireless","Verizon Wireless","80814","38.94","-105.15","(38.94, -105.15)"
"1xEVDO REVA","GSM","false","-51","835.4","success","158.91","success","false","103.87","success","Verizon Wireless","Verizon Wireless","80817","38.71","-104.7","(38.71, -104.7)"
"1xEVDO REVA","GSM","false","-99","380","success","340.44","success","false","108.42","success","Verizon Wireless","Verizon Wireless","80829","38.85","-104.89","(38.85, -104.89)"
"1xEVDO REVA","GSM","false","-79","501.4","success","455.8","success","false","231.95","success","Verizon Wireless","Verizon Wireless","80829","38.85","-104.89","(38.85, -104.89)"
"1xEVDO REVA","GSM","false","-69","170.8","success","4195.71","success","false","821.43","success","Verizon Wireless","Verizon Wireless","80829","38.86","-104.88","(38.86, -104.88)"
"1xEVDO REVA","GSM","false","-65","301.39999999999998","success","4328.1899999999996","success","false","514.16","success","Verizon Wireless","Verizon Wireless","80829","38.85","-104.89","(38.85, -104.89)"
"1xEVDO REVA","GSM","false","-61","597.20000000000005","success","199.49","success","false","0","timeout","Verizon Wireless","Verizon Wireless","80829","38.85","-104.9","(38.85, -104.9)"
"1xEVDO REVA","GSM","false","-105","1175.4000000000001","success","93.22","success","false","0","error","Verizon Wireless","Verizon Wireless","80831","38.93","-104.61","(38.93, -104.61)"
"1xEVDO REVA","GSM","false","-97","826.2","success","634.23","success","false","91.84","success","Verizon Wireless","Verizon Wireless","80831","38.93","-104.63","(38.93, -104.63)"
"1xEVDO REVA","GSM","false","-95","455","success","394.93","success","false","64.739999999999995","success","Verizon Wireless","Verizon Wireless","80831","38.93","-104.61","(38.93, -104.61)"
"1xEVDO REVA","GSM","false","-91","606.6","success","45.91","success","false","0","error","Verizon Wireless","Verizon Wireless","80831","38.93","-104.6","(38.93, -104.6)"
"1xEVDO REVA","GSM","false","-89","1246.4000000000001","success","422","success","false","129.47999999999999","success","Verizon Wireless","Verizon Wireless","80831","38.97","-104.62","(38.97, -104.62)"
"1xEVDO REVA","GSM","false","-85","242.4","success","1476","success","false","396.65","success","Verizon Wireless","Verizon Wireless","80831","38.950000000000003","-104.59","(38.95, -104.59)"
"1xEVDO REVA","GSM","false","-67","274.8","success","2375.1799999999998","success","false","478.13","success","Verizon Wireless","Verizon Wireless","80831","38.950000000000003","-104.59","(38.95, -104.59)"
