"year","county","fipscode","age","malepopulation","femalepopulation","totalpopulation"
"2015","Mesa","77","15","951","916","1867"
"2015","Mesa","77","16","938","905","1843"
"2015","Mesa","77","21","1021","975","1996"
"2015","Mesa","77","25","1085","1113","2198"
"2015","Mesa","77","29","963","840","1803"
"2015","Mesa","77","32","1053","974","2027"
"2015","Mesa","77","33","1007","979","1986"
"2015","Mesa","77","36","977","902","1879"
"2015","Mesa","77","38","889","841","1730"
"2015","Mesa","77","39","878","808","1686"
"2015","Mesa","77","41","824","785","1609"
"2015","Mesa","77","42","829","773","1602"
"2015","Mesa","77","43","906","807","1713"
"2015","Mesa","77","45","860","848","1708"
"2015","Mesa","77","46","828","830","1658"
"2015","Mesa","77","48","806","777","1583"
"2015","Mesa","77","62","944","1019","1963"
"2015","Mesa","77","63","961","946","1907"
"2015","Mesa","77","64","925","942","1867"
"2015","Mesa","77","97","21","44","65"
"2015","Mesa","77","99","8","27","35"
"2015","Mesa","77","100","7","36","43"
"2015","Mesa","77","77","379","470","850"
"2015","Mesa","77","75","443","537","979"
"2015","Mesa","77","90","121","210","331"
"2015","Mesa","77","93","66","124","190"
"2015","Mesa","77","13","975","901","1877"
"2015","Mesa","77","12","986","889","1875"
"2015","Mesa","77","82","293","356","650"
"2015","Mesa","77","1","894","854","1748"
"2015","Mesa","77","96","29","62","91"
"2015","Mesa","77","6","985","939","1923"
"2015","Mesa","77","85","233","331","564"
"2015","Mesa","77","80","330","401","731"
"2015","Mesa","77","55","1066","1105","2171"
"2015","Mesa","77","89","141","235","375"
"2015","Mesa","77","83","266","345","611"
"2015","Mesa","77","50","873","875","1747"
"2015","Mesa","77","95","26","84","111"
"2015","Mesa","77","54","994","1078","2071"
"2015","Mesa","77","22","1034","1029","2063"
"2015","Mesa","77","44","874","830","1704"
"2015","Mesa","77","23","931","880","1811"
"2015","Mesa","77","86","197","314","512"
"2015","Mesa","77","79","365","419","784"
"2015","Mesa","77","49","808","814","1621"
"2015","Mesa","77","78","396","470","866"
"2015","Mesa","77","71","627","688","1314"
"2015","Mesa","77","59","1068","1066","2134"
"2015","Mesa","77","56","1032","1060","2092"
"2015","Mesa","77","92","83","150","233"
"2015","Mesa","77","24","954","874","1828"
"2015","Mesa","77","4","959","917","1876"
"2015","Mesa","77","84","259","332","592"
"2015","Mesa","77","19","1211","1206","2418"
"2015","Mesa","77","74","483","537","1020"
"2015","Mesa","77","27","885","885","1770"
"2015","Mesa","77","34","1005","966","1971"
"2015","Mesa","77","61","974","1092","2066"
"2015","Mesa","77","35","1042","961","2003"
"2015","Mesa","77","88","152","265","418"
"2015","Mesa","77","52","891","994","1886"
"2015","Mesa","77","7","1019","991","2010"
"2015","Mesa","77","26","887","892","1780"
"2015","Mesa","77","98","12","39","52"
"2015","Mesa","77","18","1136","1050","2185"
"2015","Mesa","77","87","183","302","485"
"2015","Mesa","77","8","989","1032","2021"
"2015","Mesa","77","3","913","873","1787"
"2015","Mesa","77","20","1012","935","1947"
"2015","Mesa","77","53","971","1062","2033"
"2015","Mesa","77","30","965","858","1822"
"2015","Mesa","77","94","48","105","153"
"2015","Mesa","77","66","838","869","1707"
"2015","Mesa","77","57","1034","1067","2101"
"2015","Mesa","77","9","935","1013","1948"
"2015","Mesa","77","31","1068","945","2013"
"2015","Mesa","77","91","107","183","289"
"2015","Mesa","77","51","906","978","1885"
"2015","Mesa","77","5","1000","926","1927"
"2015","Mesa","77","68","789","868","1657"
"2015","Mesa","77","28","952","873","1824"
"2015","Mesa","77","73","530","576","1107"
"2015","Mesa","77","11","997","924","1921"
"2015","Mesa","77","47","802","773","1574"
"2015","Mesa","77","76","437","493","930"
"2015","Mesa","77","70","624","663","1288"
"2015","Mesa","77","60","1032","1100","2131"
"2015","Mesa","77","0","937","895","1832"
"2015","Mesa","77","58","1036","1077","2114"
"2015","Mesa","77","17","918","884","1802"
"2015","Mesa","77","72","593","635","1228"
"2015","Mesa","77","10","970","953","1923"
"2015","Mesa","77","65","873","951","1825"
"2015","Mesa","77","2","936","895","1832"
"2015","Mesa","77","81","309","388","697"
"2015","Mesa","77","67","825","883","1708"
"2015","Mesa","77","69","646","676","1322"
"2015","Mesa","77","37","894","866","1761"
"2015","Mesa","77","14","963","910","1873"
"2015","Mesa","77","40","859","780","1639"
