"month","page_views","total_views"
"JUNE 2012","11,372","11,372"
"JULY 2012","14,142","25,514"
"AUGUST 2012","17,081","42,595"
"SEPTEMBER 2012","6,568","49,163"
"OCTOBER 2012","5,871","55,034"
"NOVEMBER 2012","16,702","71,736"
"DECEMBER 2012","6,731","78,467"
"JANUARY 2013","7,214","85,681"
"FEBRUARY 2013","6,171","91852"
"MARCH 2013","8,879","100,731"
"APRIL 2013","9,061","109,792"
"MAY 2013","15,249","125,041"
"JUNE 2013","29,763","154,804"
"JULY 2013","18,963","183,896"
"AUGUST 2013","9,816","193,712"
