"geofips","msa_name","year","industry","thousands_dollars","blank_key"
"14500","Boulder, CO","2001","All industry total","18076532",
"14500","Boulder, CO","2001","Private industries","15682824",
"14500","Boulder, CO","2001","Agriculture, forestry, fishing and hunting","7190",
"14500","Boulder, CO","2001","Mining, quarrying, and oil and gas extraction","57150",
"14500","Boulder, CO","2001","Utilities","98176",
"14500","Boulder, CO","2001","Construction","1049081",
"14500","Boulder, CO","2001","Manufacturing","1514332",
"14500","Boulder, CO","2001","Durable goods manufacturing",,"(D)"
"14500","Boulder, CO","2001","Nondurable goods manufacturing",,"(D)"
"14500","Boulder, CO","2001","Wholesale trade","788672",
"14500","Boulder, CO","2001","Retail trade","1062619",
"14500","Boulder, CO","2001","Transportation and warehousing","151199",
"14500","Boulder, CO","2001","Information","2156981",
"14500","Boulder, CO","2001","Finance, insurance, real estate, rental, and leasing","3685687",
"14500","Boulder, CO","2001","Finance and insurance","687087",
"14500","Boulder, CO","2001","Real estate and rental and leasing","2988517",
"14500","Boulder, CO","2001","Professional and business services","3306079",
"14500","Boulder, CO","2001","Professional, scientific, and technical services","2668226",
"14500","Boulder, CO","2001","Management of companies and enterprises","228363",
"14500","Boulder, CO","2001","Administrative and support and waste management and remediation services","418104",
"14500","Boulder, CO","2001","Educational services, health care, and social assistance","1051965",
"14500","Boulder, CO","2001","Educational services","147683",
"14500","Boulder, CO","2001","Health care and social assistance","909328",
"14500","Boulder, CO","2001","Arts, entertainment, recreation, accommodation, and food services","695451",
"14500","Boulder, CO","2001","Arts, entertainment, and recreation","128569",
"14500","Boulder, CO","2001","Accommodation and food services","566968",
"14500","Boulder, CO","2001","Other services (except government and government enterprises)","470786",
"14500","Boulder, CO","2001","Government and government enterprises","2424089",
"14500","Boulder, CO","2001","Natural resources and mining","68222",
"14500","Boulder, CO","2001","Trade","1867238",
"14500","Boulder, CO","2001","Transportation and utilities","244941",
"14500","Boulder, CO","2001","Manufacturing and information","3559634",
"14500","Boulder, CO","2001","Private goods-producing industries 2/","2396643",
"14500","Boulder, CO","2001","Private services-providing industries 3/","13481702",
"17820","Colorado Springs, CO","2001","All industry total","24619415",
"17820","Colorado Springs, CO","2001","Private industries","17945564",
"17820","Colorado Springs, CO","2001","Agriculture, forestry, fishing and hunting",,"(D)"
"17820","Colorado Springs, CO","2001","Mining, quarrying, and oil and gas extraction","109102",
"17820","Colorado Springs, CO","2001","Utilities","252371",
"17820","Colorado Springs, CO","2001","Construction","1763488",
"17820","Colorado Springs, CO","2001","Manufacturing",,"(D)"
"17820","Colorado Springs, CO","2001","Durable goods manufacturing",,"(D)"
"17820","Colorado Springs, CO","2001","Nondurable goods manufacturing",,"(D)"
"17820","Colorado Springs, CO","2001","Wholesale trade","562458",
"17820","Colorado Springs, CO","2001","Retail trade","1682677",
"17820","Colorado Springs, CO","2001","Transportation and warehousing","250103",
"17820","Colorado Springs, CO","2001","Information","1756721",
