"the_geom","irisyear","dvmt","fips","route","segmid","length_","hpmsid","fipscounty","funcclassi","govlevel","adminclass","population","urban","uabname","naaqsid","nhsdesig","specialsys","access_","trkrestric","priiri","priiridate","pripsi","prirutting","prifaultin","prifatigue","pritranscr","prislabcra","hutf_projy","builtyr","hutf_inspy","priyrrehab","pritreatme","prisurf","prisurfwd","thrulnqty","prithrulnw","operation","rrxid","strid","region","tprid","terrain","forestrout","routesign","routesignq","jursplit","routename","fromfeatur","segmdir","tofeature","segmprefix","countstati","aadt","countyear","volumegrou","aadtyr","aadtderiv","dhv","dd","aadtsingle","aadtcomb","pctpksu","pctpkcomb","pctoffpksu","pctoffpkco","yr20factor","hovtype","hovlnqty","tollid","tolltype","tollcharge","hpms_yradd","hpms_yrins","rigidthick","flexthick","basetype","basethick","median","medianwd","priinshldw","prioutshld","prioutsh_1","secinshldw","curves_a","curves_b","curves_c","curves_d","curves_e","curves_f","grades_a","grades_b","grades_c","grades_d","grades_e","grades_f","pkpark","widenobsta","widenfeas","sightdist","speedlim","intersecti","ltturnln","rtturnln","signaltype","greentime","signalqty","stopqty","nonctrlqty","roadterrai","lrsroute","frommeas","tomeas","gisid","fundid","shape_leng"
"MULTILINESTRING ((-104.78193079421985 39.68715754845004, -104.78182962741624 39.6872334502275, -104.78172495290431 39.6873052208678, -104.78161500066993 39.68737249211674, -104.78122539175884 39.68759831093919, -104.78109574918722 39.687677823350555, -104.7810408491069 39.687715356902125, -104.78097228945411 39.6877621801649, -104.78085412373774 39.68785170859959, -104.78074211569522 39.68794573903552, -104.78063996435478 39.68804084330983))","2015","243","4000","URAVAN   ST","800.0","0.09",,"5","5","4","2","4","23527",,"24","0","0","3","0","0.0",,"2.5",,,,,,,"1995","1977",,"0.0","1","50.0","2.0","10.0","2",,,"1","2","1",,"0","0","0","URAVAN ST","SALIDA WY","NE","GUNNISON PL","S","203301","2700","2015","3","2015","0","10.5","56.0","50.0","20.0","0.1","0.0","1.8","0.6","0.0",,,,,,,,,,"0.0",,"0",,,"0",,,,,,,,,,,,,,,"0.0",,,,,,"0.0","0.0","0.0",,,,,"0","005-0-2013-2953","0.0","0.09","04000URAVAN   ST  800","FedAid","148.2990113108095"
"MULTILINESTRING ((-104.50540141459679 37.15943376146228, -104.50540879336877 37.15946955905963, -104.50541209555843 37.159485629197754, -104.50542451921422 37.15954595266509, -104.50542559235465 37.159796132077496, -104.50542804737519 37.16037594688913, -104.50542787851111 37.16042326003555))","2015","119","78610","GRANT    AV","200.0","0.07",,"71","5","4","1","2","88516",,"0","0","0","3","0","0.0",,"4.0",,,,,,,"1995","1977",,"0.0","1","36.0","2.0","12.0","2",,,"2","15","1",,"0","0","0","GRANT AV","MONROE ST","N","MADISON ST",,"201024","1700","2013","2","2015","2","10.5","59.0","30.0","10.0","0.1","0.1","1.7","0.7","1.5",,,,,,,,,,"0.0",,"0",,,"0",,,,,,,,,,,,,,,"0.0",,,,,,"0.0","0.0","0.0",,,,,"0","071-0-2013-0124","0.0","0.07","78610GRANT    AV  200","FedAid","109.94236328049075"
"MULTILINESTRING ((-108.62542207485312 39.043190560642486, -108.62550073734414 39.04323845432669, -108.62589356473974 39.043477638642926, -108.62595808756733 39.04350715427626, -108.62613134916843 39.043591845109496, -108.62631332938831 39.0436672341964, -108.6264958015562 39.043720102348466, -108.6268224503661 39.043786504138076, -108.62925030109263 39.044174774776174, -108.63183912993786 39.04460750856734, -108.63211143420565 39.044666576593535, -108.63237674351502 39.04474386363862, -108.63263141639155 39.04483950583059, -108.63288205624208 39.044957819060954, -108.63311893952007 39.045090033811185, -108.63333312369497 39.04523647414235, -108.63346454613186 39.045335970145416, -108.63448636768224 39.04624538012453, -108.63470689405757 39.04645917852615, -108.63490299624603 39.04668275745054, -108.63507348682099 39.046920638696626, -108.63521635863322 39.047168377885505, -108.63526425498836 39.04726147434887))","2015","2275","77","22.00","100.0","0.65",,"77","5","2","1","3","34273",,"0","0","0","3","0","0.0",,"4.0",,,,,,,"1995","1997",,"0.0","1","24.0","2.0","11.0","2",,,"3","5","3",,"0","0","0","CAMP RD","MONUMENT RD","NW","CL-GJ","S","200053","3500","2015","3","2015","0","10.5","60.0","80.0","7.0","0.1","0.0","2.2","0.2","0.0",,,,,,,,,,"0.0",,"0",,,"0",,,,,,,,,,,,,,,"0.0",,,,,,"0.0","0.0","0.0",,,,,"0","077-0-2013-0188","0.0","0.65","077  22.00        100","FedAid","1015.3477124513786"
"MULTILINESTRING ((-104.73525552841801 40.41469111129334, -104.7351823184422 40.41469103710906, -104.73203855970866 40.414697807742996, -104.73107176477131 40.414699894247676, -104.73006191410752 40.41470204558215, -104.7290071349923 40.41470428776104, -104.72806441908425 40.41470628055014, -104.72710375184307 40.414708300988615, -104.72606693729577 40.414710473156916, -104.72508111103629 40.41471253429886))","2015","5400","32155","16TH     ST","300.0","0.54",,"123","4","4","1","3","34786",,"310","0","0","3","0","0.0",,"2.5",,,,,,,"1995","1986",,"0.0","1","42.0","4.0","12.0","2",,,"4","3","1",,"0","0","0","16TH ST","35TH AV","E","28TH AV","W","105800","10000","2013","5","2015","2","10.5","59.0","200.0","20.0","0.1","0.0","2.0","0.2","1.86",,,,,,,,,,"0.0",,"0",,,"0",,,,,,,,,,,,,,,"0.0",,,,,,"0.0","0.0","0.0",,,,,"0","123-0-2013-3760","1.19","1.73","3215516TH     ST  300","FedAid","863.2174877147529"
"MULTILINESTRING ((-105.19014118267124 39.65443807186333, -105.19020955555834 39.654492758501746, -105.19031657852285 39.654560061566016, -105.1905105558337 39.65473838803233, -105.19068562201527 39.65487935121596, -105.1907718555708 39.65496437864234, -105.19087154629959 39.65505975815952, -105.19103336281847 39.65526513491005, -105.19133597144707 39.65585666280296, -105.19144660237095 39.656020582257774, -105.19159621654937 39.65624228699466))","2015","455","52075","MTVERNON AV","300.0","0.13",,"59","4","4","1","4","23527",,"24","0","0","3","0","0.0",,"2.5",,,,,,,"1995","1976",,"0.0","1","24.0","2.0","12.0","2",,,"1","2","1",,"0","0","0","MT VERNON AV","STONE ST","NW","ECL",,"106959","3500","2015","3","2015","0","10.5","59.0","60.0","20.0","0.0","0.0","1.7","0.7","0.0",,,,,,,,,,"0.0",,"0",,,"0",,,,,,,,,,,,,,,"0.0",,,,,,"0.0","0.0","0.0",,,,,"0","059-0-2013-9854","0.13","0.26","52075MTVERNON AV  300","FedAid","238.97614485488361"
"MULTILINESTRING ((-105.23881754876481 38.44781061141355, -105.23881752178092 38.44781807131114, -105.23881439301289 38.44867862037168))","2015","456","11810","9TH      ST","425.0","0.06",,"43","4","4","1","2","13267",,"0","0","0","3","0","0.0",,"1.0",,,,,,,"2003","2013",,"0.0","1","41.0","2.0","12.0","2",,,"2","14","1",,"0","0","0","9TH ST","PINE AV","NW","FLORAL AV","N","200500","7600","2013","4","2015","2","10.5","59.0","90.0","20.0","0.0","0.0","1.2","0.2","0.0",,,,,,,,,,"0.0",,"0",,,"0",,,,,,,,,,,,,,,"0.0",,,,,,"0.0","0.0","0.0",,,,,"0","043-0-2013-0584","0.45","0.51","118109TH      ST  425","FedAid","96.31568085231663"
"MULTILINESTRING ((-107.85659693980794 38.47383963688761, -107.85659601593868 38.47399860487281, -107.85659249920768 38.47448758186294, -107.85661570500743 38.47562417336151, -107.85660965790196 38.47653231117385))","2015","884","51745","HILLCRESTDR","300.0","0.17",,"85","4","4","2","2","58951",,"0","0","0","3","0","0.0",,"4.0",,,,,,,"1995","1996",,"0.0","1","45.0","2.0","18.0","2",,,"3","9","1",,"0","0","0","HILLCREST DR","SUNNYSIDE RD","N","11THS ST",,"200223","5200","2015","4","2015","0","10.5","53.0","90.0","40.0","0.0","0.0","1.7","0.7","0.0",,,,,,,,,,"0.0",,"0",,,"0",,,,,,,,,,,,,,,"0.0",,,,,,"0.0","0.0","0.0",,,,,"0","085-0-2013-1107","0.65","0.82","51745HILLCRESTDR  300","FedAid","299.0293589508117"
"MULTILINESTRING ((-105.04400581508234 39.679591405964125, -105.0440938731622 39.679577661136754, -105.04493562723188 39.67943987169107))","2015","550","20000","WEVANS   AV","4401.0","0.05",,"31","5","4","1","4","23527",,"24","0","0","3","0","0.0",,"4.0",,,,,,"2003","1995","1977",,"0.0","1","48.0","2.0","10.0","2",,,"1","2","1",,"0","0","0","W EVANS AVE","S TENNYSON ST/S TENNYSON WAY/T","W","S UTICA ST","W","900547","11000","2013","5","2015","2","10.5","59.0","120.0","20.0","0.0","0.0","1.1","0.2","1.15",,,,,,,,,,"0.0",,"0",,,"0",,,,,,,,,,,,,,,"0.0",,,,,,"0.0","0.0","0.0",,,,,"0","031-0-2013-4450","1.52","1.57","20000WEVANS   AV 4401","FedAid","81.49287481636605"
"MULTILINESTRING ((-104.73859128106567 38.885777706405555, -104.73845920245024 38.88577710877631, -104.73720736298277 38.88577135604567, -104.73707304728102 38.885764586812314, -104.73693923556361 38.88575325648098, -104.73680618143263 38.885737387027326, -104.73667413557372 38.88571700943311, -104.73609286463584 38.88561767898569, -104.73590085748484 38.885585009584986, -104.73579524825638 38.88556670147767, -104.7356895913721 38.88554843371878, -104.73558395761867 38.88553016141092, -104.735478326865 38.885511872117746, -104.73537267013212 38.885493607451785, -104.73526706110606 38.885475318016745, -104.7351614030496 38.88545705090379, -104.73515344079675 38.885455349945296, -104.73513850651263 38.88545231073323, -104.73503809336461 38.8854363172948, -104.7349551258826 38.885423167075324, -104.73493094724981 38.88541788438967, -104.73491968394751 38.8854151925406, -104.73490629133752 38.885412277327475, -104.73489960164252 38.8854109802529, -104.73483862272629 38.88539908403037, -104.7347204751158 38.885375800284635, -104.73461547060121 38.88535394532695, -104.73452321514785 38.88533095902695, -104.73447968780538 38.88531761989624, -104.73435818238721 38.8852804031068, -104.73401599608519 38.88518877573844, -104.7333840821801 38.88499552347753, -104.73331951328795 38.884975665603605, -104.73330740369063 38.884971931962795, -104.73320546307595 38.88494036944819, -104.73310351966948 38.88490880683812, -104.73309855458253 38.88490728831421))","2015","3410","16000","CAREFREE CI","400.0","0.31",,"41","3","4","2","4","18856",,"153","1","0","3","0","212.0","2015-05-30T00:00:00.000","4.0","0.12",,"1925.0",,,,"1995","1997",,"0.0","1","66.0","4.0","11.0","2",,,"2","1","1",,"0","0","0","CAREFREE CI","ORO BLANCO DR","E","WIDCH","N","203584","11000","2015","5","2015","0","9.5","52.0","170.0","20.0","0.0","0.0","1.5","0.2","1.38",,,,,,,,,,"0.0",,"0",,,"0",,,,,,,,,,,,,,,"0.0",,,,,,"0.0","0.0","0.0",,,,,"0","041-0-2013-4105","1.343","1.653","16000CAREFREE CI  400","FedAid","490.41962369836693"
"MULTILINESTRING ((-104.99853702622178 39.73846236884684, -104.99867384214387 39.738462951648955, -104.99928180677831 39.73846430628116))","2015","440","20000","W14TH    AV","1001.0","0.04",,"31","4","4","1","4","23527",,"24","0","0","3","0","0.0",,"4.0",,,,,,,"1995","1977",,"0.0","1","60.0","4.0","10.0","1",,,"1","2","1",,"0","0","0","W 14TH AVE","N SANTA FE DR","W","N SANTA FE DR/TRAFFIC SIGNAL","W","201968","11000","2011","5","2015","3","11.0","100.0","190.0","80.0","0.1","0.0","1.7","0.7","0.0",,,,,,,,,,"0.0",,"0",,,"0",,,,,,,,,,,,,,,"0.0",,,,,,"0.0","0.0","0.0",,,,,"0","031-0-2013-4025","0.63","0.67","20000W14TH    AV 1001","FedAid","63.81651767789302"
