"businessname","dbas","city","statecode","zipcode","countyname","originaleffectivedate","expiredate","operationtypes"
"Kingdom Come Ranch",",Bailey, Pamela","Fort Lupton","CO","80621","Weld","2016-11-01T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"Western Australian Shepherd Rescue",",Haas, Lisa","Denver","CO","80210","Denver","2017-06-02T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"Denver Cat Company",",Hamelin, Sana","Denver","CO","80212","Denver","2017-05-09T00:00:00.000","2019-03-01T00:00:00.000","Retail/Wholesale"
"Trinity Bird Gallery",,"Colorado Springs","CO","80910","El Paso","2012-02-27T00:00:00.000","2019-03-01T00:00:00.000","Bird Breeder"
"MARY'S MUTT HUT",",Mary Cook","Loveland","CO","80537","Larimer","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"DOGGY STYLIN",,"STERLING","CO","80751","Logan","2012-03-26T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"COTTONWOOD RANCH & KENNEL",,"Crawford","CO","81415","Delta","2012-05-16T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"DOGGIE STYLE LLC",,"EDWARDS","CO","81632","Eagle","2014-03-20T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"ELITE BOARDING, LLC","WINDSTAR KENNELS","LONGMONT","CO","80504","Weld","2014-12-19T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"Animal Alliance Dog Grooming LLC","Groomingdales,Price, Laura D","Littleton","CO","80127","Jefferson","2018-03-29T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"THE BEAUTY BARK",,"Denver","CO","80207","Denver","2013-05-09T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"N+1 LLC","Alicia's Paw Spa,Finch, Alicia","Montrose","CO","81401","Montrose","2018-05-27T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"PUPS N CUT",,"Littleton","CO","80128","Jefferson","2016-03-30T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"TRIPLE ""J"" ENTERPRISES LLC","YOUR BEST FRIENDS","GRAND JUNCTION","CO","81503","Mesa","2012-03-07T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner,Retail/Wholesale"
"Petco Animal Supplies Store, Inc #2422",,"Colorado Springs","CO","80918","El Paso","2012-11-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Retail/Wholesale"
"Furtastic Pet Grooming",",Tuffield, Melissa","Golden","CO","80401","Jefferson","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"PEACHY POOCHES PET GROOMING, LLC",,"Clifton","CO","81520","Mesa","2017-02-27T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"High Point Trilogy",",Susan Herrel","Yoder","CO","80864","El Paso","2012-03-22T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"SNL",",Sarah Kirk","Greeley","CO","80631","Weld","2016-03-21T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"Rosa, Julie L",",Fetching Fido,Julie Rosa","Littleton","CO","80120","Arapahoe","2014-08-04T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"Wal-Mart Stores, Inc.","Walmart - 5033","Fort Morgan","CO","80701","Morgan","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"Looking Good Optical, Inc","CHEWY'S BONETIQUE","DENVER","CO","80230","Denver","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"K-9 CUTTERS",,"Pueblo","CO","81001","Pueblo","2012-03-26T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"GENTLE PAWS, INC","THE DOG HOUSE","Breckenridge","CO","80424","Summit","2012-03-02T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"LISA'S DOG GROOMING",,"Del Norte","CO","81132","Rio Grande","2012-02-28T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"ROCWIND CANINE CENTER",",VOLLEBERG, CAROL","Aurora","CO","80011","Adams","2013-07-19T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"LINDA'S PROFESSIONAL PET GROOMING",,"FALCON","CO","80831","El Paso","2012-04-09T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"GUSTIN GOLDENS",,"ERIE","CO","80516","Weld","2012-04-02T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"TOWN OF RANGELY","Linda D Farney,TOWN OF RANGELY ANIMAL SHELTER","Rangely","CO","81648","Rio Blanco","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"PUPPY DOG TAILS","DOGGIE STYLING","Colorado Springs","CO","80915","El Paso","2012-04-09T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
