"county","fipscode","year","age","malepopulation","femalepopulation","totalpopulation"
"Denver","31","2015","50","4224","3723","7947"
"Denver","31","2015","51","4115","3713","7828"
"Denver","31","2015","52","4083","3617","7700"
"Denver","31","2015","53","4009","3728","7737"
"Denver","31","2015","54","3970","3842","7812"
"Denver","31","2015","55","4077","3891","7968"
"Denver","31","2015","56","3896","3828","7724"
"Denver","31","2015","57","3875","3826","7701"
"Denver","31","2015","58","3803","3836","7640"
"Denver","31","2015","59","3712","3816","7527"
"Denver","31","2015","60","3778","3798","7575"
"Denver","31","2015","61","3575","3658","7233"
"Denver","31","2015","62","3417","3511","6928"
"Denver","31","2015","63","3255","3355","6610"
"Denver","31","2015","64","3089","3196","6285"
"Denver","31","2015","65","2863","3112","5974"
"Denver","31","2015","66","2697","2963","5660"
"Denver","31","2015","67","2659","2840","5499"
"Denver","31","2015","68","2525","2815","5340"
"Denver","31","2015","69","2054","2265","4319"
"Denver","31","2015","70","1806","2053","3859"
"Denver","31","2015","71","1684","1924","3608"
"Denver","31","2015","72","1563","1922","3485"
"Denver","31","2015","73","1381","1758","3139"
"Denver","31","2015","74","1262","1530","2793"
"Denver","31","2015","75","1154","1451","2606"
"Denver","31","2015","76","1055","1428","2483"
"Denver","31","2015","77","983","1335","2318"
"Denver","31","2015","78","924","1211","2136"
"Denver","31","2015","79","850","1170","2019"
"Denver","31","2015","80","805","1118","1922"
"Denver","31","2015","81","754","1007","1762"
"Denver","31","2015","82","714","969","1683"
"Denver","31","2015","83","657","977","1634"
"Denver","31","2015","84","615","1017","1632"
"Denver","31","2015","85","559","968","1527"
"Denver","31","2015","86","529","930","1459"
"Denver","31","2015","87","484","843","1328"
"Denver","31","2015","88","400","795","1196"
"Denver","31","2015","89","354","713","1066"
"Denver","31","2015","90","303","647","951"
"Denver","31","2015","91","269","576","845"
"Denver","31","2015","92","217","475","692"
"Denver","31","2015","93","178","407","585"
"Denver","31","2015","94","136","328","464"
"Denver","31","2015","95","101","242","343"
"Denver","31","2015","96","80","189","269"
"Denver","31","2015","97","49","143","191"
"Denver","31","2015","98","30","95","125"
"Denver","31","2015","99","20","67","87"
"Denver","31","2015","100","28","114","142"
