"lu_bylaw","lu_code","label","description","major","generalize","dc_bylaw","dc_site_no","density","height","far","multipolygon"
"2","DC","DC106Z83SITE1","<Null>","<Null>","<Null>","106Z83","SITE 1",,,,"MULTIPOLYGON (((-114.0610248 51.0502357, -114.0609886 51.0507036, -114.0614231 51.0507175, -114.0614542 51.0503048, -114.0614553 51.0502483, -114.061145 51.0502396, -114.0610248 51.0502357)))"
"2","DC","DC47Z92","<Null>","<Null>","<Null>","47Z92",,,,,"MULTIPOLYGON (((-114.0850451 51.0475932, -114.0860586 51.0476213, -114.086103 51.0471433, -114.0866688 51.0471583, -114.0868863 51.0471641, -114.0870557 51.0471685, -114.0871037 51.0471698, -114.0876478 51.0471845, -114.0885747 51.0472113, -114.0885937 51.0469793, -114.0886066 51.0468209, -114.088628 51.0465575, -114.0886817 51.0457983, -114.0878044 51.045774, -114.0878013 51.0458712, -114.0878452 51.0459077, -114.0878227 51.0462481, -114.0878226 51.0462499, -114.0876072 51.0462415, -114.0876048 51.0462431, -114.0876064 51.0462432, -114.0876025 51.0462915, -114.0875706 51.0467122, -114.0871386 51.046701, -114.0862022 51.0466754, -114.0861194 51.0466728, -114.0860353 51.0466701, -114.0848953 51.0466373, -114.0848616 51.0471096, -114.0849721 51.0471124, -114.0850762 51.047115, -114.0850451 51.0475932)))"
"2","DC","DC56Z93","<Null>","<Null>","<Null>","56Z93",,,,,"MULTIPOLYGON (((-114.0674869 51.0534679, -114.0674876 51.0539664, -114.0676504 51.0539632, -114.0687171 51.0539255, -114.068717 51.0536239, -114.0687169 51.0535283, -114.0686036 51.053508, -114.0685256 51.0534884, -114.0684699 51.0534674, -114.0674869 51.0534679)))"
"2","DC","DC47Z92","<Null>","<Null>","<Null>","47Z92",,,,,"MULTIPOLYGON (((-114.0849285 51.0461661, -114.0861526 51.0462007, -114.0862185 51.0452523, -114.0849953 51.0452163, -114.0849285 51.0461661)))"
"2","DC","DC224Z82","<Null>","<Null>","<Null>","224Z82",,,,,"MULTIPOLYGON (((-114.065082 51.0509303, -114.0650915 51.0508073, -114.0644268 51.0507891, -114.0643915 51.0512784, -114.0650537 51.0512984, -114.065082 51.0509303)))"
"2","DC","DC53Z95","<Null>","<Null>","<Null>","53Z95",,,,,"MULTIPOLYGON (((-114.0840204 51.0446565, -114.0826363 51.0446176, -114.0823542 51.0446096, -114.0823541 51.0446097, -114.0823204 51.0451427, -114.0837641 51.0451823, -114.0840564 51.0451904, -114.0840544 51.0450997, -114.0839922 51.0450568, -114.0840204 51.0446565)))"
"2","DC","DC49Z84SITE1","<Null>","<Null>","<Null>","49Z84","SITE 1",,,,"MULTIPOLYGON (((-114.0657681 51.0509502, -114.0657485 51.0512239, -114.0657702 51.0512245, -114.0657635 51.0513178, -114.066534 51.0513389, -114.0672674 51.0513589, -114.0675395 51.0513663, -114.0676077 51.0504192, -114.0667003 51.0503927, -114.0662622 51.0503799, -114.0658099 51.0503667, -114.0657681 51.0509502)))"
"2","DC","DC19Z95SITE7","<Null>","<Null>","<Null>","19Z95","SITE 7",,,,"MULTIPOLYGON (((-114.0791475 51.0520517, -114.0795855 51.0518189, -114.079593 51.0517117, -114.0791733 51.0516994, -114.0791475 51.0520517)))"
"2","DC","DC112Z81","<Null>","<Null>","<Null>","112Z81",,,,,"MULTIPOLYGON (((-114.0679471 51.0456846, -114.0704214 51.0457532, -114.0704886 51.0447895, -114.0682285 51.0447263, -114.0680144 51.0447204, -114.0679471 51.0456846)))"
"2","DC","DC53Z95","<Null>","<Null>","<Null>","53Z95",,,,,"MULTIPOLYGON (((-114.0572284 51.0439259, -114.0571971 51.0444198, -114.0580393 51.0444432, -114.0580459 51.0443607, -114.0580796 51.0438845, -114.0572331 51.0438603, -114.0572284 51.0439259)))"
