"start_date","end_date","filename","url","downloads"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","benefits-booklet.pdf","http://calgary.ca/content/dam/www/cfod/hr/documents/benefits/benefits-booklet.pdf","465"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","738_0.pdf","http://calgarytransit.com/content/dam/transit/files/pocketschedule/738_0.pdf","460"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","edworthy-map.pdf","http://calgary.ca/content/dam/www/corporate-communications/locations/edworthy-map.pdf","449"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","planning-applications-fee-schedule.pdf","http://calgary.ca/content/dam/www/pda/pd/documents/fees/planning-applications-fee-schedule.pdf","449"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","mdp-municipal-development-plan.pdf","http://calgary.ca/PDA/pd/Documents/municipal-development-plan/mdp-municipal-development-plan.pdf","444"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","business-licence-fee-schedule.pdf","http://calgary.ca/PDA/pd/Documents/fees/business-licence-fee-schedule.pdf","443"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","Bob-Bahan-Schedule-2022.pdf","http://calgary.ca/content/dam/www/csps/recreation/documents/pools/schedules/Bob-Bahan-Schedule-2022.pdf","434"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","714_Beaverbrook_Prestwick_McKenzie.pdf","http://calgarytransit.com/content/dam/transit/files/route/714_Beaverbrook_Prestwick_McKenzie.pdf","433"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","Glenmore-Schedule-2022.pdf","http://calgary.ca/content/dam/www/csps/recreation/documents/pools/schedules/Glenmore-Schedule-2022.pdf","427"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","Foothills-Schedule-2022.pdf","http://calgary.ca/content/dam/www/csps/recreation/documents/pools/schedules/Foothills-Schedule-2022.pdf","425"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","new-secondary-suite-permit-checklist.pdf","http://calgary.ca/content/dam/www/pda/pd/documents/permit-checklists/new-secondary-suite-permit-checklist.pdf","423"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","garage-permit-checklist.pdf","http://calgary.ca/content/dam/www/pda/pd/documents/permit-checklists/garage-permit-checklist.pdf","408"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","Inglewood-Schedule-2022.pdf","http://calgary.ca/content/dam/www/csps/recreation/documents/pools/schedules/Inglewood-Schedule-2022.pdf","393"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","redline_nw_station_tuscany_tuscany_mar_2018.pdf","http://calgarytransit.com/content/dam/transit/rider-information/lrt_maps/redline_nw/redline_nw_station_tuscany_tuscany_mar_2018.pdf","391"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","CTrain Map_City Hall-Chinook_Sept 3-5_2022_with Sept 4 Detour.pdf","http://calgarytransit.com/content/dam/transit/service-updates/ctrain-disruptions/CTrain%20Map_City%20Hall-Chinook_Sept%203-5_2022_with%20Sept%204%20Detour.pdf","387"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","crowfoot_rp.pdf","http://calgarytransit.com/content/dam/transit/parkride/reserved-parking-maps/crowfoot_rp.pdf","386"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","redline_sw_station_somerset_bridlewood_mar_2018.pdf","http://calgarytransit.com/content/dam/transit/rider-information/lrt_maps/redline_sw/redline_sw_station_somerset_bridlewood_mar_2018.pdf","385"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","719_Beaverbrook_McKenzie.pdf","http://calgarytransit.com/content/dam/transit/files/route/719_Beaverbrook_McKenzie.pdf","379"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","property-tax-sale-list.pdf","http://calgary.ca/content/dam/www/ca/fs/documents/property-tax/property-tax-sale-list.pdf","378"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","parent-orientation-information.pdf","http://calgary.ca/content/dam/www/csps/recreation/documents/pools/parent-orientation-information.pdf","375"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","somerset_rp.pdf","http://calgarytransit.com/content/dam/transit/parkride/reserved-parking-maps/somerset_rp.pdf","375"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","736_0.pdf","http://calgarytransit.com/content/dam/transit/files/pocketschedule/736_0.pdf","370"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","NOA_Example 2_Redacted.pdf","http://fairentry.calgary.ca/examples/redacted/NOA_Example%202_Redacted.pdf","369"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","using-your-cart-quick-reference-guide.pdf","http://calgary.ca/content/dam/www/uep/wrs/documents/wrs-documents/cart-guides/using-your-cart-quick-reference-guide.pdf","369"
