"day","departure","direction","incident_date_time","latitude","longitude","month","route","sched_time","service_type","time_period","timeliness","timepoint_name","transit_date","trip_start_time","trip_id","vehicle_id","year","id"
"7","2019-05-07T09:25:30.000Z","South","2019-05-07T09:25:30.000Z","51.103917","-114.159","5","9","2019-05-07T09:23:00.000Z","Weekday","09:00-14:59","N","DH Dalhousie Station","2019-05-07T01:55:00.000Z","2019-04-18T09:23:00.000Z","6465","8198","2019","2019-05-07T09:25:30-6465-8198"
"7","2019-05-07T13:12:56.000Z","North","2019-05-07T13:12:56.000Z","51.042817","-114.0714","5","3","2019-05-07T13:13:00.000Z","Weekday","09:00-14:59","N","4 St SW/ 11 Av SW nb","2019-05-07T01:55:00.000Z","2019-04-18T12:48:00.000Z","997","6021","2019","2019-05-07T13:12:56-997-6021"
"8","2019-05-08T09:25:52.000Z","South","2019-05-08T09:25:52.000Z","51.0092","-114.081561","5","3","2019-05-08T09:26:00.000Z","Weekday","09:00-14:59","N","Elbow Dr/ 50 Av SW sb","2019-05-08T01:55:00.000Z","2019-04-18T08:25:00.000Z","4680","6037","2019","2019-05-08T09:25:52-4680-6037"
"8","2019-05-08T10:42:04.000Z","South","2019-05-08T10:42:04.000Z","51.02977","-114.07255","5","3","2019-05-08T10:42:00.000Z","Weekday","09:00-14:59","N","Elbow Dr/ 4 St SW wb","2019-05-08T01:55:00.000Z","2019-04-18T09:50:00.000Z","811","6044","2019","2019-05-08T10:42:04-811-6044"
"8","2019-05-08T14:26:22.000Z","North","2019-05-08T14:26:22.000Z","50.91335","-114.02362","5","83","2019-05-08T14:26:00.000Z","Weekday","09:00-14:59","N","Parkland Terminal","2019-05-08T01:55:00.000Z","2019-04-18T14:16:00.000Z","11037","7867","2019","2019-05-08T14:26:22-11037-7867"
"8","2019-05-08T17:04:50.000Z","South","2019-05-08T17:04:50.000Z","51.046232","-114.06538","5","24","2019-05-08T17:04:00.000Z","Weekday","15:00-17:59","N","F 1 St SW/ 7 Av SW nb","2019-05-08T01:55:00.000Z","2019-04-18T17:04:00.000Z","13086","7940","2019","2019-05-08T17:04:50-13086-7940"
"9","2019-05-09T07:55:04.000Z","North","2019-05-09T07:55:04.000Z","51.103917","-114.159","5","77","2019-05-09T07:53:00.000Z","Weekday","06:00-08:59","N","DH Dalhousie Station","2019-05-09T01:55:00.000Z","2019-04-18T07:53:00.000Z","13556","7673","2019","2019-05-09T07:55:04-13556-7673"
"9","2019-05-09T11:22:24.000Z","North","2019-05-09T11:22:24.000Z","50.98287","-114.10446","5","502","2019-05-09T11:22:00.000Z","Weekday","09:00-14:59","N","Heritage Park","2019-05-09T01:55:00.000Z","2019-04-18T11:11:00.000Z","15059","1307","2019","2019-05-09T11:22:24-15059-1307"
"9","2019-05-09T12:03:00.000Z","South","2019-05-09T12:03:00.000Z","50.92409","-114.074452","5","52","2019-05-09T12:02:00.000Z","Weekday","09:00-14:59","N","FC Fish Creek Station","2019-05-09T01:55:00.000Z","2019-04-18T12:02:00.000Z","1381","1855","2019","2019-05-09T12:03:00-1381-1855"
"9","2019-05-09T13:30:16.000Z","South","2019-05-09T13:30:16.000Z","51.103917","-114.159","5","31","2019-05-09T13:27:00.000Z","Weekday","09:00-14:59","N","DH Dalhousie Station","2019-05-09T01:55:00.000Z","2019-04-18T13:27:00.000Z","9212","8066","2019","2019-05-09T13:30:16-9212-8066"
"7","2019-05-07T02:35:38.000Z","North","2019-05-07T02:35:38.000Z","51.085532","-114.04615","5","496","2019-05-07T02:40:00.000Z","Weekday","22:00-03:59","E","HW Spring Gardens/ 32 Av NE wb","2019-05-07T01:55:00.000Z","2019-04-18T02:40:00.000Z","14873","1876","2019","2019-05-07T02:35:38-14873-1876"
"7","2019-05-07T03:04:12.000Z","North","2019-05-07T03:04:12.000Z","51.037578","-113.994702","5","495","2019-05-07T03:01:00.000Z","Weekday","22:00-03:59","N","17 AV SE/ 26 ST SE eb","2019-05-07T01:55:00.000Z","2019-04-18T03:01:00.000Z","2517","1205","2019","2019-05-07T03:04:12-2517-1205"
